date,open,high,low,close,volume
1999-01-04,2.611237,2.611237,2.541999,2.571672,851200
1999-01-05,2.561781,2.586509,2.556836,2.571672,645600
1999-01-06,2.591455,2.591455,2.551891,2.591455,499200
1999-01-07,2.571673,2.640910,2.571673,2.640910,1075200
1999-01-08,2.621129,2.645856,2.586510,2.616183,644800
1999-01-11,2.616183,2.616183,2.571673,2.591455,508000
1999-01-12,2.596401,2.606292,2.586510,2.591455,1055200
1999-01-13,2.586509,2.586509,2.532108,2.571672,548000
1999-01-14,2.591455,2.591455,2.561782,2.586510,537600
1999-01-15,2.586511,2.611238,2.586511,2.601347,275200
1999-01-19,2.581564,2.586510,2.502436,2.542000,1343200
1999-01-20,2.560096,2.584951,2.545182,2.555124,421600
1999-01-21,2.545181,2.545181,2.495471,2.515355,668000
1999-01-22,2.495471,2.515355,2.465645,2.515355,428800
1999-01-25,2.535238,2.594891,2.505412,2.589920,336800
1999-01-26,2.594891,2.664485,2.555122,2.584949,1988000
1999-01-27,2.594892,2.644602,2.594892,2.614776,1662400
1999-01-28,2.634660,2.878242,2.634660,2.823560,1680800
1999-01-29,2.823560,2.883213,2.778821,2.798705,1350400
1999-02-01,2.793734,2.818590,2.773850,2.778821,745600
1999-02-02,2.793735,2.843445,2.783793,2.828532,2546400
1999-02-03,2.838474,2.908069,2.828532,2.833503,423200
1999-02-04,2.853387,2.853387,2.823560,2.823560,584000
1999-02-05,2.823560,2.853386,2.823560,2.853386,282400
1999-02-08,2.873271,2.992576,2.873271,2.972692,1585600
1999-02-09,2.952807,2.982634,2.918010,2.922981,989600
1999-02-10,2.918012,2.942867,2.903098,2.903098,540000
1999-02-11,2.893156,2.942867,2.878243,2.932925,570400
1999-02-12,2.922981,2.927952,2.873270,2.918010,392000
1999-02-16,2.908069,2.947838,2.908069,2.927953,810400
1999-02-17,2.918012,2.992577,2.903098,2.932925,523200
1999-02-18,2.952808,2.982634,2.888184,2.952808,993600
1999-02-19,2.942867,3.012462,2.908070,2.937896,606400
1999-02-22,2.952808,2.992576,2.942866,2.992576,404000
1999-02-23,3.002518,3.012461,2.908069,2.908069,694400
1999-02-24,2.913040,2.947838,2.913040,2.927953,1069600
1999-02-25,2.908069,2.922982,2.783793,2.828532,1739200
1999-02-26,2.838474,2.873271,2.818589,2.863329,816000
1999-03-01,2.883213,2.972692,2.858358,2.962750,815200
1999-03-02,2.942867,2.972693,2.927954,2.942867,1118400
1999-03-03,2.932923,2.962750,2.843444,2.863329,948000
1999-03-04,2.863328,2.863328,2.763907,2.848416,2077600
1999-03-05,2.868301,2.927954,2.868301,2.903098,1951200
1999-03-08,2.903098,2.972692,2.903098,2.962750,1152800
1999-03-09,2.962751,3.012461,2.922982,2.942867,4250400
1999-03-10,2.972693,2.972693,2.922982,2.932925,560000
1999-03-11,2.942866,2.942866,2.878243,2.898127,1155200
1999-03-12,2.918010,2.927953,2.793734,2.848416,2106400
1999-03-15,2.883214,2.942867,2.873272,2.932925,1302400
1999-03-16,2.922982,2.942867,2.873272,2.932925,418400
1999-03-17,2.918012,2.942867,2.908070,2.937896,352000
1999-03-18,2.927953,2.972692,2.823560,2.823560,2044000
1999-03-19,2.783792,2.858358,2.783792,2.783792,984000
1999-03-22,2.788763,2.808647,2.763907,2.798705,712000
1999-03-23,2.788765,2.972694,2.773851,2.893157,1737600
1999-03-24,2.903098,2.972693,2.863329,2.898127,1291200
1999-03-25,2.878242,2.898126,2.853386,2.853386,686400
1999-03-26,2.803676,2.843445,2.783792,2.783792,628000
1999-03-29,2.803676,2.878242,2.803676,2.873271,836800
1999-03-30,2.853387,2.853387,2.783792,2.783792,446400
1999-03-31,2.783792,2.838474,2.783792,2.833503,1154400
1999-04-01,2.833501,2.853386,2.803675,2.838473,258400
1999-04-05,2.808648,2.808648,2.758937,2.773850,928000
1999-04-06,2.773848,2.803674,2.724137,2.729109,2141600
1999-04-07,2.729112,2.773851,2.729112,2.758939,799200
1999-04-08,2.744024,2.793734,2.744024,2.768879,509600
1999-04-09,2.763908,2.803677,2.763908,2.793735,500800
1999-04-12,2.773851,2.783793,2.763908,2.763908,912800
1999-04-13,2.763908,2.793734,2.753966,2.773850,975200
1999-04-14,2.777047,2.916898,2.777047,2.876940,1608000
1999-04-15,2.911904,2.916899,2.822000,2.906909,3179200
