date,open,high,low,close,volume
1999-01-04,6.098200,6.539699,6.098200,6.512105,1039785
1999-01-05,6.456918,6.456918,6.180981,6.346543,663566
1999-01-06,6.236169,6.263762,6.125794,6.208575,602787
1999-01-07,6.153385,6.180978,5.960230,5.987823,708104
1999-01-08,6.070606,6.263762,5.987825,6.263762,988506
1999-01-11,6.263763,6.484512,6.208576,6.374138,1087387
1999-01-12,6.346540,6.346540,6.180978,6.180978,737319
1999-01-13,6.043013,6.153388,6.043013,6.098200,537513
1999-01-14,6.098201,6.125794,5.987826,6.015419,589303
1999-01-15,6.043013,6.374137,5.932638,6.346543,996371
1999-01-19,6.208575,6.263762,6.125794,6.153388,461412
1999-01-20,6.153388,6.180981,6.043014,6.043014,379283
1999-01-21,6.070607,6.208575,6.043014,6.043014,495938
1999-01-22,5.849855,5.849855,5.297982,5.518732,1090349
1999-01-25,5.518734,5.518734,5.242797,5.242797,1239590
1999-01-26,5.270391,5.270391,5.049642,5.049642,915366
1999-01-27,4.884080,5.187610,4.884080,5.049642,716684
1999-01-28,4.994453,5.077234,4.939266,4.994453,381530
1999-01-29,5.049641,5.049641,4.911673,4.911673,1379536
1999-02-01,4.911672,5.077234,4.884079,4.994453,482761
1999-02-02,4.966860,5.022048,4.911673,4.911673,1088408
1999-02-03,4.994453,5.187609,4.994453,5.160016,784206
1999-02-04,5.187607,5.463543,5.187607,5.435950,1026097
1999-02-05,5.297985,5.380766,5.270391,5.325579,366923
1999-02-08,5.353171,5.353171,5.215204,5.242797,401654
1999-02-09,5.270391,5.353171,5.215204,5.242797,1014247
1999-02-10,5.242797,5.270391,5.187610,5.242797,458654
1999-02-11,5.187609,5.187609,5.077234,5.132422,1338676
1999-02-12,5.077233,5.077233,4.939265,5.022046,427600
1999-02-16,5.022046,5.160014,4.966858,5.022046,842431
1999-02-17,4.939264,5.132420,4.856484,5.077232,678991
1999-02-18,5.022047,5.187609,4.801298,5.132422,1222940
1999-02-19,5.132422,5.325577,4.966860,5.160016,1149494
1999-02-22,5.187610,5.325579,5.132423,5.325579,1063586
1999-02-23,5.297984,5.325578,5.187610,5.242797,732722
1999-02-24,5.242798,5.270391,5.049642,5.049642,678582
1999-02-25,5.077235,5.077235,4.856486,4.884079,508401
1999-02-26,4.884080,4.884080,4.773705,4.773705,651513
1999-03-01,4.746111,4.939267,4.746111,4.939267,592776
1999-03-02,4.911673,4.939266,4.828892,4.856486,651002
1999-03-03,4.828890,5.022046,4.801297,4.828890,699012
1999-03-04,4.801297,4.911672,4.801297,4.828890,900452
1999-03-05,4.911672,4.911672,4.718516,4.801297,729453
1999-03-08,4.718517,4.994454,4.718517,4.856486,550691
1999-03-09,4.911673,4.939266,4.828892,4.911673,422697
1999-03-10,4.911673,4.911673,4.828892,4.856486,944990
1999-03-11,4.801298,4.884079,4.801298,4.856486,281628
1999-03-12,5.049639,5.132420,4.966858,5.077232,882780
1999-03-15,5.160014,5.160014,4.939264,5.077232,662749
1999-03-16,5.077234,5.132422,4.939266,4.994453,777157
1999-03-17,5.049642,5.104829,5.022048,5.049642,571019
1999-03-18,5.022048,5.049641,4.856486,4.884079,301751
1999-03-19,4.911673,4.966860,4.856485,4.966860,687878
1999-03-22,5.022048,5.049642,4.746112,4.773705,274579
1999-03-23,4.828893,4.828893,4.746112,4.746112,1603244
1999-03-24,4.718516,4.746110,4.608141,4.718516,858060
1999-03-25,4.718517,4.884079,4.718517,4.856486,661217
1999-03-26,4.856486,4.911673,4.746111,4.911673,379181
1999-03-29,4.949921,5.231167,4.949921,5.174917,650696
1999-03-30,5.146792,5.174917,5.062419,5.090543,289595
1999-03-31,5.090542,5.118666,4.978044,5.006168,558965
1999-04-01,5.062417,5.118666,4.978044,5.006168,408191
1999-04-05,4.978048,5.090546,4.865549,4.978048,527911
1999-04-06,4.978048,5.118670,4.865549,5.062421,564583
1999-04-07,5.062421,5.203043,4.978047,5.034296,495019
1999-04-08,5.034294,5.090543,4.978045,5.090543,355891
