date,open,high,low,close,volume
1999-01-04,49.544787,49.946502,48.607452,49.009167,8524482
1999-01-05,49.009156,50.850348,48.958944,50.783394,10363350
1999-01-06,50.967522,51.620308,50.482118,50.549068,9978422
1999-01-07,50.331485,51.519891,50.080413,50.934055,8688913
1999-01-08,51.151649,51.419459,49.712171,50.231052,9598933
1999-01-11,50.616010,50.733176,50.080390,50.682961,7595634
1999-01-12,50.883815,50.883815,49.276956,49.561504,7074726
1999-01-13,49.009159,50.197566,48.071829,49.678684,10361048
1999-01-14,49.176542,49.528041,47.904446,48.373112,9414000
1999-01-15,48.808298,49.678678,48.540488,49.528034,7101922
1999-01-19,50.281259,51.553355,49.678689,51.486404,8784936
1999-01-20,52.222906,53.361101,51.586858,52.089001,13215792
1999-01-21,52.925885,53.093268,51.436192,52.758503,21343212
1999-01-22,49.276965,49.678680,47.569682,48.138775,39836910
1999-01-25,48.808318,48.908746,46.464982,48.741364,24450668
1999-01-26,49.210019,49.946495,48.707877,49.712162,19975462
1999-01-27,50.030192,50.030192,47.619906,47.753811,18653527
1999-01-28,48.071835,48.557239,47.552954,47.854237,12490495
1999-01-29,47.854209,49.260208,47.803997,49.076092,10581127
1999-02-01,49.410870,49.410870,48.071825,48.138775,7747931
1999-02-02,48.088564,48.389851,46.866685,47.335350,12266651
1999-02-03,47.100999,47.402286,46.347785,46.933617,11711644
1999-02-04,46.916913,47.268412,45.326791,45.410480,12149499
1999-02-05,45.644816,45.795459,44.071437,44.456413,17737650
1999-02-08,44.783573,45.286382,43.744433,44.783573,12537984
1999-02-09,44.783557,45.453966,43.375691,43.643852,11308515
1999-02-10,43.576824,45.286377,43.576824,45.286377,11352656
1999-02-11,45.655089,47.951251,45.085237,47.867451,13142781
1999-02-12,47.264102,47.264102,45.906518,46.325527,12202845
1999-02-16,46.928878,47.800413,46.107621,46.258465,9434711
1999-02-17,45.722137,46.744516,45.269611,45.722137,9389942
1999-02-18,46.124363,46.794777,45.638316,46.727737,9087439
1999-02-19,46.761256,46.861817,45.856199,46.023804,7733287
1999-02-22,46.191441,47.716629,45.872993,47.716629,9623409
1999-02-23,47.733397,48.269728,47.130023,47.448471,9528223
1999-02-24,47.532233,48.185885,46.426054,46.593658,9034720
1999-02-25,46.124373,46.643943,45.403681,46.560143,10951202
1999-02-26,45.856224,46.090867,44.649484,45.521019,15478708
1999-03-01,45.453966,45.453966,44.280743,45.152283,10031977
1999-03-02,45.722141,45.839462,44.750044,44.984688,9145806
1999-03-03,45.185798,45.303124,44.263984,44.716511,8099178
1999-03-04,46.526649,47.465228,45.621592,45.856236,22490046
1999-03-05,46.627191,47.984778,46.593673,47.833935,12140085
1999-03-08,47.900951,48.269682,47.481947,47.967995,7907551
1999-03-09,48.236196,49.577019,47.884231,48.856327,10479874
1999-03-10,48.705450,49.040659,48.336724,48.671928,7332251
1999-03-11,48.906605,49.861940,48.671957,49.040688,8986395
1999-03-12,48.990378,49.191500,47.733356,47.733356,10128627
1999-03-15,48.051813,48.889831,47.498726,48.806026,8266329
1999-03-16,48.806015,49.208263,48.319967,48.537849,6909876
1999-03-17,48.135613,48.269696,47.733365,47.750126,7233508
1999-03-18,47.599287,47.666326,46.375782,47.632809,15172230
1999-03-19,47.364632,47.733358,45.051705,45.202549,20393653
1999-03-22,45.236100,45.722148,44.683008,44.783573,12443844
1999-03-23,44.783575,44.951175,43.979079,44.347805,10475690
1999-03-24,45.051735,45.722149,44.649491,45.453983,12364766
1999-03-25,46.124379,46.459588,45.453965,45.940018,10280925
1999-03-26,45.872995,47.163539,45.738912,46.224960,8646654
1999-03-29,46.928855,47.934473,46.761251,47.699829,8470717
1999-03-30,47.465200,48.604900,47.431678,47.884209,7810273
1999-03-31,48.269687,48.671931,47.331109,47.532230,6103619
1999-04-01,47.549010,47.649571,46.845079,47.465210,5555097
1999-04-05,48.001538,49.325600,47.884216,49.325600,9663366
1999-04-06,49.107718,50.079814,48.856313,49.074196,9144969
1999-04-07,49.342396,50.314497,48.018329,50.012810,12198452
1999-04-08,49.878708,50.431800,48.889851,50.146873,8923426
1999-04-09,49.778133,50.431785,49.342363,49.962494,6392943
1999-04-12,49.208278,49.241799,48.554625,49.191517,9392871
1999-04-13,49.342364,49.342364,48.252946,48.269707,7161334
1999-04-14,49.007161,49.308844,47.632817,48.102104,7595006
1999-04-15,48.135631,48.135631,46.526639,47.666340,8713598
1999-04-16,47.599293,47.599293,45.621574,45.688618,12477525
1999-04-19,45.822690,46.208181,43.995819,44.716511,16091246
1999-04-20,44.783566,45.521019,43.710905,45.521019,15392936
1999-04-21,45.521022,46.090870,44.280755,46.090870,13767034
1999-04-22,52.895561,53.297809,51.672056,52.158104,40971611
1999-04-23,51.856418,55.392842,51.739096,53.565971,21705546
