date,open,high,low,close,volume
1999-01-04,7.486029,7.715779,7.486029,7.581758,147825
1999-01-05,7.581760,7.620052,7.505177,7.562614,250200
1999-01-06,7.620051,7.620051,7.275426,7.352009,272475
1999-01-07,7.275425,7.352008,7.237133,7.275425,148275
1999-01-08,7.275420,7.313711,6.854211,7.122253,335025
1999-01-11,7.045677,7.083968,6.854218,6.873364,445275
1999-01-12,6.930799,6.930799,6.739340,6.739340,229950
1999-01-13,6.724696,6.743965,6.666891,6.666891,55125
1999-01-14,6.705428,6.782502,6.705428,6.763233,49050
1999-01-15,6.763235,7.071530,6.763235,6.917383,162675
1999-01-19,7.110066,7.167871,6.955918,6.955918,87075
1999-01-20,6.955919,6.955919,6.743966,6.898113,236925
1999-01-21,6.917385,6.994458,6.917385,6.975191,169425
1999-01-22,6.975190,7.052264,6.975190,6.994458,99450
1999-01-25,6.994456,7.110067,6.975188,7.052262,66825
1999-01-26,6.994456,7.129335,6.975188,7.052262,91800
1999-01-27,7.052262,7.090799,7.013724,7.013724,21600
1999-01-28,7.013727,7.032996,6.975191,6.975191,62325
1999-01-29,7.032996,7.032996,6.975191,7.032996,74025
1999-02-01,6.994456,7.090799,6.994456,7.090799,38250
1999-02-02,7.052261,7.244945,7.052261,7.244945,72225
1999-02-03,7.244944,7.322019,7.206408,7.283482,55575
1999-02-04,7.244948,7.283485,7.013726,7.071531,126675
1999-02-05,7.090797,7.264214,7.090797,7.244945,77175
1999-02-08,7.283482,7.399093,7.283482,7.379825,104625
1999-02-09,7.379825,7.379825,7.090798,7.148604,638325
1999-02-10,7.110067,7.110067,6.994456,7.052262,75825
1999-02-11,7.110065,7.167870,7.071527,7.129333,45900
1999-02-12,7.090799,7.090799,6.975188,7.052262,123975
1999-02-16,7.129337,7.167874,6.975190,6.994458,306675
1999-02-17,6.955922,7.013727,6.898116,6.936654,148725
1999-02-18,6.936648,6.955916,6.821037,6.878843,123075
1999-02-19,6.917380,6.936648,6.859575,6.859575,43425
1999-02-22,6.936648,7.148602,6.936648,7.129333,127350
1999-02-23,7.167869,7.244943,7.148601,7.187138,35325
1999-02-24,7.187142,7.283484,7.187142,7.264216,48375
1999-02-25,7.264214,7.360556,7.244945,7.341288,204750
1999-02-26,7.322019,7.360555,7.322019,7.322019,201600
1999-03-01,7.322018,7.322018,6.859574,7.187138,156150
1999-03-02,7.167872,7.206410,6.994456,7.206410,54900
1999-03-03,7.283484,7.322021,7.187141,7.302752,155250
1999-03-04,7.379826,7.399094,7.283483,7.399094,85500
1999-03-05,7.399092,7.514702,7.399092,7.495435,135900
1999-03-08,7.514703,7.553241,7.476166,7.514703,192600
1999-03-09,7.533976,7.553245,7.495439,7.533976,165375
1999-03-10,7.533972,7.533972,7.437630,7.514703,33975
1999-03-11,7.533971,7.533971,7.399092,7.418360,14625
1999-03-12,7.456900,7.456900,7.302752,7.302752,18000
1999-03-15,7.302749,7.476165,7.244943,7.476165,48825
1999-03-16,7.476165,7.591775,7.476165,7.572507,136125
1999-03-17,7.533971,7.553240,7.456897,7.495435,30825
1999-03-18,7.476166,7.553241,7.476166,7.514703,16200
1999-03-19,7.495436,7.514703,7.495436,7.514703,71100
1999-03-22,7.476167,7.630314,7.437630,7.630314,161325
