date,open,high,low,close,volume
1999-01-04,18.298578,18.607849,17.087264,17.370764,4382184
1999-01-05,17.293446,18.092398,17.216127,17.654263,3274886
1999-01-06,17.886214,17.937759,17.680034,17.860441,2147243
1999-01-07,17.576937,18.015072,17.525392,17.551165,2186755
1999-01-08,17.705806,18.968666,17.654261,18.762484,5561224
1999-01-11,18.788251,19.355250,18.633616,18.968660,3973572
1999-01-12,18.968674,19.355264,18.659401,19.174854,4196295
1999-01-13,18.556309,18.607853,17.886219,18.401672,2900218
1999-01-14,18.350113,18.607839,18.118160,18.195477,1830398
1999-01-15,18.324348,18.556302,18.247029,18.504757,1576194
1999-01-19,18.453220,18.530538,17.319224,17.886221,1906103
1999-01-20,17.731577,17.731577,16.906853,16.906853,2667644
1999-01-21,16.906854,17.499624,16.494492,17.448078,3298015
1999-01-22,17.448077,17.448077,16.700671,16.906853,1661321
1999-01-25,17.061489,17.628488,16.906855,17.344988,1646330
1999-01-26,17.499620,17.783119,17.267667,17.731575,1515802
1999-01-27,17.731581,17.937761,16.803765,16.855310,1393090
1999-01-28,16.726451,16.906861,16.520269,16.520269,1651042
1999-01-29,16.597584,16.829538,16.288312,16.314085,1793028
1999-02-01,16.906854,16.906854,16.468719,16.494492,1899785
1999-02-02,16.623360,17.087268,16.623360,16.984177,2935126
1999-02-03,16.906847,17.241891,16.881074,17.138800,2292120
1999-02-04,17.241903,18.659397,17.216130,18.221264,3784365
1999-02-05,18.195488,18.710941,18.040853,18.427443,2357866
1999-02-08,18.478979,18.530524,17.628482,17.808889,1945722
1999-02-09,17.705812,17.834674,17.396539,17.499630,1392126
1999-02-10,17.731582,17.731582,17.241901,17.396536,1569555
1999-02-11,17.344984,17.344984,16.674896,17.061485,1932444
1999-02-12,17.525385,17.602703,17.267659,17.602703,1596967
1999-02-16,17.525391,17.989299,17.216120,17.293438,1652755
1999-02-17,17.397149,17.500857,16.723041,16.800823,1596753
1999-02-18,16.956385,17.423074,16.904530,17.293438,1609817
1999-02-19,17.397152,17.552714,17.293443,17.449005,1634338
1999-02-22,17.578634,17.993469,17.448998,17.915688,1203454
1999-02-23,17.837914,18.019404,17.786060,17.811987,1209558
1999-02-24,17.915696,18.304604,17.760134,17.760134,1709292
1999-02-25,17.811981,17.915689,17.319364,17.526781,1352614
1999-02-26,17.786059,18.460166,17.371224,17.423079,2596651
1999-03-01,17.552716,17.682353,16.852682,16.982319,3068010
1999-03-02,17.137888,17.137888,16.723052,16.748980,2390418
1999-03-03,16.852678,17.008242,16.697114,16.723042,1521263
1999-03-04,16.826757,16.982321,16.593413,16.619339,1406368
1999-03-05,16.826762,16.904543,16.515635,16.748980,1824081
1999-03-08,16.852679,17.111950,16.593407,17.034168,1685949
