date,open,high,low,close,volume
1999-01-04,25.557260,25.962931,24.664784,25.962931,1308000
1999-01-05,25.638400,25.638400,25.151595,25.273296,821200
1999-01-06,25.354427,25.435562,24.887906,25.111025,1952400
1999-01-07,24.969042,25.111027,24.340252,24.624222,908000
1999-01-08,24.461948,24.948753,24.380814,24.908186,1110200
1999-01-11,24.989327,25.354431,24.664791,24.867626,1190400
1999-01-12,24.867619,25.090738,24.441665,25.090738,879000
1999-01-13,24.908191,24.989326,24.177984,24.624222,762600
1999-01-14,24.786486,24.786486,24.096845,24.157696,616200
1999-01-15,24.340244,24.664781,24.177976,24.340244,538600
1999-01-19,24.340250,24.421384,23.812878,24.238832,707800
1999-01-20,24.157694,24.279395,23.772306,24.015709,1316800
1999-01-21,24.056271,24.543076,23.792585,24.482225,957000
1999-01-22,24.380808,24.644494,24.218539,24.482225,1173000
1999-01-25,24.340243,24.340243,23.731737,23.873722,582200
1999-01-26,23.934577,24.137413,23.650608,24.096846,1134400
1999-01-27,24.035999,24.441670,23.894015,24.177984,493000
1999-01-28,24.259120,25.678968,24.259120,25.496416,1048600
1999-01-29,25.476125,26.125199,25.313857,25.678961,797800
1999-02-01,25.658683,25.658683,25.070460,25.293579,727400
1999-02-02,25.313858,25.313858,24.624217,25.029888,669600
1999-02-03,25.050181,25.050181,24.705361,24.745928,599000
1999-02-04,24.827058,24.948759,24.563371,24.664789,624600
1999-02-05,24.624227,24.969048,24.096855,24.583660,784000
1999-02-08,24.502523,24.644508,24.279404,24.461956,674200
1999-02-09,24.340250,24.340250,23.589759,23.610043,519400
1999-02-10,23.610046,23.772314,23.447777,23.528912,741000
1999-02-11,23.508625,25.111025,23.508625,25.070457,775400
1999-02-12,24.989328,24.989328,24.441672,24.461956,426400
1999-02-16,24.543087,24.908191,24.543087,24.725639,202000
1999-02-17,24.543093,24.827062,24.441675,24.644510,503000
1999-02-18,24.563373,24.928476,24.421388,24.928476,601600
1999-02-19,25.009610,25.151594,24.786491,24.806774,526200
1999-02-22,24.806774,25.557265,24.705356,25.354429,638400
1999-02-23,25.240625,25.281270,24.915464,25.037399,733800
1999-02-24,24.915455,25.017068,24.387068,24.590294,526400
1999-02-25,24.387068,24.590294,24.061907,24.590294,553000
1999-02-26,24.651266,24.651266,23.980622,24.326105,557400
1999-03-01,24.305784,24.427719,24.021268,24.427719,749000
1999-03-02,24.387079,24.427724,24.082240,24.163530,293600
1999-03-03,24.122885,24.285466,23.675789,24.183853,511600
1999-03-04,24.143195,24.366743,23.736744,24.366743,563200
1999-03-05,24.387072,24.752878,24.183847,24.752878,639600
1999-03-08,24.752876,24.874811,24.407392,24.874811,1559800
1999-03-09,24.834172,25.321914,24.793527,25.240623,1108400
1999-03-10,25.240622,25.240622,24.590300,24.915461,954000
1999-03-11,24.996753,25.240623,24.752882,25.240623,894400
1999-03-12,25.240620,25.240620,24.468362,24.752878,710000
1999-03-15,24.732560,25.098366,24.590302,24.773205,442600
1999-03-16,24.793531,24.793531,24.488692,24.569983,474400
1999-03-17,24.671591,24.752882,23.818044,23.899334,674800
1999-03-18,24.021264,24.224489,23.980619,24.082232,454000
1999-03-19,24.082233,24.082233,23.249008,23.391266,885600
1999-03-22,23.330299,23.391267,22.842558,23.005138,904800
1999-03-23,23.086427,23.086427,22.375137,22.679976,693600
1999-03-24,22.679986,23.614824,22.639341,23.431921,1818400
1999-03-25,23.655457,25.118681,23.614812,25.118681,1457400
1999-03-26,24.956095,24.956095,24.305774,24.529322,1062800
1999-03-29,24.610625,25.342238,24.610625,25.037399,533000
1999-03-30,25.078036,25.850293,25.037391,25.586100,686400
1999-03-31,25.606425,25.606425,25.179651,25.321909,984400
1999-04-01,25.606427,25.647072,24.549654,24.854492,932000
1999-04-05,24.773199,25.504812,24.671587,25.443844,502600
1999-04-06,25.321911,25.484491,24.427718,24.671589,1035600
1999-04-07,24.834169,24.874814,24.143202,24.326105,833200
1999-04-08,24.427722,24.793528,24.285464,24.691916,1038800
1999-04-09,24.691914,24.793527,24.488688,24.712236,677000
1999-04-12,24.630946,24.691914,24.509011,24.549656,868200
1999-04-13,24.569978,24.569978,24.387075,24.488688,526200
1999-04-14,24.427717,24.509007,24.204169,24.224491,689200
1999-04-15,24.061913,24.061913,23.431914,23.452236,920200
1999-04-16,23.452241,23.716434,23.086435,23.370951,783200
1999-04-19,23.370944,24.224492,22.497074,22.497074,688400
1999-04-20,22.679972,23.574164,22.679972,23.025455,752400
1999-04-21,22.964497,23.574174,22.883207,23.513206,448000
1999-04-22,23.736744,24.448033,23.655454,24.366743,587800
1999-04-23,24.366751,24.773203,24.204171,24.427719,481800
1999-04-26,24.509018,25.260953,24.509018,25.199986,617400
1999-04-27,25.931582,26.114485,25.260937,26.114485,1822400
1999-04-28,26.114487,26.297390,25.362553,25.362553,1563800
1999-04-29,25.443849,26.012880,25.199978,25.525139,974600
1999-04-30,25.525135,26.012877,24.956104,25.220297,954800
1999-05-03,25.199971,25.199971,24.712230,25.118681,807600
1999-05-04,25.199978,25.199978,24.509011,24.549656,362400
1999-05-05,24.569978,24.752882,24.346430,24.712236,973000
1999-05-06,24.630946,24.712236,24.509011,24.712236,393600
1999-05-07,24.712233,24.712233,24.326104,24.387072,451400
1999-05-10,24.305784,24.407397,24.041591,24.305784,447600
1999-05-11,24.387069,24.793520,24.102553,24.651262,808000
1999-05-12,24.874815,25.890944,24.671590,25.728363,714400
1999-05-13,26.012871,26.256742,25.687710,25.708033,517200
1999-05-14,25.525132,25.687713,25.199972,25.626745,273400
1999-05-17,25.626753,26.256752,25.606430,26.094172,820200
1999-05-18,26.094172,26.520945,26.033204,26.094172,586000
1999-05-19,26.094166,26.134811,25.199974,25.321909,709600
1999-05-20,24.712233,25.240620,24.691911,24.752878,895800
1999-05-21,24.732554,25.057715,24.691909,24.935780,398200
1999-05-24,25.017077,25.017077,24.041594,24.732561,587600
1999-05-25,24.299125,24.319493,23.219616,23.626978,3238200
1999-05-26,23.626982,24.767595,23.626982,24.747227,2134800
1999-05-27,24.665755,24.971276,24.441706,24.686123,1054000
1999-05-28,24.604651,24.808331,24.523178,24.686123,486600
1999-06-01,25.052741,25.989673,24.767588,25.867464,1370000
1999-06-02,25.256417,25.745251,25.174945,25.602674,974200
1999-06-03,25.623050,25.745258,25.195320,25.500841,683200
1999-06-04,25.419367,25.887833,25.378631,25.887833,533800
1999-06-07,25.887840,25.948944,25.358270,25.724895,687200
1999-06-08,25.806363,25.887835,25.541578,25.765627,647400
1999-06-09,25.847096,26.111881,25.847096,26.010040,718600
1999-06-10,25.684147,25.724883,25.337889,25.602674,469000
1999-06-11,25.663784,25.704521,25.256423,25.521208,302200
1999-06-14,25.561944,25.663785,25.174951,25.215687,565800
1999-06-15,25.297151,25.806353,25.093470,25.582304,677000
1999-06-16,25.500833,26.356292,25.500833,26.111876,833000
1999-06-17,26.111878,26.580344,25.948934,26.376663,593800
1999-06-18,26.397039,26.437776,26.091518,26.397039,804000
1999-06-21,26.335926,26.376663,26.234086,26.274822,307600
1999-06-22,26.295197,26.376669,26.091516,26.295197,553600
1999-06-23,26.356299,27.415440,26.111882,27.333967,1189000
1999-06-24,27.985745,28.352370,26.743292,27.680223,1890000
1999-06-25,27.598743,27.863528,27.048805,27.109909,745400
1999-06-28,27.171020,27.782062,27.130283,27.761694,610200
1999-06-29,27.700596,28.189430,27.476547,28.087589,1033000
1999-06-30,28.026479,28.230160,27.578381,28.230160,866000
1999-07-01,28.230160,28.311633,27.578382,27.945007,902000
1999-07-02,27.924634,27.985739,27.578377,27.822794,595200
1999-07-06,27.985751,28.535689,27.924647,28.332008,1192000
1999-07-07,28.413483,28.637532,28.332011,28.515324,840600
1999-07-08,28.433844,28.881942,28.393108,28.617157,523600
1999-07-09,28.678268,28.719004,28.494955,28.719004,535400
1999-07-12,28.637532,28.800477,28.270907,28.515324,942000
1999-07-13,28.433842,28.759731,28.311633,28.433842,796200
1999-07-14,28.454212,28.454212,27.822801,27.883905,801000
1999-07-15,28.026484,28.515318,28.026484,28.352373,1001400
1999-07-16,28.026490,28.678268,27.822809,28.515324,594600
1999-07-19,28.515321,28.841211,27.374708,27.700598,990400
1999-07-20,27.700600,27.700600,27.211765,27.537655,723000
1999-07-21,27.456176,27.700593,27.048814,27.333967,287400
1999-07-22,27.130282,27.293226,26.397031,26.519239,659800
1999-07-23,26.559964,27.130270,26.478492,26.763645,734600
1999-07-26,26.763661,27.211759,26.478508,26.641453,389700
1999-07-27,26.722909,27.496896,26.641437,26.763645,650700
1999-07-28,26.641452,27.619120,26.559980,27.333967,389800
1999-07-29,27.333962,27.537642,27.008072,27.415434,447500
1999-07-30,27.415435,27.415435,26.397031,27.374699,711200
1999-08-02,27.048824,27.211769,26.397045,26.559990,467500
1999-08-03,26.559985,27.048819,26.519249,26.682194,506600
1999-08-04,26.722936,26.722936,26.071157,26.152630,610200
1999-08-05,26.234095,26.763665,25.745261,26.315567,577000
1999-08-06,26.071157,26.193366,25.663796,26.152630,406700
1999-08-09,26.234084,26.234084,25.623041,25.785986,283300
1999-08-10,25.948931,25.989667,24.849055,25.174944,648700
1999-08-11,25.337888,25.948931,24.971263,25.785986,525700
1999-08-12,25.948931,26.356292,25.745250,26.111876,281900
1999-08-13,26.356291,26.478499,25.419359,25.582304,560200
1999-08-16,25.419369,26.071148,25.419369,26.071148,309200
1999-08-17,26.559990,26.967352,26.397045,26.559990,683500
1999-08-18,26.397041,26.885875,26.071151,26.682194,649900
1999-08-19,26.111888,26.193360,25.826735,25.989679,488700
1999-08-20,25.908197,25.908197,25.215682,25.419363,567900
1999-08-23,25.419375,25.908210,25.419375,25.460112,520000
1999-08-24,25.256428,25.419372,24.767594,25.256428,933400
1999-08-25,25.337900,25.378636,24.686121,25.256428,613300
1999-08-26,25.230288,25.965151,25.066986,25.475243,893700
1999-08-27,25.393600,26.046812,25.393600,25.597729,554600
1999-08-30,25.597722,26.210108,25.597722,25.842676,458500
1999-08-31,25.842679,26.536716,25.801853,25.883505,657100
1999-09-01,25.883499,26.128453,25.679370,26.087627,430700
1999-09-02,25.801856,25.842682,25.148644,25.761030,391600
1999-09-03,25.842671,26.740837,25.842671,26.659185,649300
1999-09-07,26.455070,26.455070,25.842684,25.924335,286500
1999-09-08,25.965151,25.965151,25.066986,25.475243,583600
1999-09-09,25.311958,25.311958,24.413792,24.944527,782600
1999-09-10,25.230297,26.046812,24.903691,25.597729,663500
1999-09-13,25.556903,26.046811,25.516077,25.801857,556500
1999-09-14,25.597724,25.801853,25.189467,25.434422,482600
1999-09-15,25.638544,25.720196,25.026159,25.148636,242900
1999-09-16,24.985338,25.107815,24.536255,24.822035,353500
1999-09-17,24.822032,25.597720,23.760563,25.352766,566100
1999-09-20,25.434425,25.475251,24.577085,25.271122,334500
1999-09-21,25.475249,25.475249,24.699560,24.781212,394800
1999-09-22,24.985338,25.148641,24.658732,24.822035,306700
1999-09-23,24.903691,25.311948,23.760571,23.842222,510000
1999-09-24,23.678922,24.903694,23.678922,24.740391,460200
1999-09-27,24.822039,25.271122,24.536259,24.903690,295200
1999-09-28,24.822038,24.903690,24.168827,24.658735,305300
1999-09-29,24.740375,25.801843,24.577072,25.638540,455200
1999-09-30,26.046818,26.863333,25.475258,26.863333,1123800
1999-10-01,27.434881,27.516533,26.128458,26.495890,1113100
1999-10-04,26.414251,26.781683,26.414251,26.618380,322800
1999-10-05,26.700029,26.944983,26.128468,26.455074,657400
1999-10-06,26.536722,26.863328,26.332593,26.740850,669500
1999-10-07,26.863318,27.679832,26.536713,27.394053,414400
1999-10-08,27.394055,27.394055,26.291761,26.495890,775600
1999-10-11,26.373416,26.455067,25.965158,26.250938,366500
1999-10-12,26.332583,26.332583,25.271114,25.475243,800800
1999-10-13,24.985343,25.393600,23.270663,23.352314,1301000
1999-10-14,23.515613,25.148641,23.025704,24.495430,2792100
1999-10-15,24.250476,24.658733,24.087173,24.495430,966200
1999-10-18,24.658734,24.822036,23.760568,24.087173,432700
