date,open,high,low,close,volume
1999-01-04,4.185304,4.334779,4.095619,4.095619,436749
1999-01-05,4.185305,4.274991,3.826565,3.841512,396945
1999-01-06,3.878880,3.961091,3.706984,3.706984,338517
1999-01-07,3.706983,3.706983,3.437928,3.557508,2689149
1999-01-08,3.677089,3.856459,3.647194,3.774248,2701930
1999-01-11,3.811616,3.916248,3.736878,3.796668,820548
1999-01-12,3.796669,3.856459,3.766774,3.826564,991085
1999-01-13,3.729403,3.826562,3.677087,3.789193,410822
1999-01-14,3.669614,3.706983,3.512665,3.662140,430541
1999-01-15,3.587403,3.721931,3.587403,3.706984,264752
1999-01-19,3.706985,3.990987,3.662142,3.961092,265847
1999-01-20,3.856459,3.856459,3.677089,3.677089,327197
1999-01-21,3.647194,3.647194,3.557508,3.587403,328292
1999-01-22,3.587403,3.721931,3.557508,3.647194,147896
1999-01-25,3.557508,3.706983,3.557508,3.692035,190987
1999-01-26,3.572456,3.796668,3.572456,3.796668,824200
1999-01-27,3.692036,3.841511,3.677089,3.721931,264022
1999-01-28,3.706983,3.811615,3.677087,3.736877,56967
1999-01-29,3.706984,3.901302,3.706984,3.871406,284837
1999-02-01,3.863933,3.908775,3.736879,3.871406,330483
1999-02-02,3.781720,3.931196,3.781720,3.893827,48568
1999-02-03,3.796669,4.005934,3.766774,3.998460,341439
1999-02-04,3.886353,3.990985,3.826563,3.848984,155930
1999-02-05,3.961091,3.961091,3.766774,3.766774,1273000
1999-02-08,3.886353,3.886353,3.662140,3.669614,59158
1999-02-09,3.706984,3.826564,3.587403,3.647194,176380
1999-02-10,3.647194,3.796669,3.647194,3.706984,89103
1999-02-11,3.796668,3.796668,3.706983,3.736877,55872
1999-02-12,3.706984,3.729405,3.632246,3.647194,416300
1999-02-16,3.677089,3.692036,3.677089,3.688299,138036
1999-02-17,3.721931,3.721931,3.647194,3.647194,56602
1999-02-18,3.647193,3.706983,3.617298,3.617298,225678
1999-02-19,3.647193,3.706983,3.557508,3.557508,308938
1999-02-22,3.557509,3.706984,3.557509,3.706984,290679
1999-02-23,3.647194,3.766774,3.557508,3.766774,146070
1999-02-24,3.557507,3.766773,3.557507,3.632245,241016
1999-02-25,3.647193,3.677087,3.527612,3.632245,710265
1999-02-26,3.662140,3.736878,3.527613,3.662140,134019
1999-03-01,3.744351,3.766773,3.527612,3.736877,231156
1999-03-02,3.766774,3.766774,3.647194,3.706984,282645
1999-03-03,3.624771,3.766773,3.624771,3.669614,156660
1999-03-04,3.692035,3.721930,3.647193,3.662140,234442
1999-03-05,3.662141,3.706984,3.512666,3.677089,54046
1999-03-08,3.512667,3.677089,3.512667,3.535088,618606
1999-03-09,3.706983,3.706983,3.497718,3.617298,311129
1999-03-10,3.557508,3.684562,3.512666,3.587403,873864
1999-03-11,3.557508,3.677088,3.557508,3.587403,26658
1999-03-12,3.572457,3.647194,3.497719,3.512666,456834
1999-03-15,3.512666,3.564983,3.467824,3.564983,1331063
