date,open,high,low,close,volume
1999-01-04,4.589205,4.614282,4.313351,4.350967,887600
1999-01-05,4.338427,4.388582,4.187961,4.200500,978400
1999-01-06,4.213038,4.388581,4.213038,4.313348,671200
1999-01-07,4.313348,4.313348,4.263193,4.313348,448000
1999-01-08,4.313350,4.350966,4.263195,4.325889,1431600
1999-01-11,4.313351,4.438739,4.313351,4.413661,1374800
1999-01-12,4.438738,4.463815,4.313350,4.376044,1789600
1999-01-13,4.313351,4.413661,4.238118,4.413661,637200
1999-01-14,4.338426,4.438737,4.338426,4.363504,807200
1999-01-15,4.438738,4.463815,4.288272,4.288272,411600
1999-01-19,4.363506,4.376045,4.213040,4.225579,1507600
1999-01-20,4.213039,4.363505,4.213039,4.275733,1616400
1999-01-21,4.288271,4.288271,4.187961,4.238116,369600
1999-01-22,4.213036,4.363502,4.213036,4.344694,364000
1999-01-25,4.338428,4.513971,4.338428,4.413661,296000
1999-01-26,4.388583,4.564126,4.363505,4.539049,395200
1999-01-27,4.539049,5.053140,4.539049,4.915213,1944800
1999-01-28,4.940290,5.002984,4.865058,4.940290,1243600
1999-01-29,4.940291,5.191067,4.940291,5.140912,1403600
1999-02-01,5.115832,5.266298,5.040600,5.065677,855600
1999-02-02,5.090756,5.266299,4.965367,5.216144,1168800
1999-02-03,5.165988,5.266298,5.090755,5.228682,540000
1999-02-04,5.241223,5.241223,5.128374,5.128374,811200
1999-02-05,5.090755,5.165988,5.090755,5.090755,815200
1999-02-08,5.100808,5.125936,5.037991,5.125936,241600
1999-02-09,5.063115,5.113369,4.912352,4.981452,800400
1999-02-10,4.975171,5.000298,4.723900,4.774154,386000
1999-02-11,4.749027,4.824408,4.698773,4.799281,941600
1999-02-12,4.849537,4.849537,4.774155,4.849537,205200
1999-02-16,4.824409,4.862100,4.824409,4.824409,1405600
1999-02-17,4.824407,4.849534,4.673644,4.698771,286800
1999-02-18,4.698774,4.723901,4.397248,4.485193,916800
1999-02-19,4.510319,4.824408,4.447501,4.673645,508000
1999-02-22,4.673646,4.799281,4.673646,4.717618,168800
1999-02-23,4.648519,4.899791,4.648519,4.862100,540400
1999-02-24,4.799281,4.874662,4.573137,4.579419,280800
1999-02-25,4.623391,4.648518,4.548009,4.598264,640400
1999-02-26,4.623391,4.723900,4.598264,4.723900,208800
1999-03-01,4.723901,4.749028,4.598265,4.686210,196000
1999-03-02,4.736465,4.899791,4.723901,4.786719,366800
1999-03-03,4.836973,4.849537,4.764732,4.824409,224000
1999-03-04,4.874664,4.937481,4.824409,4.899791,587200
1999-03-05,4.874663,4.950045,4.874663,4.950045,969200
1999-03-08,4.950043,5.075678,4.874661,5.025424,459200
1999-03-09,4.975172,5.025426,4.899791,4.899791,571200
1999-03-10,4.899788,4.899788,4.698771,4.698771,194800
1999-03-11,4.698773,4.824408,4.673646,4.717618,265600
1999-03-12,4.698775,4.799284,4.698775,4.755311,72800
1999-03-15,4.698772,4.811844,4.698772,4.736463,168800
1999-03-16,4.698773,4.824408,4.698773,4.799281,257600
1999-03-17,4.799281,4.811845,4.698773,4.774154,190400
1999-03-18,4.749028,4.786719,4.749028,4.761592,139200
1999-03-19,4.786719,4.786719,4.422376,4.422376,444800
1999-03-22,4.422374,4.472629,3.995213,4.020340,585200
1999-03-23,3.970087,3.995214,3.618307,3.693688,711600
1999-03-24,3.769069,3.819323,3.618306,3.731378,1211600
1999-03-25,3.769069,4.095722,3.643434,4.020340,753600
1999-03-26,4.020340,4.196230,3.944958,4.171103,740000
1999-03-29,4.070595,4.321866,4.070595,4.221358,564800
1999-03-30,4.221358,4.425515,4.221358,4.284175,948800
1999-03-31,4.296739,4.397248,4.183667,4.221358,695200
1999-04-01,4.196231,4.246485,4.070595,4.120850,175600
1999-04-05,4.095723,4.221358,4.095723,4.202513,105600
1999-04-06,4.045466,4.171102,3.957522,4.007776,608000
1999-04-07,3.944959,4.007777,3.731379,3.769069,176400
1999-04-08,3.844451,3.919832,3.505235,3.517798,567600
1999-04-09,3.593179,3.643433,3.542925,3.593179,1679600
1999-04-12,3.618306,3.618306,3.392162,3.429853,690400
1999-04-13,3.417290,3.517798,3.191145,3.228836,2268000
1999-04-14,3.279089,3.517797,3.216272,3.316780,2574400
1999-04-15,3.442417,3.693688,3.442417,3.693688,3093200
1999-04-16,3.718815,4.045468,3.718815,3.944960,928400
1999-04-19,3.932395,4.208793,3.919831,3.938677,576800
1999-04-20,4.020341,4.045468,3.643434,3.668561,372400
1999-04-21,3.718815,3.743942,3.668560,3.681124,672400
1999-04-22,3.769070,3.819324,3.693688,3.693688,150800
1999-04-23,3.655997,3.718815,3.643434,3.693688,256000
1999-04-26,3.668561,3.693689,3.618307,3.668561,519600
1999-04-27,3.668560,3.743942,3.593179,3.618306,239600
