date,open,high,low,close,volume
1999-01-04,9.401730,9.472597,9.330863,9.348580,668800
1999-01-05,9.071022,9.177323,8.456838,8.504083,651600
1999-01-06,8.527705,8.787552,8.409593,8.504083,534000
1999-01-07,8.385973,8.598576,8.315106,8.598576,222400
1999-01-08,8.598571,8.882041,8.456837,8.787551,244800
1999-01-11,8.362349,8.740309,8.338727,8.657630,306400
1999-01-12,8.574951,8.669441,8.456839,8.551329,504400
1999-01-13,8.196991,8.598572,8.173368,8.480460,483600
1999-01-14,8.480461,8.882043,8.456839,8.858420,514000
1999-01-15,8.882043,8.882043,8.504084,8.610385,203600
1999-01-19,8.504081,8.563138,7.630051,7.689107,1584000
1999-01-20,7.984386,8.149743,7.570993,7.712728,2334000
1999-01-21,7.878086,7.937142,7.559183,7.937142,614400
1999-01-22,7.925329,7.972574,7.653671,7.925329,980400
1999-01-25,7.925335,7.925335,7.700921,7.748166,1060000
1999-01-26,7.700919,7.795408,7.322959,7.346582,586800
1999-01-27,7.370206,7.535564,6.756023,7.181227,949600
1999-01-28,7.252092,7.370205,7.039490,7.228470,964000
1999-01-29,7.393829,7.393829,7.181227,7.252094,473600
1999-02-01,7.193031,7.299331,6.756016,6.968617,386000
1999-02-02,6.992247,6.992247,6.803268,6.815079,526800
1999-02-03,6.815078,6.945002,6.519797,6.732399,492800
1999-02-04,6.756022,6.756022,6.661532,6.732399,326800
1999-02-05,6.756022,6.756022,6.661532,6.661532,263200
1999-02-08,6.708777,6.720588,6.519797,6.567042,401200
1999-02-09,6.685155,6.685155,6.212706,6.283574,365200
1999-02-10,6.425308,6.425308,6.047349,6.283574,626800
1999-02-11,6.259948,7.157601,6.189081,7.157601,1125600
1999-02-12,7.563349,7.622530,7.184590,7.362133,774400
1999-02-16,7.622534,7.646206,7.101739,7.255610,521600
1999-02-17,6.959702,7.291117,6.947866,7.007047,310400
1999-02-18,7.196426,7.196426,6.793995,6.817667,230000
1999-02-19,6.817665,6.841338,6.486251,6.770320,824800
1999-02-22,6.675629,6.900517,6.403396,6.841336,627600
1999-02-23,6.841338,6.912355,6.746648,6.853174,242000
1999-02-24,6.805833,7.042558,6.805833,6.947868,130000
1999-02-25,6.995211,6.995211,6.865013,6.995211,304400
1999-02-26,6.995210,7.030719,6.817667,6.817667,397600
1999-03-01,6.841334,7.196421,6.675627,6.912352,429600
1999-03-02,7.184591,7.894765,6.959703,7.078065,342800
1999-03-03,7.516010,7.575191,7.007052,7.149087,392400
1999-03-04,7.267440,7.385802,7.125405,7.338457,117600
1999-03-05,7.291114,7.385804,7.196425,7.291114,272800
1999-03-08,7.362135,7.385808,7.149083,7.208264,319200
1999-03-09,7.385806,7.622530,7.314789,7.622530,488400
1999-03-10,7.729056,7.764564,7.480495,7.516004,222000
1999-03-11,7.456824,7.717221,7.007047,7.007047,168800
1999-03-12,6.959703,7.196428,6.936031,7.078065,343200
1999-03-15,7.101742,7.314794,7.018888,7.149087,248800
1999-03-16,7.314793,7.314793,7.078069,7.113577,148800
1999-03-17,7.078065,7.125409,6.983375,7.007047,98400
1999-03-18,7.078062,7.078062,6.817665,6.853174,226800
1999-03-19,6.888682,7.078062,6.793993,6.853174,184800
1999-03-22,6.865009,6.959699,6.628285,6.640121,124000
1999-03-23,6.628287,6.663796,6.154838,6.320545,663200
1999-03-24,6.320544,6.533596,6.261363,6.438906,98800
1999-03-25,6.438908,6.770322,6.438908,6.687469,109600
1999-03-26,6.651960,6.746650,6.604615,6.675632,96000
1999-03-29,6.770324,6.959703,6.675634,6.722979,145600
1999-03-30,6.841344,6.876853,6.770327,6.793999,230000
1999-03-31,6.782159,6.959702,6.770322,6.959702,221600
1999-04-01,6.959702,7.007047,6.628288,6.675632,209200
1999-04-05,6.722978,6.770323,6.202184,6.427073,478400
1999-04-06,6.438907,6.438907,6.060148,6.107493,316000
1999-04-07,6.249528,6.296873,5.397319,5.622208,1032000
1999-04-08,5.728734,5.728734,5.006724,5.018560,1634800
1999-04-09,5.089578,5.255285,5.065905,5.113250,1423200
1999-04-12,5.184269,5.539356,5.172432,5.492011,1336400
1999-04-13,5.799749,5.799749,5.456499,5.563025,1216000
1999-04-14,6.841341,7.054393,6.332383,6.616453,2941600
1999-04-15,6.841339,6.841339,5.776078,6.308709,754400
1999-04-16,6.438909,6.805833,6.202185,6.509927,606800
1999-04-19,6.486249,6.509922,5.918111,5.989128,546000
1999-04-20,6.036474,6.083819,5.492008,5.675470,582800
1999-04-21,5.634045,5.752408,5.326303,5.492011,819200
1999-04-22,5.634043,6.154837,5.586698,5.894440,314800
1999-04-23,6.036475,6.107492,5.823423,5.823423,459200
1999-04-26,5.894438,6.036473,5.870766,5.989128,574800
1999-04-27,6.060148,6.296872,6.012803,6.095656,819600
1999-04-28,6.143002,6.285036,6.036476,6.036476,533200
1999-04-29,6.095657,6.190347,5.965459,6.148921,376400
1999-04-30,6.237692,6.296873,6.154838,6.249528,378000
1999-05-03,6.371501,6.490151,6.264716,6.478286,421200
1999-05-04,6.454554,6.454554,6.169794,6.252849,179600
1999-05-05,6.122335,6.335905,5.979955,6.098605,264800
1999-05-06,6.039280,6.122335,5.932495,5.932495,287200
1999-05-07,5.979954,6.134199,5.896899,6.051144,100400
1999-05-10,6.264714,6.264714,6.003684,6.252849,394000
1999-05-11,6.288446,6.644396,6.217256,6.596936,372400
1999-05-12,6.632528,6.929152,6.383363,6.780841,500000
1999-05-13,6.857965,7.024075,6.668125,7.024075,449600
1999-05-14,6.549474,7.380024,6.549474,7.308834,418800
1999-05-17,7.024072,7.308832,6.976612,7.118992,273200
1999-05-18,7.356291,7.403750,6.881691,6.929151,118000
1999-05-19,7.047805,7.047805,6.786775,6.834235,200400
1999-05-20,7.024071,7.118991,6.834231,6.929151,301200
1999-05-21,6.929152,7.071532,6.763042,6.857962,308800
1999-05-24,6.893562,6.929157,6.502017,6.691857,114000
