date,open,high,low,close,volume
1999-01-04,23.127425,23.704580,23.065587,23.704580,7798800
1999-01-05,23.292318,23.890087,23.292318,23.890087,6532050
1999-01-06,24.075587,24.467226,24.013749,24.405388,9776250
1999-01-07,24.199277,25.456649,23.910699,25.415424,10692750
1999-01-08,25.271136,25.559715,24.652756,24.900108,8113050
1999-01-11,24.858880,25.642161,24.776429,25.147457,10198200
1999-01-12,24.900110,24.920724,24.240505,24.364182,10746300
1999-01-13,22.756390,24.075601,22.591489,23.622122,13639350
1999-01-14,23.333539,23.395377,22.385355,22.509031,7469550
1999-01-15,23.065570,23.395373,22.653317,23.374760,6348000
1999-01-19,24.240506,24.570310,23.910703,24.529083,9146250
1999-01-20,24.776440,25.807075,24.611539,25.436047,9931200
1999-01-21,25.065020,25.374210,24.405413,24.858892,8336550
1999-01-22,24.364185,24.570313,23.622129,23.704580,7715700
1999-01-25,23.683960,24.632143,23.683960,24.549692,5817600
1999-01-26,24.590917,24.838269,24.199277,24.487854,4345200
1999-01-27,24.487867,24.632156,23.972549,24.116838,5808900
1999-01-28,24.096215,24.467243,23.951927,24.281729,4809300
1999-01-29,24.467229,25.600926,24.322942,25.374187,9135450
1999-02-01,25.374200,25.848291,25.065010,25.332973,6571500
1999-02-02,25.229911,25.642164,24.838269,25.332973,5093700
1999-02-03,24.961951,26.425453,24.797051,26.178101,8805600
1999-02-04,25.765827,26.136855,25.229898,25.703989,7081200
1999-02-05,25.621542,25.703992,24.982549,25.209288,4258950
1999-02-08,25.374213,25.374213,24.096225,24.116838,4952250
1999-02-09,24.364170,24.508460,23.683952,23.745790,7435350
1999-02-10,23.745803,24.158056,23.539676,24.096218,3841350
1999-02-11,24.096214,25.291750,24.096214,25.106236,7559550
1999-02-12,24.961943,25.188683,24.116824,24.426014,5636100
1999-02-16,25.023787,25.724618,25.023787,25.621555,6497550
1999-02-17,25.188689,26.301774,25.065013,25.477266,9882600
1999-02-18,25.394809,25.703999,25.023781,25.147457,6601050
1999-02-19,25.085611,25.621542,25.065000,25.085611,5058450
1999-02-22,25.085620,26.714022,25.085620,26.714022,6075600
1999-02-23,26.404840,27.229348,26.404840,27.002607,8625750
1999-02-24,26.734627,27.023203,25.642154,25.992571,7325850
1999-02-25,25.580317,26.219311,25.250516,26.219311,5097600
1999-02-26,26.178083,26.549111,25.889504,26.260532,5236200
1999-03-01,26.219312,26.981982,26.116250,26.631565,6638250
1999-03-02,26.652183,26.899535,26.301768,26.487282,4952850
1999-03-03,26.466661,26.693400,26.178085,26.610950,5177850
1999-03-04,26.610967,27.497311,26.569740,27.497311,5842800
1999-03-05,28.321802,28.692830,28.156902,28.651606,7327050
1999-03-08,28.630997,28.754673,28.136293,28.301193,5024100
1999-03-09,28.136282,29.166915,28.115669,29.002014,5914950
1999-03-10,28.837133,29.434899,28.466104,29.331837,5012850
1999-03-11,29.166928,29.517344,28.775288,29.084478,5726550
1999-03-12,29.146307,29.352432,28.610376,29.022631,5071350
1999-03-15,28.363039,28.816518,28.363039,28.775293,4845150
1999-03-16,28.775290,28.981415,27.888944,27.971395,6077100
1999-03-17,27.888946,27.950784,27.146890,27.167503,5201850
1999-03-18,27.085046,27.930164,27.085046,27.662201,5516700
1999-03-19,28.033230,28.280582,27.126272,27.208723,6128850
1999-03-22,27.249959,27.373636,26.858320,27.002607,3279600
1999-03-23,26.384215,26.528504,26.054413,26.239927,4675650
1999-03-24,26.260550,26.466677,26.054425,26.178101,4543050
1999-03-25,26.693409,27.167502,26.631571,26.878923,5166000
1999-03-26,26.549122,26.858312,26.384219,26.549122,2936250
1999-03-29,26.755246,27.332401,26.734635,27.126274,4251300
1999-03-30,26.817081,27.291174,26.817081,27.023209,3074550
1999-03-31,27.208726,27.620979,26.714022,26.837698,3232650
1999-04-01,26.807871,26.828586,26.041339,26.310661,4103250
1999-04-05,26.497123,26.538557,25.958478,26.103498,4808850
1999-04-06,26.289936,26.642125,26.186352,26.269218,5411550
1999-04-07,26.642115,28.133742,26.559248,27.968006,5273850
1999-04-08,28.465223,29.459641,28.278770,29.128168,7461000
1999-04-09,28.879558,29.003860,28.340916,28.361633,4744800
1999-04-12,28.258049,28.941712,28.258049,28.796694,4117500
1999-04-13,29.459642,29.480360,28.444506,28.962433,4812450
1999-04-14,29.169595,29.832540,28.340913,28.630951,4721400
1999-04-15,28.568802,29.169598,28.154462,28.361633,5361600
1999-04-16,28.444504,28.983148,28.092314,28.527372,3631050
1999-04-19,29.583941,30.205452,27.864427,28.175182,7036650
1999-04-20,28.175188,28.713831,26.559258,27.512241,11746500
1999-04-21,27.201485,28.092319,26.828578,27.657261,5737200
1999-04-22,27.097909,28.423801,27.097909,28.423801,5237250
1999-04-23,28.050886,28.506659,27.988734,28.216621,4390800
1999-04-26,28.030163,28.050880,27.222198,27.387934,2694900
1999-04-27,27.553669,28.589520,27.056460,28.361633,6177150
1999-04-28,27.802283,28.340925,27.719414,27.719414,3719850
1999-04-29,27.802279,28.651677,27.532956,27.802279,4188900
1999-04-30,27.677976,28.340921,27.097898,27.346502,5365800
1999-05-03,27.180780,27.595120,26.890739,27.429384,5240400
1999-05-04,27.201486,27.719413,27.097902,27.263638,4670850
1999-05-05,27.346520,27.553692,26.186366,26.579988,6652650
1999-05-06,25.937754,26.662851,25.689150,25.709866,7305150
1999-05-07,25.709865,26.434963,25.647713,25.979187,6353700
1999-05-10,26.165632,26.579973,25.979179,26.186350,4205850
1999-05-11,26.579977,26.911451,25.979183,26.517826,4980150
1999-05-12,26.559252,27.325781,26.186345,27.284348,5330400
1999-05-13,27.346523,28.299509,27.346523,27.843733,3679650
1999-05-14,27.015029,27.139331,25.999894,26.207064,7173900
1999-05-17,26.186356,26.186356,25.564844,26.062054,3682950
1999-05-18,26.082781,26.849313,25.689158,26.103498,5363100
1999-05-19,26.352101,26.725009,26.352101,26.579988,4116150
1999-05-20,26.600706,26.932180,26.517837,26.579988,3496500
1999-05-21,26.497117,26.600702,25.979190,26.165644,5004000
1999-05-24,25.626999,25.689150,25.026203,25.150505,8523150
1999-05-25,24.860458,25.191931,24.363249,24.466833,7032900
1999-05-26,24.383978,25.274810,24.031786,24.984772,7955400
1999-05-27,24.984763,24.984763,23.866042,24.114647,6256200
1999-05-28,24.052494,24.508270,23.866041,23.990343,6132300
1999-06-01,23.948914,24.404688,23.285967,23.907478,5718900
1999-06-02,23.948913,24.011064,23.306684,23.555288,6079950
1999-06-03,23.803890,23.948910,23.244530,23.741739,5654550
1999-06-04,24.176793,24.694719,23.721017,24.632568,6295200
1999-06-07,24.943325,25.481968,24.839739,25.440535,3461400
1999-06-08,25.295518,25.336952,24.487554,24.819027,3318150
1999-06-09,24.819024,24.964042,24.301097,24.466833,3550950
1999-06-10,24.238964,24.363266,23.824623,24.238964,3511200
1999-06-11,24.321825,24.549712,24.031785,24.280390,5655000
1999-06-14,24.487557,24.508274,24.176801,24.446123,3420900
