date,open,high,low,close,volume
1999-01-04,16.139855,16.700472,15.992325,16.287386,839100
1999-01-05,16.877509,17.172571,16.700472,17.143064,865200
1999-01-06,17.231585,17.821708,17.231585,17.556152,1378100
1999-01-07,17.526658,17.821720,17.467646,17.703695,1114200
1999-01-08,17.674188,17.703694,17.349620,17.615175,999700
1999-01-11,17.939742,18.293816,17.733199,18.293816,1275600
1999-01-12,18.293816,18.588878,18.175792,18.323322,1182700
1999-01-13,17.703694,17.939743,17.644682,17.851225,735100
1999-01-14,17.821716,17.821716,17.467642,17.585667,701900
1999-01-15,17.792214,18.411844,17.792214,18.382338,855600
1999-01-19,18.293808,18.352820,17.851216,18.175783,770400
1999-01-20,18.116783,18.293820,17.880733,17.880733,627700
1999-01-21,17.998752,18.116777,17.497148,17.674185,1240400
1999-01-22,17.644686,18.175797,17.585674,17.998760,676400
1999-01-25,18.529865,18.529865,18.205298,18.323322,685100
1999-01-26,18.411841,18.706902,17.851224,18.323322,644400
1999-01-27,18.382336,18.529867,18.205299,18.500360,498300
1999-01-28,18.470857,19.946165,18.470857,19.857647,1329400
1999-01-29,19.592091,19.621597,18.942955,19.179005,1056600
1999-02-01,19.060979,19.119991,18.736411,19.001966,890500
1999-02-02,18.883941,19.415051,18.736410,19.356039,719800
1999-02-03,19.356038,19.533075,18.677396,18.854433,656800
1999-02-04,18.706897,18.795416,18.559367,18.588873,541200
1999-02-05,18.559361,18.736398,18.529855,18.706892,477200
1999-02-08,18.647885,18.706897,17.939738,18.588873,633500
1999-02-09,18.588868,18.765905,17.969239,18.028252,757200
1999-02-10,18.146286,18.234805,17.910237,18.057768,590000
1999-02-11,18.116779,18.323322,17.939742,18.323322,512800
1999-02-12,18.411839,18.765912,17.821716,18.205296,481700
1999-02-16,18.588876,18.647889,18.293815,18.352827,501400
1999-02-17,18.234799,18.323317,17.998750,18.264305,492500
1999-02-18,18.264308,18.264308,17.998753,18.205296,345500
1999-02-19,18.205302,18.411845,18.087278,18.146290,535100
1999-02-22,18.175787,18.470849,18.057763,18.411837,607300
1999-02-23,18.352834,18.352834,17.733205,17.998760,405700
1999-02-24,18.116783,18.264314,17.762709,17.880733,319500
1999-02-25,17.903294,17.932985,17.517320,17.665771,364000
1999-02-26,17.665775,17.665775,17.190729,17.576704,445000
1999-03-01,17.161028,17.932978,16.953196,17.932978,713000
1999-03-02,17.814227,17.814227,17.398562,17.487633,460000
1999-03-03,17.576694,17.695455,17.368861,17.606384,480100
1999-03-04,17.606388,17.695459,17.339175,17.517317,301500
1999-03-05,17.636081,17.665771,17.457939,17.665771,358600
1999-03-08,17.398554,17.398554,16.923508,17.190722,512300
1999-03-09,17.279792,17.309482,16.982888,17.131340,462000
1999-03-10,17.101651,17.368865,16.982890,17.339174,537500
1999-03-11,17.220414,17.457937,17.042272,17.279795,384800
1999-03-12,17.339179,17.754845,17.279799,17.754845,393400
1999-03-15,18.051742,18.556478,17.725148,18.200193,752100
1999-03-16,18.229887,18.259577,17.843912,18.051744,343900
1999-03-17,18.051747,18.348650,17.873604,18.229889,654200
1999-03-18,18.170514,18.229895,17.962682,18.111134,309400
1999-03-19,17.932989,18.081440,17.576704,17.576704,626600
1999-03-22,17.695462,17.695462,17.279797,17.636082,419100
1999-03-23,17.547008,17.547008,16.685987,16.804749,624900
1999-03-24,16.775056,16.982888,16.418771,16.923508,940500
1999-03-25,17.279788,17.428240,16.804743,17.012575,734400
1999-03-26,16.804755,16.804755,16.092186,16.210947,956900
1999-03-29,16.240632,16.507845,16.240632,16.507845,810300
1999-03-30,16.478159,16.567231,16.270327,16.359398,515800
1999-03-31,16.448467,16.567229,16.003112,16.062492,375600
1999-04-01,15.824969,16.300014,15.735897,16.300014,651800
1999-04-05,16.270329,16.329710,16.092187,16.151567,445800
1999-04-06,16.151561,16.151561,15.349921,15.735896,896700
1999-04-07,15.914040,16.300014,15.854659,16.300014,542200
1999-04-08,16.359391,16.596914,16.270320,16.537533,650500
1999-04-09,16.448467,16.448467,15.973421,16.062492,375500
1999-04-12,15.943725,16.537532,15.914035,16.270319,325000
1999-04-13,16.626604,16.864127,16.329700,16.537533,1006500
1999-04-14,16.537542,16.537542,16.032806,16.151567,487500
1999-04-15,16.270327,16.389088,16.003113,16.359398,421400
1999-04-16,16.864138,16.864138,16.270330,16.478163,587500
1999-04-19,16.478150,17.101648,16.478150,16.745363,633600
1999-04-20,16.715677,16.982891,16.596916,16.804749,387100
1999-04-21,16.775058,17.547007,16.448464,17.517317,628200
1999-04-22,17.457943,17.754846,17.042277,17.576704,576700
1999-04-23,17.398550,17.487621,16.923504,17.398550,1038600
1999-04-26,17.398560,17.814225,17.309489,17.754845,742400
1999-04-27,18.051744,18.051744,17.665769,17.903292,1089800
1999-04-28,17.873606,17.992368,17.725154,17.754845,639300
1999-04-29,17.814223,18.111127,17.636081,17.784533,783700
1999-04-30,17.457943,17.665775,17.398562,17.576704,1103800
1999-05-03,17.517320,17.665772,17.487630,17.636082,1366800
1999-05-04,17.725150,17.754840,17.220413,17.309484,623200
1999-05-05,17.250103,17.576697,17.131341,17.547007,482800
1999-05-06,17.517316,17.547007,17.250103,17.547007,431500
1999-05-07,17.547013,17.784536,17.487632,17.695465,402300
1999-05-10,17.576692,17.636073,17.339169,17.398550,471800
1999-05-11,17.517313,17.754836,17.161029,17.606384,447800
1999-05-12,17.547007,17.547007,16.864129,17.309484,360400
1999-05-13,17.309480,17.547003,17.220409,17.428242,475500
1999-05-14,17.161039,17.487633,17.101658,17.487633,493900
1999-05-17,17.487624,17.487624,16.953197,17.368862,324800
1999-05-18,17.279798,17.398559,16.982894,17.220417,597100
1999-05-19,17.339173,17.339173,17.101650,17.190722,246800
1999-05-20,17.071955,17.131335,16.982883,16.982883,306900
1999-05-21,16.923513,17.012584,16.685990,16.775061,441700
1999-05-24,16.715673,16.923506,16.685983,16.834435,332700
1999-05-25,16.626602,17.101647,16.596911,16.953196,627500
1999-05-26,16.946030,17.125353,16.647158,16.946030,463600
1999-05-27,17.005803,17.005803,16.467834,16.557495,433300
1999-05-28,16.497726,16.916146,16.467838,16.587387,355400
1999-06-01,16.497731,16.497731,16.019536,16.288521,416500
1999-06-02,16.258618,16.408054,16.139070,16.228731,381000
1999-06-03,16.139071,16.378169,16.019523,16.109184,518000
1999-06-04,16.168959,16.467831,16.019523,16.467831,414300
1999-06-07,16.437944,16.497719,16.288509,16.497719,429100
1999-06-08,16.378170,16.408057,16.168960,16.378170,244800
1999-06-09,16.408058,16.677043,16.258622,16.348284,554800
1999-06-10,16.258635,16.408071,16.109199,16.318409,387000
1999-06-11,16.258623,16.348284,15.989638,16.079300,405100
1999-06-14,16.049423,16.318408,16.019536,16.288521,309100
1999-06-15,16.198859,16.557506,16.198859,16.288521,461700
1999-06-16,16.378170,16.467831,16.228734,16.258621,236300
1999-06-17,16.258628,16.348289,16.019530,16.168966,261600
1999-06-18,15.810317,16.109189,15.481558,15.630994,1201100
1999-06-21,15.630993,15.690767,15.272347,15.302234,751200
1999-06-22,15.391890,15.451664,15.212567,15.362002,596700
1999-06-23,15.242463,15.810320,15.003366,15.720658,718200
1999-06-24,15.780429,15.929865,15.511444,15.840203,702500
1999-06-25,15.899978,15.929865,15.451670,15.810316,492800
1999-06-28,15.870090,15.989639,15.750542,15.810316,362200
1999-06-29,15.840194,15.959742,15.660871,15.870081,307700
1999-06-30,15.840203,15.870090,15.362008,15.780429,398800
1999-07-01,15.660880,15.840203,15.571219,15.780429,364900
1999-07-02,15.720655,15.780430,15.481558,15.630994,232700
1999-07-06,15.511441,15.630990,15.242457,15.601103,443200
1999-07-07,15.780432,15.899981,15.660883,15.899981,707500
1999-07-08,15.660878,15.720652,15.332119,15.421781,412500
1999-07-09,15.481560,15.720657,15.362011,15.660883,560100
1999-07-12,15.780429,15.780429,15.451670,15.541331,304400
1999-07-13,15.541329,15.601103,15.152796,15.272345,450600
1999-07-14,15.212570,15.541329,15.063135,15.481555,578600
1999-07-15,15.541329,15.601104,15.451668,15.481555,836400
1999-07-16,15.481555,15.511442,15.302232,15.421781,392600
1999-07-19,15.421781,15.481555,15.302232,15.481555,289900
1999-07-20,15.302233,15.511443,15.182684,15.332120,538700
1999-07-21,15.481557,15.870090,15.362008,15.840203,1215100
1999-07-22,15.959757,16.198854,15.840208,16.019531,1054100
1999-07-23,16.019531,16.079306,15.959757,16.019531,646600
1999-07-26,16.139074,16.168962,15.989638,16.139074,507500
1999-07-27,16.139076,16.557497,15.959753,16.437948,444700
1999-07-28,16.318402,16.318402,16.049418,16.168966,511200
1999-07-29,16.049414,17.095465,15.870090,17.095465,1183300
1999-07-30,17.095461,17.095461,16.587380,16.647154,946400
1999-08-02,16.527603,16.527603,16.109182,16.228731,578900
1999-08-03,16.019524,16.497719,16.019524,16.258621,689700
1999-08-04,16.348284,16.587381,16.258622,16.348284,438900
1999-08-05,16.348285,16.677044,16.348285,16.617270,677200
1999-08-06,16.587385,16.706934,16.437949,16.527611,465000
1999-08-09,16.467831,16.587379,16.288508,16.467831,512300
1999-08-10,16.467836,16.617272,16.288513,16.408062,377300
1999-08-11,16.437945,16.437945,16.168961,16.348284,348300
1999-08-12,16.318402,16.348289,16.019530,16.168966,415000
1999-08-13,16.198859,16.408070,16.168972,16.288521,371500
1999-08-16,16.258622,16.348284,16.198848,16.348284,325100
1999-08-17,16.258635,16.378183,16.139086,16.318409,303000
1999-08-18,16.258618,16.258618,16.139070,16.228731,374600
1999-08-19,16.109192,16.168966,15.959756,16.168966,434500
1999-08-20,16.228747,16.408071,16.168973,16.318409,654000
1999-08-23,16.318397,16.437945,16.228735,16.348284,243500
1999-08-24,16.318397,16.378171,16.079299,16.348284,385600
1999-08-25,16.378173,16.975917,16.378173,16.886255,693300
1999-08-26,16.946016,17.424210,16.886241,17.155226,896900
1999-08-27,17.393572,17.423665,17.213016,17.243109,561100
1999-08-30,17.273200,17.333386,16.972273,17.062551,360900
1999-08-31,17.032456,17.333383,16.881993,17.122734,613300
1999-09-01,17.122734,17.152826,16.761621,17.152826,361200
1999-09-02,17.122739,17.513944,17.032461,17.303295,676100
1999-09-03,17.333390,17.965336,17.333390,17.935244,586000
1999-09-07,18.055623,18.266272,17.875066,18.266272,1253900
1999-09-08,18.236169,18.416726,18.145891,18.386633,1118500
1999-09-09,18.386626,18.717646,18.386626,18.717646,1136700
1999-09-10,18.717645,18.777830,18.537089,18.777830,1162300
1999-09-13,18.597277,18.627370,18.175980,18.296350,625200
1999-09-14,18.236165,18.236165,17.905146,18.025517,351700
1999-09-15,18.025515,18.356534,18.025515,18.145885,917600
1999-09-16,18.296357,18.296357,17.694503,18.115801,411300
1999-09-17,18.145893,18.145893,17.754688,17.754688,735100
1999-09-20,17.574132,17.694503,17.574132,17.604225,613000
1999-09-21,17.423657,17.664398,17.333379,17.393564,866700
1999-09-22,17.363472,17.453750,17.182916,17.393564,557100
1999-09-23,17.423670,17.634319,17.333392,17.423670,444700
1999-09-24,17.363486,17.814877,17.363486,17.814877,585600
1999-09-27,17.935234,17.935234,17.664400,17.664400,536500
1999-09-28,16.972269,17.814863,16.972269,17.664400,771700
1999-09-29,17.664404,18.356536,17.634312,18.025517,624100
1999-09-30,18.476907,18.476907,17.965331,18.025517,545100
1999-10-01,17.905148,18.115797,17.634314,17.875055,670800
1999-10-04,17.875059,18.356542,17.844967,18.115801,647800
1999-10-05,18.055607,18.266256,17.875051,18.175978,551500
1999-10-06,18.085696,18.537086,18.085696,18.416716,596100
1999-10-07,18.416728,18.446821,17.965338,18.085709,321300
1999-10-08,18.085699,18.687553,18.085699,18.476904,553700
1999-10-11,18.356536,18.476907,17.995424,18.025517,785800
1999-10-12,17.694499,17.935241,17.634314,17.875055,561700
1999-10-13,17.814869,18.266259,17.784776,18.055611,444000
1999-10-14,18.416728,19.560250,18.296357,19.108860,1392400
1999-10-15,19.229230,19.229230,18.537098,18.537098,826000
1999-10-18,18.567187,19.680616,18.537094,19.680616,871000
1999-10-19,19.078763,19.169041,18.807929,19.018578,1275200
1999-10-20,18.838015,19.138942,18.687552,18.777830,855700
1999-10-21,18.657463,19.229224,18.597278,19.169039,654000
1999-10-22,19.199130,19.229223,18.717647,18.988482,338500
1999-10-25,18.928304,19.259323,18.898211,19.108860,505300
1999-10-26,18.988482,19.259316,18.687555,18.687555,275400
1999-10-27,18.687555,19.469964,18.687555,19.259315,648200
1999-10-28,19.379684,19.710703,19.018571,19.439869,872600
1999-10-29,19.500058,19.560244,19.078761,19.169039,716200
1999-11-01,19.048665,19.108850,18.115792,18.476904,834700
1999-11-02,18.476914,18.476914,17.995431,18.085709,580300
1999-11-03,18.055613,18.175984,17.754686,17.784779,653300
1999-11-04,17.694495,17.875051,17.122734,17.122734,935000
1999-11-05,17.152832,17.574130,16.972276,17.032461,596600
1999-11-08,17.062549,17.483847,17.032456,17.483847,701600
1999-11-09,17.513939,17.544032,16.912085,17.122734,484800
1999-11-10,16.912084,16.972269,16.611157,16.851898,569800
1999-11-11,16.821814,17.062556,16.370424,16.912092,539900
1999-11-12,17.032463,17.152834,16.671351,16.912092,352800
1999-11-15,16.851908,17.062557,16.460703,16.821815,551900
1999-11-16,16.821807,17.333382,16.761621,17.152826,455300
1999-11-17,17.092648,17.513945,17.002370,17.333389,336500
1999-11-18,17.303294,17.393572,16.851903,16.881996,502100
1999-11-19,16.791725,16.791725,16.370427,16.550983,938200
1999-11-22,16.129680,16.144726,15.888939,16.039402,813600
1999-11-23,16.370423,16.611165,16.250053,16.310238,811600
1999-11-24,16.611162,16.821811,16.430606,16.731533,516300
1999-11-26,16.668494,16.668494,16.274512,16.486656,216700
1999-11-29,16.486654,16.789718,16.153284,16.729105,508100
1999-11-30,16.668497,16.850335,16.244208,16.426046,879800
1999-12-01,16.365440,16.395746,15.910844,16.062376,1069500
1999-12-02,15.910835,16.001754,15.850222,15.880528,306700
1999-12-03,15.850228,16.577581,15.850228,16.274517,473500
1999-12-06,15.819912,16.183589,15.789606,15.971444,512200
1999-12-07,15.789613,15.910839,15.698694,15.698694,570000
1999-12-08,15.698697,15.789616,15.577471,15.729003,267300
1999-12-09,15.698693,15.850224,15.698693,15.850224,402400
1999-12-10,15.759308,15.850227,15.638082,15.759308,256100
1999-12-13,15.668384,15.698691,15.274402,15.335014,846400
1999-12-14,15.516856,15.698694,15.335018,15.456244,914500
1999-12-15,15.638080,16.001756,15.456242,15.910837,684100
1999-12-16,15.850227,15.910840,15.547163,15.759308,699400
1999-12-17,15.728996,15.880528,15.425933,15.668384,967000
1999-12-20,15.698690,15.880528,15.638077,15.668384,522900
1999-12-21,15.728997,16.001754,15.516852,15.880528,656100
1999-12-22,15.819918,16.122982,15.668386,15.910837,352500
1999-12-23,15.789616,16.122986,15.698697,15.729003,1121600
1999-12-27,15.728996,15.759302,15.516851,15.516851,1223700
