date,open,high,low,close,volume
1999-01-04,3.831024,3.868039,3.763164,3.868039,724500
1999-01-05,3.855699,3.898883,3.855699,3.886544,308400
1999-01-06,3.880377,3.923560,3.874207,3.898884,451500
1999-01-07,3.892713,3.911221,3.831022,3.886544,712800
1999-01-08,3.898884,3.935898,3.886545,3.905053,261600
1999-01-11,3.892716,3.905054,3.849532,3.880378,430800
1999-01-12,3.874207,3.898884,3.849531,3.874207,217800
1999-01-13,3.800179,3.874209,3.800179,3.843364,216300
1999-01-14,3.855701,3.855701,3.824856,3.849532,144600
1999-01-15,3.831022,3.855698,3.824853,3.831022,295500
1999-01-19,3.849530,3.886544,3.837191,3.861868,552600
1999-01-20,3.861870,3.892716,3.824856,3.849532,142800
1999-01-21,3.837194,3.861871,3.824856,3.843364,776100
1999-01-22,3.800179,3.868039,3.800179,3.849532,326700
1999-01-25,3.898884,3.898884,3.837193,3.855700,284700
1999-01-26,3.849532,3.868039,3.837194,3.849532,150600
1999-01-27,3.898883,3.898883,3.837191,3.861868,918600
1999-01-28,3.861871,3.874209,3.831025,3.843364,85200
1999-01-29,3.849532,3.861870,3.831025,3.849532,353400
1999-02-01,3.831025,3.849533,3.824856,3.843364,129000
1999-02-02,3.843363,3.855701,3.824856,3.849532,780000
1999-02-03,3.843360,3.855698,3.794007,3.831022,503400
1999-02-04,3.843360,3.849529,3.824853,3.831022,491100
1999-02-05,3.837192,3.843362,3.800178,3.837192,244500
1999-02-08,3.843362,3.849531,3.750825,3.769333,478500
1999-02-09,3.769331,3.843360,3.769331,3.831022,232500
1999-02-10,3.824856,3.837194,3.818687,3.824856,344100
1999-02-11,3.843364,3.843364,3.812518,3.843364,385200
1999-02-12,3.824855,3.843362,3.787840,3.812516,442200
1999-02-16,3.812517,3.843363,3.800179,3.800179,172800
1999-02-17,3.812515,3.831023,3.769332,3.806346,184800
1999-02-18,3.818685,3.824855,3.787840,3.794009,176700
1999-02-19,3.781672,3.794010,3.756995,3.781672,171900
1999-02-22,3.787839,3.800177,3.769332,3.787839,336000
1999-02-23,3.781670,3.800178,3.732317,3.756994,333900
1999-02-24,3.763163,3.775502,3.756994,3.769333,659400
1999-02-25,3.750824,3.756993,3.726147,3.744655,1078200
1999-02-26,3.744656,3.750826,3.719980,3.726149,183000
1999-03-01,3.726150,3.831025,3.726150,3.824856,208200
1999-03-02,3.824855,3.843363,3.787840,3.800179,405900
1999-03-03,3.843362,3.874207,3.824854,3.837192,442500
1999-03-04,3.849530,3.849530,3.806346,3.806346,213600
1999-03-05,3.818687,3.843364,3.806349,3.843364,238800
1999-03-08,3.837192,3.843361,3.800177,3.806346,493500
1999-03-09,3.800177,3.824854,3.800177,3.806346,446100
1999-03-10,3.806346,3.824854,3.794008,3.806346,131100
1999-03-11,3.806347,3.824855,3.787840,3.812516,265500
1999-03-12,3.812515,3.818684,3.756993,3.806346,424500
1999-03-15,3.806347,3.812516,3.781671,3.812516,234600
1999-03-16,3.818685,3.831024,3.781671,3.794009,443400
1999-03-17,3.794008,3.800178,3.750825,3.756994,646500
1999-03-18,3.756995,3.756995,3.701473,3.719980,2587500
1999-03-19,3.707642,3.738488,3.701473,3.719980,500400
1999-03-22,3.713811,3.732319,3.701473,3.701473,639600
1999-03-23,3.719981,3.719981,3.664458,3.689135,485700
1999-03-24,3.676795,3.682964,3.633611,3.664456,238500
1999-03-25,3.658289,3.676797,3.602767,3.627444,405000
1999-03-26,3.615105,3.639781,3.590428,3.596597,312900
1999-03-29,3.608936,3.639782,3.596598,3.627444,220200
1999-03-30,3.627442,3.639780,3.596596,3.621273,270000
1999-03-31,3.621274,3.639782,3.608936,3.639782,427200
1999-04-01,3.631001,3.662357,3.605916,3.656085,318300
1999-04-05,3.656087,3.674901,3.637274,3.668630,345300
1999-04-06,3.643545,3.687443,3.612189,3.668630,236700
1999-04-07,3.656085,3.674899,3.624730,3.656085,261600
1999-04-08,3.631002,3.649816,3.599646,3.618460,301500
1999-04-09,3.618458,3.637271,3.605915,3.624729,128400
1999-04-12,3.593375,3.637273,3.568290,3.637273,461400
1999-04-13,3.618459,3.637273,3.599646,3.612188,862500
1999-04-14,3.612187,3.662356,3.587102,3.624729,601200
1999-04-15,3.624729,3.693712,3.618458,3.662356,641700
1999-04-16,3.712527,3.825408,3.699985,3.768967,859200
1999-04-19,3.794052,3.975915,3.794052,3.900661,622200
1999-04-20,3.925747,3.944560,3.900662,3.938289,565500
1999-04-21,3.944560,3.944560,3.869306,3.869306,281700
1999-04-22,3.881848,3.988458,3.863035,3.932018,409800
1999-04-23,3.913206,3.963375,3.888121,3.957104,233100
1999-04-26,3.894390,3.938288,3.837950,3.856763,531000
1999-04-27,3.844221,3.900662,3.844221,3.863035,351300
1999-04-28,3.875577,3.894391,3.844221,3.863035,203700
1999-04-29,3.869306,3.900661,3.856763,3.881848,176100
1999-04-30,3.900662,3.938289,3.875577,3.938289,300000
1999-05-03,3.938287,4.013540,3.938287,4.007269,627900
1999-05-04,4.013542,4.013542,3.856763,3.900661,405900
1999-05-05,3.906933,3.919475,3.888119,3.906933,279600
1999-05-06,3.913204,3.950830,3.906932,3.919475,426000
1999-05-07,3.925746,3.938288,3.913204,3.913204,271200
1999-05-10,3.925746,4.007271,3.919474,4.000999,319800
1999-05-11,4.001001,4.063713,4.001001,4.032357,275400
1999-05-12,4.057442,4.063713,3.994730,4.032357,353700
1999-05-13,4.032355,4.032355,3.975915,4.026084,291000
1999-05-14,4.013540,4.026083,3.982185,4.013540,276600
1999-05-17,4.026084,4.051169,3.982186,4.051169,259500
1999-05-18,4.032355,4.038627,3.950830,3.988457,588000
1999-05-19,4.000998,4.013541,3.913202,3.950829,505800
1999-05-20,3.963374,3.982187,3.913205,3.975916,637500
1999-05-21,3.988457,4.013542,3.975915,4.000999,143400
1999-05-24,4.013542,4.013542,3.963373,3.994729,222000
1999-05-25,4.000998,4.057439,3.994727,4.013540,90300
1999-05-26,4.038626,4.088795,3.988457,4.026084,526500
1999-05-27,4.013540,4.032354,3.975913,4.013540,255300
1999-05-28,4.013540,4.044896,3.988456,4.007269,338100
1999-06-01,3.994730,4.001001,3.944561,3.944561,345000
1999-06-02,3.950828,3.957099,3.913201,3.925744,225600
1999-06-03,3.938289,3.950831,3.925747,3.938289,222900
1999-06-04,3.938288,4.013542,3.932017,3.969644,135600
1999-06-07,3.963371,3.963371,3.919472,3.925744,262800
1999-06-08,3.925746,3.925746,3.906933,3.906933,229200
1999-06-09,3.906933,3.906933,3.881848,3.906933,215100
1999-06-10,3.894389,3.906932,3.850491,3.875576,349200
1999-06-11,3.888119,3.906933,3.881848,3.900661,111000
1999-06-14,3.875577,3.888119,3.844221,3.844221,173700
1999-06-15,3.844221,3.875577,3.831679,3.850493,337200
1999-06-16,3.869306,3.913204,3.850492,3.888119,304800
1999-06-17,3.863035,3.925746,3.863035,3.906933,434400
1999-06-18,3.900662,3.950832,3.900662,3.944561,428400
1999-06-21,3.938289,3.950832,3.925747,3.944561,252600
1999-06-22,3.932017,3.938288,3.913204,3.913204,199200
1999-06-23,3.925746,3.963373,3.913204,3.919475,158400
1999-06-24,3.913204,3.919475,3.906933,3.913204,363000
1999-06-25,3.906932,3.906932,3.875576,3.875576,372300
1999-06-28,3.894390,3.900661,3.850492,3.856763,512400
1999-06-29,3.875577,3.888120,3.837950,3.863035,359100
1999-06-30,3.869306,3.988457,3.863034,3.988457,498600
1999-07-01,3.922239,3.973177,3.915871,3.947708,294600
1999-07-02,3.954073,3.966808,3.884033,3.934971,461400
1999-07-06,3.934974,3.947708,3.884036,3.884036,207300
1999-07-07,3.884035,3.884035,3.813995,3.852199,513900
1999-07-08,3.858564,3.858564,3.813994,3.813994,302400
1999-07-09,3.801259,3.833096,3.782157,3.833096,387000
1999-07-12,3.858565,3.922237,3.845830,3.877666,314400
1999-07-13,3.871299,3.922237,3.858565,3.903136,215400
1999-07-14,3.909503,3.941339,3.871299,3.915870,119400
1999-07-15,3.922240,3.934975,3.890404,3.922240,158100
1999-07-16,3.947707,3.973176,3.890401,3.903136,130200
1999-07-19,3.890401,3.915870,3.871299,3.903136,91800
1999-07-20,3.890401,3.928604,3.871299,3.896768,138900
1999-07-21,3.884033,3.909502,3.877666,3.896768,297300
1999-07-22,3.903137,3.922239,3.871301,3.884036,129300
1999-07-23,3.884034,3.909503,3.858565,3.858565,170400
1999-07-26,3.833096,3.871299,3.820361,3.839463,100500
1999-07-27,3.826729,3.845830,3.801260,3.845830,97800
1999-07-28,3.845830,3.845830,3.788524,3.813994,195300
1999-07-29,3.801260,3.839464,3.801260,3.820362,106500
1999-07-30,3.813995,3.820362,3.769424,3.820362,339000
1999-08-02,3.820361,3.820361,3.801259,3.813994,289500
1999-08-03,3.813993,3.813993,3.756687,3.763054,304800
1999-08-04,3.775790,3.794892,3.756689,3.775790,282600
1999-08-05,3.782159,3.794894,3.756690,3.769425,74700
1999-08-06,3.763058,3.769425,3.743956,3.769425,88500
1999-08-09,3.763056,3.763056,3.724853,3.724853,80100
1999-08-10,3.712117,3.724852,3.693015,3.705750,138900
1999-08-11,3.693017,3.718486,3.673915,3.686650,82500
1999-08-12,3.673913,3.769422,3.667546,3.705750,166800
1999-08-13,3.680283,3.743955,3.680283,3.731220,107400
1999-08-16,3.705749,3.782156,3.705749,3.782156,140700
1999-08-17,3.769422,3.788523,3.737585,3.763054,97500
1999-08-18,3.763058,3.769425,3.743956,3.769425,170100
1999-08-19,3.769423,3.782157,3.737586,3.737586,73200
1999-08-20,3.756687,3.763054,3.731218,3.763054,133800
1999-08-23,3.743955,3.788525,3.731220,3.743955,137700
1999-08-24,3.743955,3.756690,3.718486,3.731220,117300
1999-08-25,3.718486,3.756689,3.718486,3.743955,218400
1999-08-26,3.756689,3.769424,3.737587,3.743955,201900
1999-08-27,3.756687,3.763054,3.724851,3.763054,121800
1999-08-30,3.769424,3.782158,3.731220,3.743955,88200
1999-08-31,3.756689,3.794893,3.743954,3.794893,294300
1999-09-01,3.788526,3.788526,3.724853,3.756690,157500
1999-09-02,3.769423,3.769423,3.724852,3.737586,72000
1999-09-03,3.737586,3.756688,3.731219,3.737586,85200
1999-09-07,3.763058,3.769425,3.724854,3.769425,116100
1999-09-08,3.750321,3.756688,3.718485,3.737586,189900
1999-09-09,3.743954,3.769423,3.705751,3.724853,146700
1999-09-10,3.712117,3.743953,3.699383,3.705750,157200
1999-09-13,3.712119,3.718486,3.693017,3.699384,79500
