date,open,high,low,close,volume
1999-01-04,11.167177,11.260237,10.725143,10.794938,5221600
1999-01-05,10.841466,10.864731,10.678612,10.725142,5130000
1999-01-06,10.806570,10.806570,10.527391,10.736775,8004000
1999-01-07,10.608816,10.713508,10.585551,10.632081,3316800
1999-01-08,10.655347,10.713510,10.608817,10.643715,5314400
1999-01-11,10.643715,10.713510,10.585553,10.643715,6505600
1999-01-12,10.690248,10.736778,10.643718,10.655351,3845200
1999-01-13,10.608821,10.678616,10.445966,10.655351,4852400
1999-01-14,10.608819,10.608819,10.329640,10.469230,10804000
1999-01-15,10.585554,10.911263,10.562289,10.876366,6590400
1999-01-19,10.899632,11.062487,10.748410,10.760042,5344000
1999-01-20,10.794935,10.887995,10.608816,10.620448,4420800
1999-01-21,10.608817,10.725142,10.573920,10.643715,3256800
1999-01-22,10.539022,10.678612,10.515757,10.539022,2805600
1999-01-25,10.701877,10.783305,10.620450,10.643715,4695600
1999-01-26,10.690248,11.353299,10.655350,11.178812,5765200
1999-01-27,11.353298,11.632477,11.260238,11.423093,7476000
1999-01-28,11.423091,11.597579,11.399826,11.434724,6742800
1999-01-29,11.585949,11.853496,11.481257,11.818599,5036800
1999-02-01,11.818597,12.388588,11.806964,12.144306,6864800
1999-02-02,12.097776,12.109408,11.888391,12.027981,3902400
1999-02-03,12.027977,12.144302,11.969815,12.062875,3566400
1999-02-04,12.109405,12.179200,11.934918,11.946550,3409200
1999-02-05,11.934919,11.934919,11.341663,11.411458,4786800
1999-02-08,11.434728,11.609215,11.399830,11.609215,5527600
1999-02-09,11.609213,11.609213,11.457990,11.574315,3548000
1999-02-10,11.562680,11.562680,11.190440,11.248603,2964000
1999-02-11,11.248606,11.388196,11.132281,11.376563,4921200
1999-02-12,11.330034,11.330034,11.248606,11.260239,4333600
1999-02-16,11.283504,11.725538,11.271872,11.702273,5284800
1999-02-17,11.585948,11.830230,11.446359,11.748803,3819600
1999-02-18,11.748796,11.748796,11.551044,11.562676,3390400
1999-02-19,11.539419,11.539419,11.306770,11.364932,3756800
1999-02-22,11.411461,11.539419,11.306769,11.527786,3978800
1999-02-23,11.539416,12.039613,11.516151,11.958185,4134000
1999-02-24,11.958183,11.969816,11.632474,11.713902,3684400
1999-02-25,11.725538,11.795333,11.481256,11.644111,2606800
1999-02-26,11.713904,12.086144,11.667374,12.039614,3600000
1999-03-01,12.027981,12.039613,11.725536,11.772066,3749200
1999-03-02,11.772068,11.783700,11.446359,11.469624,2861200
1999-03-03,11.469621,11.585946,11.353296,11.446356,2512800
1999-03-04,11.434722,11.772064,11.434722,11.713902,3338000
1999-03-05,11.830230,12.027982,11.830230,11.853495,4292800
1999-03-08,11.853495,11.853495,11.655743,11.748803,3034400
1999-03-09,11.783699,11.783699,11.423093,11.492887,3503200
1999-03-10,11.492885,11.551048,11.271868,11.411458,3637200
1999-03-11,11.411460,12.086143,11.411460,12.027981,5650800
1999-03-12,12.097772,12.283891,12.097772,12.272259,4604800
1999-03-15,12.225735,12.679402,12.225735,12.621240,5790400
1999-03-16,12.528177,12.609605,12.435118,12.481647,3716000
1999-03-17,12.539810,12.609605,12.458383,12.516545,2882400
1999-03-18,12.516544,12.795724,12.516544,12.795724,4160800
1999-03-19,12.842250,12.993472,12.702660,12.714293,4895200
1999-03-22,12.656132,12.661948,12.248995,12.260628,3002400
1999-03-23,12.121037,12.214097,11.888388,11.946550,5456400
1999-03-24,11.923283,11.923283,11.446352,11.562676,4400800
1999-03-25,11.748803,11.818598,11.609213,11.644111,7556000
1999-03-26,11.562685,11.725540,11.492890,11.609215,2527200
1999-03-29,11.632478,11.655743,11.457991,11.469624,2807200
1999-03-30,11.481254,11.481254,11.213707,11.341664,2963200
1999-03-31,11.318400,11.341665,10.853101,11.143913,8242400
1999-04-01,11.143913,11.143913,11.050854,11.120648,3581600
1999-04-05,11.167177,11.248605,10.725143,10.794938,5217600
1999-04-06,10.818204,11.318401,10.818204,11.260239,5394800
1999-04-07,11.306769,11.353299,11.167179,11.271872,5658000
1999-04-08,11.271869,11.551048,11.260236,11.551048,5162400
1999-04-09,11.585947,11.597580,11.434725,11.597580,2964800
1999-04-12,11.585945,11.585945,11.178809,11.190441,3795600
1999-04-13,11.074119,11.155547,10.911265,10.946162,4041200
1999-04-14,11.004320,11.132277,11.004320,11.097380,6225600
1999-04-15,11.074119,11.167179,10.771675,10.783307,8359600
1999-04-16,10.701881,10.713514,10.329642,10.364539,6842800
1999-04-19,10.492494,10.632083,10.376169,10.445964,8045600
1999-04-20,10.411066,10.597186,10.387801,10.445964,5864800
1999-04-21,10.434334,10.515761,10.259847,10.387804,6717200
1999-04-22,10.422700,10.422700,10.027196,10.166785,9361600
1999-04-23,10.213315,10.306375,10.143521,10.248213,5612400
1999-04-26,10.259845,10.294743,10.120256,10.248213,8607200
1999-04-27,10.259847,10.422701,10.143522,10.387804,12902400
1999-04-28,10.422698,10.655348,10.352903,10.352903,9014800
1999-04-29,10.236579,10.329639,10.096989,10.155151,5226400
1999-04-30,10.166783,10.224945,9.992296,10.108621,11846400
1999-05-03,10.108623,10.294743,10.096990,10.294743,6488400
1999-05-04,10.306378,10.341275,10.003933,10.015566,4006400
1999-05-05,9.980665,10.166784,9.980665,10.120255,5883600
1999-05-06,10.085356,10.085356,9.841074,9.841074,6129200
1999-05-07,9.701484,9.748014,9.492100,9.596792,9581200
1999-05-10,9.526997,9.561894,9.468835,9.538630,12077200
1999-05-11,9.654954,10.027194,9.654954,9.992296,7948000
1999-05-12,10.050457,10.318004,10.003927,10.271474,7518000
1999-05-13,10.259845,10.399435,10.259845,10.294743,4628400
1999-05-14,10.224951,10.271480,9.992301,10.015566,3965200
1999-05-17,10.003931,10.003931,9.771281,9.794546,2749600
1999-05-18,9.806176,9.817809,9.259450,9.480467,6558400
1999-05-19,9.515361,9.748011,9.515361,9.654951,4390800
1999-05-20,9.654959,10.050463,9.643326,9.980668,5270000
1999-05-21,10.108628,10.248218,10.015568,10.085363,4570000
1999-05-24,10.027193,10.096988,9.689852,9.782911,6021600
1999-05-25,9.794547,10.027196,9.794547,9.806179,4870800
1999-05-26,9.771286,10.120261,9.701491,10.085363,10398800
1999-05-27,10.073727,10.201684,10.027197,10.178419,8583200
1999-05-28,10.283111,10.957795,10.236581,10.899632,8666000
1999-06-01,10.899632,10.922897,10.748410,10.783307,6691200
1999-06-02,10.760043,10.876368,10.515761,10.655351,3968000
1999-06-03,10.794937,10.957792,10.771672,10.922894,5302000
1999-06-04,10.969426,11.027588,10.783306,10.887999,4179600
1999-06-07,10.899632,10.981059,10.620452,10.783307,3201200
1999-06-08,10.783305,10.864732,10.632082,10.666980,4193600
1999-06-09,10.725146,10.760043,10.236582,10.364539,6416000
1999-06-10,10.294745,10.318010,10.143523,10.190053,5641600
1999-06-11,10.236578,10.248211,10.096989,10.096989,6711600
1999-06-14,10.073723,10.190048,9.957398,10.108621,3373200
1999-06-15,10.213316,10.283111,10.190051,10.224949,4760800
1999-06-16,10.283110,10.445965,10.283110,10.422700,5368000
1999-06-17,10.387799,10.515757,10.003928,10.515757,7216000
1999-06-18,10.445961,10.655346,10.259842,10.632081,7766400
1999-06-21,10.655351,10.655351,10.399436,10.411069,3770800
1999-06-22,10.271478,10.539025,10.236581,10.306376,3910000
1999-06-23,10.411070,10.411070,10.143522,10.376172,3970400
1999-06-24,10.259846,10.364539,10.096992,10.178419,6115200
1999-06-25,10.271478,10.492495,10.190050,10.248213,3690400
1999-06-28,10.364538,10.422700,10.283111,10.306376,2831600
1999-06-29,10.050463,10.259848,9.980668,10.259848,3965000
