date,open,high,low,close,volume
1999-01-04,9.256489,9.415302,9.074989,9.211114,547553
1999-01-05,9.074993,9.143056,8.984244,9.052305,372629
1999-01-06,8.984244,9.483367,8.938868,9.256493,914283
1999-01-07,9.074995,9.256495,9.074995,9.120370,474736
1999-01-08,9.165748,9.256497,8.666623,9.143060,812786
1999-01-11,9.143059,9.211122,8.870809,9.029622,607352
1999-01-12,9.528747,9.914433,9.324559,9.574121,2742239
1999-01-13,9.437997,9.506059,9.120371,9.392622,820719
1999-01-14,9.415305,9.528742,9.120367,9.347242,782683
1999-01-15,9.415310,9.551433,9.347247,9.483371,437920
1999-01-19,9.483368,9.800993,9.483368,9.551431,601657
1999-01-20,9.483369,9.823682,9.483369,9.800994,718816
1999-01-21,9.755616,9.800990,9.483365,9.619491,644168
1999-01-22,9.528741,9.619491,9.460679,9.619491,321372
1999-01-25,9.642182,9.755619,9.574119,9.687556,486126
1999-01-26,9.687557,9.914431,9.664869,9.800994,787361
1999-01-27,9.869055,9.914430,9.596806,9.755618,644168
1999-01-28,9.800996,9.800996,9.619496,9.710247,679153
1999-01-29,9.800991,10.050554,9.664867,9.937117,523348
1999-02-01,9.800994,10.073245,9.664870,9.959807,483482
1999-02-02,9.869060,10.118622,9.778311,10.005185,622404
1999-02-03,9.896055,9.896055,9.578292,9.691778,597589
1999-02-04,9.737175,9.782571,9.215136,9.305924,735698
1999-02-05,9.351316,9.419409,9.147040,9.283224,513178
1999-02-08,9.237829,9.237829,8.806579,9.056249,937267
1999-02-09,9.056246,9.056246,8.806576,8.851971,672847
1999-02-10,8.761184,8.761184,8.398026,8.602303,918554
1999-02-11,8.647697,8.942762,8.579605,8.942762,402325
1999-02-12,8.897369,9.033554,8.715790,8.738488,558740
1999-02-16,8.851973,9.147039,8.851973,9.056249,616302
1999-02-17,8.988159,8.988159,8.715790,8.738488,394189
1999-02-18,8.715793,8.715793,8.284543,8.488820,460904
1999-02-19,8.443426,8.874676,8.398031,8.693097,383816
1999-02-22,8.693090,8.897367,8.670394,8.783880,255470
1999-02-23,8.942761,8.942761,8.647696,8.715788,292896
1999-02-24,8.715792,8.874673,8.534213,8.647699,323609
1999-02-25,8.579603,8.761182,8.307236,8.329932,589453
1999-02-26,8.329932,8.624999,8.284537,8.420722,398664
1999-03-01,8.511511,8.761182,8.307235,8.420722,607556
1999-03-02,8.488818,8.488818,8.261844,8.352633,505449
1999-03-03,8.352632,8.398026,8.193751,8.239145,252623
1999-03-04,8.216444,8.261839,7.944077,8.102958,690950
1999-03-05,8.806582,8.806582,8.625003,8.647699,431411
1999-03-08,8.602302,8.625000,8.261841,8.284538,205231
1999-03-09,8.239144,8.443420,7.989473,8.171052,420835
