date,open,high,low,close,volume
1999-01-04,9.532899,9.745104,9.532899,9.565546,622566
1999-01-05,9.630842,9.745106,9.581872,9.696136,568798
1999-01-06,9.728785,10.267459,9.696138,10.251136,1179297
1999-01-07,10.120544,10.185837,9.859368,10.071573,748518
1999-01-08,10.120548,10.283782,10.006284,10.153194,850762
1999-01-11,10.153198,10.267462,10.087905,10.169522,562659
1999-01-12,9.973640,10.300110,9.957316,10.202168,632091
1999-01-13,10.055253,10.120546,9.859370,9.859370,821126
1999-01-14,9.859371,10.153194,9.810402,9.810402,554826
1999-01-15,9.810394,10.006275,9.761423,10.006275,337638
1999-01-19,9.973640,9.973640,9.630847,9.908345,444327
1999-01-20,9.908345,10.251138,9.892022,10.055257,1179932
1999-01-21,9.794076,9.810399,9.598194,9.761429,567739
1999-01-22,9.663494,9.810405,9.532906,9.549230,367062
1999-01-25,9.483930,9.630841,9.353343,9.630841,1058848
1999-01-26,9.630843,9.859371,9.598197,9.810402,319856
1999-01-27,9.777752,9.859369,9.663488,9.712459,538315
1999-01-28,9.679816,9.875698,9.581875,9.598199,464225
1999-01-29,9.663489,9.859370,9.663489,9.794077,671041
1999-02-01,9.810402,9.892019,9.696137,9.892019,504657
1999-02-02,9.892023,10.120551,9.843052,10.104227,869602
1999-02-03,10.104223,10.430692,10.022606,10.022606,841660
1999-02-04,10.055257,10.185844,9.794081,9.843052,820279
1999-02-05,9.859370,9.908341,9.614518,9.696136,358383
1999-02-08,9.467613,9.663495,9.402319,9.467613,541067
1999-02-09,9.532903,9.532903,9.288051,9.304375,369390
1999-02-10,9.288046,9.353340,9.206429,9.222753,415961
1999-02-11,9.288051,9.337021,9.173787,9.288051,638019
1999-02-12,9.288049,9.288049,9.075844,9.092168,950466
1999-02-16,9.124817,9.239081,9.108494,9.157464,483277
1999-02-17,9.124817,9.173787,8.928935,8.945259,803980
1999-02-18,8.961581,9.124816,8.830994,9.059523,386749
1999-02-19,8.994228,9.075845,8.928934,9.026875,502329
1999-02-22,8.994226,9.059520,8.814668,8.879962,529848
1999-02-23,8.879960,8.879960,8.471874,8.537168,1069856
1999-02-24,8.618791,8.830996,8.324968,8.324968,1197290
1999-02-25,8.324966,8.324966,8.031144,8.129085,911727
1999-02-26,8.129085,8.129085,7.998497,8.129085,785563
1999-03-01,8.112764,8.129088,7.965853,8.014823,1033658
1999-03-02,8.080116,8.096439,7.769970,7.802617,954488
1999-03-03,7.867913,7.933207,7.786296,7.851590,699831
1999-03-04,7.802620,7.900560,7.394532,7.688355,917655
1999-03-05,7.833837,8.031329,7.702177,7.800922,1224386
1999-03-08,7.833838,7.899668,7.652804,7.899668,679086
1999-03-09,7.833836,7.965497,7.768005,7.866752,1348010
1999-03-10,7.866752,7.965497,7.866752,7.866752,539162
1999-03-11,7.866748,7.965493,7.768002,7.817375,823455
1999-03-12,7.833836,8.031328,7.833836,7.981955,697290
1999-03-15,7.998412,8.006641,7.866751,7.916123,717824
1999-03-16,7.899666,8.064242,7.899666,8.014870,433319
1999-03-17,8.014868,8.146529,7.981953,8.097157,363251
1999-03-18,8.064244,8.179448,8.064244,8.179448,467189
1999-03-19,8.228819,8.525057,8.212362,8.327565,1603937
1999-03-22,8.393396,8.393396,8.195905,8.376939,584251
1999-03-23,8.376940,8.376940,8.097160,8.179448,1040855
1999-03-24,8.195903,8.212360,8.064241,8.064241,374259
1999-03-25,8.031326,8.130072,8.031326,8.097157,310119
1999-03-26,8.130074,8.162989,8.047785,8.162989,385478
1999-03-29,8.162990,8.393397,8.113618,8.344025,1072608
1999-03-30,8.031328,8.047785,7.735090,7.784463,1269052
1999-03-31,7.718635,7.735093,7.471771,7.537601,1734124
1999-04-01,7.405938,7.504684,7.323650,7.373023,834462
1999-04-05,7.438854,7.504685,7.405939,7.504685,721423
1999-04-06,7.438853,7.488226,7.323650,7.340107,1059272
1999-04-07,7.340105,7.405936,7.191986,7.224902,725445
1999-04-08,7.257821,7.488228,7.257821,7.488228,340178
1999-04-09,7.422396,7.471769,7.241362,7.373023,963590
1999-04-12,7.307193,7.488227,7.274277,7.455311,630186
1999-04-13,7.422396,7.488226,7.356565,7.373023,760584
1999-04-14,8.228820,8.854210,8.212362,8.854210,2447290
1999-04-15,8.590889,9.101076,8.590889,9.084618,1913209
1999-04-16,8.887126,9.463143,8.854210,9.463143,1175699
1999-04-19,9.463145,9.545433,9.216280,9.265654,1343776
1999-04-20,9.331480,9.364395,8.804835,8.952954,613040
1999-04-21,8.952955,9.133990,8.837752,9.018786,609653
1999-04-22,8.952957,9.068160,8.870669,8.920042,483065
1999-04-23,8.887125,9.018786,8.739006,8.903583,636960
1999-04-26,8.936501,9.117534,8.920043,9.002331,703853
1999-04-27,9.018789,9.051704,8.936501,9.035246,280483
1999-04-28,9.018784,9.166902,8.936496,9.133987,489839
1999-04-29,9.101076,9.150448,8.969414,9.084618,336579
1999-04-30,9.084616,9.183362,8.936498,9.101074,440517
1999-05-03,9.101074,9.413769,9.101074,9.347939,825572
1999-05-04,9.347942,9.858128,9.347942,9.808756,660246
1999-05-05,9.792297,10.417688,9.792297,10.236653,1726926
1999-05-06,9.973327,10.088530,9.742919,9.792293,1252752
1999-05-07,9.825214,9.858129,9.512519,9.677095,808425
1999-05-10,10.104991,10.532890,9.973331,10.072076,1351609
1999-05-11,10.121448,10.434142,10.104990,10.318939,1393946
1999-05-12,10.236654,10.318942,10.055620,10.286027,567528
