date,open,high,low,close,volume
1999-01-04,22.203584,22.741853,21.732599,21.799883,1754300
1999-01-05,22.069016,22.640926,22.035374,22.169941,2522900
1999-01-06,22.203583,23.145553,21.934448,22.001732,2718500
1999-01-07,21.665321,21.799888,21.261620,21.463470,1799300
1999-01-08,21.598030,22.001732,21.194329,21.497105,1902600
1999-01-11,21.732601,22.169944,21.497108,21.564392,2093300
1999-01-12,21.530744,21.598028,21.295252,21.429819,1669400
1999-01-13,20.992478,21.530746,20.622418,21.530746,1534000
1999-01-14,21.127043,21.160684,20.689699,20.857908,2328500
1999-01-15,21.127047,21.631674,20.925196,21.598032,2069600
1999-01-19,21.968089,21.968089,21.026119,21.059761,1304400
1999-01-20,21.127049,21.530750,20.857914,21.194332,950900
1999-01-21,20.790630,20.958839,20.286003,20.454212,1711000
1999-01-22,20.454212,20.756988,20.050511,20.286003,1515600
1999-01-25,20.454209,20.925194,20.286000,20.689701,1688500
1999-01-26,20.723343,21.497104,20.588776,21.059761,1597700
1999-01-27,21.127042,21.396176,19.848654,20.016863,1997000
1999-01-28,19.983228,21.059766,19.108542,19.344034,3566900
1999-01-29,19.747728,19.781369,18.637549,18.973967,4323800
1999-02-01,19.646799,20.622411,19.377665,19.915934,2511800
1999-02-02,20.185072,20.857908,20.050505,20.386923,2408500
1999-02-03,20.353278,21.261606,20.218711,21.227964,2762400
1999-02-04,21.295256,21.530748,21.093405,21.261614,2502900
1999-02-05,21.295251,21.295251,20.252356,20.386923,1610000
1999-02-08,20.252361,20.487854,19.983227,20.117794,1637600
1999-02-09,20.252363,20.252363,19.344034,19.344034,1723800
1999-02-10,19.377665,19.983217,19.377665,19.915934,1079200
1999-02-11,20.252363,20.286005,19.444960,19.714094,1007100
1999-02-12,19.579521,19.848655,18.839402,19.444954,1286500
1999-02-16,19.781380,20.016872,19.512245,19.882305,1071400
1999-02-17,19.882301,19.882301,19.243107,19.377674,971700
1999-02-18,19.344036,19.747738,19.175827,19.512245,1249000
1999-02-19,19.175812,19.714081,18.940320,19.613155,1157300
1999-02-22,19.613167,20.420570,19.478600,20.353287,1293000
1999-02-23,20.218720,20.420570,19.714093,20.286003,1453400
1999-02-24,20.185072,20.723341,19.848654,20.622416,1764600
1999-02-25,20.622416,20.958833,20.319639,20.588774,1698000
1999-02-26,20.588779,20.790630,20.185078,20.286003,1485600
1999-03-01,19.714087,19.915937,19.377669,19.680445,2156600
1999-03-02,19.781376,20.016869,19.646809,19.983227,1259900
1999-03-03,19.714089,19.882297,19.646805,19.848656,1188400
1999-03-04,19.900109,20.035483,19.832421,19.933952,2268700
1999-03-05,20.103164,20.373914,19.832415,20.306227,1836000
1999-03-08,20.170852,20.340070,20.001633,20.306227,1009100
1999-03-09,20.103155,20.204687,20.001624,20.136999,1030300
1999-03-10,20.170858,20.475452,20.103171,20.373920,3806500
1999-03-11,20.847718,21.050780,20.340063,20.509281,1918000
1999-03-12,20.543131,21.659974,20.543131,21.253849,2311000
1999-03-15,21.456912,21.761505,21.253849,21.761505,2275200
1999-03-16,22.133792,22.878354,21.626136,22.742979,2070500
1999-03-17,22.878355,22.878355,21.626138,22.201481,1016300
1999-03-18,22.201481,22.404543,21.998419,22.201481,765200
1999-03-19,22.303007,22.472225,21.998413,22.235319,1278900
1999-03-22,22.201476,22.303007,21.287696,21.592289,1091900
1999-03-23,21.829186,21.896873,20.746187,20.983093,1286800
1999-03-24,21.253847,21.659971,21.152315,21.186159,1303200
1999-03-25,21.050794,21.490763,20.983107,21.016951,877400
1999-03-26,20.915418,21.287699,20.915418,21.050793,1330800
1999-03-29,21.118475,21.253850,20.746194,20.881569,1004700
1999-03-30,20.441608,20.441608,20.103170,20.340076,1269500
1999-03-31,20.373911,20.576974,20.272380,20.441599,1268700
1999-04-01,20.306229,20.340073,19.832417,20.103167,1449000
1999-04-05,20.035465,20.272371,19.629341,20.035465,874700
1999-04-06,19.832402,19.967777,19.663184,19.730871,1348500
1999-04-07,19.730880,20.001630,19.561662,19.663193,847700
1999-04-08,19.933934,20.035465,19.730872,20.035465,723000
1999-04-09,20.035479,20.340072,19.798573,19.832417,1063700
1999-04-12,19.933940,20.780032,19.900096,20.678501,911800
1999-04-13,20.712343,21.050780,20.475437,20.712343,878500
1999-04-14,20.983095,22.472218,20.610814,22.032249,1785000
1999-04-15,22.607596,23.352158,22.336847,22.709127,2349500
1999-04-16,23.013721,23.825970,23.013721,23.453690,2310800
1999-04-19,23.521376,24.333625,21.321535,21.524597,3383900
1999-04-20,21.659976,21.727664,20.543134,21.118477,2324200
1999-04-21,21.456919,22.438387,21.321544,22.201481,1992700
1999-04-22,22.607585,22.709116,22.032242,22.099930,1241200
1999-04-23,22.099941,22.946033,22.066097,22.472221,1133100
1999-04-26,22.539922,22.878359,22.404547,22.404547,1605900
1999-04-27,22.539906,22.675281,21.761501,21.964563,1785900
1999-04-28,21.964563,23.115249,21.659970,22.810656,2164400
1999-04-29,23.149095,24.299781,23.081408,23.318314,2249500
1999-04-30,23.825969,24.029031,23.284470,23.318314,1652900
1999-05-03,23.284469,24.570530,23.149094,24.130562,2230700
1999-05-04,24.908977,24.908977,23.216791,23.656759,1919100
1999-05-05,23.656757,24.096726,22.742977,23.893663,1202000
1999-05-06,23.555225,24.265943,23.555225,24.029037,1188900
1999-05-07,23.893658,23.961346,23.419846,23.521378,1341000
1999-05-10,23.825978,23.825978,22.776823,22.979885,676700
1999-05-11,23.622915,23.622915,21.896885,22.167635,1647500
1999-05-12,22.472224,23.690598,22.269162,23.284473,3407500
1999-05-13,22.946039,22.946039,22.066103,22.269165,4657700
1999-05-14,21.659971,22.742970,21.659971,22.573751,1476600
1999-05-17,22.506071,22.573759,21.863041,22.539915,1463400
1999-05-18,22.404543,22.506074,21.930731,22.201481,1654100
1999-05-19,22.336857,22.438388,21.795357,22.066107,1030300
1999-05-20,22.133787,22.303006,22.032256,22.133787,1191600
1999-05-21,22.269156,22.573749,22.133781,22.336843,1123700
1999-05-24,22.370687,22.878343,22.235312,22.336843,1051200
1999-05-25,22.472228,22.776822,22.066104,22.167635,1186000
1999-05-26,22.472228,22.742978,22.133791,22.641447,2030200
1999-05-27,22.591080,22.591080,21.502353,21.570398,2048000
1999-05-28,22.046729,22.523048,21.740525,22.012707,2896800
1999-06-01,22.386950,22.897291,22.114769,22.897291,1970900
1999-06-02,22.591087,22.829246,22.182815,22.591087,3327200
1999-06-03,22.863270,22.931315,22.046724,22.046724,2445400
1999-06-04,22.148802,22.284893,21.876620,22.182825,1861900
1999-06-07,22.727178,22.795224,22.454996,22.591087,1448200
1999-06-08,22.591093,22.625116,21.944661,22.012707,1964400
1999-06-09,18.508364,19.290887,18.372273,18.984682,10648900
1999-06-10,18.916625,18.916625,18.406285,18.542376,6689900
1999-06-11,18.712489,18.780535,18.406285,18.542376,2794000
1999-06-14,18.848583,19.018697,18.542379,18.848583,1650700
1999-06-15,19.188810,19.188810,18.780537,18.916628,1592600
1999-06-16,19.188814,19.188814,18.508360,18.508360,1804800
1999-06-17,18.542376,19.154785,18.508353,19.018694,1633900
1999-06-18,19.052725,19.256862,18.780543,19.188816,2584300
1999-06-21,19.188816,19.188816,18.882612,19.188816,1650600
1999-06-22,19.120762,19.154785,18.916626,19.018694,1215500
1999-06-23,19.052725,19.188816,18.848589,19.188816,989100
1999-06-24,19.324916,19.426984,18.848598,19.154802,930600
1999-06-25,20.073407,20.141452,19.460998,19.529043,2185100
