date,open,high,low,close,volume
1999-01-04,5.583093,5.604733,5.496533,5.539813,312600
1999-01-05,5.518173,5.528992,5.409973,5.431613,125400
1999-01-06,5.431611,5.453251,5.312592,5.388331,121400
1999-01-07,5.345051,5.377511,5.323411,5.355871,115200
1999-01-08,5.355873,5.366693,5.301773,5.334233,149400
1999-01-11,5.334234,5.334234,5.193575,5.269315,187200
1999-01-12,5.269313,5.361283,5.258493,5.345053,464000
1999-01-13,5.323414,5.366694,5.215215,5.258494,684600
1999-01-14,5.269315,5.269315,5.215216,5.236856,240600
1999-01-15,5.236855,5.236855,5.193575,5.226035,167000
1999-01-19,5.215213,5.247673,5.171933,5.193573,250400
1999-01-20,5.161112,5.182752,5.117832,5.171932,301800
1999-01-21,5.139475,5.258494,5.139475,5.258494,302400
1999-01-22,5.226033,5.258493,5.204393,5.247673,155600
1999-01-25,5.215215,5.280135,5.215215,5.269315,322800
1999-01-26,5.258494,5.269314,5.226035,5.258494,4167200
1999-01-27,5.247491,5.280494,5.170484,5.225489,225800
1999-01-28,5.214488,5.225489,5.181485,5.192486,113800
1999-01-29,5.192487,5.192487,5.060475,5.093478,108600
1999-02-01,5.060474,5.082476,5.049473,5.060474,214200
1999-02-02,5.071477,5.071477,5.016472,5.038474,707000
1999-02-03,5.060474,5.104479,5.027471,5.060474,165200
1999-02-04,5.038475,5.049476,5.027474,5.049476,125000
1999-02-05,5.027472,5.038473,4.972467,4.972467,154200
1999-02-08,4.994470,4.994470,4.917463,4.950466,172600
1999-02-09,4.928461,4.950464,4.884457,4.917460,373200
1999-02-10,4.917463,4.928464,4.840455,4.873458,235400
1999-02-11,4.851455,4.884458,4.851455,4.884458,158400
1999-02-12,4.884459,4.884459,4.796450,4.818452,119400
1999-02-16,4.862456,4.873457,4.807451,4.840454,235800
1999-02-17,4.851456,4.895460,4.818453,4.862457,426000
1999-02-18,4.862456,4.884458,4.796450,4.884458,166800
1999-02-19,4.884458,4.906460,4.818452,4.840454,186800
1999-02-22,4.862457,4.983468,4.840455,4.983468,129600
1999-02-23,4.983467,4.983467,4.884457,4.917460,156600
1999-02-24,4.928464,5.016472,4.906462,4.939465,119800
1999-02-25,4.939464,4.939464,4.851456,4.895460,113400
1999-02-26,4.895461,4.917463,4.829455,4.851457,145400
1999-03-01,4.840456,4.884460,4.774450,4.807453,149000
1999-03-02,4.796449,4.917460,4.774447,4.917460,165200
1999-03-03,4.895461,5.038474,4.884460,5.038474,126600
1999-03-04,5.038474,5.038474,4.928464,5.005471,127200
1999-03-05,5.027473,5.082478,4.994470,5.038474,81200
1999-03-08,5.038474,5.038474,4.928464,5.005471,160000
1999-03-09,4.972466,4.972466,4.851454,4.917460,142800
1999-03-10,4.917461,4.928462,4.862456,4.906460,261800
1999-03-11,4.928464,5.005471,4.895460,5.005471,301400
1999-03-12,4.983467,5.016470,4.950464,5.016470,258600
1999-03-15,5.027474,5.060477,5.027474,5.049476,117600
1999-03-16,5.038473,5.049474,4.994468,5.027472,267400
1999-03-17,5.038474,5.049475,4.961467,5.005471,111200
1999-03-18,5.005471,5.016472,4.961467,5.005471,172400
1999-03-19,4.939464,4.994469,4.884459,4.972467,222600
1999-03-22,4.983467,4.983467,4.895458,4.917460,177600
1999-03-23,4.928463,4.972467,4.818452,4.895460,212400
1999-03-24,4.884459,5.005471,4.829454,5.005471,571600
1999-03-25,5.016470,5.016470,4.939463,5.016470,90800
1999-03-26,4.994467,5.005469,4.950463,4.961464,220800
1999-03-29,4.950465,4.983468,4.928463,4.972467,361800
1999-03-30,4.950464,4.950464,4.829453,4.829453,156600
1999-03-31,4.829454,4.851456,4.642436,4.686440,423000
1999-04-01,4.730443,4.862456,4.686439,4.796450,163600
1999-04-05,4.840453,4.851454,4.719442,4.785448,166800
1999-04-06,4.774447,4.796449,4.664437,4.763446,214000
1999-04-07,4.774446,4.796448,4.730442,4.752444,243800
1999-04-08,4.763447,4.796450,4.730443,4.796450,118600
1999-04-09,4.796450,4.807451,4.785449,4.796450,147800
1999-04-12,4.785450,4.862458,4.785450,4.851457,179400
1999-04-13,4.862457,4.906461,4.851456,4.873458,275200
1999-04-14,4.884459,4.906461,4.840455,4.873458,177000
1999-04-15,4.873457,4.906460,4.829453,4.884458,197200
1999-04-16,4.884460,4.939465,4.862458,4.939465,199200
1999-04-19,4.939463,5.038473,4.928462,5.027472,212200
1999-04-20,5.038473,5.115480,5.016471,5.093478,230200
1999-04-21,5.093481,5.126484,5.060478,5.126484,158400
1999-04-22,5.115480,5.148483,5.016470,5.060474,851800
1999-04-23,5.049474,5.093478,4.994469,5.093478,418000
1999-04-26,5.093478,5.126481,5.027472,5.093478,612200
1999-04-27,5.104480,5.126482,5.060476,5.115481,4399600
1999-04-28,5.115479,5.272190,5.093092,5.227416,377000
1999-04-29,5.227418,5.227418,5.160257,5.216225,215800
1999-04-30,5.227415,5.260996,5.149060,5.182641,348200
1999-05-03,5.171450,5.205030,5.137869,5.205030,413600
1999-05-04,5.193837,5.193837,5.115482,5.126675,216000
1999-05-05,5.126675,5.149062,5.081900,5.137868,164600
1999-05-06,5.149061,5.182642,5.081900,5.171449,182200
1999-05-07,5.171449,5.193836,5.137868,5.171449,144600
1999-05-10,5.149062,5.182643,5.126675,5.126675,191400
1999-05-11,5.137867,5.171448,5.093093,5.104286,294400
1999-05-12,5.126674,5.149061,5.104286,5.149061,162800
1999-05-13,5.149061,5.350546,5.149061,5.350546,358200
1999-05-14,5.350546,5.350546,5.182642,5.238610,185800
1999-05-17,5.372932,5.372932,5.260995,5.305770,241000
1999-05-18,5.328159,5.350547,5.193836,5.249804,208400
1999-05-19,5.249803,5.294577,5.216222,5.272190,180800
1999-05-20,5.283385,5.294578,5.249804,5.249804,155400
1999-05-21,5.249803,5.305771,5.249803,5.272190,196400
1999-05-24,5.272187,5.406511,5.272187,5.395317,254200
1999-05-25,5.417704,5.473672,5.395317,5.395317,234000
1999-05-26,5.428903,5.451290,5.406516,5.440096,109200
1999-05-27,5.417707,5.428901,5.294578,5.384127,152000
1999-05-28,5.372933,5.440095,5.361740,5.406514,296600
1999-06-01,5.372934,5.384127,5.316966,5.350546,152600
1999-06-02,5.361738,5.361738,5.316963,5.339351,146000
1999-06-03,5.316964,5.350544,5.294576,5.305770,205000
1999-06-04,5.339351,5.372932,5.339351,5.372932,108800
1999-06-07,5.372930,5.395317,5.350543,5.395317,249600
1999-06-08,5.372933,5.384126,5.283384,5.294578,225400
1999-06-09,5.328159,5.384127,5.305772,5.361740,127000
1999-06-10,5.361738,5.361738,5.294576,5.339351,176600
1999-06-11,5.316964,5.350544,5.294576,5.305770,92400
1999-06-14,5.372933,5.417708,5.350546,5.406514,168400
1999-06-15,5.440096,5.473676,5.428902,5.451289,249800
1999-06-16,5.484869,5.529644,5.406514,5.406514,188800
1999-06-17,5.406514,5.451288,5.316965,5.384127,289400
1999-06-18,5.384128,5.440096,5.384128,5.440096,262200
1999-06-21,5.428901,5.440095,5.294578,5.384127,68800
1999-06-22,5.350547,5.395321,5.294578,5.361740,203800
1999-06-23,5.350545,5.350545,5.272190,5.316965,142800
1999-06-24,5.260996,5.305771,5.238609,5.283383,346600
1999-06-25,5.283384,5.316965,5.260996,5.272190,102400
1999-06-28,5.305772,5.361740,5.294578,5.361740,90400
1999-06-29,5.350546,5.361740,5.227417,5.350546,153800
1999-06-30,5.328159,5.328159,5.048318,5.081899,557200
1999-07-01,5.182643,5.260999,5.115482,5.205030,328800
1999-07-02,5.182642,5.249804,5.160255,5.249804,177800
1999-07-06,5.227418,5.238611,5.171450,5.205030,150600
1999-07-07,5.205028,5.249803,5.205028,5.227416,91200
1999-07-08,5.227416,5.316965,5.216222,5.294578,176800
1999-07-09,5.294577,5.294577,5.249803,5.272190,266800
1999-07-12,5.283385,5.283385,5.216223,5.249804,125200
1999-07-13,5.227416,5.238609,5.193835,5.227416,136400
1999-07-14,5.216223,5.249804,5.205029,5.238610,76400
1999-07-15,5.249803,5.316965,5.205029,5.316965,398800
1999-07-16,5.316966,5.316966,5.216223,5.238610,91000
1999-07-19,5.249803,5.305771,5.216222,5.294578,262400
1999-07-20,5.283383,5.305770,5.283383,5.305770,94800
1999-07-21,5.305770,5.339351,5.283383,5.339351,177600
1999-07-22,5.339353,5.372934,5.260998,5.361740,140600
1999-07-23,5.361740,5.361740,5.294578,5.350546,145800
1999-07-26,5.350547,5.372934,5.316966,5.361740,92800
1999-07-27,5.372934,5.384127,5.328159,5.350546,159600
1999-07-28,5.339161,5.339161,5.236704,5.248088,3707800
1999-07-29,5.213937,5.213937,5.145632,5.179784,161000
