date,open,high,low,close,volume
1999-01-04,5.279878,5.625800,5.261671,5.534768,4215300
1999-01-05,5.753246,7.428242,5.716834,7.355416,16419000
1999-01-06,7.610308,8.120090,7.573895,7.901612,11574900
1999-01-07,7.573892,8.047259,7.537479,7.737750,4349100
1999-01-08,7.865198,8.192915,7.537482,7.938024,3132600
1999-01-11,8.010848,8.775520,7.938021,8.593454,4443300
1999-01-12,8.702693,8.739106,8.265738,8.593454,2723100
1999-01-13,8.229326,8.575249,7.974435,8.374977,3560700
1999-01-14,8.393182,8.411389,7.719542,7.792369,1409400
1999-01-15,7.901610,8.411391,7.792371,8.283946,2249700
1999-01-19,8.338564,8.374977,7.755957,7.865196,2417100
1999-01-20,8.010849,8.575250,7.938023,8.265739,2580000
1999-01-21,8.156498,8.229325,7.646717,7.755956,2019600
1999-01-22,7.719544,7.719544,7.501066,7.646718,999600
1999-01-25,7.628512,8.429596,7.573892,8.429596,4162500
1999-01-26,8.520627,9.030408,8.302149,9.030408,5798400
1999-01-27,8.993997,9.012203,8.702693,8.939378,5150700
1999-01-28,9.212476,9.977148,9.176063,9.412746,11186700
1999-01-29,10.268451,11.433665,10.195625,11.178775,15267900
1999-02-01,11.142362,11.215187,10.741820,10.832851,5868900
1999-02-02,10.668994,10.741820,10.159213,10.505136,3551700
1999-02-03,10.268450,11.051328,10.232037,10.486928,3987600
1999-02-04,10.432310,10.814646,10.250246,10.741820,3917100
1999-02-05,10.632578,11.142359,9.977145,10.213829,4151400
1999-02-08,10.778234,11.069538,10.341279,10.760028,4214100
1999-02-09,10.778231,10.887469,9.831494,9.831494,3206100
1999-02-10,9.795082,10.213831,9.467365,9.940734,2320200
1999-02-11,10.049973,10.414103,9.613018,9.995354,4710000
1999-02-12,9.758670,10.323071,9.576605,10.177419,3763500
1999-02-16,10.450515,11.142361,10.268450,10.960297,6492000
1999-02-17,10.778232,11.324426,10.323070,10.559754,3728400
1999-02-18,10.650786,10.851058,10.195625,10.450515,2061000
1999-02-19,10.559754,10.596167,10.122799,10.195625,2860800
1999-02-22,10.177417,10.450514,9.813288,10.250243,2717400
1999-02-23,10.323068,10.614371,10.122797,10.232036,2340000
1999-02-24,10.232036,10.668991,10.122797,10.250243,2151600
1999-02-25,10.195621,10.632576,9.631220,9.813285,2412000
1999-02-26,9.685844,9.685844,8.247533,8.611663,5375100
1999-03-01,8.593454,9.030409,8.083673,8.884758,3969600
1999-03-02,9.012204,9.394540,8.520630,8.629869,3173100
1999-03-03,8.739108,8.921172,8.156500,8.520630,2648400
1999-03-04,8.484216,8.921171,8.466009,8.557042,3303600
1999-03-05,8.811930,9.303505,8.666279,9.230680,2476500
1999-03-08,9.248888,10.141006,9.230682,10.049973,4145100
1999-03-09,9.995356,10.577963,8.848348,8.848348,5279400
1999-03-10,9.030409,10.177416,8.993996,10.122797,5551500
1999-03-11,10.159213,10.450516,9.321715,9.521986,3276000
1999-03-12,9.576602,9.940732,9.412744,9.613015,2282100
1999-03-15,9.613019,9.849703,9.339922,9.467367,1492800
1999-03-16,9.540191,10.232036,9.467365,9.831494,2258400
1999-03-17,9.795083,10.268451,9.776876,10.049973,1562700
1999-03-18,9.940732,9.977145,9.521983,9.613015,1116000
1999-03-19,9.831493,9.904318,9.212473,9.339918,2445000
1999-03-22,9.248888,9.503779,8.739107,8.993998,2728800
1999-03-23,8.957586,9.012205,8.320359,8.502424,2090400
1999-03-24,8.520630,8.666282,8.047261,8.466010,4071600
1999-03-25,8.702694,9.066823,8.611662,8.921171,2396700
1999-03-26,8.848346,8.866552,8.302151,8.447803,1404300
1999-03-29,8.484216,9.157856,8.447804,9.157856,1939200
1999-03-30,8.957584,9.512882,8.793726,9.066823,1879800
1999-03-31,9.176062,9.176062,8.447803,8.447803,2756100
1999-04-01,9.030408,10.486926,8.775518,9.849699,16073700
1999-04-05,9.977146,10.049972,9.394539,9.795081,3303000
1999-04-06,9.740463,10.232037,9.248888,9.321714,3810300
1999-04-07,9.631225,9.849702,9.303508,9.394541,2266500
1999-04-08,9.303509,9.626674,8.921173,9.467367,2059200
1999-04-09,9.467365,9.594811,9.066823,9.376333,1044000
1999-04-12,8.939378,9.576604,8.811932,9.103236,2526900
1999-04-13,9.066823,9.212475,8.265738,8.374977,2276100
1999-04-14,8.557042,9.321714,8.557042,8.593454,3162000
1999-04-15,8.866552,9.248888,8.447804,9.139649,1703700
1999-04-16,8.975793,8.994000,8.666283,8.848348,868200
1999-04-19,8.921172,9.121444,8.338565,8.484217,2778300
1999-04-20,8.466007,8.666278,7.974432,8.174704,2544900
1999-04-21,8.338563,9.394538,8.320356,9.230680,3154800
1999-04-22,9.394540,9.977147,8.957584,9.940734,2762100
1999-04-23,10.122800,10.778233,10.122800,10.614375,8243100
1999-04-26,10.705407,11.142362,9.904322,9.977148,1687200
1999-04-27,10.122800,10.159213,9.321715,9.521986,2023800
1999-04-28,9.467365,9.867908,9.285301,9.540192,2418600
1999-04-29,9.394540,9.430954,9.030411,9.139649,2484000
1999-04-30,9.285299,9.394538,8.629867,9.176061,1805400
1999-05-03,9.285300,9.321713,9.030409,9.121442,1170300
1999-05-04,9.066823,9.285300,8.866551,8.939378,2657700
1999-05-05,8.902964,9.940733,8.811932,9.795081,2529000
1999-05-06,9.685841,10.049970,9.449157,9.613015,1536900
1999-05-07,9.540192,9.913424,9.321714,9.430953,1966200
1999-05-10,9.321712,9.339919,8.648073,8.775518,4000200
1999-05-11,8.811933,8.884759,8.429597,8.466010,3298500
1999-05-12,8.666281,9.066823,8.447803,8.902965,3226500
1999-05-13,9.103239,9.521987,9.012206,9.248890,2601000
1999-05-14,9.103237,9.176062,8.848346,8.975791,1803000
1999-05-17,8.666280,8.884757,8.447802,8.775518,2546100
1999-05-18,8.775520,9.176062,8.739106,8.866551,2133900
1999-05-19,9.212476,9.503780,9.030411,9.394541,3835200
1999-05-20,9.285303,9.394542,8.994000,9.248890,1255800
1999-05-21,9.212475,9.267094,8.848345,8.902965,2325600
1999-05-24,8.811933,8.848346,8.211120,8.283946,3229200
1999-05-25,8.374978,8.593455,8.029055,8.156500,3935100
1999-05-26,8.192915,8.302154,7.592101,7.901612,3189000
1999-05-27,7.865195,8.374975,7.719542,8.029053,1684200
1999-05-28,8.047260,8.229326,7.938021,8.083673,918000
1999-06-01,8.010849,8.374978,7.865197,8.229327,4222200
1999-06-02,8.229326,8.666281,8.229326,8.557042,2555100
1999-06-03,8.557042,8.557042,8.338565,8.374977,1906800
1999-06-04,8.447805,8.921173,8.447805,8.848348,1800900
1999-06-07,8.884758,8.993996,8.775519,8.830138,1839600
1999-06-08,8.993998,9.321714,8.848346,9.285301,2006100
1999-06-09,9.321715,10.232039,9.212477,10.159213,5655900
1999-06-10,10.159213,10.486929,9.722257,10.341277,5677500
1999-06-11,10.323069,10.523340,10.122797,10.250243,4330200
1999-06-14,10.232039,10.632582,10.232039,10.432310,3072300
1999-06-15,10.450516,10.614374,9.867909,10.049973,2346600
1999-06-16,10.104592,10.486928,10.086386,10.486928,3395400
1999-06-17,10.377690,11.415459,10.377690,11.397253,6336000
1999-06-18,11.688556,12.016273,11.652143,11.797795,8931300
1999-06-21,11.834207,12.489640,11.761381,12.343988,4017900
1999-06-22,12.307574,12.617084,11.943445,12.089096,2909400
1999-06-23,11.961657,12.307580,11.542908,12.252960,2602200
1999-06-24,12.125512,12.234750,11.797795,11.870621,4467000
1999-06-25,11.870620,12.161925,11.834208,12.052686,1875900
1999-06-28,11.961651,12.507845,11.961651,12.471432,1466700
1999-06-29,12.343988,13.254312,12.343988,13.108660,5804100
1999-06-30,13.035834,13.691267,12.926595,13.600234,3722400
1999-07-01,13.618442,13.618442,12.544261,12.817358,2949300
1999-07-02,12.871977,13.035835,12.708118,12.981215,1817400
1999-07-06,12.999421,13.509202,12.853769,13.035834,2632200
1999-07-07,13.035833,13.035833,12.343987,12.471432,1958400
1999-07-08,12.598879,13.399964,12.507847,13.290725,3357900
1999-07-09,13.308931,13.327137,13.035834,13.108660,918300
1999-07-12,13.327138,13.745887,12.999422,13.181486,2352600
1999-07-13,13.017627,13.145073,12.799150,13.035834,3272400
1999-07-14,13.199696,14.565183,13.199696,14.528769,11198100
1999-07-15,14.419523,14.474143,13.909742,14.383109,4428300
1999-07-16,14.346702,15.165993,14.273874,14.911101,4605300
1999-07-19,14.783659,15.002136,14.237464,14.292084,2247900
1999-07-20,14.237460,14.237460,13.654852,14.164632,3776700
1999-07-21,14.146430,14.419527,13.800507,13.946158,992400
1999-07-22,13.836918,13.891537,13.199692,13.327137,2938800
1999-07-23,13.399964,13.800507,13.381758,13.782300,1444200
1999-07-26,13.782302,13.927954,12.762739,13.054043,3057000
1999-07-27,13.254312,14.018985,13.217899,13.582028,3092400
1999-07-28,13.563822,14.164635,13.436377,14.055396,1800900
1999-07-29,13.873331,14.510558,13.381756,13.509201,4113300
