date,open,high,low,close,volume
1999-01-04,6.149669,6.200493,6.132728,6.183552,43000
1999-01-05,6.200494,6.217436,6.166612,6.200494,27300
1999-01-06,6.217435,6.268259,6.200494,6.217435,168000
1999-01-07,6.234379,6.234379,6.183556,6.234379,34600
1999-01-08,6.234377,6.285200,6.200494,6.217435,59100
1999-01-11,6.251317,6.302141,6.200494,6.268259,90800
1999-01-12,6.285201,6.302143,6.234378,6.302143,78700
1999-01-13,6.251322,6.488499,6.251322,6.403793,56100
1999-01-14,6.403790,6.454614,6.352966,6.420731,50100
1999-01-15,6.403793,6.403793,6.352969,6.403793,27000
1999-01-19,6.437673,6.471556,6.369908,6.471556,48800
1999-01-20,6.492386,6.492386,6.388230,6.440308,41100
1999-01-21,6.457667,6.457667,6.388229,6.422948,35300
1999-01-22,6.440308,6.475026,6.422948,6.440308,42500
1999-01-25,6.457665,6.544462,6.457665,6.527102,26200
1999-01-26,6.544463,6.561822,6.422948,6.422948,27900
1999-01-27,6.422949,6.544465,6.422949,6.509746,46400
1999-01-28,6.509745,6.527104,6.422948,6.440308,18800
1999-01-29,6.475026,6.475026,6.405589,6.440308,21200
1999-02-01,6.492385,6.492385,6.388229,6.422948,32000
1999-02-02,6.405589,6.457667,6.388229,6.422948,24200
1999-02-03,6.492385,6.561823,6.353511,6.388229,50600
1999-02-04,6.388229,6.388229,6.318792,6.353511,35600
1999-02-05,6.370871,6.388231,6.318793,6.336153,50300
1999-02-08,6.388228,6.388228,6.284072,6.301431,20500
1999-02-09,6.318791,6.318791,6.284073,6.318791,40000
1999-02-10,6.318795,6.336154,6.249357,6.249357,41600
1999-02-11,6.266711,6.318789,6.214633,6.231993,26500
1999-02-12,6.249356,6.249356,6.110481,6.197278,29300
1999-02-16,6.231993,6.231993,6.162556,6.162556,42700
1999-02-17,6.197278,6.214637,6.179918,6.179918,19000
1999-02-18,6.231996,6.249355,6.179918,6.214636,29300
1999-02-19,6.214637,6.214637,6.145200,6.179918,27400
1999-02-22,6.162558,6.353510,6.162558,6.318791,67500
1999-02-23,6.318790,6.318790,6.249353,6.301431,16700
1999-02-24,6.301432,6.301432,6.249354,6.284073,29800
1999-02-25,6.284076,6.284076,6.231998,6.249357,41300
1999-02-26,6.266715,6.266715,6.145200,6.179918,31000
1999-03-01,6.179917,6.318792,6.145198,6.284073,75900
1999-03-02,6.266715,6.336153,6.266715,6.336153,23300
1999-03-03,6.388229,6.388229,6.318791,6.318791,29400
1999-03-04,6.388231,6.388231,6.266715,6.336153,45300
1999-03-05,6.405589,6.440308,6.388230,6.440308,12900
1999-03-08,6.509743,6.561821,6.422946,6.475024,38100
1999-03-09,6.544465,6.700699,6.457668,6.631261,43500
1999-03-10,6.631258,6.665977,6.527102,6.648617,22300
1999-03-11,6.665980,6.665980,6.492387,6.509746,10600
1999-03-12,6.509745,6.509745,6.370870,6.440308,15700
1999-03-15,6.475028,6.527106,6.318795,6.370872,14300
1999-03-16,6.370871,6.370871,6.162559,6.179918,48100
1999-03-17,6.110480,6.249355,6.110480,6.214636,34900
1999-03-18,6.231996,6.231996,6.075762,6.093122,29000
1999-03-19,6.093118,6.214634,6.093118,6.162556,22900
1999-03-22,6.214637,6.214637,6.093122,6.127841,181200
1999-03-23,6.145199,6.145199,5.936887,5.988965,54400
1999-03-24,5.971605,5.971605,5.832730,5.884808,79900
1999-03-25,5.902167,5.902167,5.884808,5.884808,16500
1999-03-26,5.902168,6.162558,5.832731,5.832731,55100
1999-03-29,5.832731,5.850090,5.798012,5.832731,61100
1999-03-30,5.884810,6.162559,5.884810,6.023685,25200
1999-03-31,6.075761,6.197277,5.936887,5.936887,47400
1999-04-01,6.006325,6.075762,5.884809,6.075762,18700
1999-04-05,6.110480,6.179918,6.075762,6.075762,22500
1999-04-06,6.145199,6.214637,6.075762,6.093122,8600
1999-04-07,6.058403,6.162559,6.041044,6.127841,24500
1999-04-08,6.145199,6.162559,6.075762,6.145199,40500
1999-04-09,6.127842,6.249357,6.110483,6.249357,29100
1999-04-12,6.249353,6.527102,6.179916,6.527102,46500
1999-04-13,6.388232,6.631262,6.353513,6.561825,53200
1999-04-14,6.596542,6.700698,6.544464,6.596542,53300
1999-04-15,6.631263,6.700700,6.544466,6.700700,49500
1999-04-16,6.665979,6.874291,6.648620,6.804853,53100
1999-04-19,6.804852,6.943727,6.787493,6.839571,64100
1999-04-20,6.839575,6.891653,6.752778,6.891653,41600
1999-04-21,6.859662,6.859662,6.753035,6.806349,49800
1999-04-22,6.824119,6.966288,6.824119,6.966288,57900
1999-04-23,7.001830,7.037372,6.859661,6.912974,41700
1999-04-26,6.912976,6.948518,6.841891,6.841891,17200
1999-04-27,6.859659,6.948515,6.841888,6.895201,11100
1999-04-28,6.930748,6.966290,6.841892,6.930748,37300
1999-04-29,7.001830,7.001830,6.681950,6.753034,76700
1999-04-30,6.788577,6.859661,6.753034,6.770805,46100
1999-05-03,6.824120,6.895205,6.788578,6.806349,27200
1999-05-04,6.788579,6.859664,6.557554,6.646410,50400
1999-05-05,6.628637,6.628637,6.326527,6.362070,57700
1999-05-06,6.433154,6.575324,6.415383,6.575324,61800
1999-05-07,6.557553,6.806349,6.557553,6.806349,25900
1999-05-10,6.859662,6.859662,6.735264,6.806349,28100
1999-05-11,6.806350,6.859664,6.610868,6.646410,44100
1999-05-12,6.717492,6.824119,6.557552,6.593094,62100
1999-05-13,6.788578,6.824120,6.610866,6.699722,65100
1999-05-14,6.699722,6.788578,6.646408,6.699722,13100
1999-05-17,6.717492,6.788576,6.681950,6.753034,18000
1999-05-18,6.717493,6.788578,6.681951,6.699722,69900
1999-05-19,6.735266,6.806350,6.717494,6.717494,55500
1999-05-20,6.770805,6.788576,6.717492,6.735263,39900
1999-05-21,6.770805,6.788576,6.699721,6.735263,14700
1999-05-24,6.753034,6.770805,6.664178,6.664178,18300
1999-05-25,6.646407,6.646407,6.539780,6.557551,18900
1999-05-26,6.593098,6.646412,6.539785,6.610869,18000
1999-05-27,6.646407,6.646407,6.539781,6.539781,29900
1999-05-28,6.539783,6.539783,6.468698,6.468698,18500
1999-06-01,6.486466,6.486466,6.344297,6.344297,27100
1999-06-02,6.344297,6.362069,6.255442,6.273213,23100
1999-06-03,6.415384,6.504239,6.290986,6.308757,44400
1999-06-04,6.344297,6.344297,6.290984,6.344297,88100
1999-06-07,6.415385,6.539783,6.326529,6.468698,17300
1999-06-08,6.504240,6.593096,6.450927,6.522011,20100
1999-06-09,6.539781,6.575324,6.486468,6.504239,30600
1999-06-10,6.539780,6.593093,6.522009,6.557551,19300
1999-06-11,6.593094,6.610865,6.504238,6.539781,17700
1999-06-14,6.575323,6.575323,6.504238,6.539781,6600
1999-06-15,6.575325,6.646409,6.522011,6.522011,19400
1999-06-16,6.575323,6.593094,6.504238,6.593094,27000
1999-06-17,6.593096,6.593096,6.308757,6.326529,82800
1999-06-18,6.326529,6.397613,6.255444,6.326529,144400
1999-06-21,6.362071,6.468698,6.362071,6.415385,76100
1999-06-22,6.415384,6.415384,6.326529,6.326529,38400
1999-06-23,6.290986,6.379842,6.290986,6.326529,164300
1999-06-24,6.326529,6.415385,6.308758,6.397614,23800
1999-06-25,6.415385,6.486469,6.397614,6.397614,36200
1999-06-28,6.397611,6.557551,6.397611,6.557551,42000
1999-06-29,6.539780,6.664178,6.539780,6.628636,29000
1999-06-30,6.646408,6.681950,6.575324,6.575324,25500
1999-07-01,6.575325,6.575325,6.326529,6.415385,54600
1999-07-02,6.450927,6.450927,6.379842,6.415385,10900
1999-07-06,6.379842,6.450927,6.379842,6.397614,17900
1999-07-07,6.433156,6.468698,6.290987,6.468698,30100
1999-07-08,6.433154,6.486468,6.362070,6.486468,15400
1999-07-09,6.397612,6.504239,6.397612,6.504239,15900
