date,open,high,low,close,volume
1999-01-04,14.809842,14.809842,14.331076,14.394912,1130603
1999-01-05,14.426829,14.682171,14.299157,14.490664,691107
1999-01-06,14.386852,14.867481,14.386852,14.707271,921325
1999-01-07,14.675220,14.739304,14.515010,14.643178,1027386
1999-01-08,14.867477,15.251981,14.643183,15.251981,2517597
1999-01-11,15.187898,15.380151,15.091773,15.284024,3280057
1999-01-12,15.219944,15.251986,14.835440,15.187901,1475531
1999-01-13,15.187895,15.187895,14.771349,14.867475,1195355
1999-01-14,14.771344,14.803387,14.034380,14.098463,1211060
1999-01-15,14.515012,14.739306,14.258678,14.739306,989377
1999-01-19,14.739307,14.803391,14.322761,14.515013,937143
1999-01-20,14.611136,14.803388,14.354800,14.643178,1278088
1999-01-21,14.835435,15.059729,14.579099,14.963603,1074727
1999-01-22,14.963604,15.604443,14.739310,15.412191,846900
1999-01-25,15.348107,15.764652,15.251981,15.251981,1214132
1999-01-26,15.251973,15.732602,15.251973,15.604434,711933
1999-01-27,15.668526,16.020987,15.668526,15.764651,847810
1999-01-28,15.636485,16.181198,15.636485,16.181198,1117288
1999-01-29,16.309367,16.629787,16.020989,16.533661,932363
1999-02-01,16.565701,16.597744,16.149157,16.213240,608147
1999-02-02,16.085073,16.597745,15.956905,16.533661,866815
1999-02-03,16.341409,16.469576,16.020988,16.469576,1070630
1999-02-04,16.501611,16.597737,16.149150,16.277317,1022834
1999-02-05,16.245282,16.437534,16.181198,16.181198,640580
1999-02-08,16.085071,16.213239,15.508316,15.764651,507889
1999-02-09,15.700570,15.700570,15.219941,15.284024,1024541
1999-02-10,15.219942,15.444235,14.963606,15.059731,848607
1999-02-11,15.251978,15.668524,15.187894,15.636482,649570
1999-02-12,15.508318,15.764654,15.091772,15.732613,752901
1999-02-16,16.020987,16.117113,15.380148,15.700567,598816
1999-02-17,15.700575,15.924870,14.803400,14.803400,768947
1999-02-18,15.091767,15.091767,14.450929,14.482970,1254873
1999-02-19,14.611142,15.316066,14.322764,14.995646,1784384
1999-02-22,15.059733,15.444236,15.027691,15.316069,1392684
1999-02-23,15.284025,15.284025,14.931563,15.059731,1158598
1999-02-24,15.155853,15.284020,14.450930,14.515013,1159736
1999-02-25,14.547050,14.675217,13.137203,13.970294,2705367
1999-02-26,13.938263,13.938263,13.233339,13.457633,2121687
1999-03-01,13.585797,13.778050,13.233336,13.681923,1872920
1999-03-02,13.970303,14.034387,13.713967,13.938261,1882707
1999-03-03,13.842132,13.938258,13.553754,13.713964,1096804
1999-03-04,13.649876,13.810085,13.521708,13.746001,953758
