date,open,high,low,close,volume
1999-01-04,3.157150,3.232320,3.157150,3.232320,3207600
1999-01-05,3.210841,3.345074,3.194733,3.328966,4517775
1999-01-06,3.377292,3.629650,3.371923,3.511525,8255250
1999-01-07,3.436353,3.565216,3.366552,3.371922,3993300
1999-01-08,3.409508,3.533002,3.404138,3.500786,5643000
1999-01-11,3.516894,3.640388,3.490047,3.500786,2598750
1999-01-12,3.500785,3.522262,3.366552,3.414876,1626075
1999-01-13,3.307491,3.500785,3.243059,3.436354,6483375
1999-01-14,3.473938,3.565216,3.388030,3.414876,4118175
1999-01-15,2.920902,3.081982,2.792039,3.017550,26545725
1999-01-19,3.017549,3.017549,2.856470,2.867208,8035200
1999-01-20,2.867208,3.012179,2.802777,2.813515,6282900
1999-01-21,2.808147,2.813516,2.621563,2.679283,8430075
1999-01-22,2.641697,2.641697,2.566527,2.593373,9353475
1999-01-25,2.593373,2.652435,2.566527,2.641697,2740500
1999-01-26,2.716868,2.813516,2.663175,2.749084,5678100
1999-01-27,2.781299,2.802776,2.625589,2.625589,6518475
1999-01-28,2.620220,2.636327,2.555788,2.625589,3110400
1999-01-29,2.657806,2.657806,2.459142,2.480619,6742575
1999-02-01,2.496726,2.673913,2.491356,2.657805,10554975
1999-02-02,2.759822,2.979963,2.754452,2.947747,10613700
1999-02-03,2.920900,2.953116,2.845730,2.904792,3437775
1999-02-04,2.910163,2.920901,2.684652,2.684652,3523500
1999-02-05,2.743713,2.749082,2.571895,2.706128,4887000
1999-02-08,2.813514,2.834991,2.636327,2.652435,4222125
1999-02-09,2.663174,2.673913,2.491356,2.496726,7867800
1999-02-10,2.502096,2.609481,2.491357,2.577266,3560625
1999-02-11,2.609481,2.647066,2.566527,2.620220,4381425
1999-02-12,2.523573,2.561158,2.448403,2.480619,3280500
1999-02-16,2.577265,2.588004,2.298062,2.330278,4363875
1999-02-17,2.233630,2.464510,2.185307,2.362494,5389875
1999-02-18,2.383969,2.588003,2.341015,2.448401,7105725
1999-02-19,2.512833,2.545049,2.437663,2.459140,2467125
1999-02-22,2.491356,2.695389,2.469879,2.630958,3991950
1999-02-23,2.630959,2.652436,2.523573,2.561158,2303100
1999-02-24,2.561158,2.630959,2.534311,2.534311,2220750
1999-02-25,2.528941,2.528941,2.346385,2.405447,2874150
1999-02-26,2.405447,2.405447,2.298061,2.341016,2418525
1999-03-01,2.341016,2.512834,2.319539,2.469880,3147525
1999-03-02,2.464510,2.502095,2.324908,2.335647,2089800
1999-03-03,2.383970,2.405447,2.319539,2.335647,1743525
1999-03-04,2.367861,2.459139,2.341014,2.443031,2639250
1999-03-05,2.716868,2.770561,2.604113,2.749084,7080075
1999-03-08,2.824254,2.920901,2.802777,2.899424,7192800
1999-03-09,2.937009,3.157150,2.899424,2.942378,10696050
1999-03-10,2.996071,3.028286,2.926270,3.006809,4805325
1999-03-11,3.049763,3.071240,2.738344,2.781298,7493850
1999-03-12,2.781298,2.845730,2.749083,2.770560,5501925
1999-03-15,2.759821,2.792037,2.749083,2.770560,7077375
1999-03-16,2.754453,2.899424,2.711499,2.888685,4885650
1999-03-17,2.963855,3.087349,2.931640,3.076611,7117200
1999-03-18,3.006810,3.028287,2.840361,2.958486,4225500
1999-03-19,2.958485,2.969223,2.867206,2.872576,5115150
1999-03-22,2.888683,2.910161,2.786667,2.808144,3568725
1999-03-23,2.802776,2.813515,2.716867,2.759822,2365875
1999-03-24,2.749083,2.883315,2.749083,2.856469,2016225
1999-03-25,2.942378,3.039025,2.910162,3.006809,4501575
1999-03-26,3.006809,3.124934,2.985332,3.033655,3051675
1999-03-29,3.017548,3.130303,3.017548,3.081980,2718225
1999-03-30,3.081980,3.092718,2.985332,3.006809,2710800
1999-03-31,3.028286,3.039025,2.942377,2.974593,2876850
1999-04-01,2.985332,3.098088,2.979963,3.092718,3120525
1999-04-05,3.114194,3.243058,3.071240,3.108825,6999075
1999-04-06,3.103456,3.167888,3.049763,3.114194,4426650
1999-04-07,3.124933,3.141041,3.006808,3.114194,3089475
1999-04-08,3.114195,3.114195,2.985332,3.060502,2203875
1999-04-09,3.071242,3.146412,3.017549,3.098089,2717550
1999-04-12,2.990701,3.060502,2.920900,3.001440,3593025
1999-04-13,3.033655,3.039025,2.937008,2.969223,2025675
1999-04-14,2.985332,3.028286,2.899423,2.910162,3086775
1999-04-15,2.926270,3.017548,2.920901,2.990701,2655450
1999-04-16,3.006809,3.028286,2.942377,2.974593,2587275
1999-04-19,2.979962,3.114195,2.953116,2.979962,2949075
1999-04-20,3.017547,3.017547,2.834991,2.920900,3643650
1999-04-21,2.920900,3.167888,2.867207,3.092718,6190425
1999-04-22,3.114195,3.248428,3.092718,3.221581,2964600
