date,open,high,low,close,volume
1999-01-04,9.377169,9.377169,8.930638,8.980252,936400
1999-01-05,8.980250,9.129094,8.881021,8.930635,1714000
1999-01-06,8.930638,9.277941,8.930638,9.079482,1068600
1999-01-07,9.079484,9.228328,9.029869,9.228328,794400
1999-01-08,9.228330,9.426788,9.178715,9.426788,842400
1999-01-11,9.377169,9.377169,9.228325,9.327555,937000
1999-01-12,9.327555,9.327555,8.980252,8.980252,1088600
1999-01-13,8.930637,8.930637,8.732179,8.881022,1309400
1999-01-14,8.881021,9.029865,8.732177,8.930635,1510400
1999-01-15,8.930638,9.079482,8.930638,9.079482,682200
1999-01-19,9.079483,9.228327,8.831409,9.178712,874000
1999-01-20,9.178711,9.526013,9.079481,9.327555,864600
1999-01-21,9.327554,9.377169,9.129095,9.377169,676200
1999-01-22,9.377169,9.426784,9.228325,9.277940,883000
1999-01-25,9.228328,9.228328,8.930640,9.228328,1685600
1999-01-26,9.228327,9.277941,9.178712,9.178712,812000
1999-01-27,9.178711,9.277941,8.980253,9.079482,1629000
1999-01-28,9.079481,9.178710,8.881022,8.881022,1476000
1999-01-29,8.881023,9.079482,8.881023,9.079482,2794200
1999-02-01,9.079479,9.079479,8.881021,8.930635,1757400
1999-02-02,8.930635,8.980250,8.831406,8.930635,1439400
1999-02-03,8.930641,8.930641,8.781797,8.831411,1248800
1999-02-04,9.079484,9.228328,9.079484,9.129099,1329200
1999-02-05,9.129097,9.178712,8.980253,9.178712,1684000
1999-02-08,9.178710,9.377169,9.129095,9.377169,2020600
1999-02-09,9.377170,9.724473,9.377170,9.526014,2016400
1999-02-10,9.476398,9.476398,9.079481,9.476398,1747600
1999-02-11,9.476398,9.476398,9.327554,9.377169,878400
1999-02-12,9.377172,9.426786,9.079484,9.228328,781000
1999-02-16,9.228328,9.277942,9.178713,9.228328,1400400
1999-02-17,9.228327,9.228327,8.980253,9.029868,2035200
1999-02-18,9.029866,9.377169,9.029866,9.377169,2493400
1999-02-19,9.377170,9.724473,9.178712,9.526014,2076000
1999-02-22,9.575629,9.972546,9.575629,9.922932,1810800
1999-02-23,9.922935,9.922935,9.526018,9.674862,945800
1999-02-24,9.674860,10.220622,9.575631,9.774090,1255400
1999-02-25,9.774090,10.567925,9.774090,10.518311,1920800
1999-02-26,10.419077,10.419077,10.121389,10.220618,1381600
1999-03-01,10.369464,10.667152,10.369464,10.617537,1960600
1999-03-02,10.617537,10.865610,10.518308,10.716766,2643600
1999-03-03,10.716772,10.865616,10.716772,10.816001,1914600
1999-03-04,10.815996,10.865610,10.667152,10.716766,1548000
1999-03-05,10.716765,10.865609,10.716765,10.865609,1285200
1999-03-08,10.865609,10.915224,10.716765,10.865609,1160400
1999-03-09,10.865609,10.964838,10.815995,10.865609,865800
1999-03-10,10.865605,11.014449,10.815990,10.964834,828400
1999-03-11,10.964845,11.014460,10.766386,10.816001,1331400
1999-03-12,10.815994,10.964838,10.518306,10.915223,2434400
1999-03-15,10.915223,10.964838,10.716765,10.915223,1205000
1999-03-16,10.915224,10.964838,10.815995,10.865609,1524200
1999-03-17,10.865616,10.964845,10.667157,10.816001,1572000
1999-03-18,10.816001,10.964845,10.518313,10.816001,1227600
1999-03-19,10.815990,11.014449,10.716761,10.964834,1672600
1999-03-22,10.964838,11.014453,10.815995,10.865609,977000
1999-03-23,10.865609,10.865609,10.220619,10.319848,919200
1999-03-24,10.369460,10.518304,10.369460,10.468689,1160400
1999-03-25,10.468697,10.667155,10.419082,10.667155,1160000
1999-03-26,10.667155,10.667155,10.369467,10.667155,859600
1999-03-29,10.667157,10.964845,10.617542,10.816001,1144600
1999-03-30,10.716766,10.716766,10.419078,10.419078,1064600
1999-03-31,10.419079,10.865611,10.419079,10.617537,1141200
1999-04-01,10.617542,10.816001,10.270239,10.816001,1530000
1999-04-05,10.815995,10.964838,10.766380,10.865609,1293400
1999-04-06,10.865613,10.865613,10.518311,10.518311,764200
