date,open,high,low,close,volume
1999-01-04,25.063772,25.127011,24.536779,24.642178,4834200
1999-01-05,24.283814,24.494611,24.157336,24.473532,4586000
1999-01-06,24.453279,24.579871,24.157898,24.263391,4995400
1999-01-07,24.263388,24.305585,23.989106,24.200092,4542200
1999-01-08,24.242293,24.453279,24.157898,24.263391,4570200
1999-01-11,24.242296,24.242296,23.546043,23.757029,4619800
1999-01-12,23.714829,23.968013,23.419449,23.503843,3943800
1999-01-13,22.955282,23.651536,22.849789,23.292860,4108000
1999-01-14,23.799231,23.799231,23.482752,23.588245,4731800
1999-01-15,23.567131,24.094596,23.524934,24.052399,5299800
1999-01-19,24.221204,24.284500,23.546048,23.588245,5981600
1999-01-20,23.630440,23.693736,23.524947,23.630440,3914400
1999-01-21,23.461645,23.461645,22.891982,23.271757,6572400
1999-01-22,23.250656,23.250656,22.870881,22.913078,5011000
1999-01-25,22.891989,23.672637,22.807594,23.630440,7056000
1999-01-26,23.609339,23.946917,23.588240,23.946917,7194200
1999-01-27,24.136807,24.769765,24.094609,24.474384,11046800
1999-01-28,24.643174,25.824696,24.558780,25.529316,14339400
1999-01-29,25.634797,27.132798,25.297219,26.900713,12531600
1999-02-01,27.006212,27.681368,26.668635,27.343790,8239200
1999-02-02,28.103333,29.116066,28.103333,28.694094,11901800
1999-02-03,28.694097,30.128802,28.672999,29.749027,8170600
1999-02-04,29.411439,29.516932,28.862876,29.137157,5245600
1999-02-05,29.137187,29.284878,28.483130,29.284878,5468800
1999-02-08,29.200471,29.305964,28.272133,28.588612,5425800
1999-02-09,28.103339,28.504212,27.449282,27.871254,3491200
1999-02-10,27.871268,27.934564,27.343802,27.639183,2821600
1999-02-11,28.018947,28.314327,27.681369,28.314327,3809600
1999-02-12,28.103331,28.588599,27.976739,28.356514,3309800
1999-02-16,28.356520,28.588605,26.331055,26.331055,3250800
1999-02-17,24.980747,26.056776,24.854156,25.318325,20573400
1999-02-18,25.487122,25.803602,24.811967,25.107347,7943800
1999-02-19,25.128432,25.508207,24.453277,25.255024,4550600
1999-02-22,25.255029,25.866888,24.980747,25.866888,4600600
1999-02-23,25.866885,26.183364,25.613702,25.993477,4241200
1999-02-24,25.993476,26.795223,25.339420,25.634800,7259000
1999-02-25,24.811951,24.896346,23.968007,24.432177,10547200
1999-02-26,24.516586,24.558783,23.672642,23.841431,6511800
1999-03-01,23.757020,24.221189,23.714823,23.968006,3873400
1999-03-02,24.031310,24.136803,23.166267,23.567141,7698400
