date,open,high,low,close,volume
1999-01-04,6.368880,6.515628,6.368880,6.515628,824400
1999-01-05,6.500954,6.809126,6.456930,6.809126,404000
1999-01-06,6.867824,6.926523,6.809125,6.867824,306400
1999-01-07,6.867825,7.352095,6.867825,7.293396,1004400
1999-01-08,7.278721,7.777665,7.264046,7.557543,709600
1999-01-11,7.557541,7.557541,7.396118,7.484167,428400
1999-01-12,7.484167,7.484167,7.278720,7.308069,253200
1999-01-13,7.161320,7.220020,7.073271,7.220020,192000
1999-01-14,7.205346,7.381444,7.205346,7.322744,294400
1999-01-15,7.352093,7.718964,7.278719,7.616241,752800
1999-01-19,7.645589,7.880386,7.645589,7.792337,538400
1999-01-20,7.777664,8.027137,7.748315,7.880388,678400
1999-01-21,7.865714,7.895064,7.586892,7.601567,636800
1999-01-22,7.572217,7.572217,7.308070,7.322744,176800
1999-01-25,7.308071,7.396120,7.278721,7.278721,173600
1999-01-26,7.278721,7.293396,7.264046,7.278721,121200
1999-01-27,7.264045,7.278720,7.220021,7.249371,188800
1999-01-28,7.264045,7.264045,7.220020,7.234695,89600
1999-01-29,7.234695,7.234695,7.117296,7.161321,162800
1999-02-01,7.161321,7.249370,7.102622,7.146646,232000
1999-02-02,7.131972,7.146647,7.073273,7.073273,220400
1999-02-03,7.073272,7.234695,7.073272,7.190670,647600
1999-02-04,7.249371,7.469493,7.249371,7.410794,521200
1999-02-05,7.425468,7.484167,7.366768,7.396118,516000
1999-02-08,7.425469,7.425469,7.308070,7.337420,92000
1999-02-09,7.366769,7.396119,7.308070,7.322744,244400
1999-02-10,7.352095,7.396120,7.308071,7.366770,1764400
1999-02-11,7.366769,7.381444,7.308070,7.337420,258800
1999-02-12,7.278719,7.322744,7.234695,7.234695,1104800
1999-02-16,7.190670,7.249370,7.161321,7.161321,290800
1999-02-17,7.205347,7.293396,7.175997,7.278721,498400
1999-02-18,7.278719,7.983112,7.278719,7.924412,878800
1999-02-19,8.041809,8.555429,8.012460,8.555429,1355600
1999-02-22,8.570106,9.391897,8.540756,9.274498,2283200
1999-02-23,9.142424,9.215798,8.966326,9.142424,2436800
1999-02-24,9.142422,9.245146,8.980999,9.113072,1334400
1999-02-25,8.995676,9.010351,8.819578,8.951652,1222800
1999-02-26,8.907626,9.025025,8.804902,8.863602,1387200
1999-03-01,8.482056,8.834252,8.394007,8.834252,733200
1999-03-02,8.687506,9.127752,8.687506,8.907629,1208000
1999-03-03,8.907625,8.980999,8.672827,8.966324,662000
1999-03-04,8.922303,8.981002,8.819579,8.892953,576000
1999-03-05,9.010348,9.010348,8.863600,8.966324,1037200
1999-03-08,9.025025,9.113074,8.863602,8.922301,650400
1999-03-09,8.892953,9.215799,8.731530,9.215799,932800
1999-03-10,9.215797,9.274496,9.069048,9.186447,564400
1999-03-11,9.215799,9.274498,9.157099,9.274498,254000
1999-03-12,9.259824,9.377222,9.259824,9.303848,425200
1999-03-15,9.274496,9.303845,9.113072,9.201121,487600
1999-03-16,9.201124,9.318523,9.201124,9.274498,240000
1999-03-17,9.333198,9.333198,9.069051,9.215799,196800
1999-03-18,9.157099,9.157099,8.892952,8.951652,778800
1999-03-19,8.922303,8.966328,8.804905,8.936978,814800
1999-03-22,9.098402,9.289175,8.863604,8.907629,806000
1999-03-23,8.892952,8.892952,8.584781,8.584781,253200
1999-03-24,8.643482,8.643482,8.408685,8.452709,542000
1999-03-25,8.482059,8.511409,8.452709,8.452709,150800
1999-03-26,8.452706,8.452706,8.394007,8.438031,100000
1999-03-29,8.423358,8.452708,8.247260,8.349984,172000
1999-03-30,8.335308,8.349983,8.305958,8.335308,92000
1999-03-31,8.364660,8.364660,7.895065,7.895065,805200
1999-04-01,7.924415,7.924415,7.660268,7.821692,771200
1999-04-05,7.865714,8.085836,7.660266,8.041812,675600
1999-04-06,8.027138,8.027138,7.895065,7.895065,622800
1999-04-07,7.953762,8.775553,7.953762,8.687504,1590800
