date,open,high,low,close,volume
1999-01-04,16.507044,17.054337,16.507044,17.036682,1254200
1999-01-05,16.966063,17.054335,16.736553,16.771862,1067800
1999-01-06,16.771870,17.019034,16.683597,16.948416,1763000
1999-01-07,16.937743,16.973289,16.653373,16.919970,1178800
1999-01-08,16.991062,17.382069,16.777785,17.346523,1467200
1999-01-11,17.275437,17.488714,16.884429,16.937748,1056000
1999-01-12,16.813333,17.008837,16.777787,16.831106,1228000
1999-01-13,16.582286,17.186571,16.564513,16.848883,989800
1999-01-14,16.848877,16.902196,16.280138,16.351231,1191400
1999-01-15,16.635608,16.991070,16.528970,16.991070,1132400
1999-01-19,16.919978,17.435398,16.884432,17.204348,949200
1999-01-20,17.062163,17.595356,17.008844,17.435398,1310400
1999-01-21,17.506481,17.595347,17.062154,17.079927,1766800
1999-01-22,16.600057,16.706695,16.244595,16.475645,1577600
1999-01-25,16.440096,16.848877,16.351231,16.351231,1090000
1999-01-26,16.351229,16.457868,16.280137,16.333456,1603200
1999-01-27,16.351230,17.044380,16.351230,16.884422,1020600
1999-01-28,16.902199,17.630896,16.902199,17.630896,1266600
1999-01-29,17.630894,17.879717,17.346525,17.879717,794000
1999-02-01,17.808626,18.004130,17.666442,17.968584,878400
1999-02-02,17.915271,18.128548,17.737541,18.093002,1750600
1999-02-03,18.021905,18.181863,17.933040,18.128544,1137800
1999-02-04,18.057456,18.075229,17.346533,17.435398,1284800
1999-02-05,17.506490,17.542036,17.079936,17.204348,1055600
1999-02-08,17.239893,17.293212,17.097708,17.257666,1117400
1999-02-09,17.204340,17.310978,17.044382,17.133247,638000
1999-02-10,16.848881,17.310981,16.831107,17.026611,1115000
1999-02-11,16.955518,19.123834,16.955518,18.750599,3530600
1999-02-12,18.679507,19.319338,18.448457,18.803919,2460400
1999-02-16,18.803926,19.159388,18.484011,19.141615,2081200
1999-02-17,19.034970,19.479297,18.875013,18.910559,1631200
1999-02-18,18.839474,19.408213,18.626197,19.070524,1430200
1999-02-19,18.875015,19.443754,18.803923,19.212704,1512400
1999-02-22,19.177158,19.870308,19.177158,19.781443,1178800
1999-02-23,19.710339,20.830043,19.674793,20.545673,1853800
1999-02-24,20.545691,20.705649,19.550398,19.621490,1639800
1999-02-25,19.763662,19.905847,19.212697,19.354881,1625800
1999-02-26,19.390443,20.172459,19.301578,20.136913,1350400
1999-03-01,20.190217,20.474587,19.408202,20.385721,1724800
1999-03-02,20.243542,21.256608,20.190223,20.901146,2310400
1999-03-03,21.327699,21.469883,20.794506,21.114422,1949400
1999-03-04,21.043332,21.754255,21.007786,21.665390,1336200
1999-03-05,21.736473,22.269666,21.736473,22.056389,1596800
1999-03-08,22.038621,22.358536,21.754251,22.180805,1336000
1999-03-09,22.038623,22.287446,21.647615,22.251900,1506600
1999-03-10,22.394081,22.571812,22.180804,22.322989,1139600
1999-03-11,22.394082,22.394082,21.985301,22.180805,1484000
1999-03-12,22.358538,22.358538,21.540976,21.949757,1578800
1999-03-15,22.180808,22.180808,21.860892,22.163034,1116200
1999-03-16,22.180812,22.394089,21.789804,21.807577,875800
1999-03-17,21.736485,21.736485,21.221066,21.381023,1228000
1999-03-18,21.363244,21.612067,21.221059,21.487656,1128400
1999-03-19,21.416567,22.340768,21.381021,21.718710,1405400
1999-03-22,21.718712,22.145267,21.718712,22.020855,893600
1999-03-23,22.020850,22.020850,20.812281,20.901146,1441600
1999-03-24,20.830053,20.918918,20.421272,20.758961,1772400
1999-03-25,20.758960,21.381018,20.758960,21.114422,982200
1999-03-26,21.043331,21.043331,20.652323,20.954466,782000
1999-03-29,20.954466,21.167743,20.954466,21.043331,764200
1999-03-30,21.096646,21.221058,20.776731,21.132193,899000
1999-03-31,21.203287,21.309926,21.096649,21.114422,960200
1999-04-01,21.043319,21.292143,20.812270,20.883362,922200
1999-04-05,21.185519,21.576527,21.096653,21.327703,974000
1999-04-06,20.901147,21.025559,20.758963,21.007786,3038000
1999-04-07,21.007789,21.096655,20.865604,20.865604,1421800
1999-04-08,21.033580,22.195163,20.997839,21.784142,2720400
1999-04-09,22.802762,22.802762,21.712661,21.730532,1390200
1999-04-12,21.730536,22.052205,21.712665,22.034334,1406800
1999-04-13,22.105811,22.177293,21.766272,21.891365,1143600
1999-04-14,21.927116,21.927116,21.641188,21.766281,1679400
