date,open,high,low,close,volume
1999-01-04,18.805645,19.585153,18.756925,19.390276,3661000
1999-01-05,19.422753,19.942426,19.357794,19.503952,2468600
1999-01-06,19.715064,20.413374,19.698825,20.413374,3169400
1999-01-07,20.007382,20.023622,19.585148,19.942423,2173000
1999-01-08,19.877466,20.267220,19.471472,20.039864,2567000
1999-01-11,20.169778,20.543292,19.780023,20.413374,2351600
1999-01-12,20.137302,20.510816,20.039863,20.202261,2082200
1999-01-13,19.747549,19.780028,19.374034,19.552671,2237800
1999-01-14,19.487719,19.487719,18.724450,18.740690,3022400
1999-01-15,18.886838,19.374031,18.821879,19.374031,2421200
1999-01-19,19.406522,19.422762,18.594534,18.903090,2792400
1999-01-20,18.886841,19.016759,18.058613,18.156052,3944800
1999-01-21,18.269726,19.049235,18.172288,18.858418,3153400
1999-01-22,18.691963,18.740683,18.334689,18.529566,2218600
1999-01-25,19.227877,20.121064,19.227877,19.520193,5789000
1999-01-26,19.520203,20.056115,19.422764,19.715080,2897600
1999-01-27,19.780023,19.909941,19.195392,19.276590,2735000
1999-01-28,19.357802,19.844995,19.357802,19.650118,2136800
1999-01-29,19.747549,20.234742,19.503952,20.169783,3128200
1999-02-01,20.267223,20.721937,20.007387,20.007387,3423800
1999-02-02,19.585162,19.715080,19.276606,19.715080,2636200
1999-02-03,19.715071,19.715071,19.097960,19.390276,2572600
1999-02-04,19.422757,20.250985,19.211640,19.877470,3008800
1999-02-05,19.942424,20.656974,19.828746,20.315939,2721400
1999-02-08,20.315944,20.721938,19.682593,19.877470,2723800
1999-02-09,19.812508,20.039864,19.503952,19.552671,1660800
1999-02-10,19.666358,19.909955,19.487721,19.585159,1552600
1999-02-11,19.715065,20.137299,19.552668,19.974901,1651000
1999-02-12,19.991138,20.429612,19.747542,20.104816,2112600
1999-02-16,20.169773,20.234732,19.682580,19.861217,2657600
1999-02-17,20.122335,20.220493,19.811503,19.909660,1758400
1999-02-18,19.762413,20.122325,19.598817,19.975088,1582000
1999-02-19,19.942371,20.138686,19.746055,20.089607,1922400
