date,open,high,low,close,volume
1999-01-04,3.168076,3.182829,3.068498,3.101691,7208400
1999-01-05,3.109066,3.127506,3.083249,3.090625,6830500
1999-01-06,3.149637,3.168077,3.127508,3.134884,7844800
1999-01-07,3.101690,3.171764,3.094314,3.160700,5682500
1999-01-08,3.186517,3.252903,3.179141,3.223398,7154200
1999-01-11,3.219711,3.278720,3.208646,3.260280,5841200
1999-01-12,3.275033,3.275033,3.186518,3.204959,4616600
1999-01-13,3.098003,3.238151,3.094315,3.197582,6563300
1999-01-14,3.197582,3.197582,3.094316,3.127508,7619400
1999-01-15,3.098003,3.112756,3.038994,3.083251,6825100
1999-01-19,3.094316,3.094316,2.979985,2.998425,7319900
1999-01-20,2.832461,2.887782,2.780827,2.858278,25284700
1999-01-21,2.839836,2.861964,2.714440,2.725505,13914300
1999-01-22,2.729192,2.839835,2.714440,2.736568,9832800
1999-01-25,2.758697,2.810331,2.725504,2.769762,5615800
1999-01-26,2.769762,2.858276,2.718129,2.847212,7392600
1999-01-27,2.865653,2.884094,2.725505,2.740258,7048200
1999-01-28,2.736569,2.880405,2.736569,2.873029,8150500
1999-01-29,2.865652,2.869340,2.766073,2.766073,8091500
1999-02-01,2.780826,2.802954,2.684935,2.714440,6966300
1999-02-02,2.714440,2.736568,2.662806,2.729192,6637800
1999-02-03,2.718129,2.769763,2.718129,2.762386,6361300
1999-02-04,2.743946,2.795579,2.736570,2.751322,5831900
1999-02-05,2.780826,2.802955,2.688624,2.721817,5933200
1999-02-08,2.725506,2.732882,2.673872,2.699689,5065900
1999-02-09,2.703377,2.703377,2.636991,2.677560,5719200
1999-02-10,2.596422,2.603798,2.419393,2.445210,25397700
1999-02-11,2.360383,2.463649,2.349318,2.382511,22903600
1999-02-12,2.382512,2.408329,2.356695,2.386200,13007400
1999-02-16,2.408329,2.419393,2.319814,2.338255,12886200
1999-02-17,2.327190,2.338254,2.249740,2.279244,10968200
1999-02-18,2.301375,2.334568,2.292155,2.308751,8362000
1999-02-19,2.323502,2.386200,2.319814,2.356695,8403300
1999-02-22,2.378824,2.419393,2.364071,2.412016,5892700
1999-02-23,2.393576,2.426769,2.375136,2.419393,5919800
1999-02-24,2.419394,2.459963,2.353008,2.393577,6542800
1999-02-25,2.364072,2.375136,2.323503,2.364072,5572500
1999-02-26,2.408330,2.408330,2.308751,2.308751,5459800
1999-03-01,2.330879,2.341943,2.293998,2.293998,5749500
1999-03-02,2.330877,2.334565,2.286620,2.305061,5089200
1999-03-03,2.312439,2.327191,2.286622,2.319815,3852500
1999-03-04,2.334567,2.382512,2.316126,2.356695,6070400
1999-03-05,2.378824,2.397265,2.316127,2.360384,4925100
1999-03-08,2.371448,2.386200,2.312438,2.323502,5868500
1999-03-09,2.375136,2.437833,2.349319,2.356695,10847800
1999-03-10,2.389888,2.389888,2.338254,2.378823,7853900
1999-03-11,2.386429,2.401345,2.371514,2.378972,7826900
1999-03-12,2.393889,2.393889,2.319313,2.345414,8869500
1999-03-15,2.323040,2.341684,2.289481,2.304396,9376000
1999-03-16,2.308126,2.345414,2.289482,2.296940,9839300
1999-03-17,2.311855,2.323041,2.278296,2.282024,16487500
1999-03-18,2.296939,2.505752,2.289481,2.505752,14638500
1999-03-19,2.502023,2.528124,2.427447,2.438633,12167000
1999-03-22,2.446093,2.509482,2.438635,2.494567,5984700
1999-03-23,2.490837,2.498295,2.416261,2.416261,8343600
1999-03-24,2.431175,2.468463,2.423718,2.438633,4852900
1999-03-25,2.438634,2.453549,2.393888,2.416261,6603400
1999-03-26,2.397617,2.408804,2.371516,2.390160,4606100
1999-03-29,2.397617,2.461006,2.393888,2.457278,7754300
1999-03-30,2.431176,2.434905,2.237279,2.252194,13122200
1999-03-31,2.043382,2.151517,2.028466,2.099313,46612800
1999-04-01,2.140330,2.144059,2.039653,2.062025,15864500
1999-04-05,2.076940,2.110499,2.073211,2.095584,9543200
1999-04-06,2.125415,2.125415,2.043381,2.073211,11627900
1999-04-07,2.088127,2.088127,1.998636,2.002364,15038200
1999-04-08,2.009821,2.058296,2.009821,2.047109,11269300
1999-04-09,2.043381,2.114229,2.032195,2.084398,14299000
1999-04-12,2.099313,2.147787,2.088127,2.147787,9281500
1999-04-13,2.155246,2.158974,2.076941,2.103042,7963700
1999-04-14,2.136602,2.136602,2.065754,2.065754,7258000
1999-04-15,2.084398,2.110500,2.073212,2.084398,6304700
1999-04-16,2.117957,2.117957,2.062025,2.073211,5636800
1999-04-19,2.065754,2.103042,1.972534,1.976263,10859700
1999-04-20,2.024738,2.069484,2.006094,2.043382,7080400
1999-04-21,2.065753,2.065753,2.006093,2.028466,7470200
1999-04-22,2.035923,2.073211,2.006093,2.058296,7536500
1999-04-23,2.069482,2.136600,2.062025,2.095584,9224100
1999-04-26,2.121686,2.132873,2.043382,2.050839,7699100
1999-04-27,2.062025,2.091855,2.058296,2.073211,4893300
1999-04-28,2.103042,2.114228,2.062025,2.062025,4590200
1999-04-29,2.084398,2.106771,2.065754,2.099313,6094100
1999-04-30,2.117957,2.158974,2.088126,2.091855,9461500
1999-05-03,2.106771,2.173889,2.103042,2.162703,7227700
1999-05-04,2.226092,2.278295,2.192533,2.244736,10284300
1999-05-05,2.267109,2.270838,2.192533,2.244736,6436400
1999-05-06,2.237279,2.237279,2.177618,2.181347,5984200
1999-05-07,2.185075,2.241007,2.181346,2.207448,4855900
1999-05-10,2.211179,2.296941,2.162704,2.267111,9743300
1999-05-11,2.293211,2.293211,2.248465,2.270838,6569500
1999-05-12,2.267109,2.300668,2.196262,2.282024,6121600
1999-05-13,2.319312,2.371515,2.308126,2.349142,7419300
1999-05-14,2.326770,2.337957,2.289482,2.326770,5648400
1999-05-17,2.326770,2.356600,2.315583,2.349142,5200500
1999-05-18,2.345415,2.349144,2.293212,2.337957,6666000
1999-05-19,2.341685,2.442362,2.330498,2.431176,9772700
1999-05-20,2.438634,2.442363,2.393889,2.397618,6452200
1999-05-21,2.401345,2.412531,2.364057,2.378972,5163900
1999-05-24,2.397617,2.397617,2.349143,2.367787,14633100
1999-05-25,2.371515,2.397617,2.356600,2.364058,6835400
1999-05-26,2.393888,2.393888,2.352871,2.356600,6151000
1999-05-27,2.334229,2.352873,2.300670,2.311856,4944700
1999-05-28,2.300667,2.341684,2.296938,2.300667,3653600
1999-06-01,2.300667,2.364057,2.296939,2.360328,4603600
1999-06-02,2.375245,2.397617,2.311855,2.326770,4327300
1999-06-03,2.356599,2.367786,2.341684,2.360328,3482000
1999-06-04,2.367786,2.375244,2.341685,2.364058,4457100
1999-06-07,2.386431,2.405075,2.364058,2.390160,5209700
1999-06-08,2.382701,2.382701,2.323040,2.330498,5006800
1999-06-09,2.378972,2.442362,2.378972,2.438633,7221500
1999-06-10,2.438633,2.535582,2.427447,2.520667,10855200
1999-06-11,2.524586,2.573570,2.486905,2.534006,6644700
1999-06-14,2.539657,2.543426,2.517049,2.532121,4966300
1999-06-15,2.532122,2.592411,2.528354,2.577339,6277700
1999-06-16,2.569803,2.573571,2.483138,2.558499,11962800
1999-06-17,2.532122,2.547194,2.490673,2.501977,4829000
1999-06-18,2.517049,2.558497,2.501977,2.547193,7447000
1999-06-21,2.554730,2.562266,2.513282,2.524586,8387900
1999-06-22,2.471833,2.498209,2.460529,2.486905,6013300
1999-06-23,2.486906,2.584875,2.475602,2.550963,8792200
1999-06-24,2.550962,2.550962,2.441689,2.441689,6344800
1999-06-25,2.464297,2.513281,2.464297,2.483137,8328800
1999-06-28,2.509514,2.566035,2.471834,2.471834,6813800
1999-06-29,2.430386,2.437922,2.385169,2.419081,10092000
1999-06-30,2.404009,2.437921,2.381401,2.422849,11348100
1999-07-01,2.404009,2.452994,2.400241,2.411545,7242200
1999-07-02,2.404009,2.483138,2.404009,2.471834,9331500
1999-07-06,2.426616,2.464297,2.422848,2.441689,7071300
1999-07-07,2.441689,2.479369,2.283431,2.283431,4848800
