date,open,high,low,close,volume
1999-01-04,5.085083,5.085083,4.937384,4.958484,4767142
1999-01-05,4.937383,4.958483,4.852983,4.874083,2071081
1999-01-06,4.726384,5.053433,4.715834,5.032333,3596647
1999-01-07,4.979584,5.085083,4.810784,5.063983,3138642
1999-01-08,5.148383,5.211683,5.127283,5.211683,5416932
1999-01-11,5.211682,5.296081,5.158932,5.201131,3428332
1999-01-12,5.211683,5.222232,5.021783,5.021783,2737636
1999-01-13,4.937385,4.990134,4.768585,4.768585,3742163
1999-01-14,4.852983,4.895182,4.705283,4.705283,3074602
1999-01-15,4.768586,4.916285,4.758036,4.905735,2951886
1999-01-19,4.937383,4.937383,4.736933,4.800233,2769824
1999-01-20,4.779134,5.063983,4.694734,4.863533,4474099
1999-01-21,4.874085,4.958484,4.736935,4.758035,2404694
1999-01-22,4.779133,4.831882,4.557583,4.631433,2697066
1999-01-25,4.620885,4.620885,4.219986,4.388785,12381224
1999-01-26,4.388785,4.388785,4.219986,4.283286,7555742
1999-01-27,4.283284,4.304384,4.103935,4.146135,6113663
1999-01-28,4.156684,4.188334,4.008985,4.008985,2912322
1999-01-29,4.019535,4.019535,3.681937,3.840187,10829841
1999-02-01,3.882386,3.966786,3.850736,3.882386,9724392
1999-02-02,3.882386,3.935136,3.850736,3.892936,7807544
1999-02-03,3.861287,3.977337,3.861287,3.945687,8610897
1999-02-04,3.924587,3.977336,3.840187,3.882386,5558759
1999-02-05,3.966786,4.093386,3.882386,4.040636,9865214
1999-02-08,4.114486,4.177786,4.072286,4.156685,3322716
1999-02-09,4.146137,4.156687,3.977337,3.977337,3528248
1999-02-10,4.051185,4.135585,3.998435,4.082835,2070411
1999-02-11,4.082836,4.125035,3.924586,3.966786,3830008
1999-02-12,3.981264,3.991908,3.885458,3.885458,5458843
1999-02-16,3.917393,3.928038,3.821587,3.832232,3488684
1999-02-17,3.821588,3.832234,3.619332,3.629977,9260352
1999-02-18,3.661910,3.672555,3.555459,3.576749,5330763
1999-02-19,3.576750,3.672556,3.544814,3.598040,4156915
1999-02-22,3.576749,3.672555,3.544814,3.661910,3808885
1999-02-23,3.619331,3.736426,3.534170,3.725782,3300587
1999-02-24,3.704493,3.736428,3.576751,3.629977,4129422
1999-02-25,3.470298,3.512877,3.353202,3.470298,7658340
1999-02-26,3.470300,3.576750,3.427719,3.523525,5654652
1999-03-01,3.544815,3.544815,3.427719,3.438365,3849120
1999-03-02,3.438363,3.480943,3.353202,3.406428,6063705
1999-03-03,3.427718,3.491588,3.342557,3.406428,8845599
1999-03-04,3.385138,3.427718,3.353203,3.417073,11433361
1999-03-05,3.438363,3.502233,3.374492,3.406428,13465884
1999-03-08,3.438367,3.693849,3.438367,3.672559,9243252
1999-03-09,3.693849,3.768365,3.587398,3.672559,6129757
1999-03-10,3.853524,4.023845,3.810944,4.023845,6913663
1999-03-11,4.066425,4.130295,3.981264,3.991909,8976027
1999-03-12,4.172874,4.194164,4.055778,4.109003,6505951
1999-03-15,4.045135,4.045135,3.896104,3.949329,4317854
1999-03-16,3.949328,4.066425,3.928038,4.045135,3235876
1999-03-17,4.045135,4.279327,4.045135,4.172876,5832691
1999-03-18,4.279328,4.385779,4.268683,4.321908,8559598
1999-03-19,4.321906,4.332551,4.236746,4.258036,4882481
1999-03-22,4.428357,4.588033,4.417711,4.577388,6885499
1999-03-23,4.513518,4.524163,4.353842,4.470938,5152389
1999-03-24,4.598678,4.673193,4.598678,4.641258,8945851
1999-03-25,4.641258,4.651903,4.524162,4.641258,4932439
1999-03-26,4.641258,4.683838,4.545452,4.662548,3494049
1999-03-29,4.918031,4.981902,4.769000,4.822226,6021459
1999-03-30,4.832871,4.886097,4.683840,4.758356,4686672
1999-03-31,4.737066,4.758356,4.609325,4.683840,2518692
1999-04-01,4.662550,4.779646,4.598679,4.747711,2674267
1999-04-05,4.811581,4.854161,4.758355,4.822226,4148533
1999-04-06,4.779646,4.854161,4.694485,4.715775,2824141
1999-04-07,4.683840,4.737066,4.641260,4.683840,3321375
1999-04-08,4.683840,4.832871,4.619969,4.715775,3118525
1999-04-09,4.939323,4.939323,4.694486,4.800937,2890193
1999-04-12,4.769001,4.790291,4.715776,4.747711,1890360
1999-04-13,4.705131,4.811583,4.673196,4.811583,3638894
1999-04-14,4.705130,4.705130,4.449648,4.619969,4423806
1999-04-15,4.630613,4.758353,4.588032,4.662548,5621459
1999-04-16,4.726420,4.928676,4.705129,4.822226,4958256
1999-04-19,4.939321,5.130933,4.939321,4.981902,10240067
1999-04-20,5.003194,5.056419,4.811582,4.896743,6508969
1999-04-21,4.832870,4.939321,4.726420,4.832870,3187259
1999-04-22,4.854160,4.875450,4.598678,4.726419,4419782
1999-04-23,4.726419,4.726419,4.545452,4.588032,4404023
1999-04-26,4.577388,4.588033,4.396422,4.470938,4968650
1999-04-27,4.492227,4.641258,4.492227,4.588032,4916681
1999-04-28,4.726422,5.035130,4.726422,5.035130,7644929
1999-04-29,5.045774,5.365126,5.045774,5.258676,13099749
1999-04-30,5.258673,5.322544,4.928675,5.322544,6545851
1999-05-03,5.237387,5.279967,5.152226,5.173516,3676446
1999-05-04,5.162868,5.237385,5.088353,5.205449,3817603
1999-05-05,5.333188,5.343833,5.088351,5.237383,4223973
1999-05-06,5.194805,5.343836,5.152225,5.258676,3383738
1999-05-07,5.248030,5.258675,5.120289,5.141579,2881140
1999-05-10,5.237385,5.322546,5.098998,5.141579,2739313
1999-05-11,5.098998,5.205449,5.056418,5.141579,4423806
1999-05-12,5.024481,5.024481,4.768998,4.928674,3438726
1999-05-13,4.886096,5.077707,4.875451,5.045772,2353060
1999-05-14,5.067064,5.162869,5.024483,5.067064,2982733
1999-05-17,4.942272,5.038759,4.931551,4.963713,1799162
1999-05-18,4.931552,5.060201,4.856507,4.952994,4600838
1999-05-19,4.952996,5.124528,4.931555,5.103087,2880469
1999-05-20,5.145970,5.178132,5.049482,5.145970,4752389
1999-05-21,5.178130,5.360384,5.156689,5.338942,5058173
1999-05-24,5.306781,5.360386,5.060204,5.060204,5232188
1999-05-25,4.974437,5.145970,4.931554,4.931554,4212573
1999-05-26,5.060202,5.242455,5.006598,5.231735,7573177
1999-05-27,5.231735,5.231735,5.070923,5.081644,6590444
1999-05-28,5.070923,5.210293,5.060202,5.135247,5116513
1999-06-01,5.092365,5.092365,4.920833,5.017320,4052640
1999-06-02,5.081645,5.135249,5.028041,5.103087,2794300
1999-06-03,5.178131,5.296060,5.135247,5.263897,3825985
1999-06-04,5.263896,5.285337,5.124526,5.274617,3369656
1999-06-07,5.296059,5.360384,5.231734,5.306779,2128080
1999-06-08,5.231736,5.360386,5.124528,5.145970,1987594
1999-06-09,5.060202,5.328221,5.038761,5.328221,4366136
1999-06-10,5.317500,5.531915,5.242454,5.424707,4026823
1999-06-11,5.424707,5.542636,5.263896,5.424707,3611735
1999-06-14,5.424708,5.531916,5.424708,5.499754,4442917
1999-06-15,5.542637,5.564079,5.489033,5.542637,3221459
1999-06-16,5.510471,5.585517,5.478309,5.510471,3224476
1999-06-17,5.499754,5.531916,5.413988,5.499754,3633529
1999-06-18,5.510476,5.564080,5.467593,5.553360,4569992
1999-06-21,5.574799,5.574799,5.424708,5.467591,6264208
