date,open,high,low,close,volume
1999-01-04,4.047083,4.092900,3.894364,3.970723,6947249
1999-01-05,3.924907,3.978359,3.879091,3.970723,5448285
1999-01-06,4.024176,4.077628,3.863820,4.016540,10299873
1999-01-07,3.901999,4.306707,3.894363,4.306707,9172218
1999-01-08,4.321980,4.337252,3.985996,4.215076,5876663
1999-01-11,4.215077,4.329617,4.016541,4.283801,3470374
1999-01-12,4.215076,4.245619,4.047083,4.138716,12158589
1999-01-13,4.077627,4.077627,3.802731,4.031811,8470053
1999-01-14,4.153986,4.184530,3.810367,3.848546,6337550
1999-01-15,3.879091,4.001267,3.818004,3.932544,5426613
1999-01-19,4.092899,4.169259,3.985995,4.169259,6659015
1999-01-20,4.260892,4.283800,4.123444,4.215076,6158397
1999-01-21,4.138716,4.146351,3.940180,4.062356,7206588
1999-01-22,4.016539,4.039447,3.955451,3.985996,9108648
1999-01-25,3.985995,4.016539,3.863819,3.924907,2496589
1999-01-26,3.932543,4.108171,3.833275,4.108171,7936927
1999-01-27,4.108172,4.337252,4.108172,4.215076,8780682
1999-01-28,4.260892,4.436519,4.237983,4.428883,10273867
1999-01-29,4.428884,4.566332,4.337252,4.398340,13125150
1999-02-01,4.520516,4.650328,4.474700,4.596876,7655916
1999-02-02,4.581604,4.596876,4.436520,4.528152,8012056
1999-02-03,4.551060,4.612148,4.497608,4.596876,4906490
1999-02-04,4.642692,4.810684,4.551060,4.734324,11489654
1999-02-05,4.726687,4.749595,4.581603,4.589239,8323407
1999-02-08,4.581603,4.703779,4.528152,4.635056,9505241
1999-02-09,5.452109,5.459745,5.024492,5.085581,68050824
1999-02-10,5.177213,5.184849,4.566333,4.795413,25329973
1999-02-11,4.887045,4.940497,4.665600,4.887045,15765495
1999-02-12,4.757231,4.780138,4.596875,4.642691,7379962
1999-02-16,4.726687,4.780139,4.581602,4.657962,4097411
1999-02-17,4.535788,4.581603,4.321980,4.352523,2924967
1999-02-18,4.383067,4.612148,4.260891,4.573968,9636717
1999-02-19,4.673235,4.711415,4.489971,4.642691,7254988
1999-02-22,4.703779,4.856499,4.642691,4.841228,6778209
1999-02-23,4.894680,5.207756,4.871773,5.184849,8327741
1999-02-24,5.253571,5.299387,4.986311,5.039763,7132182
1999-02-25,5.039764,5.070308,4.825955,4.841228,4992455
1999-02-26,4.856500,4.932860,4.780140,4.856500,4652930
1999-03-01,4.841229,4.902316,4.719052,4.772505,4489670
1999-03-02,4.787776,4.856500,4.703780,4.711416,8684603
1999-03-03,4.719051,4.719051,4.581602,4.581602,4297513
1999-03-04,4.612147,4.749595,4.596875,4.673235,8077794
1999-03-05,4.726688,4.822138,4.512879,4.596876,5124653
1999-03-08,4.650328,4.719052,4.596875,4.703779,6528262
1999-03-09,4.719052,4.734323,4.573968,4.604512,10468191
1999-03-10,4.604512,4.619784,4.467064,4.528152,8535068
1999-03-11,4.543422,4.703779,4.543422,4.673235,13454561
1999-03-12,4.657963,4.734323,4.612148,4.635056,6306487
1999-03-15,4.642691,4.657962,4.566331,4.642691,2779044
1999-03-16,4.604511,4.642691,4.535788,4.589239,1780698
1999-03-17,4.642690,4.657962,4.581602,4.581602,4457162
1999-03-18,4.635056,4.715234,4.612148,4.711416,8663654
1999-03-19,4.803048,4.841228,4.741959,4.825955,11558281
1999-03-22,4.871771,4.871771,4.726687,4.749595,9055191
1999-03-23,4.764868,4.764868,4.535788,4.535788,5625993
1999-03-24,4.535788,4.558696,4.329616,4.398340,5516912
1999-03-25,4.428884,4.459427,4.260892,4.383068,11889137
1999-03-26,4.398339,4.657963,4.321979,4.604512,6117943
1999-03-29,4.604513,4.619785,4.489973,4.520517,4017225
1999-03-30,4.520516,4.520516,4.344887,4.344887,13363540
1999-03-31,4.352523,4.398339,4.337252,4.375432,8821858
1999-04-01,4.398339,4.405976,4.299072,4.405976,3924759
