date,open,high,low,close,volume
1999-01-04,3.478033,3.509909,3.446157,3.467408,4254400
1999-01-05,3.456784,3.474494,3.421366,3.453243,3259200
1999-01-06,3.463868,3.463868,3.428450,3.449701,12956800
1999-01-07,3.442615,3.453241,3.389489,3.428448,2279200
1999-01-08,3.428448,3.428448,3.385947,3.407197,4432000
1999-01-11,3.400116,3.403658,3.350530,3.368240,4526400
1999-01-12,3.343446,3.389489,3.343446,3.354071,2576800
1999-01-13,3.354072,3.403657,3.336363,3.339905,6084800
1999-01-14,3.325738,3.336363,3.286778,3.300945,6932000
1999-01-15,3.300945,3.300945,3.201775,3.265527,9699200
1999-01-19,3.251359,3.258443,3.180524,3.240734,8488800
1999-01-20,3.223025,3.269069,3.187608,3.237193,6888000
1999-01-21,3.208858,3.212400,3.166356,3.208858,7338400
1999-01-22,3.191150,3.208859,3.173441,3.191150,2364000
1999-01-25,3.180525,3.230110,3.166357,3.191150,3782400
1999-01-26,3.191149,3.191149,3.166357,3.169899,4505600
1999-01-27,3.201774,3.201774,3.145105,3.159272,6964800
1999-01-28,3.173440,3.180524,3.130939,3.145106,3853600
1999-01-29,3.159275,3.162817,3.088440,3.109690,4920000
1999-02-01,3.109687,3.109687,2.999892,3.006975,4194400
1999-02-02,3.003435,3.021144,2.953850,2.971559,9147200
1999-02-03,2.975099,2.989266,2.932598,2.936140,6840000
1999-02-04,2.943226,2.982185,2.932600,2.978644,8684000
1999-02-05,3.010518,3.067187,2.992810,3.049478,8156800
1999-02-08,3.095521,3.141564,3.060103,3.127397,7497600
1999-02-09,3.116771,3.116771,3.056561,3.063644,3403200
1999-02-10,3.070728,3.116771,3.045935,3.060102,2789600
1999-02-11,3.031767,3.045935,2.978641,3.006975,4918400
1999-02-12,2.978643,2.985726,2.868847,2.914891,4916000
1999-02-16,2.914891,2.929058,2.851139,2.883014,10504800
1999-02-17,2.886557,3.003436,2.879474,2.964477,5602400
1999-02-18,3.003436,3.038854,2.985727,2.992811,4613600
1999-02-19,2.992811,2.999894,2.960935,2.964477,6932000
1999-02-22,2.960932,3.042393,2.960932,3.035310,5788000
1999-02-23,3.038853,3.042395,2.982184,2.996351,5157600
1999-02-24,3.033265,3.065458,3.018957,3.033265,14215200
1999-02-25,3.033264,3.036841,2.954571,2.961725,10557600
1999-02-26,2.961727,2.976034,2.915226,2.943842,5815200
1999-03-01,2.950994,2.950994,2.868724,2.947417,3717600
1999-03-02,2.961727,3.022535,2.958150,3.001074,4325600
1999-03-03,3.004649,3.047573,2.990342,3.004649,5159200
1999-03-04,3.018958,3.086921,3.008228,3.086921,8076800
1999-03-05,3.104805,3.154883,3.104805,3.111959,3907200
1999-03-08,3.108382,3.108382,3.026111,3.051150,2955200
1999-03-09,3.036842,3.047573,2.950995,2.968880,3600800
1999-03-10,2.976035,3.101229,2.965304,2.972458,5483200
1999-03-11,3.011802,3.079764,3.001071,3.065457,10799200
1999-03-12,3.079765,3.229997,3.076188,3.197804,8099200
1999-03-15,3.183498,3.219268,3.179921,3.212114,4026400
1999-03-16,3.204960,3.215691,3.169190,3.201383,4864000
1999-03-17,3.204959,3.208536,3.176343,3.208536,3332800
1999-03-18,3.208537,3.283653,3.204960,3.265768,6497600
1999-03-19,3.265768,3.276499,3.237152,3.244306,5044000
1999-03-22,3.240730,3.262192,3.226422,3.229999,2640000
1999-03-23,3.229999,3.247884,3.212114,3.247884,3668800
1999-03-24,3.240729,3.326576,3.229998,3.301537,6637600
1999-03-25,3.294383,3.294383,3.247883,3.272922,3296000
1999-03-26,3.262190,3.265767,3.208536,3.208536,4753600
1999-03-29,3.208537,3.222844,3.169190,3.176344,3776800
1999-03-30,3.162037,3.162037,3.079767,3.083344,3871200
1999-03-31,3.083342,3.111957,3.036841,3.047572,2254400
1999-04-01,3.047574,3.129844,3.026112,3.083344,3626400
1999-04-05,3.094073,3.158459,3.094073,3.144151,3235200
1999-04-06,3.140573,3.151304,3.083342,3.094073,1805600
1999-04-07,3.101228,3.119113,3.079767,3.090497,2038400
1999-04-08,3.090497,3.162036,3.090497,3.162036,2621600
1999-04-09,3.151306,3.162036,3.119113,3.122690,3636000
1999-04-12,3.133421,3.176345,3.090498,3.169191,2226400
1999-04-13,3.119113,3.136998,3.047574,3.072613,3204000
1999-04-14,3.069035,3.094074,3.051150,3.079766,3373600
1999-04-15,3.076189,3.119112,3.069035,3.097651,2680800
1999-04-16,3.090497,3.126267,3.076189,3.119113,4040000
