date,open,high,low,close,volume
1999-01-04,12.535362,12.535362,12.144987,12.405237,896100
1999-01-05,12.188363,12.882362,12.058238,12.795612,1119100
1999-01-06,13.142612,13.532987,12.838987,13.532987,1328900
1999-01-07,13.749861,14.400485,13.576361,14.313735,1860400
1999-01-08,14.226984,14.226984,13.749859,14.053484,1891500
1999-01-11,14.010111,14.747485,13.836611,14.270361,2316800
1999-01-12,13.532986,13.793236,13.532986,13.749861,1716800
1999-01-13,13.185987,13.576361,13.185987,13.446237,805100
1999-01-14,13.446237,13.966736,13.229362,13.446237,1084400
1999-01-15,13.185985,13.576359,13.185985,13.402860,849700
1999-01-19,13.359483,13.446233,12.925734,13.012484,932400
1999-01-20,12.882363,13.185987,12.622113,13.185987,975800
1999-01-21,13.316109,13.532984,12.838985,13.055860,1047100
1999-01-22,12.752235,13.012484,12.752235,12.882360,728000
1999-01-25,13.055856,13.402856,12.882357,12.925732,1948600
1999-01-26,12.882365,12.925740,12.318490,12.448615,1302800
1999-01-27,12.231735,12.231735,11.928110,11.928110,1316400
1999-01-28,12.101610,12.405235,12.014860,12.014860,968900
1999-01-29,12.014869,12.448619,12.014869,12.275119,996700
1999-02-01,12.491988,12.838987,12.231738,12.795612,1182900
1999-02-02,12.795610,13.142609,12.589579,12.882360,1310800
1999-02-03,12.622115,12.665490,12.361865,12.448615,752800
1999-02-04,12.708862,13.663111,12.491988,13.446237,1763500
1999-02-05,13.532985,13.793234,13.142610,13.402860,1265600
1999-02-08,13.446236,13.923361,13.229361,13.749861,1440700
1999-02-09,13.402860,13.402860,12.838985,12.838985,700800
1999-02-10,12.969116,13.185991,12.882366,13.099241,822600
1999-02-11,13.099234,13.229359,12.535360,12.622109,924000
1999-02-12,13.272738,13.532988,13.012488,13.489613,996000
1999-02-16,12.882362,13.012487,12.622112,12.665487,1216300
1999-02-17,12.752237,12.752237,12.231737,12.318487,1033000
1999-02-18,12.361862,12.622112,11.971488,12.318487,1658700
1999-02-19,12.318494,12.491994,12.058244,12.275119,1187700
1999-02-22,12.275115,12.318490,12.144990,12.231740,558400
1999-02-23,12.275115,12.361865,12.144990,12.231740,571100
1999-02-24,12.188362,12.665487,12.144987,12.318487,1177700
1999-02-25,12.231737,12.361862,12.014862,12.318487,1212300
1999-02-26,12.318484,12.318484,11.711235,11.971484,1102800
1999-03-01,11.992346,12.079247,11.775093,12.035796,546400
1999-03-02,12.209598,12.774455,12.166147,12.166147,1800000
1999-03-03,12.383398,12.557200,12.209596,12.557200,1117200
1999-03-04,12.731000,12.904802,12.513747,12.817901,1095700
1999-03-05,12.557198,12.817901,12.426847,12.600649,905000
1999-03-08,12.861350,13.556558,12.817899,13.556558,1881200
1999-03-09,13.947622,14.034523,13.208962,13.208962,2335500
1999-03-10,13.252404,13.643459,13.208954,13.556558,903400
1999-03-11,13.730361,14.208317,13.643460,13.686911,1971500
1999-03-12,13.513108,13.513108,12.948252,12.948252,1239400
1999-03-15,12.991701,12.991701,12.339944,12.383394,1296200
1999-03-16,12.339951,12.731006,12.079248,12.731006,1173000
1999-03-17,12.861357,12.904808,12.470302,12.731006,972700
1999-03-18,12.687555,12.774456,12.253050,12.296500,1311400
1999-03-19,12.426845,12.557196,12.253043,12.383394,1325700
1999-03-22,12.470295,12.687548,12.383394,12.383394,661200
1999-03-23,12.426848,12.557200,12.209596,12.253046,1146400
1999-03-24,12.296496,12.687551,12.209595,12.687551,826600
1999-03-25,12.687550,12.687550,12.339946,12.644099,873900
1999-03-26,12.209597,12.296498,11.992344,12.209597,1381500
1999-03-29,12.253055,12.339957,11.731649,11.862000,1942700
1999-03-30,11.688188,11.775089,11.557837,11.557837,945000
1999-03-31,11.688191,12.383400,11.688191,12.166147,1450600
1999-04-01,12.166145,12.383398,11.948893,11.948893,772800
1999-04-05,11.861991,11.861991,11.601288,11.644738,619600
1999-04-06,11.601297,12.079253,11.601297,11.862000,994000
1999-04-07,11.992342,12.122694,11.688189,11.688189,589500
1999-04-08,11.818540,11.992342,11.557837,11.644738,707800
1999-04-09,11.601285,12.383394,11.601285,12.383394,1442100
1999-04-12,12.687549,13.122054,12.600648,13.035153,2015100
1999-04-13,13.035155,13.295858,12.904803,12.991704,1387800
1999-04-14,12.861359,13.078612,12.426854,12.470304,1677500
