date,open,high,low,close,volume
1999-01-04,4.312589,4.383432,4.286023,4.321445,728634
1999-01-05,4.321443,4.321443,4.286021,4.294877,771135
1999-01-06,4.294878,4.303733,4.250600,4.259456,740086
1999-01-07,4.286024,4.294880,4.232891,4.241747,439013
1999-01-08,4.250602,4.250602,4.197470,4.197470,401092
1999-01-11,4.179759,4.179759,4.126626,4.126626,525034
1999-01-12,4.117770,4.144337,4.108915,4.144337,603420
1999-01-13,4.135481,4.179758,4.108914,4.153192,792768
1999-01-14,4.126626,4.162048,4.117770,4.144337,1094350
1999-01-15,4.144336,4.144336,4.108915,4.135481,190366
1999-01-19,4.126627,4.126627,4.046928,4.055783,579242
1999-01-20,4.055783,4.055783,3.976084,3.984940,438504
1999-01-21,4.002651,4.064639,4.002651,4.055783,2772269
1999-01-22,4.038072,4.046927,4.020361,4.038072,636250
1999-01-25,4.055783,4.064638,4.011505,4.029216,253737
1999-01-26,4.020361,4.029217,3.967229,3.984940,651266
1999-01-27,3.976717,3.985653,3.896288,3.905225,1886609
1999-01-28,3.914163,3.958845,3.914163,3.923099,575679
1999-01-29,3.923099,3.932036,3.878417,3.878417,453519
1999-02-01,3.878419,3.896291,3.797991,3.797991,618181
1999-02-02,3.789052,3.797989,3.681815,3.735434,989242
1999-02-03,3.735434,3.860544,3.726498,3.860544,4139188
1999-02-04,3.878419,3.878419,3.789054,3.797991,1318056
1999-02-05,3.780119,3.824801,3.780119,3.789055,598075
1999-02-08,3.797989,3.815862,3.771179,3.806925,1195387
1999-02-09,3.824799,3.824799,3.735434,3.762243,2311878
1999-02-10,3.753308,3.797991,3.753308,3.797991,2042617
1999-02-11,3.824800,3.869482,3.797991,3.851609,4082944
1999-02-12,3.833734,3.842670,3.744370,3.744370,1454977
1999-02-16,3.753307,3.833735,3.753307,3.780117,461663
1999-02-17,3.771180,3.824799,3.753307,3.780117,1404840
1999-02-18,3.789054,3.824800,3.780118,3.797991,1069409
1999-02-19,3.806927,3.806927,3.780118,3.797991,788187
1999-02-22,3.833735,3.833735,3.753307,3.780117,1387280
1999-02-23,3.771180,3.780116,3.690752,3.699688,562954
1999-02-24,3.699688,3.771179,3.690751,3.735434,1137361
1999-02-25,3.744370,3.744370,3.637132,3.735434,326778
1999-02-26,3.744370,3.771179,3.708624,3.708624,1558558
1999-03-01,3.717562,3.726499,3.663943,3.681816,336958
1999-03-02,3.690752,3.896290,3.690752,3.860544,1883809
1999-03-03,3.869482,3.967783,3.869482,3.940973,2478067
1999-03-04,3.949908,3.976718,3.932035,3.958845,1683518
1999-03-05,3.976719,4.039273,3.976719,4.039273,567026
1999-03-08,4.021399,4.021399,3.985654,3.985654,1700824
1999-03-09,3.976718,4.003527,3.932035,3.958845,1241960
1999-03-10,3.958846,3.967782,3.940973,3.967782,859192
1999-03-11,3.967782,3.967782,3.923100,3.932036,774698
1999-03-12,3.923100,3.967782,3.896291,3.967782,604183
1999-03-15,3.949908,3.958845,3.860544,3.923099,1019527
1999-03-16,3.905227,3.958846,3.896290,3.932036,583569
1999-03-17,3.923099,3.958845,3.914162,3.958845,627343
1999-03-18,3.940972,3.985654,3.923099,3.976718,218616
1999-03-19,3.932037,3.985655,3.932037,3.967782,640577
1999-03-22,3.967780,3.985653,3.905225,3.905225,509509
1999-03-23,3.923100,3.958846,3.923100,3.940973,949794
1999-03-24,3.940972,4.164383,3.940972,4.164383,3200847
1999-03-25,4.128636,4.128636,4.048208,4.083954,1752487
1999-03-26,4.066081,4.110764,4.030336,4.030336,854102
1999-03-29,4.039273,4.075019,4.003527,4.057146,2542710
1999-03-30,4.021400,4.057146,3.994591,3.994591,2047198
1999-03-31,3.940972,3.940972,3.824799,3.860544,1067882
1999-04-01,3.842671,3.985654,3.833734,3.958845,696058
1999-04-05,3.994591,4.030337,3.896290,3.923099,554301
1999-04-06,3.914163,3.958845,3.887353,3.887353,716927
1999-04-07,3.905225,3.905225,3.815861,3.842670,1057193
1999-04-08,3.824798,3.949908,3.824798,3.923099,454283
1999-04-09,3.914161,3.923098,3.878415,3.905225,363426
1999-04-12,3.887353,3.923099,3.833735,3.923099,671880
1999-04-13,3.896289,3.914162,3.869480,3.869480,324488
1999-04-14,3.869480,3.896289,3.833734,3.842670,419671
1999-04-15,3.789052,3.860544,3.789052,3.815862,784115
1999-04-16,3.806926,3.851608,3.771180,3.824799,618435
1999-04-19,3.842671,3.985654,3.789052,3.923099,838578
1999-04-20,3.914162,4.039272,3.914162,3.985654,761464
1999-04-21,4.003527,4.003527,3.896290,3.923099,703693
1999-04-22,3.940972,3.949909,3.869481,3.887353,271297
1999-04-23,3.842673,3.878419,3.824800,3.851609,622762
1999-04-26,3.842671,3.869481,3.797989,3.815862,1321110
1999-04-27,3.824799,3.932037,3.824799,3.914164,458100
1999-04-28,3.887823,3.959987,3.887823,3.959987,1416038
1999-04-29,3.959988,4.005090,3.941947,4.005090,744158
1999-04-30,4.005090,4.032152,3.923906,4.005090,626325
1999-05-03,3.987048,4.005089,3.950966,3.996069,203855
1999-05-04,3.969008,3.996069,3.959987,3.969008,417635
1999-05-05,3.969008,3.996070,3.923906,3.978029,436213
1999-05-06,3.969007,3.969007,3.914884,3.923905,333904
1999-05-07,3.905863,3.914883,3.860760,3.878801,1097659
1999-05-10,3.887825,3.896845,3.878804,3.887825,230068
1999-05-11,3.860760,3.905863,3.851740,3.878801,856647
1999-05-12,3.878801,3.887822,3.806637,3.878801,567790
1999-05-13,3.887822,3.914884,3.878802,3.914884,1188515
1999-05-14,3.896844,3.896844,3.824680,3.860762,467517
1999-05-17,3.851741,3.932925,3.842721,3.923905,907038
1999-05-18,3.905863,3.941945,3.905863,3.914884,483805
