date,open,high,low,close,volume
1999-01-04,19.890263,20.344225,19.369048,19.436302,879469
1999-01-05,19.436303,19.806197,19.436303,19.705317,703486
1999-01-06,18.494745,18.696505,17.889461,18.646065,4110681
1999-01-07,18.511556,18.612437,18.192102,18.292982,1994245
1999-01-08,18.292987,18.326614,17.082422,17.553198,1874931
1999-01-11,17.586819,17.872648,17.586819,17.721327,685778
1999-01-12,17.654080,17.670894,17.401879,17.586826,1053016
1999-01-13,17.317807,17.334620,16.611645,17.267366,1861428
1999-01-14,17.267367,17.401875,16.813406,16.830219,1254234
1999-01-15,16.897474,16.998354,16.813407,16.914288,1109463
1999-01-19,17.149676,17.216930,16.678900,16.813408,515108
1999-01-20,16.796593,16.863846,16.477138,16.645271,453791
1999-01-21,16.376265,16.510772,16.006370,16.376265,1058329
1999-01-22,16.308999,16.376252,16.006358,16.208118,1331931
1999-01-25,16.208125,16.527579,16.208125,16.443512,405977
1999-01-26,16.443510,16.695711,16.157682,16.191309,902269
1999-01-27,16.140874,16.208127,15.501964,15.569218,722081
1999-01-28,15.569215,15.569215,15.266574,15.468334,1301605
1999-01-29,15.501952,15.569206,15.232938,15.333818,582623
1999-02-01,15.871848,17.149666,15.838221,16.847025,2077698
1999-02-02,16.863848,17.317809,16.544393,17.284184,1115440
1999-02-03,17.284184,18.158481,17.284184,17.637264,2005313
1999-02-04,17.704519,17.855839,17.553199,17.603640,1263531
1999-02-05,17.805406,17.889473,17.637272,17.822220,661428
1999-02-08,17.771779,17.939913,17.553205,17.822220,621140
1999-02-09,17.788581,17.822208,17.250552,17.418686,1170559
1999-02-10,17.385058,17.401871,16.947910,17.065603,662092
1999-02-11,17.099236,17.099236,16.393074,16.779781,2054898
1999-02-12,16.813401,16.914282,16.409879,16.477133,318760
1999-02-16,16.544399,16.779787,16.174504,16.376265,703486
1999-02-17,16.376252,16.376252,16.090424,16.208118,469286
1999-02-18,16.309012,16.443518,16.241758,16.376265,440509
1999-02-19,16.443513,16.678900,16.342633,16.544394,544770
1999-02-22,16.678894,16.678894,16.224933,16.578014,670061
1999-02-23,16.645274,16.746155,16.107245,16.712528,751965
1999-02-24,16.947919,17.065612,16.830224,16.880665,499391
1999-02-25,16.870502,16.972030,16.464392,16.904345,382955
1999-02-26,16.972036,17.090486,16.836666,16.870508,274267
1999-03-01,16.802820,16.853584,16.565922,16.718214,414610
1999-03-02,16.684370,16.921267,16.464394,16.532078,1026895
1999-03-03,16.532074,16.768973,16.278256,16.329020,1057222
1999-03-04,16.430557,17.225857,16.430557,17.005880,1879137
1999-03-05,16.972039,17.022803,16.329030,16.785904,813946
1999-03-08,16.819741,16.853584,16.582844,16.684372,416602
1999-03-09,16.701291,16.768976,16.565920,16.616684,249032
1999-03-10,16.616681,16.633602,16.413626,16.464390,627338
1999-03-11,16.532081,16.616688,16.413633,16.515160,611400
1999-03-12,16.650535,17.192015,16.650535,17.107409,720310
1999-03-15,17.158171,17.581203,17.158171,17.581203,597897
1999-03-16,17.682732,18.038078,17.598126,17.767338,861538
1999-03-17,17.767331,17.868859,17.665805,17.801174,566242
1999-03-18,17.665805,17.851938,17.598119,17.801174,239292
1999-03-19,17.801171,17.801171,17.327376,17.395061,475484
1999-03-22,17.395060,17.395060,16.921264,17.056635,278251
1999-03-23,17.022804,17.090489,16.650536,16.701300,294632
1999-03-24,16.718219,16.955116,16.684376,16.735140,308578
1999-03-25,16.735130,16.853578,16.548995,16.667444,415274
1999-03-26,16.684370,16.684370,16.109047,16.227495,711898
1999-03-29,16.362862,16.481310,16.312098,16.464390,703929
1999-03-30,16.329025,16.329025,15.939836,16.109049,769231
1999-03-31,16.176732,16.481313,16.109046,16.210573,656115
1999-04-01,16.210583,16.345954,16.159819,16.261347,385169
1999-04-05,16.244417,16.379787,16.159810,16.227495,428777
1999-04-06,16.244424,16.295188,15.905999,15.922919,440066
1999-04-07,15.872155,15.905998,15.516808,15.702942,887880
1999-04-08,15.736778,15.753699,15.601407,15.635251,138129
1999-04-09,15.669099,15.889075,15.635258,15.702942,359934
1999-04-12,15.635261,16.430560,15.618338,16.413639,497178
1999-04-13,16.413632,16.684372,16.058285,16.109049,416381
1999-04-14,15.973676,16.853581,15.905991,16.616684,715661
1999-04-15,16.785902,17.395069,16.785902,17.090487,621140
1999-04-16,17.327383,17.936549,17.293540,17.750414,665412
1999-04-19,17.818093,18.478022,17.784250,18.190361,1489762
1999-04-20,18.190364,18.190364,17.462749,17.496592,506475
1999-04-21,17.631960,18.038070,17.496590,17.547354,551411
1999-04-22,17.513510,17.547352,17.310455,17.395061,340897
1999-04-23,17.395072,17.513520,17.242780,17.361229,489873
1999-04-26,17.428906,17.530434,17.327379,17.344299,815938
1999-04-27,18.004234,18.004234,17.056644,17.090487,1179635
1999-04-28,17.090483,17.665806,17.090483,17.513514,1043276
1999-04-29,17.547363,17.750417,17.344306,17.361229,432097
1999-04-30,17.530437,17.665808,17.175090,17.310461,649032
