date,open,high,low,close,volume
1999-01-04,9.275430,9.348657,8.787250,8.787250,4078800
1999-01-05,8.909293,8.958112,8.726226,8.762839,1962400
1999-01-06,9.055748,9.080157,8.884885,8.958112,3852400
1999-01-07,8.762841,9.055750,8.665205,9.031341,4138800
1999-01-08,9.373068,9.397477,9.202205,9.324250,5279200
1999-01-11,10.129747,10.386042,9.617158,9.958884,4590800
1999-01-12,10.349429,10.617929,9.470704,9.836840,3138000
1999-01-13,8.591979,10.227385,8.543161,10.227385,5205600
1999-01-14,10.300608,10.373835,9.641564,9.739201,5621200
1999-01-15,9.788018,10.434857,9.763609,10.300608,2059600
1999-01-19,11.057290,11.081699,10.447064,10.837608,3138000
1999-01-20,10.959652,11.081697,10.447062,10.447062,2546400
1999-01-21,10.556905,10.691155,9.934475,9.958884,2757200
1999-01-22,9.788019,9.812428,9.324248,9.373066,2942800
1999-01-25,9.665974,9.714792,9.275429,9.568337,3190800
1999-01-26,9.861249,9.934476,9.568340,9.763613,2018000
1999-01-27,9.861249,10.044316,9.690385,9.836840,1848000
1999-01-28,9.812432,10.361636,9.763614,10.178568,2166400
1999-01-29,10.471472,10.691154,10.276200,10.349427,2197600
1999-02-01,10.935242,10.959651,10.202972,10.300608,2632400
1999-02-02,10.300608,10.300608,9.910063,10.300608,2262000
1999-02-03,10.495882,10.538598,9.763611,10.276200,2589600
1999-02-04,10.276202,10.276202,9.470704,9.592750,1509600
1999-02-05,9.690384,9.751407,8.555365,9.031341,4401600
1999-02-08,9.397477,9.495113,9.031342,9.324250,3830800
1999-02-09,9.251023,9.287636,8.494343,8.567570,3269200
1999-02-10,8.591977,8.775045,8.494341,8.628591,3221600
1999-02-11,8.909297,10.154157,8.884888,10.129748,3359600
1999-02-12,9.885658,9.995499,8.958115,9.324250,3715600
1999-02-16,9.665974,9.836837,8.933703,8.970317,1686800
1999-02-17,8.738433,8.964217,8.103798,8.177025,5369200
1999-02-18,8.591981,8.591981,7.444756,7.737665,16887600
1999-02-19,7.932937,8.445527,7.737665,8.396708,8070400
1999-02-22,8.543161,8.811660,8.445525,8.738433,4898400
1999-02-23,8.884885,9.116771,8.738431,8.970317,3862400
1999-02-24,9.080155,9.153382,8.274658,8.299067,4383600
1999-02-25,8.299072,8.469936,8.067186,8.396708,3811200
1999-02-26,8.518752,8.518752,8.128207,8.201434,2631600
1999-03-01,8.201434,8.421115,7.993957,8.201434,2484800
1999-03-02,8.323479,8.640796,8.201434,8.323479,2714000
1999-03-03,8.421112,8.433316,8.201430,8.299067,1542000
1999-03-04,8.372297,8.689614,8.250252,8.555365,2060400
1999-03-05,8.701820,9.092364,8.640797,8.933705,1807200
1999-03-08,9.165592,9.177796,8.884888,8.884888,2200800
1999-03-09,8.848274,8.933705,8.640797,8.738433,2668800
1999-03-10,8.836068,8.836068,8.530955,8.665205,2248800
1999-03-11,8.616390,8.762845,8.396709,8.543163,3392400
1999-03-12,8.469933,8.567569,7.957343,8.116002,3034800
1999-03-15,8.201435,8.530957,8.079390,8.408912,3209200
1999-03-16,8.494344,9.104570,8.494344,8.860479,5816800
1999-03-17,8.884885,9.226612,8.787249,9.177794,4364400
1999-03-18,9.434088,10.544698,9.299838,10.520289,9391600
1999-03-19,10.837611,10.984065,10.105340,10.569112,7625200
1999-03-22,10.593516,10.788789,10.422653,10.520289,3348800
1999-03-23,10.617928,10.642337,9.360863,9.543931,4972800
1999-03-24,9.568338,10.080927,9.495111,10.032109,3477600
1999-03-25,10.154157,10.447065,9.983294,10.105339,2833600
