date,open,high,low,close,volume
1999-01-04,5.662374,5.891487,5.662374,5.785113,802800
1999-01-05,5.776931,5.956948,5.768748,5.866940,684800
1999-01-06,6.104239,6.145152,5.940586,6.022412,2072000
1999-01-07,6.022413,6.104239,5.997865,6.104239,2203200
1999-01-08,6.153330,6.578827,6.153330,6.521548,3590800
1999-01-11,6.521553,6.529736,6.431544,6.488822,2084800
1999-01-12,6.521552,6.529735,6.284256,6.284256,1429600
1999-01-13,6.251527,6.259709,6.022413,6.096057,1292800
1999-01-14,6.071506,6.145150,5.965132,6.014228,1407600
1999-01-15,6.022408,6.194243,6.006043,6.153330,1173200
1999-01-19,6.153334,6.218795,6.006047,6.087873,1756000
1999-01-20,6.055140,6.112418,5.907853,5.940583,1718800
1999-01-21,5.940584,6.251524,5.866940,6.235158,1300000
1999-01-22,6.235161,6.276074,5.858760,5.932404,855600
1999-01-25,5.973314,6.235157,5.973314,6.194244,1102400
1999-01-26,6.153333,6.316986,6.087872,6.308803,1768000
1999-01-27,6.308803,6.382447,6.071507,6.120603,2564000
1999-01-28,6.382446,6.447907,6.300619,6.366080,1805600
1999-01-29,6.366080,6.529732,6.366080,6.415175,1699200
1999-02-01,6.415176,6.480637,6.374263,6.472454,867200
1999-02-02,6.447905,6.447905,6.300618,6.423357,1861200
1999-02-03,6.423359,6.505186,6.235159,6.259707,2013200
1999-02-04,6.169701,6.169701,6.022413,6.096057,3634800
1999-02-05,6.079690,6.423360,6.006047,6.382447,2337600
1999-02-08,6.374264,6.374264,6.136968,6.202429,1252000
1999-02-09,6.194246,6.194246,6.071507,6.071507,1471200
1999-02-10,6.096053,6.096053,5.940584,5.989679,1219600
1999-02-11,5.956951,6.006047,5.907855,5.973316,674400
1999-02-12,5.973317,6.120604,5.875125,6.104239,1108800
1999-02-16,6.104236,6.136967,5.727835,5.826027,1746400
1999-02-17,5.809661,5.989678,5.744200,5.793295,1320800
1999-02-18,5.776931,5.940583,5.744200,5.866940,905200
1999-02-19,5.842394,5.891490,5.646011,5.662376,1201200
1999-02-22,5.662375,5.891488,5.629644,5.776931,1282800
1999-02-23,5.744202,5.850576,5.727836,5.752384,1738800
1999-02-24,5.760569,5.842395,5.736021,5.842395,1683200
1999-02-25,5.695105,5.776931,5.695105,5.776931,1156800
1999-02-26,5.768751,5.834212,5.760569,5.834212,800400
1999-03-01,5.776929,5.776929,5.695103,5.703286,1024400
1999-03-02,5.695105,5.768749,5.629644,5.637827,542800
1999-03-03,5.637827,5.654192,5.547818,5.564183,1256000
1999-03-04,5.564184,5.695106,5.449627,5.654193,1972000
1999-03-05,5.686921,5.752382,5.588730,5.629643,1129600
1999-03-08,5.629643,5.678739,5.613278,5.629643,1763200
1999-03-09,5.629645,5.629645,5.465993,5.465993,2354000
1999-03-10,5.490538,5.629643,5.482356,5.605095,810800
1999-03-11,5.637827,5.695105,5.580548,5.646009,468400
1999-03-12,5.654192,5.695106,5.564184,5.572366,818000
1999-03-15,5.580548,5.613278,5.531452,5.596913,1302000
1999-03-16,5.580547,5.596913,5.474173,5.539634,1034000
1999-03-17,5.556000,5.629643,5.465991,5.596913,1268000
1999-03-18,5.547817,5.727835,5.531452,5.670557,1188800
1999-03-19,5.891487,5.899670,5.834209,5.866940,1552800
1999-03-22,5.850574,5.850574,5.727834,5.793295,449200
1999-03-23,5.760565,5.760565,5.564182,5.605095,585200
1999-03-24,5.637825,5.752382,5.564182,5.727834,737600
1999-03-25,5.727838,6.120604,5.727838,5.834212,1528800
1999-03-26,5.809660,5.965130,5.793295,5.956947,1094000
1999-03-29,5.974018,6.006842,5.941194,5.949400,850000
1999-03-30,5.916574,5.949398,5.736041,5.752453,1289200
1999-03-31,5.777071,5.965811,5.752453,5.785277,947600
1999-04-01,5.924779,6.236610,5.924779,6.129931,1812800
1999-04-05,6.138140,6.441765,6.138140,6.441765,1586400
1999-04-06,6.408940,6.458177,6.277643,6.335086,1315600
1999-04-07,6.310468,6.515620,6.310468,6.499208,1135600
1999-04-08,6.532029,6.532029,6.466380,6.515616,961200
1999-04-09,6.499206,6.548442,6.433557,6.548442,560000
1999-04-12,6.548445,6.687948,6.540239,6.663330,1699600
1999-04-13,6.646912,6.884888,6.614087,6.868475,2150000
1999-04-14,6.868476,7.344427,6.852064,7.328015,2308400
1999-04-15,7.328016,7.779350,7.328016,7.549580,5423600
1999-04-16,7.615233,7.877827,7.582408,7.713706,3838400
1999-04-19,7.664471,7.951683,7.664471,7.697295,3914800
1999-04-20,7.664465,7.672671,7.328016,7.385458,3796000
1999-04-21,7.385464,7.516761,7.237755,7.295197,3404000
1999-04-22,7.295198,7.475731,7.229549,7.401876,2670800
1999-04-23,7.319813,7.344431,7.213134,7.278782,1868400
1999-04-26,7.286990,7.286990,7.122869,7.122869,1926000
1999-04-27,7.221338,7.500344,7.221338,7.434695,3534400
1999-04-28,7.442906,7.820385,7.442906,7.730118,2352400
1999-04-29,7.738322,7.894238,7.738322,7.754735,2805200
1999-04-30,7.812178,7.943475,7.500347,7.705499,2277600
1999-05-03,7.705496,7.943472,7.648054,7.943472,1776400
1999-05-04,7.943480,8.033747,7.918862,7.951686,2969200
1999-05-05,8.000919,8.000919,7.812179,7.902446,1336400
1999-05-06,7.886032,8.115802,7.869620,7.959887,2262000
1999-05-07,7.959888,7.992713,7.615233,7.787561,1078000
1999-05-10,7.762938,7.762938,7.615229,7.631641,839600
1999-05-11,7.631645,7.795767,7.631645,7.730118,959200
1999-05-12,7.730114,7.762938,7.631641,7.631641,1092400
1999-05-13,7.598817,7.730114,7.533168,7.615229,1009200
1999-05-14,7.516761,7.516761,7.278785,7.295197,1289200
1999-05-17,7.286984,7.516754,7.221335,7.221335,1335200
1999-05-18,7.155692,7.237753,6.901304,6.966953,957600
1999-05-19,7.032601,7.098250,6.852068,6.876686,964400
1999-05-20,6.876685,7.114661,6.876685,7.090043,1764400
1999-05-21,7.122865,7.237750,7.106453,7.180307,930800
1999-05-24,7.180310,7.270577,7.016188,7.024395,915200
1999-05-25,7.024394,7.090043,6.728976,6.728976,574000
1999-05-26,6.761800,6.843861,6.720770,6.737182,979600
1999-05-27,6.737180,6.860271,6.573059,6.614089,1072800
1999-05-28,6.589475,6.638712,6.507415,6.556651,585600
1999-06-01,6.589472,6.753594,6.523824,6.745388,1516800
1999-06-02,6.728976,6.802830,6.671533,6.728976,1265600
1999-06-03,6.630505,6.630505,6.031462,6.170965,7810000
1999-06-04,6.170964,6.203789,5.982225,6.097110,4058000
1999-06-07,6.097107,6.105313,6.006841,6.031459,2785600
1999-06-08,6.006844,6.064287,5.974020,6.039669,4207200
1999-06-09,6.138137,6.220198,6.105313,6.138137,4874800
1999-06-10,6.138137,6.170962,6.031458,6.138137,3022800
1999-06-11,6.138138,6.146344,5.916574,5.941193,2022800
1999-06-14,5.941192,5.974016,5.908368,5.932986,2768400
1999-06-15,6.006839,6.105311,5.941190,6.064281,3732000
1999-06-16,6.170963,6.211994,6.097109,6.162757,1597200
1999-06-17,6.154549,6.351494,6.121725,6.302258,1537200
1999-06-18,6.351498,6.408941,6.228407,6.253026,1648000
1999-06-21,6.269438,6.302262,6.064286,6.105316,1227600
1999-06-22,6.015047,6.072489,5.932986,5.974016,1700000
1999-06-23,6.006841,6.047871,5.916574,6.023253,1202000
1999-06-24,6.138141,6.154553,5.850928,5.859134,1846000
1999-06-25,5.875548,6.006845,5.875548,5.998639,1032000
1999-06-28,6.188573,6.287327,6.139196,6.254409,2436400
1999-06-29,6.254409,6.320245,6.163885,6.188573,1916800
1999-06-30,6.229720,6.254408,6.180343,6.246179,859200
1999-07-01,6.254409,6.435457,6.106278,6.427228,1555600
1999-07-02,6.451917,6.493064,6.418999,6.443687,1774000
1999-07-06,6.427228,6.517752,6.369621,6.460145,1012400
1999-07-07,6.460145,6.484834,6.451916,6.468375,755600
1999-07-08,6.468377,6.583590,6.460148,6.542443,1228800
1999-07-09,6.542438,6.665880,6.534208,6.616503,1320800
1999-07-12,6.715260,6.731719,6.460146,6.558900,972400
1999-07-13,6.542437,6.632962,6.542437,6.550667,1051600
1999-07-14,6.583586,6.583586,6.427226,6.493062,454800
1999-07-15,6.460146,6.484835,6.328474,6.353163,565200
1999-07-16,6.386081,6.418998,6.320245,6.410769,937200
1999-07-19,6.443686,6.443686,6.048671,6.130966,1417200
1999-07-20,6.130965,6.369620,6.130965,6.312014,908800
1999-07-21,6.336702,6.534209,6.336702,6.493062,1184400
1999-07-22,6.517751,6.649423,6.435457,6.632964,1654800
1999-07-23,6.781095,6.781095,6.641194,6.641194,1909200
