date,open,high,low,close,volume
1999-01-04,19.609111,19.724459,19.118883,19.349579,1235200
1999-01-05,19.176553,19.205390,19.003531,19.061205,501800
1999-01-06,19.003524,19.291893,18.945850,19.118872,1031000
1999-01-07,19.090042,19.176553,18.859346,19.061205,1158700
1999-01-08,19.061206,19.234228,18.888185,19.003532,905100
1999-01-11,18.974696,19.118881,18.830512,18.888186,1146100
1999-01-12,18.917022,18.945859,18.744001,18.888186,954300
1999-01-13,18.513314,18.888195,18.455640,18.830521,684400
1999-01-14,18.830519,18.859355,17.705878,18.196106,1215500
1999-01-15,18.253779,18.542149,18.253779,18.542149,892500
1999-01-19,18.513311,18.570985,18.080757,18.109594,990500
1999-01-20,18.196096,18.196096,17.648194,17.734705,1441500
1999-01-21,17.705874,17.705874,16.783092,16.783092,4818500
1999-01-22,16.783089,17.821218,16.638904,17.561686,2691500
1999-01-25,17.561687,17.561687,17.244481,17.504013,1721200
1999-01-26,17.446331,18.109580,17.446331,17.994232,1788800
1999-01-27,18.109580,18.455623,17.965395,17.994232,1119400
1999-01-28,17.936570,19.234231,17.936570,19.176558,2316600
1999-01-29,19.176558,19.320742,19.061210,19.176558,1563800
1999-02-01,19.839807,19.839807,19.003536,19.349579,931000
1999-02-02,18.917027,19.205396,18.888190,19.147722,1033100
1999-02-03,19.176559,19.205396,18.628657,18.917027,910500
1999-02-04,19.551425,19.897468,19.147708,19.810957,1712800
1999-02-05,19.810966,20.474215,19.724455,20.301193,1799500
1999-02-08,19.839796,20.070492,19.666775,19.868633,981500
1999-02-09,19.839807,20.272361,19.695623,20.214687,1225000
1999-02-10,20.474211,20.877928,20.272353,20.877928,1874600
1999-02-11,20.791417,20.906765,20.647232,20.877928,1938300
1999-02-12,20.762591,20.849102,20.531896,20.618406,846200
1999-02-16,20.906768,21.223974,20.762583,20.791420,1190100
1999-02-17,20.768250,21.289629,20.739284,21.202732,1134600
1999-02-18,21.289632,22.071700,21.260667,21.550322,1875000
1999-02-19,21.550318,21.666180,21.347560,21.637215,883700
1999-02-22,21.579281,21.608247,20.971006,21.318592,754400
1999-02-23,21.347566,21.434463,21.144808,21.376532,648300
1999-02-24,21.376523,21.376523,20.681352,20.739283,845000
1999-02-25,20.565493,20.594458,19.348943,20.102045,1699900
1999-02-26,20.246870,20.246870,19.522733,19.696526,765500
1999-03-01,19.696524,19.870317,19.464800,19.464800,923900
1999-03-02,19.696530,20.246874,19.609633,20.131012,1162300
1999-03-03,20.131005,20.768246,20.044109,20.420660,1412900
1999-03-04,20.391699,20.971008,20.391699,20.855146,1126600
1999-03-05,20.913080,21.839975,20.913080,21.839975,1138100
1999-03-08,21.839975,21.839975,21.405493,21.492390,935300
1999-03-09,21.289632,21.579287,21.057908,21.550322,903800
1999-03-10,21.550318,21.550318,21.086871,21.405491,520700
1999-03-11,21.405484,21.811001,21.231691,21.347553,491000
1999-03-12,21.666184,22.129632,21.666184,21.984804,818500
1999-03-15,21.984807,22.013773,21.550325,22.013773,558600
1999-03-16,21.782042,22.100662,21.579284,22.100662,573200
1999-03-17,22.071693,22.824795,21.984796,22.679968,1458100
1999-03-18,22.679968,22.795830,22.390313,22.448244,617000
1999-03-19,22.332384,22.361349,21.897902,21.897902,563700
1999-03-22,21.724109,21.796522,21.550316,21.782040,393400
1999-03-23,21.724111,21.753076,21.144801,21.202732,414000
1999-03-24,21.318581,21.782029,21.086858,21.753063,638900
1999-03-25,21.782040,23.462038,21.724109,22.882729,1625500
1999-03-26,22.766872,23.172389,22.593079,23.114458,1188500
1999-03-29,23.172392,23.259288,22.853772,23.172392,1032300
1999-03-30,22.940664,22.998595,22.042734,22.071699,644000
1999-03-31,22.187566,22.564117,21.086877,22.013773,2037700
1999-04-01,21.897911,22.013773,21.753084,22.013773,945400
1999-04-05,21.897902,21.955832,21.608247,21.897902,646900
1999-04-06,21.897902,21.897902,21.260661,21.782040,830800
1999-04-07,21.782040,22.013763,21.376523,21.782040,705700
1999-04-08,21.897898,22.361345,21.897898,22.361345,851200
1999-04-09,22.390318,22.390318,22.013767,22.158594,740900
1999-04-12,21.782053,22.737915,21.666191,22.535156,761300
1999-04-13,22.419278,22.853760,22.390312,22.853760,954000
1999-04-14,22.737898,22.853760,22.245485,22.708933,572000
1999-04-15,22.737898,22.882725,22.419278,22.506174,692700
1999-04-16,22.535140,22.535140,22.390312,22.506174,624700
1999-04-19,22.477219,23.114459,22.477219,22.477219,710200
1999-04-20,22.593071,22.708933,22.535140,22.708933,1102000
1999-04-21,22.940662,24.099281,22.882731,24.099281,883000
1999-04-22,23.867557,23.867557,23.172386,23.201351,638100
1999-04-23,23.317209,23.577898,23.288243,23.462036,441200
1999-04-26,23.491007,23.491007,22.651008,22.911697,568000
1999-04-27,22.911689,22.911689,22.187552,22.245483,1237600
1999-04-28,22.245487,22.245487,21.144799,21.318592,1703800
1999-04-29,21.318598,21.839976,21.318598,21.550322,710600
1999-04-30,21.608253,22.187563,21.318598,21.984804,817200
1999-05-03,21.868935,22.448244,21.782038,22.448244,639700
1999-05-04,22.332392,22.390323,21.955841,22.187565,472000
1999-05-05,22.187566,22.187566,21.579290,21.811014,504300
1999-05-06,21.782048,22.361358,21.637221,22.187565,574100
1999-05-07,22.129625,22.332384,22.013763,22.129625,423000
1999-05-10,22.071694,22.071694,21.550316,21.782040,635900
1999-05-11,21.782045,21.839976,21.492391,21.550322,604000
1999-05-12,21.376530,21.897909,21.086876,21.666185,772200
1999-05-13,21.724108,21.868935,21.231695,21.260660,575600
1999-05-14,20.855142,21.231693,20.594452,21.144796,943500
1999-05-17,21.028944,21.347565,20.999979,21.231703,2359400
1999-05-18,21.202740,21.318602,20.797223,20.942051,1462200
1999-05-19,20.918778,21.180627,20.889684,21.093344,1183900
1999-05-20,20.947872,21.355192,20.947872,21.093344,1847100
1999-05-21,20.947852,20.976946,19.609517,20.365967,3075000
1999-05-24,20.133219,20.307784,19.900465,20.249596,1654000
1999-05-25,20.191400,20.220495,19.784081,19.813175,1490000
1999-05-26,19.784089,19.813183,19.202204,19.580429,1107100
1999-05-27,19.027644,19.173115,18.649418,18.678513,1266300
1999-05-28,18.620327,18.940364,18.591232,18.853081,853800
1999-06-01,18.329379,20.365977,17.922060,20.016846,3235300
1999-06-02,19.784094,20.773298,19.609528,20.773298,4549900
1999-06-03,20.831483,20.860578,20.249598,20.802389,2877300
1999-06-04,20.802389,21.035143,20.773295,20.947861,1338700
1999-06-07,20.918761,21.238797,20.831478,21.064232,967200
1999-06-08,21.006049,21.035143,20.831484,20.947861,909800
1999-06-09,20.947861,21.151520,20.831484,20.947861,1283700
1999-06-10,20.889684,20.976966,20.686024,20.686024,1165900
1999-06-11,20.656916,20.831482,20.482351,20.635096,651700
1999-06-14,20.540542,20.656919,20.395071,20.511448,740700
1999-06-15,20.482362,20.744210,20.278702,20.278702,642000
1999-06-16,20.307783,20.656914,20.307783,20.540537,1034100
1999-06-17,20.365987,20.773307,20.162327,20.686024,811600
1999-06-18,20.947861,21.267898,20.627824,20.976955,991100
1999-06-21,20.947858,21.762496,20.947858,21.733402,1113400
1999-06-22,21.529752,21.762506,21.326092,21.500658,619700
1999-06-23,21.413366,21.529743,21.180612,21.529743,1147100
1999-06-24,21.413363,21.471551,21.296986,21.413363,630500
1999-06-25,21.471553,21.500647,21.093327,21.151516,1290400
1999-06-28,21.238795,21.500643,21.180606,21.384266,1314500
1999-06-29,21.326081,21.587929,20.889667,21.355175,1350500
1999-06-30,21.384273,21.646121,21.267896,21.587933,1031500
1999-07-01,21.587938,21.587938,21.355184,21.471561,738000
1999-07-02,21.471562,22.169825,21.471562,22.169825,650900
1999-07-06,22.169819,22.228008,21.878877,22.198914,793300
1999-07-07,22.024354,22.198919,21.791600,21.937071,765900
1999-07-08,21.878874,21.995251,21.733403,21.878874,565900
1999-07-09,21.878888,21.966170,21.762511,21.907982,429800
1999-07-12,21.791596,21.878879,21.413371,21.704313,650000
1999-07-13,21.704310,21.733404,21.442461,21.587933,520100
1999-07-14,21.471555,21.617027,21.355178,21.442461,658800
1999-07-15,21.180619,21.180619,20.831488,20.860582,1273100
1999-07-16,20.918766,21.035143,20.773295,20.947861,693100
1999-07-19,20.947864,21.122430,20.744204,20.918770,520300
1999-07-20,20.947865,20.947865,20.395074,20.482357,615900
1999-07-21,20.365980,20.511451,20.162320,20.482357,550800
1999-07-22,20.365978,20.365978,19.784093,20.220507,1139700
1999-07-23,20.220510,20.220510,19.376776,19.522247,622600
1999-07-26,19.434961,19.784092,18.911265,19.551338,1391300
1999-07-27,20.133225,20.918770,19.784094,20.918770,2365500
1999-07-28,20.598731,20.802390,19.987751,20.511448,1376700
1999-07-29,20.016841,20.205954,19.900464,19.958652,1036300
1999-07-30,20.016836,20.307778,19.958648,20.133213,1260900
1999-08-02,20.133218,20.249595,19.900464,19.958652,1133400
1999-08-03,19.987751,20.016846,19.871374,20.016846,739200
1999-08-04,20.016840,20.016840,19.551332,19.784086,883500
1999-08-05,19.784085,20.016839,19.667708,19.929556,918800
1999-08-06,19.929564,19.929564,19.580433,19.842281,700100
1999-08-09,19.842280,19.929562,19.667714,19.725903,968900
1999-08-10,19.551340,19.551340,18.940361,19.318586,742500
1999-08-11,19.318585,19.434962,19.173114,19.347679,489900
1999-08-12,19.347682,19.464059,18.940362,19.405870,752200
1999-08-13,19.376769,19.405863,18.649413,18.940355,1407500
1999-08-16,18.969460,19.376780,18.969460,19.376780,467800
1999-08-17,19.376780,19.434968,18.911271,19.376780,703100
1999-08-18,19.499549,19.499549,18.827151,19.382610,841300
1999-08-19,19.177978,19.850376,19.177978,19.850376,2237900
1999-08-20,19.879613,19.879613,19.587265,19.645735,656800
1999-08-23,19.704198,19.938076,19.645729,19.938076,574600
1999-08-24,19.996545,20.025780,19.733433,19.938076,546000
1999-08-25,19.821140,20.025783,19.528793,19.821140,861900
1999-08-26,19.821146,19.967319,19.674972,19.762676,425700
1999-08-27,19.821142,19.850377,19.528795,19.616499,494600
1999-08-30,19.528784,19.645723,19.324141,19.382610,371600
1999-08-31,19.470328,19.587267,18.973337,19.177980,554900
1999-09-01,19.177976,19.821140,19.177976,19.558027,592600
1999-09-02,19.353387,19.499560,19.177978,19.324152,621000
1999-09-03,18.710220,18.827159,15.377462,15.377462,8993000
1999-09-07,15.786753,16.225274,14.909711,14.938946,8120500
1999-09-08,14.178834,15.143579,14.178834,14.500416,3485700
1999-09-09,14.938942,15.406698,14.588126,15.318994,2868700
1999-09-10,15.669809,15.728278,15.289758,15.435931,2361100
1999-09-13,15.435929,15.728276,15.289755,15.465163,1631600
1999-09-14,15.318995,15.348229,14.909709,14.997413,1382600
1999-09-15,15.319000,15.406704,14.968183,15.055887,1128400
1999-09-16,15.085113,15.085113,14.558888,14.705062,581100
1999-09-17,14.383478,14.734294,14.237304,14.646590,1683200
1999-09-20,14.734301,15.172822,14.734301,15.114352,1202500
1999-09-21,15.085121,15.114355,14.149609,14.266548,1572300
1999-09-22,14.266548,14.471191,13.769557,13.798792,1223400
1999-09-23,13.886491,13.886491,13.126389,13.155623,1274400
1999-09-24,13.184860,13.243329,12.629400,12.746339,1622200
1999-09-27,12.892515,13.038689,12.687872,12.717107,1707900
1999-09-28,12.629402,13.155627,12.629402,12.775576,1736000
1999-09-29,12.863274,13.740315,12.863274,13.067917,1933500
1999-09-30,13.126392,13.652617,13.097157,13.360270,3083100
1999-10-01,13.097152,13.184856,12.921743,13.067917,1115900
1999-10-04,12.980221,13.155629,12.892516,13.126394,753100
1999-10-05,13.126384,13.389497,12.775568,12.892507,856700
1999-10-06,12.863276,13.097154,12.775572,13.009450,1239200
1999-10-07,13.067925,13.389507,12.950986,13.126394,959600
1999-10-08,13.243330,13.447973,13.243330,13.331034,1030900
1999-10-11,13.389501,13.389501,12.980215,13.009450,594200
1999-10-12,12.892515,13.009454,12.717107,12.863280,1074600
1999-10-13,12.863275,12.950979,12.629397,12.629397,1314500
1999-10-14,12.687868,12.687868,11.810826,12.453990,2210500
1999-10-15,12.453993,12.629401,12.044707,12.278584,2164200
1999-10-18,12.249356,12.512469,12.161652,12.483234,1270700
1999-10-19,12.600160,12.687864,12.220109,12.512456,1897900
1999-10-20,12.483223,13.067917,12.395518,13.067917,1583200
1999-10-21,12.950978,13.097152,12.717100,13.067917,1349900
1999-10-22,13.155627,13.740321,13.067922,13.564913,1985800
1999-10-25,13.447965,13.798782,13.360261,13.711078,1088500
1999-10-26,13.681845,14.909702,13.652610,14.295774,3128800
1999-10-27,14.295782,14.675833,14.237312,14.617364,1612500
1999-10-28,14.646593,16.108329,14.646593,15.991390,1962700
1999-10-29,15.932923,16.371444,15.435933,16.196035,2026100
1999-11-01,16.225277,16.722267,16.137572,16.517624,1614200
1999-11-02,16.137564,16.429911,15.757513,16.400677,1973900
1999-11-03,16.283741,17.073078,16.079098,17.073078,1195500
1999-11-04,17.073078,17.073078,16.576087,16.663792,1156800
1999-11-05,16.663788,16.839196,16.225267,16.312971,1137200
1999-11-08,16.342210,16.488384,16.049863,16.371445,1015500
1999-11-09,16.196039,16.196039,13.564914,14.968181,3231700
1999-11-10,15.415339,16.592083,15.385921,16.268478,2535900
1999-11-11,16.268482,16.503831,15.915459,16.415575,955700
1999-11-12,16.415568,16.444987,15.768359,16.150801,1249200
1999-11-15,16.003708,16.209638,15.856615,16.150801,556400
1999-11-16,16.474410,16.768596,16.209643,16.739178,1403400
1999-11-17,16.709749,17.445214,16.650912,17.180447,1214100
1999-11-18,17.180461,17.180461,16.739182,16.915693,836400
1999-11-19,16.709757,16.768595,16.297897,16.444990,1065200
1999-11-22,16.239056,16.356731,15.738941,16.150801,1670100
1999-11-23,15.768365,16.239062,15.738946,16.003714,1154400
1999-11-24,15.768359,16.003708,15.444755,15.974289,836300
1999-11-26,15.856621,15.974295,15.827202,15.856621,267000
1999-11-29,15.680110,15.738947,15.121157,15.503598,971100
1999-11-30,15.297661,15.768358,15.297661,15.444754,1039700
1999-12-01,15.238827,15.415339,14.974060,14.974060,1068200
1999-12-02,15.062310,15.297659,14.885799,15.150566,777100
1999-12-03,15.297664,16.003710,15.297664,15.768361,1133200
1999-12-06,15.591853,16.003714,15.591853,15.856621,788300
1999-12-07,15.827197,15.827197,15.209407,15.415337,842200
1999-12-08,15.297659,15.474170,14.826962,15.062310,815000
1999-12-09,14.826968,15.121154,14.591620,14.679875,674700
1999-12-10,14.797543,15.768356,14.768124,15.062310,1096500
1999-12-13,15.062314,15.209406,14.885802,15.099087,673300
1999-12-14,14.768130,15.121153,14.621037,14.621037,864600
1999-12-15,14.621043,14.679880,14.150346,14.385695,1110700
1999-12-16,14.179761,14.209179,13.797319,14.150342,837000
1999-12-17,14.679876,14.944644,14.356272,14.532784,1789400
1999-12-20,14.179754,14.562196,14.179754,14.503359,923500
1999-12-21,14.356270,14.356270,13.473712,13.561968,914100
1999-12-22,13.679648,14.621043,13.620811,14.385695,1082800
1999-12-23,14.268015,14.326852,13.797317,14.091503,785700
1999-12-27,13.767899,14.473945,13.709062,13.885573,1359300
1999-12-28,13.944409,14.326850,13.944409,14.120920,716000
1999-12-29,14.120924,14.444529,14.003250,14.209180,405900
1999-12-30,13.944413,14.209180,13.826739,14.003250,456300
1999-12-31,13.767901,13.767901,13.179529,13.650227,501700
2000-01-03,13.650219,13.797312,13.003011,13.061848,1010500
2000-01-04,12.944181,13.738483,12.944181,13.385460,1194700
2000-01-05,13.297197,13.561964,12.885337,13.179523,902200
2000-01-06,13.091272,13.561969,13.003016,13.444295,2052500
2000-01-07,13.620806,13.885573,13.532550,13.885573,1780600
2000-01-10,13.885574,13.973830,13.356039,13.620807,1312600
2000-01-11,13.620807,14.062086,13.444295,13.473714,834100
2000-01-12,13.591383,13.650220,13.003012,13.297197,878800
2000-01-13,13.385460,13.473716,13.267786,13.326623,1297200
2000-01-14,13.885568,14.062079,13.414871,13.532545,2802000
2000-01-18,13.444294,14.238596,13.444294,14.062084,2117900
2000-01-19,14.003248,14.032666,13.532550,13.885573,1081200
2000-01-20,13.826738,14.591622,13.826738,14.444529,2006700
2000-01-21,14.944643,14.944643,14.444527,14.591619,1416500
2000-01-24,14.944641,14.944641,14.356269,14.356269,1375000
2000-01-25,14.356276,14.532787,14.356276,14.385695,1130300
2000-01-26,14.356270,14.503363,14.326851,14.415107,829700
2000-01-27,14.503365,14.826970,14.385691,14.709295,554800
2000-01-28,14.473945,14.562201,13.914992,14.032666,1032900
2000-01-31,14.062085,14.326852,14.003247,14.091503,736800
2000-02-01,14.003248,14.179759,13.885574,13.973829,618400
2000-02-02,13.973834,14.444532,13.973834,14.385695,863800
2000-02-03,14.768130,15.003479,12.708829,12.944178,3486000
2000-02-04,10.826038,11.149643,9.884644,11.061387,14708000
2000-02-07,11.532084,12.355805,11.473247,12.208712,6683000
2000-02-08,12.179297,13.473715,12.179297,13.414878,3148700
2000-02-09,12.708835,13.150114,12.267556,12.296974,3034800
2000-02-10,12.679411,12.679411,12.385225,12.444062,2317100
2000-02-11,12.385225,12.591156,12.355807,12.473481,2473600
2000-02-14,12.473480,13.091271,12.473480,12.944178,2504600
2000-02-15,12.826506,13.267785,12.649995,13.032436,2349400
2000-02-16,13.013456,13.250604,12.924526,13.102386,2049100
2000-02-17,12.983820,13.191324,12.420595,12.420595,1812900
2000-02-18,12.361309,12.361309,11.412719,11.709153,2355900
2000-02-22,11.620222,12.094517,11.590578,11.946300,951800
2000-02-23,11.916653,12.213087,11.560932,11.560932,1029700
2000-02-24,11.383072,11.798080,11.116281,11.294142,1653800
2000-02-25,11.560933,11.857368,11.056995,11.145926,1751600
2000-02-28,11.145924,11.887010,11.145924,11.560932,1128800
2000-02-29,11.560934,11.738794,10.968065,11.027352,1225900
2000-03-01,10.968064,11.383072,10.760560,11.234855,2068500
2000-03-02,11.560933,11.560933,10.938421,11.294142,1070000
2000-03-03,11.145924,11.590575,11.086637,11.472001,789900
2000-03-06,11.590581,11.709155,10.908782,10.968069,1154600
2000-03-07,10.938425,10.938425,10.612347,10.641991,1911200
2000-03-08,10.641987,11.027352,10.582700,10.938421,1225000
2000-03-09,10.790210,10.938427,10.464132,10.760567,1041700
2000-03-10,10.523413,10.641986,10.019475,10.197335,1619300
2000-03-13,10.197339,10.582703,10.108408,10.464129,1402500
2000-03-14,10.404840,10.404840,10.049119,10.256623,1183600
2000-03-15,10.078762,11.234855,10.078762,10.938421,1722400
2000-03-16,11.027354,11.887013,10.997710,11.620222,1305700
2000-03-17,11.887013,11.946300,11.649866,11.738796,1548600
2000-03-20,11.738793,11.827723,11.383072,11.560932,738600
2000-03-21,11.620222,12.094517,11.590578,11.946300,874000
2000-03-22,11.946303,12.005590,11.738799,11.798086,872700
2000-03-23,11.857373,11.857373,11.560939,11.798086,706800
2000-03-24,11.679504,11.975938,11.383070,11.442357,666900
2000-03-27,11.738792,11.768435,11.353427,11.472001,573200
