date,open,high,low,close,volume
1999-01-04,2.935731,2.965764,2.913206,2.943239,144893
1999-01-05,2.913206,2.980780,2.913206,2.958256,84211
1999-01-06,2.958256,2.980780,2.928223,2.943239,52013
1999-01-07,2.943239,2.988289,2.913206,2.943239,64603
1999-01-08,2.935731,2.950748,2.913207,2.950748,98659
1999-01-11,2.950747,2.973271,2.913205,2.928222,83386
1999-01-12,2.920714,2.943239,2.898189,2.898189,71208
1999-01-13,2.890681,2.943238,2.883172,2.928222,75955
1999-01-14,2.898188,2.913204,2.890680,2.890680,68731
1999-01-15,2.883173,2.965764,2.883173,2.950748,121157
1999-01-19,2.965763,2.965763,2.920714,2.928222,51187
1999-01-20,2.950747,2.988288,2.905698,2.913206,85656
1999-01-21,2.898191,2.898191,2.868158,2.883174,123014
1999-01-22,2.883173,2.913206,2.875664,2.898189,63158
1999-01-25,2.883173,2.905697,2.875664,2.898189,65842
1999-01-26,2.883174,2.890682,2.868158,2.883174,73891
1999-01-27,2.868158,2.883174,2.860650,2.868158,92880
1999-01-28,2.866039,2.896288,2.850915,2.866039,67286
1999-01-29,2.858478,2.888726,2.850916,2.888726,60062
1999-02-01,2.888726,2.896288,2.873602,2.888726,76781
1999-02-02,2.850915,2.858478,2.820667,2.850915,107741
1999-02-03,2.805541,2.843351,2.805541,2.835789,68938
1999-02-04,2.828228,2.843352,2.805542,2.805542,88958
1999-02-05,2.820667,2.850916,2.813105,2.813105,74304
1999-02-08,2.828229,2.850915,2.797981,2.843353,86894
1999-02-09,2.828229,2.843354,2.813105,2.820667,74923
1999-02-10,2.813104,2.828228,2.767731,2.805542,143654
1999-02-11,2.782854,2.805540,2.752606,2.767730,97834
1999-02-12,2.782858,2.782858,2.722361,2.752609,142003
1999-02-16,2.737483,2.737483,2.692110,2.714797,105677
1999-02-17,2.729920,2.752606,2.676985,2.676985,124666
1999-02-18,2.676986,2.775293,2.661862,2.722359,125698
1999-02-19,2.692110,2.699672,2.661862,2.684548,158722
1999-02-22,2.699672,2.722359,2.669424,2.722359,129619
1999-02-23,2.714797,2.767732,2.714797,2.760170,69970
1999-02-24,2.729919,2.737482,2.669423,2.692109,150878
1999-02-25,2.697597,2.728078,2.644255,2.667116,211560
1999-02-26,2.667117,2.712839,2.651876,2.659496,91642
1999-03-01,2.674735,2.712836,2.667114,2.682355,83386
1999-03-02,2.689977,2.758560,2.689977,2.750940,74098
1999-03-03,2.735700,2.766181,2.697598,2.705219,64603
1999-03-04,2.728081,2.728081,2.682359,2.697599,68112
1999-03-05,2.667118,2.712840,2.659498,2.697599,112075
1999-03-08,2.712838,2.720458,2.689977,2.689977,67906
1999-03-09,2.689979,2.712840,2.651878,2.697599,72240
1999-03-10,2.667115,2.689976,2.644254,2.651875,110424
1999-03-11,2.651876,2.697597,2.636635,2.644255,72240
1999-03-12,2.644255,2.651876,2.606153,2.621394,130445
1999-03-15,2.590912,2.621393,2.575671,2.606153,159960
1999-03-16,2.575672,2.613774,2.476608,2.560432,246029
1999-03-17,2.583292,2.682356,2.560431,2.667116,190507
1999-03-18,2.659498,2.705220,2.636637,2.697599,94118
1999-03-19,2.667116,2.697597,2.621394,2.667116,85243
1999-03-22,2.667115,2.674736,2.598532,2.651875,106709
1999-03-23,2.674735,2.674735,2.598531,2.629013,77194
1999-03-24,2.583291,2.651875,2.583291,2.651875,126936
1999-03-25,2.629015,2.674737,2.629015,2.659496,94118
1999-03-26,2.682356,2.697596,2.644254,2.651875,84418
1999-03-29,2.697596,2.712836,2.651874,2.682355,110837
1999-03-30,2.649730,2.680452,2.626689,2.642050,70176
1999-03-31,2.642049,2.642049,2.526844,2.580606,177298
1999-04-01,2.565245,2.619007,2.565245,2.619007,59030
1999-04-05,2.595968,2.626689,2.588287,2.611328,71002
1999-04-06,2.603649,2.626690,2.580608,2.626690,145099
1999-04-07,2.642051,2.649731,2.580608,2.626690,82766
1999-04-08,2.626690,2.626690,2.557567,2.588288,105883
1999-04-09,2.603647,2.688131,2.580606,2.672771,104851
1999-04-12,2.665094,2.718856,2.642052,2.718856,113933
1999-04-13,2.703492,2.703492,2.649729,2.672771,98453
1999-04-14,2.703493,2.764937,2.695813,2.734215,93293
1999-04-15,2.764935,2.795657,2.749574,2.772615,91848
1999-04-16,2.811018,2.910863,2.811018,2.826378,152323
1999-04-19,2.857103,2.903185,2.795660,2.811021,231787
1999-04-20,2.826377,2.826377,2.780295,2.818697,75749
1999-04-21,2.826379,2.841740,2.772617,2.787978,100517
1999-04-22,2.811018,2.841740,2.811018,2.834059,189682
1999-04-23,2.803337,2.918542,2.803337,2.918542,121157
1999-04-26,2.895501,2.918542,2.895501,2.895501,93499
1999-04-27,2.887823,2.918544,2.887823,2.887823,123014
1999-04-28,2.887821,2.926223,2.864780,2.903182,66461
1999-04-29,2.885790,2.924474,2.885790,2.901263,40454
1999-04-30,2.885790,2.909000,2.862580,2.893527,108154
1999-05-03,2.924475,2.924475,2.878054,2.909001,60475
1999-05-04,2.893527,2.924474,2.878053,2.901263,79464
1999-05-05,2.908999,2.932209,2.870315,2.916736,150878
1999-05-06,2.901263,2.924474,2.893527,2.924474,75749
1999-05-07,2.924475,2.924475,2.870318,2.885792,113726
1999-05-10,2.901263,2.932210,2.885790,2.924474,75542
1999-05-11,2.932209,2.932209,2.908999,2.916736,89578
1999-05-12,2.901265,2.939948,2.893528,2.909001,65842
1999-05-13,2.924473,2.924473,2.870316,2.878053,60888
1999-05-14,2.901263,2.955420,2.870317,2.924474,56347
1999-05-17,2.893528,2.924475,2.862581,2.909001,79051
1999-05-18,2.932212,2.963158,2.862581,2.909001,65016
1999-05-19,2.909002,2.970896,2.909002,2.947685,50981
1999-05-20,2.932211,3.032788,2.932211,3.009578,97627
1999-05-21,3.032789,3.055999,3.017315,3.055999,87926
1999-05-24,3.071471,3.086944,3.032787,3.079207,94944
1999-05-25,3.063734,3.094681,3.063734,3.094681,77606
1999-05-26,3.079210,3.094683,2.916739,2.994106,320126
1999-05-27,2.976588,3.054509,2.976588,3.046717,51600
1999-05-28,3.015549,3.015549,2.961004,2.984380,114139
1999-06-01,2.984380,3.077886,2.984380,3.054509,98866
1999-06-02,3.007756,3.046716,2.992171,3.038924,70176
1999-06-03,3.046718,3.062302,3.007757,3.023342,70795
1999-06-04,2.992172,3.054509,2.976588,3.046717,60682
1999-06-07,3.054508,3.054508,2.992171,2.999963,68938
1999-06-08,2.999963,3.007756,2.961003,2.992171,78226
1999-06-09,2.976588,3.007757,2.953212,2.984380,51187
1999-06-10,2.976588,3.007757,2.945420,2.984380,44376
1999-06-11,2.968793,2.992169,2.961001,2.976585,35294
1999-06-14,2.961003,2.984379,2.945419,2.961003,53045
