date,open,high,low,close,volume
1999-01-04,2.563684,2.625460,2.479846,2.510734,423528
1999-01-05,2.528384,2.546034,2.523971,2.528384,258594
1999-01-06,2.484258,2.532796,2.484258,2.528384,222501
1999-01-07,2.532796,2.532796,2.475433,2.501908,160365
1999-01-08,2.501908,2.501908,2.453370,2.493083,285093
1999-01-11,2.484258,2.523971,2.479845,2.493083,157624
1999-01-12,2.484258,2.519558,2.435720,2.440133,305196
1999-01-13,2.400419,2.431307,2.365119,2.431307,510792
1999-01-14,2.418071,2.422484,2.373946,2.373946,188235
1999-01-15,2.373945,2.391595,2.338644,2.356294,716388
1999-01-19,2.338643,2.338643,2.290105,2.303343,265447
1999-01-20,2.294519,2.307756,2.237156,2.237156,785834
1999-01-21,2.241569,2.250394,2.228331,2.250394,335807
1999-01-22,2.237155,2.254805,2.228330,2.245980,308394
1999-01-25,2.245980,2.245980,2.219505,2.245980,220216
1999-01-26,2.245981,2.245981,2.206268,2.210681,298800
1999-01-27,2.223873,2.228330,2.165937,2.183763,834720
1999-01-28,2.183763,2.183763,2.076803,2.081260,1000567
1999-01-29,2.090172,2.094629,2.032236,2.085716,562419
1999-02-01,2.121370,2.152566,2.099086,2.139196,292860
1999-02-02,2.125827,2.157024,2.054521,2.067890,344944
1999-02-03,2.063433,2.067889,2.023323,2.058976,441803
1999-02-04,2.076803,2.130283,2.027780,2.121370,509878
1999-02-05,2.121370,2.165936,2.112456,2.134740,905079
1999-02-08,2.130283,2.201589,2.130283,2.148109,290119
1999-02-09,2.148109,2.148109,2.112456,2.121370,219302
1999-02-10,2.116913,2.139197,2.094630,2.103544,135693
1999-02-11,2.085717,2.085717,2.032237,2.036694,373271
1999-02-12,2.041150,2.058977,1.947560,1.996583,447286
1999-02-16,2.023323,2.076803,1.996583,1.996583,500284
1999-02-17,1.969843,1.983214,1.925277,1.943104,355910
1999-02-18,1.920820,1.938646,1.902993,1.916363,404796
1999-02-19,1.911907,1.929733,1.902993,1.920820,177726
1999-02-22,1.934190,1.992126,1.934190,1.952016,318445
1999-02-23,1.943104,1.943104,1.885167,1.894081,463276
1999-02-24,1.911907,1.947561,1.858427,1.862884,455509
