date,open,high,low,close,volume
1999-01-04,6.001438,6.113213,5.829477,5.915458,43098000
1999-01-05,5.812284,6.104617,5.717704,6.096019,67004400
1999-01-06,6.139007,6.465733,6.096017,6.379753,75255600
1999-01-07,6.224988,6.482930,6.224988,6.276577,48528000
1999-01-08,6.310969,6.388352,6.190597,6.362557,50915400
1999-01-11,6.534519,6.611902,6.431343,6.491529,55628400
1999-01-12,6.586106,6.603301,6.207791,6.319566,43664400
1999-01-13,6.181996,6.431340,6.001437,6.293771,63853800
1999-01-14,6.345362,6.345362,6.018636,6.139009,59686200
1999-01-15,6.224988,6.508723,6.130409,6.482929,69376800
1999-01-19,6.930028,7.162175,6.781712,7.110587,95794800
1999-01-20,7.359933,7.411522,6.998815,6.998815,81503400
1999-01-21,6.981615,7.162174,6.620497,6.697880,92055000
1999-01-22,6.517321,7.162175,6.500125,6.861243,61857600
1999-01-25,6.938625,7.153576,6.844047,7.024606,32653200
1999-01-26,7.129931,7.282546,7.058996,7.273948,40450200
1999-01-27,7.308341,7.385723,7.016007,7.016007,54046200
1999-01-28,7.153577,7.471704,7.144978,7.385724,55992000
1999-01-29,7.497499,7.721049,7.445911,7.617872,68132400
1999-02-01,8.013382,8.305716,7.910206,8.133756,88941600
1999-02-02,8.374503,8.494876,7.858619,8.090767,105376800
1999-02-03,8.133756,8.365903,8.064971,8.357305,56942400
1999-02-04,8.426085,8.443282,8.013379,8.021977,49137000
1999-02-05,8.021982,8.047776,7.643668,7.729648,81045600
1999-02-08,7.875813,8.107960,7.824225,7.893009,56399400
1999-02-09,7.936000,7.961794,7.394322,7.514696,52063800
1999-02-10,7.583479,7.738244,7.213763,7.385724,74451600
1999-02-11,7.488901,8.211137,7.428714,8.193940,77552400
1999-02-12,7.978989,8.047774,7.712450,7.798430,65795400
1999-02-16,7.996187,8.064972,7.248157,7.351334,61094400
1999-02-17,7.273950,7.789833,6.912832,7.050401,84750600
1999-02-18,7.153576,7.248154,6.809654,6.990213,94698600
1999-02-19,7.076193,7.463105,6.998811,7.454507,51931200
1999-02-22,7.557685,7.583479,7.385724,7.506096,59874600
1999-02-23,7.592076,8.064968,7.549085,8.047772,60813600
1999-02-24,8.107963,8.116560,7.643668,7.660864,45501600
1999-02-25,7.635070,8.107963,7.497501,7.978992,87832800
1999-02-26,7.936001,7.936001,7.523295,7.686658,55968000
