date,open,high,low,close,volume
1999-01-04,4.007085,4.065583,3.948587,4.007085,1992983
1999-01-05,4.036334,4.036334,3.963212,4.007085,2130552
1999-01-06,4.007087,4.109458,4.007087,4.109458,5185263
1999-01-07,4.080206,4.124079,4.036333,4.080206,3117754
1999-01-08,4.109457,4.124081,4.007086,4.065584,2293590
1999-01-11,4.050960,4.124083,4.007087,4.109458,2397132
1999-01-12,4.094832,4.138706,4.050959,4.065584,1351479
1999-01-13,4.007086,4.124081,3.992462,4.065584,1774208
1999-01-14,4.065583,4.124080,4.036334,4.036334,2249751
1999-01-15,4.065582,4.080206,4.036333,4.080206,1666073
1999-01-19,4.065585,4.080209,3.977838,4.021711,1783602
1999-01-20,4.021709,4.050958,3.992460,3.992460,1454187
1999-01-21,4.021709,4.036334,3.977836,4.007085,3058468
1999-01-22,3.992461,4.007085,3.948588,3.963212,2728844
1999-01-25,3.963213,3.963213,3.773096,3.773096,5004690
1999-01-26,3.773096,3.831593,3.685349,3.714598,5032036
1999-01-27,3.714597,3.743846,3.656099,3.685348,4823490
1999-01-28,3.656099,3.714597,3.656099,3.685348,6181232
1999-01-29,3.670723,3.685348,3.495231,3.553728,5649533
1999-02-01,3.568353,3.582977,3.495231,3.553728,2697531
1999-02-02,3.553729,3.553729,3.509856,3.509856,3098340
1999-02-03,3.539104,3.582977,3.509855,3.553728,4186370
1999-02-04,3.582979,3.612228,3.524481,3.597603,4853551
1999-02-05,3.626850,3.729221,3.626850,3.729221,2036195
1999-02-08,3.743847,3.773096,3.729223,3.773096,1796336
1999-02-09,3.787719,3.787719,3.729221,3.729221,1886100
1999-02-10,3.729221,3.743846,3.699973,3.729221,2060411
1999-02-11,3.714598,3.743846,3.597602,3.612227,2129091
1999-02-12,3.597602,3.626851,3.509856,3.509856,2752224
1999-02-16,3.568354,3.597603,3.495232,3.524481,1823891
1999-02-17,3.524481,3.568354,3.480608,3.480608,3430887
1999-02-18,3.480607,3.509856,3.465983,3.509856,2467274
1999-02-19,3.495231,3.509856,3.465983,3.509856,1431641
1999-02-22,3.524481,3.553729,3.509856,3.539105,2237644
1999-02-23,3.539105,3.568354,3.465983,3.495232,3700807
1999-02-24,3.480607,3.524481,3.480607,3.509856,4567766
1999-02-25,3.495232,3.524481,3.495232,3.524481,1286139
1999-02-26,3.509856,3.539105,3.509856,3.509856,2273549
1999-03-01,3.495232,3.509856,3.465983,3.480608,3411055
1999-03-02,3.480608,3.480608,3.422110,3.451359,1951649
1999-03-03,3.451358,3.568353,3.436734,3.568353,2916514
1999-03-04,3.524481,3.539105,3.480607,3.509856,3548207
1999-03-05,3.509856,3.568354,3.480607,3.509856,3396233
1999-03-08,3.599090,3.658579,3.569346,3.628834,3623985
1999-03-09,3.628834,3.688323,3.613962,3.643707,3892026
1999-03-10,3.658580,3.837047,3.643707,3.837047,7583230
1999-03-11,3.866789,3.985767,3.807300,3.822173,5910686
1999-03-12,3.881662,3.970896,3.837046,3.941152,3276199
1999-03-15,3.956025,3.956025,3.896536,3.911408,2566641
1999-03-16,3.896536,3.911408,3.896536,3.896536,1887979
1999-03-17,3.911407,4.030385,3.911407,4.030385,1972525
1999-03-18,4.045259,4.075003,4.000642,4.015514,3301250
1999-03-19,4.045258,4.089875,3.970897,4.060130,2265826
1999-03-22,4.089873,4.104746,4.030384,4.104746,1937245
1999-03-23,4.075003,4.104748,4.015514,4.015514,1875245
1999-03-24,4.075002,4.089875,4.015513,4.045258,2767672
1999-03-25,4.030385,4.089874,4.030385,4.075001,1383627
1999-03-26,4.075001,4.134491,4.060129,4.104746,1852908
1999-03-29,4.179109,4.357577,4.179109,4.342704,3430260
1999-03-30,4.342704,4.342704,4.298087,4.327832,2577914
1999-03-31,4.342705,4.372449,4.283216,4.283216,3471385
1999-04-01,4.298087,4.327832,4.283215,4.312960,2348492
1999-04-05,4.342704,4.461683,4.327833,4.402194,1791534
1999-04-06,4.402194,4.431938,4.298087,4.312960,1372355
1999-04-07,4.342703,4.342703,4.223726,4.298087,1633089
1999-04-08,4.283215,4.342704,4.268343,4.312960,1074879
1999-04-09,4.312957,4.402191,4.298084,4.387318,2189630
1999-04-12,4.342702,4.417064,4.327830,4.372447,1044192
1999-04-13,4.402192,4.431936,4.312959,4.431936,1215997
1999-04-14,4.431938,4.565789,4.431938,4.550916,1832450
1999-04-15,4.565788,4.744256,4.565788,4.669894,1936410
1999-04-16,4.759127,4.892978,4.744255,4.863233,2445772
