date,open,high,low,close,volume
1999-01-04,2.376579,2.390895,2.262044,2.319311,2553019
1999-01-05,2.319311,2.455320,2.290678,2.448162,2671481
1999-01-06,2.519747,2.559119,2.483955,2.559119,2920556
1999-01-07,2.548381,2.562698,2.462480,2.505431,2892459
1999-01-08,2.519746,2.548379,2.448162,2.491112,1314478
1999-01-11,2.483954,2.591329,2.483954,2.577013,2809688
1999-01-12,2.569855,2.569855,2.333629,2.369421,2159663
1999-01-13,2.333628,2.355104,2.262045,2.322891,2055628
1999-01-14,2.330050,2.347945,2.276362,2.279941,1492172
1999-01-15,2.308574,2.491112,2.276362,2.491112,1713150
1999-01-19,2.491112,2.491112,2.380157,2.412370,1259803
1999-01-20,2.412371,2.441005,2.326470,2.347946,2584913
1999-01-21,2.376581,2.423110,2.326472,2.333631,3099769
1999-01-22,2.362261,2.412369,2.319311,2.358682,1259044
1999-01-25,2.362262,2.369421,2.290679,2.369421,1416234
1999-01-26,2.319312,2.369421,2.310364,2.347946,1545328
1999-01-27,2.347945,2.347945,2.290679,2.290679,1293216
1999-01-28,2.304994,2.390894,2.304994,2.380157,1213481
1999-01-29,2.394476,2.519748,2.347947,2.498273,3509072
1999-02-01,2.519748,2.612806,2.469639,2.591331,4930622
1999-02-02,2.634280,2.691547,2.462479,2.512588,3912300
1999-02-03,2.526904,2.698705,2.512588,2.687968,3572859
1999-02-04,2.605648,2.645020,2.498273,2.498273,2588709
1999-02-05,2.519747,2.548380,2.441005,2.441005,1470909
1999-02-08,2.462479,2.584172,2.390895,2.551959,1850597
1999-02-09,2.562697,2.562697,2.466059,2.473217,4462847
1999-02-10,2.469637,2.505429,2.444583,2.444583,1710113
1999-02-11,2.483955,2.491113,2.405212,2.441005,2101950
1999-02-12,2.441004,2.483954,2.326470,2.326470,4399059
1999-02-16,2.369420,2.441004,2.355103,2.433845,4209975
1999-02-17,2.459739,2.470527,2.330279,2.344663,1773900
1999-02-18,2.402200,2.466930,2.344662,2.438161,2008547
1999-02-19,2.481314,2.517276,2.445353,2.457940,2097394
1999-02-22,2.488508,2.546045,2.409393,2.546045,3367828
1999-02-23,2.553236,2.574813,2.409391,2.495698,2510494
1999-02-24,2.481314,2.531660,2.402200,2.402200,2802094
1999-02-25,2.402200,2.445354,2.387816,2.420181,1485338
1999-02-26,2.438162,2.452547,2.384220,2.409393,1465594
1999-03-01,2.412988,2.488506,2.387815,2.488506,4087716
1999-03-02,2.495699,2.495699,2.423776,2.438161,2470247
1999-03-03,2.452545,2.470525,2.391411,2.391411,1644806
1999-03-04,2.416584,2.510083,2.409392,2.427373,3376941
1999-03-05,2.463334,2.538853,2.434565,2.538853,3424022
1999-03-08,2.546044,2.546044,2.395008,2.524468,1558997
1999-03-09,2.553236,2.639543,2.531660,2.535255,2647181
1999-03-10,2.560428,2.574812,2.481314,2.502890,1293975
1999-03-11,2.510083,2.528063,2.459738,2.499295,2104228
1999-03-12,2.499295,2.639543,2.430969,2.531660,3595641
1999-03-15,2.531661,2.603583,2.531661,2.603583,1279547
