date,open,high,low,close,volume
1999-01-04,7.251683,7.319668,7.127045,7.195029,1339200
1999-01-05,7.195032,7.251685,7.161039,7.161039,4657600
1999-01-06,7.183702,7.229025,7.161041,7.229025,1717800
1999-01-07,7.206364,7.240356,7.195033,7.229025,1626200
1999-01-08,7.206363,7.285679,7.206363,7.274348,1365800
1999-01-11,7.240354,7.263016,7.195031,7.217693,1932000
1999-01-12,7.206362,7.297008,7.206362,7.217693,1620000
1999-01-13,7.206363,7.285679,7.183702,7.206363,2291800
1999-01-14,7.206359,7.217690,7.059059,7.172367,1783600
1999-01-15,7.172367,7.183697,7.104382,7.172367,1314000
1999-01-19,7.127047,7.161039,7.047732,7.161039,1635800
1999-01-20,7.138378,7.161039,7.093055,7.127047,1437800
1999-01-21,7.127047,7.195032,7.115716,7.161039,1764000
1999-01-22,7.172371,7.274348,7.149709,7.206363,976000
1999-01-25,7.206364,7.263018,7.172372,7.229025,762600
1999-01-26,7.217694,7.251686,7.172371,7.206363,850400
1999-01-27,7.229024,7.240355,7.093055,7.104386,852800
1999-01-28,7.115716,7.251685,7.115716,7.217693,929800
1999-01-29,7.240351,7.240351,7.093051,7.172367,1239200
1999-02-01,7.195029,7.206360,6.968414,7.002407,1285400
1999-02-02,7.002407,7.081723,6.889100,6.991076,1396600
1999-02-03,6.968414,7.047730,6.968414,7.002407,553200
1999-02-04,7.002408,7.002408,6.889100,6.945754,929800
1999-02-05,6.957085,6.991078,6.889101,6.979747,927800
1999-02-08,6.991078,7.036401,6.945755,6.968416,1018400
1999-02-09,6.991079,7.002410,6.855110,6.911764,420200
1999-02-10,6.911765,6.934427,6.821119,6.877773,374600
1999-02-11,6.832449,6.855110,6.753134,6.832449,540400
1999-02-12,6.855108,6.866439,6.617162,6.639824,744200
1999-02-16,6.685147,6.787124,6.662485,6.719139,782400
1999-02-17,6.730470,6.934423,6.730470,6.843777,859200
1999-02-18,6.809784,7.025069,6.798454,6.991076,1297800
1999-02-19,6.957087,7.002410,6.889102,6.923094,1298400
1999-02-22,6.923093,7.059062,6.911762,7.036401,850200
1999-02-23,7.025069,7.036400,6.923093,6.945754,918800
1999-02-24,6.923091,7.070391,6.923091,7.002407,1490600
1999-02-25,6.979746,6.991076,6.843776,6.934422,745800
1999-02-26,6.934424,6.957086,6.855109,6.889101,1310400
1999-03-01,6.889103,6.889103,6.775795,6.832449,1283000
1999-03-02,6.821119,6.957088,6.821119,6.877773,1429400
1999-03-03,6.843778,6.911763,6.832448,6.866440,811000
1999-03-04,6.855107,7.002407,6.843776,7.002407,1004600
1999-03-05,7.070393,7.161039,7.070393,7.127047,872600
1999-03-08,7.111422,7.122910,7.031002,7.099933,447200
1999-03-09,7.053980,7.076958,6.962072,6.962072,627000
1999-03-10,6.962072,7.099935,6.962072,7.008027,500000
1999-03-11,6.996538,7.065469,6.996538,7.008027,1047400
1999-03-12,7.031002,7.180353,7.031002,7.145887,707400
1999-03-15,7.111424,7.145890,7.042493,7.053981,500800
1999-03-16,7.088445,7.088445,7.031003,7.065468,411000
1999-03-17,7.031000,7.053977,6.916114,6.950580,634200
1999-03-18,6.985050,7.099936,6.973561,7.053981,720800
1999-03-19,7.031001,7.111421,7.019512,7.111421,876000
1999-03-22,7.065469,7.076957,7.008026,7.042491,380200
1999-03-23,6.996537,7.042491,6.973560,7.031003,1069200
1999-03-24,7.053978,7.191840,7.031000,7.134398,1449200
1999-03-25,7.134399,7.237796,7.134399,7.214818,1539400
1999-03-26,7.180352,7.203329,7.134398,7.134398,1463400
1999-03-29,7.145887,7.214818,7.145887,7.168864,1607000
1999-03-30,7.168865,7.168865,7.065468,7.065468,1761600
1999-03-31,7.145887,7.145887,6.996536,7.019513,944400
1999-04-01,7.065468,7.157377,7.019514,7.088445,1127400
1999-04-05,7.145887,7.191841,7.122910,7.191841,883200
1999-04-06,7.237796,7.237796,7.088445,7.099933,643200
1999-04-07,7.099936,7.122913,7.008027,7.053981,872800
1999-04-08,7.099930,7.180350,7.065464,7.122907,657200
1999-04-09,7.099932,7.134398,7.042489,7.111421,342800
1999-04-12,7.088445,7.168865,7.042490,7.145887,480200
1999-04-13,7.122911,7.122911,7.019514,7.042491,959200
1999-04-14,7.031003,7.053980,6.904628,6.904628,1683400
1999-04-15,6.916117,7.008025,6.893140,6.904628,1226400
1999-04-16,6.950579,6.985045,6.904625,6.939091,1201400
1999-04-19,6.927605,7.076956,6.916116,6.996536,1734000
1999-04-20,6.996534,7.260771,6.950580,7.249282,1430000
1999-04-21,7.191839,7.191839,7.019510,7.122907,1225400
1999-04-22,7.157378,7.237798,7.145889,7.180355,1192000
1999-04-23,7.214819,7.318216,7.203331,7.203331,708400
1999-04-26,7.168863,7.352680,7.157374,7.283748,1136200
1999-04-27,7.295238,7.364169,7.295238,7.329704,944200
1999-04-28,7.318217,7.352683,7.306728,7.352683,1131600
1999-04-29,7.364169,7.444589,7.364169,7.410123,683600
1999-04-30,7.364171,7.398637,7.283751,7.352683,1126800
1999-05-03,7.306724,7.502030,7.306724,7.490541,806600
1999-05-04,7.467567,7.479056,7.410124,7.444590,806400
1999-05-05,7.444589,7.502032,7.398635,7.502032,635200
1999-05-06,7.456079,7.525010,7.410124,7.479056,1604200
1999-05-07,7.502033,7.559476,7.456079,7.479056,638200
1999-05-10,7.410122,7.570961,7.387144,7.490541,917000
1999-05-11,7.456082,7.479059,7.398639,7.456082,943200
1999-05-12,7.421609,7.467564,7.306724,7.433098,601600
1999-05-13,7.387147,7.582453,7.387147,7.536499,581000
1999-05-14,7.398635,7.502032,7.375658,7.467566,1133800
1999-05-17,7.479053,7.513519,7.410122,7.490541,650000
1999-05-18,7.467566,7.502032,7.398635,7.467566,927200
1999-05-19,7.490544,7.547987,7.444590,7.536499,720600
1999-05-20,7.536495,7.570961,7.513518,7.547984,775200
1999-05-21,7.547985,7.674359,7.547985,7.616916,732400
1999-05-24,7.628405,7.766268,7.593939,7.605428,967400
1999-05-25,7.628406,7.800735,7.616918,7.674361,1204800
1999-05-26,7.697339,7.754782,7.628408,7.720316,1178400
1999-05-27,7.720319,7.743296,7.536502,7.559479,1009000
1999-05-28,7.536497,7.743291,7.536497,7.708826,452000
1999-06-01,7.708825,7.708825,7.547986,7.593940,656200
1999-06-02,7.639897,7.662874,7.547989,7.570966,974200
1999-06-03,7.593943,7.697340,7.559478,7.628409,1313400
1999-06-04,7.651387,7.697341,7.616921,7.697341,724200
1999-06-07,7.646592,7.751339,7.646592,7.704785,2776000
1999-06-08,7.658237,7.681514,7.634960,7.658237,761600
1999-06-09,7.646598,7.669876,7.634960,7.658237,275200
1999-06-10,7.634959,7.693152,7.483656,7.553488,1511800
1999-06-11,7.588401,7.634956,7.460376,7.541847,967600
1999-06-14,7.588400,7.681510,7.553484,7.600039,502400
1999-06-15,7.600037,7.751339,7.565121,7.704785,420400
1999-06-16,7.681508,7.937559,7.658231,7.832811,1479400
1999-06-17,7.832815,7.879370,7.774622,7.797899,558200
1999-06-18,7.797895,7.821173,7.751341,7.786257,812600
1999-06-21,7.774616,7.786255,7.658230,7.693146,564200
1999-06-22,7.681510,7.832813,7.681510,7.821174,879200
1999-06-23,7.774619,7.832812,7.739703,7.751342,661200
1999-06-24,7.728069,7.728069,7.646598,7.658237,873600
1999-06-25,7.704784,7.751339,7.646591,7.693146,917600
1999-06-28,7.716424,7.797894,7.693146,7.704785,509000
1999-06-29,7.751339,7.786255,7.669869,7.704785,742000
1999-06-30,7.704787,7.728064,7.588400,7.600039,1262600
1999-07-01,7.588400,7.646594,7.553484,7.565123,794600
1999-07-02,7.565123,7.634955,7.530207,7.600039,398000
1999-07-06,7.576760,7.600038,7.495290,7.588399,376200
1999-07-07,7.600041,7.600041,7.495293,7.518570,549400
1999-07-08,7.472015,7.565124,7.472015,7.483654,411400
1999-07-09,7.483653,7.530207,7.483653,7.506930,424400
1999-07-12,7.530207,7.553484,7.460375,7.506930,500800
1999-07-13,7.483656,7.576766,7.483656,7.553488,391600
1999-07-14,7.506930,7.576762,7.472014,7.576762,410200
1999-07-15,7.623316,7.646594,7.588400,7.611678,899600
1999-07-16,7.623316,7.623316,7.448737,7.506930,2095200
1999-07-19,7.506931,7.565124,7.448738,7.483654,659400
1999-07-20,7.460373,7.704784,7.448734,7.693146,2630600
1999-07-21,7.704790,7.786260,7.634958,7.669874,1209000
1999-07-22,7.634960,7.774624,7.634960,7.658237,1114600
1999-07-23,7.634960,7.693153,7.634960,7.658237,505800
1999-07-26,7.658233,7.774620,7.658233,7.762981,1151000
1999-07-27,7.739706,7.774622,7.716429,7.739706,992800
1999-07-28,7.728062,7.751339,7.646591,7.646591,371200
1999-07-29,7.600040,7.669872,7.448738,7.483654,879400
1999-07-30,7.518569,7.600039,7.483653,7.506930,891800
1999-08-02,7.518570,7.565125,7.483654,7.518570,955200
1999-08-03,7.530208,7.588401,7.495292,7.541847,719000
1999-08-04,7.530208,7.588401,7.495292,7.541847,1186400
1999-08-05,7.530207,7.588400,7.506930,7.565123,702200
1999-08-06,7.553484,7.646594,7.530207,7.611678,868200
1999-08-09,7.576762,7.623316,7.553484,7.600039,621600
1999-08-10,7.576763,7.611679,7.518569,7.541847,567200
1999-08-11,7.553487,7.669874,7.541849,7.669874,933000
1999-08-12,7.646594,7.681510,7.600039,7.611678,934000
1999-08-13,7.623320,7.704790,7.623320,7.634958,350600
1999-08-16,7.600039,7.611678,7.530207,7.600039,580200
1999-08-17,7.611680,7.611680,7.448738,7.518570,1077400
1999-08-18,7.472014,7.518569,7.460375,7.506930,915000
1999-08-19,7.506930,7.634955,7.483653,7.623317,1029600
1999-08-20,7.623314,7.728062,7.588398,7.716424,1581600
1999-08-23,7.751345,7.762983,7.658235,7.739706,750600
1999-08-24,7.751340,7.774618,7.681508,7.774618,790600
1999-08-25,7.786258,7.821174,7.774620,7.821174,1330400
1999-08-26,7.821174,7.821174,7.751342,7.762981,501400
1999-08-27,7.739703,7.797896,7.728065,7.751342,462600
1999-08-30,7.751345,7.774622,7.634958,7.634958,379400
1999-08-31,7.634958,7.693152,7.576765,7.634958,517400
1999-09-01,7.611680,7.693151,7.600042,7.669874,678800
1999-09-02,7.646598,7.681514,7.611682,7.658237,707800
1999-09-03,7.704787,7.797896,7.681510,7.751342,879400
1999-09-07,7.735305,7.770680,7.688139,7.711722,2863200
1999-09-08,7.711724,7.711724,7.487683,7.511266,1253600
1999-09-09,7.499469,7.546635,7.416927,7.499469,2211000
1999-09-10,7.523058,7.546641,7.499475,7.511266,958600
1999-09-13,7.511263,7.523055,7.416930,7.487680,945800
1999-09-14,7.452309,7.464100,7.369767,7.381559,769200
1999-09-15,7.393347,7.440513,7.381555,7.405138,861400
1999-09-16,7.357974,7.381557,7.322599,7.357974,1003200
1999-09-17,7.346179,7.405137,7.334388,7.393346,630800
1999-09-20,7.357974,7.440515,7.357974,7.357974,978600
1999-09-21,7.310807,7.322599,7.228266,7.251849,807800
1999-09-22,7.251850,7.287225,7.169309,7.216475,501600
1999-09-23,7.181099,7.181099,7.051391,7.086766,769800
1999-09-24,7.074976,7.181100,7.039601,7.051393,970400
1999-09-27,7.086766,7.169307,7.074974,7.110349,1427400
1999-09-28,7.110351,7.133934,6.992434,7.051393,1652200
1999-09-29,7.074975,7.133933,7.027808,7.122141,1129600
1999-09-30,7.145723,7.299014,7.133931,7.287222,975800
1999-10-01,7.287226,7.440517,7.169310,7.381559,712000
1999-10-04,7.381555,7.546638,7.369764,7.487680,1007600
1999-10-05,7.452306,7.487681,7.299015,7.369764,638400
1999-10-06,7.381554,7.464096,7.346179,7.393346,788000
1999-10-07,7.369768,7.381559,7.263643,7.275434,491800
1999-10-08,7.251846,7.357970,7.251846,7.310804,653600
1999-10-11,7.263638,7.275430,7.122139,7.192888,723000
1999-10-12,7.169308,7.251849,7.110350,7.181099,1140000
1999-10-13,7.157512,7.240053,7.145720,7.240053,1521600
1999-10-14,7.181098,7.310806,7.169306,7.287222,1370600
1999-10-15,7.322605,7.322605,7.122148,7.133939,628000
1999-10-18,7.145727,7.275434,7.133935,7.275434,696000
1999-10-19,7.263641,7.322599,7.157516,7.181099,758000
1999-10-20,7.169307,7.240057,7.133932,7.169307,705400
1999-10-21,7.145723,7.157514,7.051390,7.098556,1137000
1999-10-22,7.063183,7.133932,7.027808,7.086766,923400
1999-10-25,7.063182,7.181098,7.051390,7.145723,721200
1999-10-26,7.145723,7.263640,7.145723,7.145723,401200
1999-10-27,7.157517,7.346183,7.157517,7.334391,960000
1999-10-28,7.357972,7.428721,7.357972,7.428721,1116000
1999-10-29,7.428726,7.499476,7.405143,7.464101,521800
1999-11-01,7.428722,7.452305,7.334389,7.405138,542800
1999-11-02,7.393348,7.511264,7.393348,7.452306,413000
1999-11-03,7.428721,7.440513,7.369763,7.428721,586000
1999-11-04,7.416932,7.475890,7.287224,7.357974,663400
1999-11-05,7.310807,7.416932,7.310807,7.357974,574800
1999-11-08,7.322603,7.381561,7.275437,7.299020,451200
1999-11-09,7.287224,7.287224,7.192891,7.251849,1020800
1999-11-10,7.181100,7.204684,7.027809,7.051393,1280600
1999-11-11,7.039606,7.157523,7.016023,7.133939,762200
1999-11-12,7.157516,7.169308,7.098558,7.122141,664400
1999-11-15,7.074974,7.086766,6.980641,6.992433,570000
1999-11-16,6.980640,7.063181,6.957056,7.016015,748400
1999-11-17,6.968849,7.016016,6.957058,6.992433,1032200
1999-11-18,6.968852,6.968852,6.886311,6.921686,417000
1999-11-19,6.874512,6.886304,6.803763,6.815554,507200
1999-11-22,6.768393,6.803768,6.697643,6.756601,832000
1999-11-23,6.733018,6.744810,6.591519,6.626894,668000
1999-11-24,6.615103,6.674061,6.579728,6.603312,514400
1999-11-26,6.638685,6.638685,6.520769,6.544352,271000
1999-11-29,6.508977,6.508977,6.284936,6.332102,859000
1999-11-30,6.379271,6.615103,6.367479,6.603312,1361200
1999-12-01,6.497184,6.579726,6.450018,6.508976,975400
1999-12-02,6.485393,6.591518,6.473602,6.497185,594800
1999-12-03,6.556144,6.697643,6.544352,6.544352,1958400
1999-12-06,6.520768,6.579726,6.473602,6.532560,1441000
1999-12-07,6.520767,6.591516,6.508975,6.567933,1838200
1999-12-08,6.551644,6.611531,6.527689,6.563621,1697200
1999-12-09,6.539666,6.611531,6.539666,6.563621,2586200
1999-12-10,6.563622,6.599554,6.348028,6.348028,2557000
1999-12-13,6.360008,6.360008,6.132437,6.204301,1428000
1999-12-14,6.276166,6.288143,6.216279,6.228256,1137200
1999-12-15,6.192323,6.383962,6.192323,6.288143,1379400
1999-12-16,6.300120,6.300120,6.228256,6.276165,1042800
1999-12-17,6.276164,6.300119,6.216277,6.252210,1617800
1999-12-20,6.264185,6.324072,6.216276,6.300117,966000
1999-12-21,6.288141,6.419893,6.276164,6.348028,1318000
1999-12-22,6.348031,6.479782,6.348031,6.443850,1227200
1999-12-23,6.455829,6.551648,6.455829,6.539671,830400
1999-12-27,6.587578,6.659443,6.587578,6.647465,975600
1999-12-28,6.659438,6.731302,6.647461,6.719325,2572800
1999-12-29,6.707351,6.719329,6.647464,6.671419,2006600
1999-12-30,6.671421,6.707354,6.671421,6.683399,718400
1999-12-31,6.707351,6.719329,6.659442,6.671419,442600
2000-01-03,6.707353,6.707353,6.527691,6.527691,5351200
2000-01-04,6.539672,6.635491,6.527694,6.575604,2082200
2000-01-05,6.575600,6.755261,6.575600,6.743284,1492800
2000-01-06,6.743282,6.827124,6.731305,6.767237,1009000
2000-01-07,6.767235,6.779212,6.719325,6.719325,1071800
2000-01-10,6.743285,6.779217,6.695375,6.707353,1348200
2000-01-11,6.707351,6.815148,6.707351,6.791193,1622800
2000-01-12,6.791194,6.887013,6.791194,6.803171,1102800
2000-01-13,6.791192,6.863056,6.755260,6.767237,4397000
2000-01-14,6.719330,6.743285,6.647466,6.659443,1273800
2000-01-18,6.611530,6.623508,6.539666,6.551643,858400
2000-01-19,6.599555,6.755261,6.599555,6.671419,1135800
2000-01-20,6.659444,6.719331,6.611534,6.683399,1242400
2000-01-21,6.707354,6.827128,6.659444,6.815150,847600
2000-01-24,6.827126,6.898990,6.731307,6.755261,1162600
2000-01-25,6.767239,6.767239,6.491759,6.647465,1869200
2000-01-26,6.539668,6.611533,6.503736,6.611533,1537800
2000-01-27,6.587577,6.659441,6.503735,6.629498,1004800
2000-01-28,6.539668,6.587578,6.395939,6.419894,1273000
2000-01-31,6.419893,6.587577,6.407916,6.587577,829200
2000-02-01,6.599556,6.623511,6.491760,6.599556,732000
2000-02-02,6.575601,6.599556,6.479782,6.503736,622800
2000-02-03,6.491760,6.659444,6.491760,6.599556,1224000
2000-02-04,6.587578,6.599556,6.383962,6.455827,1105800
2000-02-07,6.371985,6.455826,6.360007,6.419894,911200
2000-02-08,6.407917,6.491759,6.383962,6.419894,524600
2000-02-09,6.371983,6.443847,6.312096,6.348028,1096200
2000-02-10,6.348027,6.371982,6.216275,6.264185,529000
2000-02-11,6.240234,6.300121,6.192325,6.240234,508000
2000-02-14,6.252210,6.383961,6.228255,6.252210,1059600
2000-02-15,6.228257,6.264189,6.144415,6.180347,648400
2000-02-16,6.168369,6.192324,6.132437,6.144414,503200
2000-02-17,6.216276,6.216276,6.024638,6.060570,665800
2000-02-18,5.964750,6.012660,5.868931,5.880908,1420800
2000-02-22,5.856956,5.940798,5.844979,5.856956,1152800
2000-02-23,5.809048,5.809048,5.725206,5.737183,1553600
2000-02-24,5.725206,5.725206,5.449725,5.569499,2501800
2000-02-25,5.569497,5.581475,5.425768,5.461700,766400
2000-02-28,5.461699,5.557519,5.461699,5.545541,1527200
2000-02-29,5.545542,5.581474,5.533565,5.557519,1906400
2000-03-01,5.545543,5.557520,5.437746,5.473678,1016400
2000-03-02,5.461699,5.569496,5.449722,5.521586,874800
2000-03-03,5.533564,5.581474,5.497632,5.545541,1685200
2000-03-06,5.485656,5.497633,5.126334,5.186221,1585600
2000-03-07,5.186220,5.294017,5.174243,5.222152,1056200
2000-03-08,5.168875,5.315510,5.144436,5.229973,2406600
2000-03-09,5.181097,5.205536,5.095560,5.156658,937200
2000-03-10,5.156654,5.168873,5.107776,5.107776,841600
2000-03-13,5.083338,5.144435,5.034459,5.058898,788800
2000-03-14,5.058900,5.119998,5.022241,5.071119,861200
2000-03-15,5.046681,5.413268,5.046681,5.376609,1681400
2000-03-16,5.401046,5.828731,5.388826,5.792072,1833200
2000-03-17,5.669877,5.767634,5.584340,5.608779,1996600
2000-03-20,5.645438,5.730975,5.572121,5.584340,1028000
2000-03-21,5.633220,5.645439,5.523244,5.572122,888800
2000-03-22,5.523243,5.547682,5.376608,5.401047,837400
2000-03-23,5.352169,5.633219,5.352169,5.559902,986000
2000-03-24,5.474366,5.523245,5.449927,5.462147,974000
2000-03-27,5.462148,5.559904,5.462148,5.486587,487800
2000-03-28,5.498805,5.767636,5.486585,5.498805,1455400
2000-03-29,5.523242,5.767633,5.523242,5.755414,1607200
2000-03-30,5.755415,5.853171,5.755415,5.816513,1374600
2000-03-31,5.779852,5.889828,5.694315,5.792072,1361800
2000-04-03,5.804293,5.840951,5.767634,5.804293,1007600
2000-04-04,5.792075,6.012027,5.718757,5.877612,1697200
2000-04-05,5.877610,6.085342,5.877610,5.889829,1034200
2000-04-06,5.902046,5.950924,5.792070,5.865387,770800
2000-04-07,5.840950,5.877609,5.718755,5.755414,1605800
2000-04-10,5.779853,6.024244,5.743194,6.012025,1027400
2000-04-11,5.987587,6.170880,5.987587,6.109782,1321200
2000-04-12,6.158660,6.378612,6.158660,6.268636,1055200
2000-04-13,6.231977,6.586345,6.195319,6.549686,1463400
2000-04-14,6.549686,6.720760,6.451929,6.513027,2024600
2000-04-17,6.476370,6.574127,6.305296,6.574127,1841800
2000-04-18,6.549686,6.623003,6.513027,6.549686,1230600
2000-04-19,6.513025,6.586343,6.464147,6.561903,1389400
2000-04-20,6.586343,6.684099,6.549684,6.647440,902000
2000-04-24,6.659659,6.928490,6.659659,6.855172,1000200
2000-04-25,6.842956,7.148445,6.794078,7.087348,1261400
2000-04-26,7.087347,7.368397,7.050689,7.356178,1712800
2000-04-27,7.343954,7.380612,7.160660,7.197319,2022200
2000-04-28,7.160665,7.185104,6.977372,7.014030,1382400
2000-05-01,7.001808,7.014028,6.867393,6.891832,1343600
2000-05-02,6.904053,6.989590,6.806297,6.806297,1372800
2000-05-03,6.781856,6.867393,6.769636,6.781856,1009800
2000-05-04,6.745199,6.940712,6.598565,6.867395,1588800
2000-05-05,6.842953,6.855173,6.684099,6.720757,806200
2000-05-08,6.696319,6.977369,6.696319,6.891832,1418000
2000-05-09,6.855176,6.904054,6.781859,6.842957,1031200
2000-05-10,6.830735,6.965150,6.830735,6.891832,1192400
2000-05-11,6.879615,7.111787,6.879615,7.087348,1891400
2000-05-12,7.087346,7.111785,6.977370,7.038467,1059000
2000-05-15,7.001810,7.185103,7.001810,7.136225,850400
2000-05-16,7.111784,7.111784,6.977368,7.062905,955000
2000-05-17,7.111784,7.136223,6.916271,6.965149,1076400
2000-05-18,6.965149,7.233980,6.952930,7.111784,903800
2000-05-19,7.062907,7.221762,7.038468,7.185103,1524600
2000-05-22,7.197320,7.466150,7.197320,7.319516,1620600
2000-05-23,7.282860,7.282860,7.148444,7.209542,2311800
2000-05-24,7.233981,7.343957,7.209541,7.246200,1665000
2000-05-25,7.270640,7.270640,7.136225,7.258420,1174000
2000-05-26,7.270637,7.380613,7.246198,7.319516,910200
2000-05-30,7.319517,7.319517,7.172883,7.246200,1453600
2000-05-31,7.282860,7.356177,7.258421,7.282860,1187600
2000-06-01,7.258421,7.282860,7.160664,7.282860,1175000
2000-06-02,7.270641,7.331738,7.148445,7.160665,866000
2000-06-05,7.124004,7.124004,6.842954,6.904052,762600
2000-06-06,6.867394,7.075126,6.818515,7.038467,1026400
2000-06-07,7.058811,7.133245,7.021594,7.071217,679200
2000-06-08,6.984377,7.096028,6.909943,7.083622,1375200
2000-06-09,7.058815,7.220089,7.058815,7.182872,700600
2000-06-12,7.207681,7.257304,7.195275,7.213884,659000
2000-06-13,7.220090,7.331741,7.182873,7.207685,748200
2000-06-14,7.182870,7.182870,7.046408,7.046408,709600
2000-06-15,7.034004,7.269711,7.034004,7.244900,969400
2000-06-16,7.195274,7.319330,7.083623,7.145651,1269400
2000-06-19,7.108437,7.170465,7.058814,7.120842,861200
2000-06-20,7.145651,7.182868,7.021595,7.145651,1005800
2000-06-21,7.145651,7.269708,7.145651,7.145651,1021000
2000-06-22,7.145651,7.145651,6.971972,7.096029,1003200
2000-06-23,7.071221,7.232495,7.021599,7.195278,1364400
2000-06-26,7.195275,7.282115,7.096030,7.269709,807800
2000-06-27,7.282116,7.319333,6.947164,6.996786,1491600
2000-06-28,6.971974,7.269710,6.885135,7.226290,1523200
2000-06-29,7.195276,7.294521,7.071219,7.108436,950800
2000-06-30,7.108435,7.306925,6.810700,6.872728,2149600
2000-07-03,6.909947,7.120843,6.909947,7.058815,724800
2000-07-05,7.182871,7.244899,6.909947,6.996786,1074000
2000-07-06,6.922351,7.046408,6.897540,7.046408,1177200
2000-07-07,7.021597,7.158059,7.021597,7.108436,657600
2000-07-10,7.083624,7.244897,7.083624,7.220086,1304600
2000-07-11,7.182870,7.282115,7.071219,7.282115,1366000
2000-07-12,7.257303,7.269708,7.158057,7.220086,568200
2000-07-13,7.170466,7.269711,7.145655,7.244900,720200
2000-07-14,7.269708,7.306925,7.058812,7.096029,1695400
2000-07-17,6.959572,6.996789,6.909949,6.922355,1213600
2000-07-18,6.947163,6.996785,6.909946,6.947163,1145400
2000-07-19,6.947160,7.021593,6.934754,6.959565,1235000
2000-07-20,6.971976,7.021598,6.909947,7.021598,1120400
2000-07-21,6.922350,6.984378,6.823105,6.885133,1269800
2000-07-24,6.860321,6.860321,6.674237,6.748671,1014000
2000-07-25,6.748674,6.748674,6.599806,6.649429,1440600
2000-07-26,6.736267,6.736267,6.525371,6.553283,1821200
2000-07-27,6.574995,6.686646,6.574995,6.674240,1378400
2000-07-28,6.637023,6.810702,6.612212,6.649429,995000
2000-07-31,6.699051,6.847919,6.574995,6.674240,1785400
2000-08-01,6.674238,6.897539,6.674238,6.872728,1000400
2000-08-02,6.860326,7.021600,6.847921,6.922355,1425200
2000-08-03,6.947167,7.170468,6.934761,7.012296,1123000
2000-08-04,6.971974,7.133247,6.885134,7.046408,1512000
2000-08-07,7.046409,7.182871,7.021598,7.173567,1040600
2000-08-08,7.207683,7.220089,7.096032,7.195278,711400
2000-08-09,7.158058,7.195275,7.083624,7.105334,673400
2000-08-10,7.133249,7.170466,7.058815,7.136350,527800
2000-08-11,7.158060,7.257305,7.158060,7.173567,808400
2000-08-14,7.145656,7.232496,7.108439,7.133251,868400
2000-08-15,7.120844,7.269711,7.108438,7.182872,1361800
2000-08-16,7.182871,7.257305,7.108437,7.123944,400800
2000-08-17,7.145651,7.170463,7.108434,7.145651,356600
2000-08-18,7.145655,7.244900,7.133249,7.195278,1142800
2000-08-21,7.195276,7.244898,7.170464,7.232492,1208200
2000-08-22,7.232488,7.257299,7.145649,7.158054,817200
2000-08-23,7.120840,7.195274,7.108434,7.170463,958400
2000-08-24,7.195274,7.195274,7.096029,7.096029,783400
2000-08-25,7.058813,7.058813,6.984379,6.984379,932200
2000-08-28,6.996783,7.108434,6.909943,7.083622,1424400
2000-08-29,7.096030,7.120842,7.021596,7.046408,1077000
2000-08-30,7.021597,7.158059,7.009191,7.108436,900000
2000-08-31,7.096032,7.220088,7.096032,7.198379,859400
2000-09-01,7.195277,7.269711,7.182872,7.198379,597600
2000-09-05,7.232491,7.418575,7.232491,7.344141,845800
2000-09-06,7.389971,7.603991,7.389971,7.566223,3094400
2000-09-07,7.553630,7.679523,7.528451,7.679523,1167200
2000-09-08,7.679526,8.025734,7.679526,8.025734,1582000
2000-09-11,8.019437,8.220867,8.019437,8.173656,1835400
2000-09-12,8.195685,8.334168,8.044613,8.183096,2336000
2000-09-13,8.195692,8.409711,8.195692,8.283817,2066400
2000-09-14,8.246050,8.434891,8.120156,8.422301,2395800
2000-09-15,8.422298,8.799979,8.422298,8.677233,2780200
2000-09-18,8.661497,8.711855,8.573372,8.658350,2478600
2000-09-19,8.611135,8.623724,8.170507,8.183096,2834000
2000-09-20,8.157921,8.157921,7.868365,7.969080,1900200
2000-09-21,7.994260,8.132743,7.893544,7.943902,843800
2000-09-22,8.057206,8.334172,8.057206,8.308993,4154800
2000-09-25,8.296404,8.384530,8.183100,8.308993,892800
2000-09-26,8.321584,8.787391,8.321584,8.661497,1924400
2000-09-27,8.686671,8.850333,8.573367,8.828301,2495600
2000-09-28,8.812570,9.076947,8.711855,8.888106,1412800
2000-09-29,8.888106,9.202840,8.875516,9.004558,2071400
2000-10-02,9.114710,9.265783,8.862923,9.165068,1698000
