date,open,high,low,close,volume
1999-01-04,17.867466,18.166871,17.162981,17.400745,13958965
1999-01-05,17.418353,17.559249,17.259844,17.453577,11374346
1999-01-06,17.682535,17.867462,17.647311,17.797012,9954292
1999-01-07,17.629695,17.664920,17.391932,17.550442,8697397
1999-01-08,17.550441,17.559246,16.925212,17.224617,11976707
1999-01-11,17.127750,17.127750,16.396848,16.590582,15486211
1999-01-12,16.581773,16.678640,15.886096,16.018187,16808243
1999-01-13,15.436990,16.572971,15.436990,16.440880,16244459
1999-01-14,16.440887,16.502528,15.921329,15.991778,9862594
1999-01-15,16.115049,16.335199,16.071020,16.335199,10021643
1999-01-19,16.572962,16.678634,16.220720,16.326393,12904754
1999-01-20,16.484909,16.916403,16.361623,16.863567,12608475
1999-01-21,16.934021,17.048500,16.379241,16.414465,9934372
1999-01-22,16.211923,16.572972,16.211923,16.308790,8134561
1999-01-25,16.476104,16.617000,16.291178,16.555359,8520641
1999-01-26,16.625802,16.960431,16.414456,16.925207,9444894
1999-01-27,17.171773,17.471178,17.048488,17.180578,14653973
1999-01-28,17.198204,18.025973,17.127757,17.973137,15774269
1999-01-29,18.034783,18.158067,17.788213,18.122843,14596108
1999-02-01,18.316566,18.915376,18.263730,18.704031,14644803
1999-02-02,18.739252,18.950597,18.369399,18.695223,11998209
1999-02-03,18.660002,18.941796,18.422240,18.844931,9163792
1999-02-04,18.739253,18.765672,18.457460,18.536715,8397007
1999-02-05,18.483883,18.527913,18.254925,18.439852,8220568
1999-02-08,18.571943,18.615973,18.290149,18.510302,8172505
1999-02-09,18.316571,18.404631,17.612086,17.647312,8240804
1999-02-10,17.784222,18.057689,17.784222,17.890079,9216914
1999-02-11,18.101788,18.701653,18.101788,18.701653,9346240
1999-02-12,18.701654,18.833977,18.084147,18.366436,10229386
1999-02-16,18.622263,18.631085,18.375260,18.463476,7814883
1999-02-17,18.251762,18.692838,18.251762,18.348799,7059797
1999-02-18,18.384079,18.692832,18.287042,18.507580,7449988
1999-02-19,18.190022,18.339989,18.040056,18.110628,8846960
1999-02-22,18.110616,18.886912,18.101796,18.772232,8535503
1999-02-23,18.754587,19.036877,18.613444,18.895733,8065630
1999-02-24,18.922190,19.036871,18.657544,18.701653,6897903
1999-02-25,18.613445,18.719303,18.234119,18.472300,7953695
1999-02-26,18.489949,18.701667,18.269411,18.622272,7183432
1999-03-01,18.498771,18.842811,18.348805,18.789881,5484805
1999-03-02,18.842806,19.036878,18.763411,18.772232,7307066
1999-03-03,18.781047,18.886905,18.472293,18.569330,6703756
1999-03-04,18.595800,18.869267,18.472298,18.754587,9090118
1999-03-05,18.948661,19.275057,18.886910,19.275057,8821980
1999-03-08,19.257403,19.742589,19.133903,19.698481,10374838
1999-03-09,19.716130,19.989597,19.566164,19.566164,9956822
1999-03-10,19.716136,19.760244,19.610278,19.707315,6734744
1999-03-11,19.874927,19.892571,19.636746,19.848463,9011700
