date,open,high,low,close,volume
1999-01-04,7.849958,7.966772,7.768188,7.925888,2662800
1999-01-05,7.920047,7.984295,7.826595,7.946330,2355600
1999-01-06,7.949251,8.025181,7.925888,7.966773,2026800
1999-01-07,7.925889,7.940491,7.721463,7.794473,5487600
1999-01-08,7.803230,7.975532,7.736061,7.768186,5419200
1999-01-11,7.768187,8.010578,7.762346,7.978454,3471600
1999-01-12,7.966771,8.141993,7.896682,7.943408,2520000
1999-01-13,7.855801,7.937571,7.750667,7.861641,2047200
1999-01-14,7.768188,7.814914,7.481992,7.481992,1857600
1999-01-15,7.487832,7.709780,7.484911,7.628010,8443200
1999-01-19,7.715621,7.779869,7.490752,7.587124,1370400
1999-01-20,7.575444,7.633851,7.435266,7.435266,1008000
1999-01-21,7.248362,7.452789,7.248362,7.400222,1772400
1999-01-22,7.388539,7.388539,7.105263,7.105263,2488800
1999-01-25,7.151992,7.195798,7.052700,7.178276,2115600
1999-01-26,5.735609,6.074371,5.735609,5.820299,27147600
1999-01-27,5.980919,6.059769,5.840742,5.843662,10473600
1999-01-28,5.957558,5.998443,5.837822,5.852424,8558400
1999-01-29,5.887467,5.887467,5.791095,5.837821,3804000
1999-02-01,5.837821,5.840742,5.703485,5.744370,5530800
1999-02-02,5.738529,5.747290,5.566227,5.709325,3631200
1999-02-03,5.715167,5.715167,5.466935,5.466935,3928800
1999-02-04,5.513660,5.548705,5.466934,5.504899,4376400
1999-02-05,5.516580,5.630474,5.393924,5.478615,6354000
1999-02-08,5.537024,5.537024,5.455254,5.501980,4000800
1999-02-09,5.501981,5.612955,5.431892,5.598353,3807600
1999-02-10,5.601272,5.715166,5.566227,5.659679,3346800
1999-02-11,5.694724,5.904991,5.694724,5.814459,3627600
1999-02-12,5.817379,5.840742,5.723926,5.750210,2371200
1999-02-16,5.796935,5.922511,5.796935,5.902069,2323200
1999-02-17,5.887469,6.015966,5.887469,5.963399,2403600
1999-02-18,5.986762,6.249595,5.945877,5.980921,3891600
1999-02-19,5.978000,6.065611,5.916672,5.957558,4106400
1999-02-22,5.969241,6.132782,5.969241,6.126941,1683600
1999-02-23,6.115258,6.226233,6.086055,6.205790,1195200
1999-02-24,6.226233,6.249596,6.004285,6.024728,1966800
1999-02-25,6.007205,6.007205,5.829062,5.890390,2014800
1999-02-26,5.954637,6.027647,5.852424,6.004283,1632000
1999-03-01,5.963395,6.121095,5.934191,6.042245,3872400
1999-03-02,6.051009,6.121098,6.039327,6.121098,3088800
1999-03-03,6.109415,6.167823,6.062690,6.094814,2913600
1999-03-04,6.094814,6.191186,6.094814,6.179504,1712400
1999-03-05,6.243753,6.401453,6.243753,6.345966,1910400
1999-03-08,6.331362,6.383929,6.296318,6.375168,3450000
1999-03-09,6.343046,6.354727,6.281718,6.302160,1725600
1999-03-10,6.308119,6.521409,6.293510,6.521409,6188400
1999-03-11,6.538941,6.544785,6.357791,6.445444,1767600
1999-03-12,6.492195,6.515569,6.398698,6.451290,2989200
1999-03-15,6.462977,6.509726,6.462977,6.483430,2893200
1999-03-16,6.495116,6.685032,6.492195,6.533099,4286400
1999-03-17,6.533096,6.685029,6.533096,6.638280,2642400
1999-03-18,6.614908,6.725935,6.606142,6.720092,2029200
1999-03-19,6.708403,6.725934,6.430835,6.544784,3916800
1999-03-22,6.579844,6.632436,6.565235,6.632436,744000
1999-03-23,6.620752,6.632440,6.503881,6.509725,3036000
1999-03-24,6.509724,6.597377,6.498036,6.536020,1435200
