date,open,high,low,close,volume
1999-01-04,14.445952,15.190305,14.445952,14.694070,505200
1999-01-05,14.804337,14.997318,14.501083,14.501083,256950
1999-01-06,14.611353,15.438411,14.528647,15.328138,491550
1999-01-07,14.776780,15.107603,14.776780,14.969761,550050
1999-01-08,14.997325,15.300579,14.666502,15.162737,2587950
1999-01-11,15.162733,15.162733,14.556223,14.556223,284100
1999-01-12,14.556218,14.583787,14.115119,14.252964,395400
1999-01-13,13.894577,14.335676,13.674029,14.170264,444450
1999-01-14,14.115123,14.142692,13.618888,13.646458,419850
1999-01-15,13.894578,14.004853,13.729166,13.867008,367350
1999-01-19,14.225405,14.335680,14.004857,14.004857,337050
1999-01-20,14.032420,14.473518,13.811872,13.977283,234150
1999-01-21,13.894577,14.004853,13.288067,13.453479,359100
1999-01-22,13.563752,13.563752,13.067517,13.067517,303300
1999-01-25,13.012386,13.811875,13.012386,13.618894,358200
1999-01-26,13.508617,13.591323,13.039949,13.232930,462300
1999-01-27,13.288067,13.536185,13.288067,13.453479,392700
1999-01-28,13.453478,13.646459,13.453478,13.563753,494850
1999-01-29,13.674028,13.949713,13.453478,13.563753,736050
1999-02-01,13.784291,14.831899,13.756724,14.528643,848100
1999-02-02,14.418381,14.721635,14.170263,14.556223,823650
1999-02-03,14.473520,14.556225,14.308108,14.390814,503700
1999-02-04,14.115123,14.473515,14.087556,14.445946,1021500
1999-02-05,14.666492,14.749198,14.528647,14.611353,533400
1999-02-08,14.583793,15.135164,14.556223,15.080028,513450
1999-02-09,16.044928,16.430888,15.576263,15.879517,1192950
1999-02-10,15.824380,16.155203,15.741674,15.879517,990900
1999-02-11,15.824374,15.989786,15.796805,15.851941,763350
1999-02-12,15.686529,16.265469,15.686529,16.100058,724500
1999-02-16,15.989790,16.293044,15.796809,15.934651,668400
1999-02-17,15.879519,15.989794,15.796813,15.796813,567150
1999-02-18,15.686535,16.017358,15.631398,15.769240,292200
1999-02-19,15.714099,16.044922,15.714099,15.851941,323700
1999-02-22,15.816492,17.007575,15.816492,16.869078,733650
1999-02-23,16.896782,17.616972,16.841381,16.896782,570900
1999-02-24,16.896778,17.229174,16.730580,16.841377,619650
1999-02-25,16.619771,16.675169,16.231977,16.675169,349500
1999-02-26,16.702872,16.730572,16.176578,16.453575,261900
1999-03-01,16.176585,16.342783,16.148887,16.259684,631200
1999-03-02,16.231989,16.259687,16.148890,16.204288,507600
1999-03-03,16.204288,16.231989,15.954991,16.121189,351450
1999-03-04,16.176583,16.370481,16.121184,16.315083,315750
1999-03-05,16.425876,16.730573,16.425876,16.647474,433500
1999-03-08,16.647481,16.896778,16.647481,16.869078,364800
1999-03-09,16.619782,16.813681,16.287387,16.481285,443250
1999-03-10,16.398182,16.453580,16.287383,16.342781,424200
1999-03-11,16.398187,16.564385,16.259687,16.508984,457650
1999-03-12,16.508977,16.508977,15.982686,16.148884,531450
1999-03-15,16.231986,16.619780,16.204286,16.398184,387900
1999-03-16,16.231984,16.481281,16.038086,16.342781,235500
1999-03-17,16.619783,16.758280,16.287387,16.508984,176250
1999-03-18,16.398183,16.619780,16.231986,16.592079,288300
1999-03-19,16.702874,17.173767,16.508976,17.173767,584100
1999-03-22,17.007574,17.007574,16.176585,16.398184,277650
1999-03-23,16.315089,16.453587,15.844194,15.954993,339150
1999-03-24,15.844190,16.342783,15.816492,15.844190,412650
1999-03-25,15.844195,16.231992,15.844195,16.010393,194250
1999-03-26,15.899591,15.899591,15.151701,15.428696,517350
1999-03-29,15.539500,16.010393,15.484102,15.899596,360750
1999-03-30,15.788801,15.788801,15.013210,15.401007,489450
1999-03-31,15.484095,15.484095,15.013200,15.179398,525450
1999-04-01,15.179398,15.234799,15.068601,15.179398,228300
1999-04-05,15.179400,15.622595,15.068603,15.622595,286800
1999-04-06,15.511793,15.677990,15.068600,15.317897,377400
1999-04-07,15.345598,15.761093,15.262499,15.677994,376350
1999-04-08,15.733392,16.896776,15.733392,16.536680,1234200
1999-04-09,16.453581,16.592079,16.342782,16.536680,409650
1999-04-12,16.425885,16.785982,16.287388,16.730583,241500
1999-04-13,17.284572,17.727767,17.118375,17.644669,1825200
1999-04-14,17.644666,18.724951,17.616965,18.447954,1192950
1999-04-15,18.835752,20.303835,18.752653,19.860640,1183200
1999-04-16,20.386917,20.830109,20.026821,20.580812,1499550
1999-04-19,21.384124,22.409010,20.774731,20.968630,3123150
1999-04-20,20.940924,20.968624,19.611341,19.916037,1209000
1999-04-21,19.916017,19.916017,19.389726,19.500523,714900
1999-04-22,19.445133,20.830113,19.389735,20.663916,873600
1999-04-23,20.553130,20.802427,19.805240,19.916037,673650
1999-04-26,20.220731,20.691624,20.109931,20.359228,449100
1999-04-27,20.442333,21.384122,20.442333,21.217924,1044450
1999-04-28,21.328721,21.661117,21.190224,21.522619,963750
1999-04-29,21.522602,22.021195,20.608514,20.830111,963600
1999-04-30,20.885526,21.494916,20.386933,20.802427,1314900
1999-05-03,20.774728,21.910412,20.636230,21.910412,896400
1999-05-04,21.827315,22.381310,21.799617,22.353609,1615350
1999-05-05,22.242809,22.270509,21.550320,22.159710,498150
1999-05-06,22.048913,22.159710,21.882715,22.159710,456000
1999-05-07,22.159708,22.270507,21.799614,22.076609,1184700
1999-05-10,22.076597,22.076597,21.356407,21.688803,612000
1999-05-11,21.744213,21.799614,21.494916,21.744213,413700
1999-05-12,21.688805,21.938101,21.439508,21.716505,275700
1999-05-13,21.771916,21.827314,21.273323,21.494919,249300
1999-05-14,21.328721,21.328721,20.940927,21.217924,209400
1999-05-17,20.996329,21.024029,19.971443,20.386938,504900
