date,open,high,low,close,volume
1999-01-04,8.363069,8.386963,8.267491,8.363069,153100
1999-01-05,8.315280,8.363069,8.315280,8.363069,18200
1999-01-06,8.363069,8.506436,8.339175,8.506436,388100
1999-01-07,8.458646,8.697591,8.434751,8.602013,142300
1999-01-08,8.602018,8.697596,8.602018,8.673701,30200
1999-01-11,8.721485,8.721485,8.578118,8.602013,112300
1999-01-12,8.602014,8.649803,8.530331,8.530331,38700
1999-01-13,8.530335,8.578124,8.506441,8.578124,18600
1999-01-14,8.578121,8.649804,8.578121,8.625910,186600
1999-01-15,8.649808,8.697597,8.410863,8.410863,156500
1999-01-19,8.434754,8.625910,8.434754,8.625910,63100
1999-01-20,8.649804,8.649804,8.554226,8.625910,36000
1999-01-21,8.602013,8.769275,8.602013,8.769275,226900
1999-01-22,8.769278,8.840961,8.721489,8.745383,240000
1999-01-25,8.697598,8.721492,8.649809,8.649809,2100
1999-01-26,8.697592,8.697592,8.530331,8.530331,229300
1999-01-27,8.530333,8.578122,8.530333,8.554228,32000
1999-01-28,8.554227,8.578122,8.219705,8.219705,1704300
1999-01-29,8.219703,8.506437,8.219703,8.458648,71400
1999-02-01,8.410863,8.482546,8.410863,8.434757,84600
1999-02-02,8.386968,8.434757,8.386968,8.434757,80600
1999-02-03,8.434757,8.434757,8.386968,8.410863,33400
1999-02-04,8.386968,8.410862,8.363073,8.386968,100600
1999-02-05,8.386966,8.386966,8.315283,8.339177,29500
1999-02-08,8.363072,8.363072,8.315283,8.339177,25400
1999-02-09,8.339174,8.363069,8.315280,8.363069,49400
1999-02-10,8.339174,8.410858,8.028546,8.052441,527000
1999-02-11,8.052441,8.148019,8.028546,8.052441,205100
1999-02-12,8.052441,8.052441,7.956863,8.004652,17800
1999-02-16,8.052441,8.052441,8.004652,8.028546,102800
1999-02-17,8.028549,8.028549,7.956865,7.980760,43200
1999-02-18,8.028547,8.028547,7.980758,8.004652,24700
1999-02-19,7.980758,8.004652,7.980758,8.004652,11400
1999-02-22,8.028549,8.028549,7.932971,7.980760,975100
1999-02-23,8.004654,8.028549,7.956865,7.980760,277500
1999-02-24,7.956862,8.028546,7.956862,7.956862,50200
1999-02-25,8.004654,8.004654,7.956865,7.980760,31200
