date,open,high,low,close,volume
1999-01-04,8.379623,8.891056,8.340282,8.773033,482734
1999-01-05,8.733691,8.733691,8.602554,8.733691,259086
1999-01-06,8.733695,8.733695,8.432081,8.471422,401434
1999-01-07,8.418967,8.432080,8.261603,8.274716,192974
1999-01-08,8.261603,8.497649,8.261603,8.458308,248067
1999-01-11,8.458310,8.628787,8.458310,8.589446,123289
1999-01-12,8.668128,8.707469,8.445196,8.445196,346341
1999-01-13,8.340283,8.432079,8.287829,8.418965,144135
1999-01-14,8.392737,8.432078,8.287828,8.314055,147709
1999-01-15,8.156690,8.327168,8.156690,8.248487,290355
1999-01-19,8.235374,8.340282,8.104237,8.314055,152771
1999-01-20,8.366514,8.379627,8.274718,8.327172,103337
1999-01-21,8.340286,8.445196,8.314059,8.327172,110186
1999-01-22,8.327173,8.392741,8.248491,8.392741,108995
1999-01-25,8.392741,8.471424,8.340287,8.445196,140264
1999-01-26,8.418969,8.471423,8.287832,8.287832,458910
1999-01-27,8.282043,8.334710,8.031869,8.045036,200419
1999-01-28,8.045031,8.150368,8.018698,8.018698,101252
1999-01-29,8.124038,8.163539,8.005535,8.058203,155749
1999-02-01,8.110865,8.137198,8.031862,8.031862,63134
1999-02-02,7.926528,8.216202,7.913361,8.216202,141753
1999-02-03,8.203036,8.203036,8.031865,8.084533,85171
1999-02-04,8.137203,8.137203,7.966032,7.979199,117333
1999-02-05,7.979197,8.084533,7.926529,8.084533,179573
1999-02-08,8.045029,8.097697,8.018696,8.031862,179276
1999-02-09,8.058199,8.058199,7.900195,7.926529,334429
1999-02-10,7.768528,7.847530,7.676359,7.729027,226626
1999-02-11,7.557852,7.729024,7.518352,7.689522,242707
1999-02-12,7.584184,8.189865,7.584184,8.189865,751052
1999-02-16,8.137201,8.137201,7.768525,7.873861,312690
1999-02-17,7.900197,8.045033,7.873863,7.900197,142944
1999-02-18,7.900197,7.979199,7.887030,7.900197,150389
1999-02-19,7.952862,7.952862,7.860692,7.860692,385353
1999-02-22,7.847529,7.926531,7.847529,7.887030,120609
1999-02-23,7.900195,8.137201,7.887028,8.084533,441935
1999-02-24,8.137196,8.203031,8.045027,8.071362,173915
1999-02-25,8.124038,8.124038,7.860698,7.952868,164683
1999-02-26,7.926531,7.992366,7.926531,7.979199,208162
1999-03-01,7.966028,7.966028,7.847525,7.860692,243303
1999-03-02,7.900193,7.992362,7.821191,7.939694,240027
1999-03-03,7.913359,7.939693,7.834357,7.847524,183147
1999-03-04,7.887030,7.992366,7.821195,7.992366,479160
1999-03-05,8.045032,8.189869,8.045032,8.084533,192677
1999-03-08,8.084532,8.084532,7.860694,7.926529,242707
1999-03-09,7.873862,7.873862,7.268180,7.544687,660818
1999-03-10,7.557855,7.571022,7.478853,7.531521,449380
1999-03-11,7.584186,7.610520,7.505184,7.557852,94998
1999-03-12,7.663189,7.689523,7.492018,7.518353,235262
1999-03-15,7.544687,7.584188,7.465685,7.492019,379099
1999-03-16,7.518351,7.544685,7.281345,7.307679,276061
1999-03-17,7.320846,7.439349,7.294512,7.360347,243303
1999-03-18,7.360352,7.531523,6.846839,7.373519,542592
1999-03-19,7.373514,7.373514,7.215510,7.360347,574456
1999-03-22,7.360350,7.360350,7.228680,7.228680,363316
1999-03-23,7.255012,7.255012,7.004840,7.031173,217990
1999-03-24,6.952171,7.083841,6.820501,6.873169,228710
1999-03-25,6.873168,6.939003,6.820500,6.833667,383566
1999-03-26,6.794169,6.807335,6.570330,6.596663,559268
1999-03-29,6.372822,6.530826,6.293821,6.517660,508940
1999-03-30,6.517663,6.728335,6.478162,6.715168,680473
1999-03-31,6.820501,7.465683,6.807334,7.110174,632229
1999-04-01,7.162839,7.162839,7.070671,7.097005,346341
1999-04-05,7.057509,7.136511,7.004841,7.083843,186125
1999-04-06,7.136511,7.189179,6.991674,7.044342,229008
1999-04-07,7.241850,7.255017,7.057512,7.162848,177787
1999-04-08,7.426187,7.742195,7.268183,7.373519,347235
1999-04-09,7.373518,7.650025,7.373518,7.636858,295120
1999-04-12,7.584192,7.729029,7.584192,7.650027,190592
1999-04-13,7.821191,8.084531,7.821191,8.005529,730503
1999-04-14,7.952864,8.413708,7.900196,8.347874,775471
1999-04-15,8.479546,8.821888,8.453212,8.782387,803167
1999-04-16,8.848218,9.098391,8.769216,8.940387,1031579
1999-04-19,9.269560,9.348562,9.190557,9.190557,586368
1999-04-20,9.216896,9.216896,8.769219,8.795552,421685
1999-04-21,8.848223,9.216899,8.808722,9.111564,634314
1999-04-22,9.190561,9.401233,9.190561,9.309065,385353
1999-04-23,9.361737,9.401238,9.269568,9.335403,337110
1999-04-26,9.322236,9.388072,9.295902,9.335403,189699
1999-04-27,9.335398,9.467067,9.269562,9.322230,259086
1999-04-28,9.369276,9.778934,9.316417,9.778934,636101
1999-04-29,9.778933,9.897867,9.726074,9.884651,283803
1999-04-30,9.831791,9.990369,9.805362,9.937510,451763
1999-05-03,9.884647,9.897863,9.620353,9.673212,295715
1999-05-04,9.726074,9.924296,9.712860,9.845008,275465
1999-05-05,9.858224,9.858224,9.706254,9.831794,244494
1999-05-06,9.673215,10.254664,9.673215,10.254664,765644
1999-05-07,10.254668,10.413245,10.043231,10.201808,468737
1999-05-10,10.201805,10.320737,10.135732,10.254664,325495
1999-05-11,10.215021,10.360384,10.215021,10.307524,249854
1999-05-12,10.347169,10.347169,10.162162,10.294311,173915
1999-05-13,10.254666,10.254666,10.188592,10.188592,421089
1999-05-14,10.148949,10.267882,10.096090,10.201808,275763
1999-05-17,10.175379,10.175379,9.845010,9.858224,497624
1999-05-18,9.845005,9.845005,9.237125,9.316414,493752
1999-05-19,9.395703,10.333952,9.395703,10.333952,466950
1999-05-20,10.148949,10.228238,9.831794,9.858224,228413
1999-05-21,9.884650,10.043228,9.871436,9.990369,103039
