date,open,high,low,close,volume
1999-01-04,14.662606,14.920599,14.598108,14.748604,348400
1999-01-05,14.748594,14.899090,14.662596,14.727095,287000
1999-01-06,14.705602,14.791599,14.361611,14.705602,312300
1999-01-07,14.705599,14.705599,14.447606,14.576603,86500
1999-01-08,14.490610,14.533609,14.060621,14.254116,434900
1999-01-11,14.168118,14.168118,13.910125,14.125119,244700
1999-01-12,14.039118,14.275612,14.039118,14.189614,172700
1999-01-13,14.189620,14.189620,14.017624,14.146621,211400
1999-01-14,14.103621,14.103621,13.759630,13.953125,268500
1999-01-15,14.039119,14.060619,13.716628,13.824125,173600
1999-01-19,13.888624,14.103618,13.845625,14.082119,305500
1999-01-20,14.060620,14.189616,14.017621,14.082119,472100
1999-01-21,14.082117,14.232613,14.039118,14.189614,284200
1999-01-22,14.125118,14.447609,14.125118,14.404611,291900
1999-01-25,14.318620,14.576613,14.318620,14.533614,296300
1999-01-26,14.533608,14.619605,14.469110,14.469110,244900
1999-01-27,14.490608,14.490608,14.211116,14.211116,287600
1999-01-28,14.280459,14.323798,14.042090,14.193779,3934800
1999-01-29,14.193785,14.193785,13.803727,13.868736,321700
1999-02-01,13.782054,13.803723,13.391995,13.391995,400200
1999-02-02,13.435340,13.608699,13.370330,13.565359,1458200
1999-02-03,13.587021,13.912069,13.478671,13.760380,462500
1999-02-04,13.717039,13.868728,13.565349,13.825388,411000
1999-02-05,13.825390,13.890400,13.760381,13.847060,193800
1999-02-08,13.803720,14.063759,13.673701,13.847060,148000
1999-02-09,13.825385,13.998744,13.565347,13.608686,213200
1999-02-10,13.608689,13.695369,13.175291,13.240301,594500
1999-02-11,13.435328,13.435328,13.066940,13.175289,442600
1999-02-12,13.131952,13.131952,12.785234,12.806904,671200
1999-02-16,12.893588,13.066947,12.741898,12.785238,827500
1999-02-17,12.698558,13.261975,12.655218,12.958596,1242900
1999-02-18,12.871920,13.305318,12.871920,13.131959,268600
1999-02-19,13.045273,13.088612,12.785234,12.806904,473700
1999-02-22,12.763566,12.893585,12.741896,12.850245,239200
1999-02-23,12.850241,12.915250,12.698552,12.720222,247200
1999-02-24,12.741896,12.893585,12.676886,12.698556,254200
1999-02-25,12.655220,12.785239,12.460191,12.611880,128900
1999-02-26,12.590209,12.720228,12.481859,12.525199,496300
1999-03-01,12.460187,12.828575,12.460187,12.698556,476100
1999-03-02,12.633545,13.066943,12.590205,13.045273,558700
1999-03-03,12.980263,13.045272,12.850243,12.936923,170400
1999-03-04,13.023601,13.088610,12.806902,12.980261,218700
1999-03-05,13.066940,13.370318,13.066940,13.175289,449400
1999-03-08,13.175299,13.196969,13.001940,13.131959,343700
1999-03-09,13.088619,13.088619,12.915260,13.001940,366300
1999-03-10,13.001933,13.088612,12.936923,13.066942,494500
1999-03-11,13.066949,13.218639,13.066949,13.131959,466100
1999-03-12,13.175290,13.370319,13.131951,13.370319,220300
1999-03-15,13.326984,13.391993,13.261974,13.283644,125400
1999-03-16,13.196964,13.326984,13.175294,13.283644,99500
1999-03-17,13.240308,13.348658,13.088619,13.131959,324400
1999-03-18,13.175290,13.326979,13.175290,13.305309,86800
1999-03-19,12.958591,13.153620,12.958591,12.980261,201700
1999-03-22,13.045272,13.045272,12.828574,12.936923,104100
1999-03-23,12.915260,13.045280,12.915260,13.001940,158300
1999-03-24,12.871916,13.478673,12.871916,13.478673,243600
1999-03-25,13.478669,13.478669,13.023601,13.153621,177900
1999-03-26,13.175297,13.218637,13.045277,13.218637,423000
