date,open,high,low,close,volume
1999-01-04,2.253800,2.253800,2.197921,2.216548,60750
1999-01-05,2.216548,2.253800,2.216548,2.216548,407531
1999-01-06,2.216546,2.216546,2.123414,2.123414,58219
1999-01-07,2.142041,2.197920,2.142041,2.197920,83531
1999-01-08,2.197920,2.197920,2.086162,2.197920,386775
1999-01-11,2.197921,2.244487,2.160668,2.216548,1150200
1999-01-12,2.244487,2.253799,2.197920,2.244487,537131
1999-01-13,2.197920,2.197920,2.160668,2.197920,5063
1999-01-14,2.160668,2.235174,2.160668,2.197920,152888
1999-01-15,2.235173,2.235173,2.179294,2.179294,79988
1999-01-19,2.235173,2.253799,2.197920,2.235173,490556
1999-01-20,2.253799,2.263113,2.235173,2.235173,422213
1999-01-21,2.235174,2.235174,2.197921,2.216548,68850
1999-01-22,2.197920,2.253799,2.197920,2.244487,25313
1999-01-25,2.197920,2.235174,2.197920,2.197920,6581
1999-01-26,2.235173,2.235173,2.197920,2.235173,9619
1999-01-27,2.225860,2.253799,2.216547,2.244487,128081
1999-01-28,2.244486,2.244486,2.235173,2.235173,165544
1999-01-29,2.244486,2.309678,2.235173,2.272426,465750
1999-02-01,2.309679,2.328306,2.197920,2.197920,119981
1999-02-02,2.235173,2.253799,2.235173,2.235173,21769
1999-02-03,2.235173,2.272426,2.216547,2.244487,179213
1999-02-04,2.235173,2.253799,2.225860,2.235173,51638
1999-02-05,2.235173,2.253799,2.235173,2.235173,123525
1999-02-08,2.253799,2.253799,2.225860,2.235173,82013
1999-02-09,2.225860,2.253800,2.207234,2.216548,188831
1999-02-10,2.160667,2.216546,2.067535,2.123414,47081
1999-02-11,2.048909,2.160668,2.048909,2.095475,47081
1999-02-12,2.086162,2.095475,2.086162,2.095475,7088
1999-02-16,2.104788,2.104788,2.104788,2.104788,4050
1999-02-17,2.067535,2.104787,2.067535,2.067535,14681
1999-02-18,2.086161,2.123414,2.086161,2.123414,9113
1999-02-19,2.095474,2.123414,2.048908,2.048908,225788
1999-02-22,2.123415,2.123415,2.011656,2.011656,27338
1999-02-23,2.030282,2.030282,1.974402,2.030282,269325
1999-02-24,2.030283,2.048909,1.993030,1.993030,55181
1999-02-25,2.011656,2.011656,1.937150,1.974403,998831
1999-02-26,2.030283,2.179294,2.011656,2.142041,836831
1999-03-01,2.123414,2.123414,2.067535,2.067535,49613
1999-03-02,2.086161,2.104787,2.067535,2.067535,7088
1999-03-03,2.067536,2.123415,2.067536,2.095475,271350
1999-03-04,2.067535,2.123414,2.048908,2.048908,79481
1999-03-05,2.011656,2.086162,2.011656,2.086162,1519
1999-03-08,2.067536,2.067536,2.011656,2.011656,26831
1999-03-09,2.030281,2.086160,2.030281,2.039595,256163
1999-03-10,2.020969,2.086162,2.020969,2.020969,65306
1999-03-11,2.030282,2.058221,2.030282,2.030282,553331
1999-03-12,2.020969,2.086162,2.011656,2.086162,82519
1999-03-15,2.030282,2.086161,2.030282,2.067535,367031
1999-03-16,2.086161,2.086161,1.844017,1.918524,149344
1999-03-17,1.993029,1.993029,1.918523,1.937150,1192219
1999-03-18,1.993029,1.993029,1.918524,1.918524,454106
1999-03-19,1.937150,1.946463,1.881270,1.937150,271350
1999-03-22,1.955777,1.955777,1.881271,1.881271,1013
1999-03-23,1.890584,1.937150,1.862644,1.862644,257175
1999-03-24,1.862644,1.974403,1.862644,1.899897,101250
1999-03-25,1.881271,1.993029,1.881271,1.974403,289069
1999-03-26,2.011656,2.048909,2.011656,2.011656,212119
1999-03-29,2.086161,2.123414,2.011656,2.067535,218700
1999-03-30,2.067536,2.104788,2.048909,2.086162,53663
1999-03-31,2.090818,2.160668,2.086162,2.086162,329063
1999-04-01,2.095475,2.104788,2.095475,2.104788,61256
1999-04-05,2.169981,2.169981,2.142041,2.142041,43031
1999-04-06,2.132727,2.169981,2.095475,2.142041,42525
1999-04-07,2.095475,2.160668,2.095475,2.160668,17213
1999-04-08,2.160668,2.160668,2.160668,2.160668,10631
1999-04-09,2.160668,2.169980,2.123415,2.160668,137194
1999-04-12,2.179294,2.179294,2.142041,2.151354,45563
1999-04-13,2.123414,2.142040,2.123414,2.123414,7088
1999-04-14,2.160668,2.244487,2.160668,2.197920,177694
1999-04-15,2.235173,2.235173,2.179294,2.179294,218700
1999-04-16,2.160668,2.197920,2.160668,2.160668,69356
1999-04-19,2.142041,2.160668,2.123415,2.142041,27844
1999-04-20,2.179294,2.253799,2.142040,2.235173,338681
1999-04-21,2.291052,2.607701,2.286395,2.570448,4825069
1999-04-22,2.607701,2.682207,2.570448,2.672894,729506
1999-04-23,2.663581,2.700834,2.644955,2.700834,416644
1999-04-26,2.719460,2.728774,2.672894,2.682208,583706
1999-04-27,2.663581,2.756713,2.663581,2.728773,806963
1999-04-28,2.738087,2.738087,2.682208,2.682208,483469
1999-04-29,2.691520,2.738087,2.682208,2.682208,46575
1999-04-30,2.682208,2.738088,2.682208,2.738088,170606
1999-05-03,2.821906,2.849846,2.756714,2.775340,783169
1999-05-04,2.756713,2.793966,2.700834,2.700834,492075
1999-05-05,2.756712,2.756712,2.682207,2.710147,52650
1999-05-06,2.719460,2.738087,2.700834,2.700834,97200
1999-05-07,2.700834,2.719461,2.654269,2.654269,144281
1999-05-10,2.682208,2.738087,2.607701,2.607701,159469
1999-05-11,2.644954,2.644954,2.570448,2.607701,32906
1999-05-12,2.589075,2.831219,2.570448,2.784653,86569
1999-05-13,2.812593,2.812593,2.775340,2.812593,5569
1999-05-14,2.793967,2.793967,2.728774,2.775340,25819
1999-05-17,2.775340,2.775340,2.682208,2.691521,1264106
1999-05-18,2.700834,2.719460,2.607701,2.607701,186300
1999-05-19,2.700833,2.700833,2.607701,2.626327,372094
1999-05-20,2.626327,2.700833,2.626327,2.644954,313369
1999-05-21,2.644954,2.719460,2.626327,2.719460,691538
1999-05-24,2.738088,2.738088,2.682208,2.738088,148331
1999-05-25,2.719460,2.719460,2.682208,2.682208,321469
1999-05-26,2.691520,2.719460,2.644954,2.719460,205538
1999-05-27,2.682207,2.719460,2.682207,2.719460,3038
1999-05-28,2.719459,2.849845,2.700833,2.849845,123019
1999-06-01,2.831219,3.054737,2.831219,3.054737,844931
1999-06-02,2.989544,3.017483,2.887098,2.961604,388800
1999-06-03,2.980230,2.980230,2.882441,2.905724,93150
1999-06-04,2.942979,2.998858,2.868472,2.924352,561431
1999-06-07,2.961604,2.970917,2.942978,2.961604,462206
1999-06-08,2.952290,2.989544,2.952290,2.961604,67838
1999-06-09,2.980230,3.008169,2.980230,2.980230,275906
1999-06-10,2.961604,3.008170,2.942978,2.998857,391838
1999-06-11,3.008170,3.017483,2.989544,3.017483,149850
1999-06-14,3.036110,3.334133,3.036110,3.315507,488531
1999-06-15,3.296881,3.371387,3.241002,3.334134,1957669
1999-06-16,3.315507,3.390012,3.278253,3.352759,182756
1999-06-17,3.296880,3.352759,3.278253,3.315507,277425
1999-06-18,3.315507,3.390012,3.315507,3.390012,268313
1999-06-21,3.390012,3.417951,3.362072,3.417951,522450
1999-06-22,3.410967,3.417952,3.390012,3.390012,694575
1999-06-23,3.390012,3.427265,3.390012,3.417951,545231
1999-06-24,3.417952,3.427265,3.390012,3.427265,491063
1999-06-25,3.427265,3.660096,3.408639,3.557650,326025
1999-06-28,3.650782,3.762541,3.594902,3.613529,551813
1999-06-29,3.688035,3.743915,3.632156,3.725288,1198800
1999-06-30,3.762540,3.911551,3.688034,3.855672,1103625
1999-07-01,3.576277,3.743915,3.566963,3.725288,2109038
1999-07-02,3.743915,3.799794,3.688035,3.799794,413100
1999-07-06,3.762541,3.874299,3.762541,3.837047,196931
1999-07-07,3.837047,3.892926,3.818420,3.837047,432338
