date,open,high,low,close,volume
1999-01-04,15.944685,16.493319,15.876106,16.424740,858400
1999-01-05,16.424741,17.076244,16.356162,16.681913,773800
1999-01-06,16.613331,17.007662,16.527607,17.007662,454600
1999-01-07,16.904797,16.939087,16.493321,16.733349,522800
1999-01-08,16.784780,17.453428,16.767635,17.419138,827400
1999-01-11,17.350558,17.762034,16.887648,17.007662,1035800
1999-01-12,16.939085,17.076244,16.630478,16.647623,841200
1999-01-13,16.184714,16.493321,15.961831,16.013266,1230400
1999-01-14,15.944689,16.219006,15.738951,15.841820,1098600
1999-01-15,16.013272,16.167575,15.807534,16.047562,893400
1999-01-19,16.253297,16.287586,15.773241,15.944690,701200
1999-01-20,15.773235,15.893249,15.464628,15.516063,472600
1999-01-21,15.636086,15.961838,15.516072,15.601796,768600
1999-01-22,15.601783,15.601783,15.190307,15.258886,874200
1999-01-25,15.327468,15.464627,15.156020,15.207455,909000
1999-01-26,15.156024,15.293182,15.087444,15.087444,1018800
1999-01-27,15.190310,15.293179,14.813124,14.847414,1037600
1999-01-28,14.916000,15.001724,14.778841,14.830276,1626600
1999-01-29,14.710256,14.813125,14.607387,14.744546,595200
1999-02-01,14.795978,14.795978,14.573095,14.675964,596600
1999-02-02,14.624533,14.744547,14.607389,14.658823,1558200
1999-02-03,14.641680,14.675970,14.521666,14.555956,689000
1999-02-04,14.624533,14.933139,14.470229,14.470229,3178600
1999-02-05,14.624529,15.293177,14.573094,15.001715,2193600
1999-02-08,15.156019,15.156019,14.967426,14.984571,667800
1999-02-09,15.053150,15.087439,14.847412,14.933136,803400
1999-02-10,15.001717,15.207455,14.795979,14.915993,818600
1999-02-11,14.917376,15.262686,14.917376,15.176358,1043000
1999-02-12,15.055498,15.262684,14.986437,15.020967,743800
1999-02-16,15.124560,15.141826,14.399410,14.710189,948200
1999-02-17,14.779253,14.900111,14.347616,14.399412,1142600
1999-02-18,14.451204,14.641125,14.019567,14.019567,1713800
1999-02-19,14.054103,14.295819,13.898713,14.071368,1476400
1999-02-22,13.950512,14.468477,13.950512,14.209495,819400
1999-02-23,14.261288,14.554801,14.174960,14.451208,1101200
1999-02-24,14.295820,14.813785,14.261289,14.485741,1046200
1999-02-25,14.416679,14.503007,14.261290,14.347617,745400
1999-02-26,14.503001,14.503001,14.261285,14.382143,755600
1999-03-01,14.433942,14.433942,14.105898,14.244021,609000
1999-03-02,14.192232,14.295825,14.140435,14.226763,824400
1999-03-03,14.157698,14.192229,13.881450,14.036839,771200
1999-03-04,14.157690,14.347610,14.036831,14.313079,715000
1999-03-05,14.399408,14.744718,14.399408,14.744718,628400
1999-03-08,14.727455,14.761986,14.433942,14.554800,846400
