date,open,high,low,close,volume
1999-01-04,4.613725,4.665103,4.582899,4.634276,740391
1999-01-05,4.654828,4.685655,4.613726,4.644553,341207
1999-01-06,4.634275,4.654826,4.572622,4.603448,656861
1999-01-07,4.572621,4.593173,4.480141,4.541795,1786987
1999-01-08,4.510970,4.562348,4.500695,4.510970,808246
1999-01-11,4.500696,4.510971,4.397940,4.439042,550569
1999-01-12,4.397938,4.490418,4.387662,4.418489,886837
1999-01-13,4.428767,4.500696,4.336287,4.439042,1612411
1999-01-14,4.408214,4.408214,4.315734,4.367112,438265
1999-01-15,4.377387,4.397937,4.356835,4.397937,444277
1999-01-19,4.428764,4.428764,4.305458,4.346560,652566
1999-01-20,4.346560,4.418489,4.336285,4.377387,3218596
1999-01-21,4.408213,4.439040,4.356835,4.397937,651278
1999-01-22,4.418491,4.449318,4.387664,4.439042,552502
1999-01-25,4.439040,4.459591,4.397938,4.418489,387374
1999-01-26,4.397938,4.439040,4.356836,4.418489,1117028
1999-01-27,4.377386,4.397937,4.284906,4.295182,641185
1999-01-28,4.295182,4.459591,4.295182,4.397937,1041014
1999-01-29,4.428766,4.428766,4.346562,4.387664,664591
1999-02-01,4.346560,4.418489,4.315733,4.397937,999785
1999-02-02,4.367110,4.367110,4.233528,4.295182,762508
1999-02-03,4.305458,4.367111,4.274631,4.284907,519863
1999-02-04,4.274631,4.295182,4.161599,4.202702,420442
1999-02-05,4.264356,4.274632,4.171876,4.233530,3459523
1999-02-08,4.254082,4.295184,4.171877,4.243806,339059
1999-02-09,4.223253,4.356835,4.192426,4.305457,521795
1999-02-10,4.284906,4.315732,4.110221,4.192426,942237
1999-02-11,4.151324,4.295182,4.151324,4.295182,1009448
1999-02-12,4.295183,4.295183,4.161600,4.182151,1018682
1999-02-16,4.202702,4.248942,4.171875,4.212978,981748
1999-02-17,4.233528,4.336284,4.223253,4.295182,885763
1999-02-18,4.315730,4.459589,4.315730,4.408210,1037363
1999-02-19,4.408214,4.408214,4.274632,4.326009,932575
1999-02-22,4.326006,4.418486,4.326006,4.408210,320807
1999-02-23,4.428766,4.428766,4.356837,4.387664,428387
1999-02-24,4.387663,4.428765,4.315734,4.336285,849259
1999-02-25,4.315732,4.346559,4.233528,4.295182,1076444
1999-02-26,4.295183,4.305458,4.182151,4.182151,1033713
1999-03-01,4.223255,4.274633,4.171877,4.243806,668671
1999-03-02,4.223252,4.377385,4.182149,4.254078,864505
1999-03-03,4.254079,4.305457,4.223253,4.305457,626369
1999-03-04,4.284907,4.346561,4.274632,4.336285,1107151
1999-03-05,4.377388,4.418490,4.356837,4.367112,1082027
1999-03-08,4.367110,4.408603,4.346364,4.346364,2171140
1999-03-09,4.304871,4.367109,4.263378,4.294497,494524
1999-03-10,4.253007,4.294499,4.221887,4.232260,1024694
1999-03-11,4.232260,4.263380,4.190767,4.263380,1457376
1999-03-12,4.263379,4.346364,4.263379,4.325618,280009
1999-03-15,4.304872,4.325618,4.221886,4.242632,826283
1999-03-16,4.253007,4.263380,4.201140,4.232260,320378
1999-03-17,4.242633,4.273753,4.211514,4.232260,327035
1999-03-18,4.211513,4.304872,4.201140,4.273752,773245
1999-03-19,4.284125,4.315245,4.232259,4.242632,695083
1999-03-22,4.211513,4.211513,4.149274,4.201139,514709
1999-03-23,4.221886,4.263379,4.201139,4.211513,882113
1999-03-24,4.211513,4.356738,4.201140,4.273752,1675542
1999-03-25,4.315246,4.387858,4.315246,4.315246,1518789
1999-03-26,4.325618,4.325618,4.273752,4.273752,919261
1999-03-29,4.273753,4.304873,4.232261,4.253007,919047
1999-03-30,4.253005,4.263378,4.170019,4.170019,1162766
1999-03-31,4.170022,4.211514,4.107782,4.107782,1447284
1999-04-01,4.107782,4.211514,4.107782,4.180395,948679
