date,open,high,low,close,volume
1999-01-04,14.521926,14.603971,14.357836,14.480904,61650
1999-01-05,14.480906,14.480906,14.193750,14.275794,40800
1999-01-06,14.316815,14.603971,14.275793,14.603971,70350
1999-01-07,14.686017,14.686017,14.603972,14.686017,21750
1999-01-08,14.603970,14.768060,14.521926,14.521926,49050
1999-01-11,14.480904,14.603971,14.439883,14.603971,16050
1999-01-12,14.603971,14.727039,14.521927,14.603971,58650
1999-01-13,14.521926,14.603970,14.439881,14.521926,6000
1999-01-14,14.521926,14.603971,14.439882,14.480904,9300
1999-01-15,14.562949,14.850105,14.562949,14.850105,52050
1999-01-19,14.973172,15.711575,14.973172,15.711575,59100
1999-01-20,15.752596,16.244864,15.670551,16.162821,77700
1999-01-21,16.244864,16.326908,16.162821,16.162821,19950
1999-01-22,16.203846,16.244870,16.203846,16.203846,18450
1999-01-25,16.162822,16.203842,15.670552,15.670552,27150
1999-01-26,15.711574,15.711574,15.096238,15.260328,203850
1999-01-27,15.588508,17.065313,15.588508,16.696112,3580950
1999-01-28,16.778158,17.680648,16.655091,17.598604,319950
1999-01-29,17.680651,19.526658,17.393496,18.460077,283500
1999-02-01,18.419050,18.952342,18.213940,18.419050,272850
1999-02-02,18.542121,18.624168,17.885765,17.885765,378900
1999-02-03,17.885763,18.870300,17.557581,18.870300,132450
1999-02-04,18.295984,19.116434,18.295984,18.706209,116100
1999-02-05,18.788249,19.526652,18.788249,19.034384,246150
1999-02-08,19.116433,19.239501,18.706208,18.993366,90600
1999-02-09,19.034388,19.034388,17.229404,17.229404,141600
1999-02-10,17.147361,17.721673,16.819179,17.639629,103050
1999-02-11,17.803718,18.542121,17.721674,18.049852,171000
1999-02-12,18.131898,18.378032,17.557582,17.639629,133500
1999-02-16,17.639627,17.721671,16.737133,16.901224,47850
1999-02-17,17.147361,17.803717,16.901227,17.229404,78150
1999-02-18,17.065314,17.229405,17.065314,17.147362,33150
1999-02-19,17.147361,17.803716,17.147361,17.639629,48000
1999-02-22,17.721674,18.172919,17.680651,17.885765,65700
1999-02-23,17.803715,17.885762,17.680648,17.803715,189450
1999-02-24,17.762694,18.295983,17.762694,18.254963,229200
1999-02-25,18.131898,18.131898,17.537072,17.639629,256800
1999-02-26,17.803716,17.885763,17.639629,17.721672,121200
1999-03-01,17.803716,17.885763,17.229403,17.721672,143550
1999-03-02,17.721672,17.721672,17.557581,17.721672,54900
1999-03-03,17.803718,17.967809,17.762698,17.885765,57000
1999-03-04,17.885763,17.885763,17.639629,17.721672,106050
1999-03-05,17.639629,17.721673,17.516562,17.639629,85950
1999-03-08,17.803717,17.803717,17.229404,17.229404,176250
1999-03-09,17.229402,17.229402,16.737134,17.065311,217800
1999-03-10,17.147361,17.147361,16.819180,16.819180,40950
1999-03-11,16.737135,16.737135,16.491000,16.573044,55200
1999-03-12,16.491001,16.491001,16.162823,16.285891,26550
1999-03-15,16.367934,16.696112,16.367934,16.696112,22800
1999-03-16,16.819178,16.819178,16.737135,16.778158,230400
1999-03-17,16.778160,17.065314,16.778160,17.024294,65550
1999-03-18,16.942247,17.024294,16.819180,16.819180,4950
1999-03-19,16.901224,17.065311,16.819176,16.942244,34050
1999-03-22,17.024291,17.024291,16.901224,16.901224,7500
1999-03-23,16.819179,16.819179,16.491001,16.491001,11400
1999-03-24,16.655094,16.696114,15.957711,15.998734,37200
1999-03-25,15.916690,15.916690,14.932152,15.055219,191700
1999-03-26,14.932154,15.137266,14.439885,15.096243,122250
1999-03-29,15.096240,15.506464,15.096240,15.506464,41700
1999-03-30,15.588509,15.588509,15.342375,15.465442,27150
1999-03-31,15.629531,16.901226,15.629531,16.696112,148500
1999-04-01,16.696112,16.696112,16.408958,16.491001,36450
1999-04-05,16.408955,16.408955,16.162821,16.162821,64200
1999-04-06,16.244869,16.244869,16.121801,16.121801,11850
1999-04-07,16.203841,16.244865,15.916687,15.916687,79500
1999-04-08,15.916688,15.916688,15.588507,15.670552,33000
1999-04-09,15.588510,15.998734,15.506466,15.998734,102000
1999-04-12,16.080776,16.080776,15.875666,15.875666,17700
1999-04-13,15.834642,16.491002,15.834642,16.244867,12450
1999-04-14,16.244868,16.532026,15.998734,16.532026,19800
1999-04-15,16.408956,17.598604,16.326909,17.598604,73800
1999-04-16,17.639631,18.624168,17.352473,18.460077,52950
1999-04-19,18.295985,18.460076,17.639629,17.639629,33300
1999-04-20,17.639630,19.690749,17.598607,19.444614,394800
1999-04-21,19.362570,19.936882,19.362570,19.526657,180150
1999-04-22,19.690746,20.839374,19.280521,19.321545,244050
1999-04-23,19.280521,19.280521,18.829276,18.952343,142050
1999-04-26,18.952346,18.952346,18.295986,18.295986,48600
1999-04-27,18.131898,18.131898,16.901227,17.024294,78150
1999-04-28,16.942245,17.721671,16.942245,17.598604,61050
1999-04-29,17.680652,18.870304,17.680652,18.665190,101100
1999-04-30,18.993371,19.034391,18.870304,18.911324,158850
