date,open,high,low,close,volume
1999-01-04,6.844956,7.471607,6.844956,7.230587,418000
1999-01-05,7.278790,7.519809,6.989566,7.037770,636500
1999-01-06,7.037773,7.182384,6.893161,6.989569,777000
1999-01-07,6.989569,6.989569,6.748549,6.893161,768200
1999-01-08,6.989569,6.989569,6.700345,6.844957,430600
1999-01-11,6.941362,7.037770,6.893159,7.037770,474500
1999-01-12,6.989569,7.037773,6.748549,6.844957,138300
1999-01-13,6.844957,6.844957,6.555733,6.844957,137200
1999-01-14,6.893161,7.037773,6.844957,6.989569,377100
1999-01-15,6.941362,7.037770,6.844955,6.941362,201100
1999-01-19,6.941362,7.037770,6.603935,7.037770,369700
1999-01-20,7.134181,7.134181,6.652142,6.700346,203100
1999-01-21,6.796753,7.326996,6.700345,6.989569,170200
1999-01-22,7.085977,7.230588,6.941365,6.989569,128400
1999-01-25,7.037770,7.182382,6.941362,7.037770,78800
1999-01-26,7.134181,7.134181,6.652142,6.700346,637900
1999-01-27,6.652142,6.796753,6.314714,6.507530,104900
1999-01-28,6.459323,6.652139,6.170100,6.170100,125700
1999-01-29,6.170101,6.411121,6.121897,6.362917,165800
1999-02-01,6.266509,6.555733,6.218305,6.362917,86900
1999-02-02,6.459326,6.507530,6.025490,6.507530,187300
1999-02-03,6.411121,6.603937,6.362918,6.603937,126700
1999-02-04,6.700343,6.700343,6.362916,6.459323,109300
1999-02-05,6.507527,6.507527,6.411120,6.459323,84100
1999-02-08,6.411120,6.507528,6.218305,6.266509,107100
1999-02-09,6.314711,6.362915,6.170100,6.170100,58500
1999-02-10,6.170102,6.218306,6.073694,6.218306,61000
1999-02-11,6.266509,6.266509,5.736266,5.832674,264900
1999-02-12,5.736266,5.784470,5.398839,5.495247,298900
1999-02-16,5.591655,5.784471,5.398839,5.447043,285300
1999-02-17,5.495244,5.495244,5.157817,5.350633,129300
1999-02-18,5.447043,5.543451,4.579372,4.675780,599100
1999-02-19,4.627576,4.820391,4.434760,4.482964,449900
1999-02-22,4.579374,4.627578,4.145538,4.145538,152200
1999-02-23,4.241944,4.627576,4.241944,4.482964,234300
1999-02-24,4.482964,4.820391,4.386556,4.482964,404200
1999-02-25,4.482964,4.482964,4.193740,4.241944,171100
1999-02-26,4.241947,4.241947,3.856315,4.000927,216100
1999-03-01,4.049128,4.145536,3.856312,3.952720,261800
1999-03-02,4.000925,4.145537,3.952721,4.049129,151400
1999-03-03,4.145537,4.241945,4.049129,4.049129,261800
1999-03-04,4.097333,4.241945,4.000925,4.049129,309400
1999-03-05,4.049129,4.193741,4.000925,4.049129,216900
1999-03-08,4.049129,4.386556,4.000925,4.338352,688700
1999-03-09,4.482964,4.531168,4.049129,4.482964,471800
1999-03-10,4.531169,4.868596,4.434761,4.675780,616600
1999-03-11,4.675781,5.013209,4.675781,4.868597,522100
1999-03-12,4.965003,5.398838,4.916799,5.109615,386900
1999-03-15,5.784467,5.784467,5.350632,5.398836,279500
1999-03-16,5.495247,5.688063,5.302432,5.447043,194900
1999-03-17,5.447042,5.688061,5.350634,5.591653,114700
1999-03-18,5.784471,5.977287,5.784471,5.929083,208300
1999-03-19,5.832675,5.929083,5.543451,5.639859,163700
1999-03-22,5.736267,6.266510,5.736267,6.218306,158300
1999-03-23,6.314714,6.603938,5.832675,5.880879,294500
1999-03-24,5.977286,6.266510,5.929083,6.218306,274600
1999-03-25,6.362918,6.411122,5.929083,5.929083,212800
