date,open,high,low,close,volume
1999-01-04,2.145081,2.298484,2.137411,2.267803,38713600
1999-01-05,2.290813,2.349618,2.224339,2.336834,27603200
1999-01-06,2.395638,2.433989,2.352175,2.431433,59651200
1999-01-07,2.372628,2.451886,2.367515,2.451886,32401600
1999-01-08,2.456998,2.515802,2.439101,2.464668,41897600
1999-01-11,2.480011,2.546485,2.464670,2.536258,32193600
1999-01-12,2.549041,2.566938,2.444216,2.490237,26548800
1999-01-13,2.413536,2.485763,2.326608,2.408422,29102400
1999-01-14,2.441659,2.572052,2.433989,2.477453,38238400
1999-01-15,2.508773,2.656423,2.485123,2.612959,50884800
1999-01-19,2.607845,2.730568,2.556711,2.720341,53657600
1999-01-20,2.641083,2.766362,2.495351,2.536258,100614400
1999-01-21,2.533702,2.554155,2.403309,2.433990,33467200
1999-01-22,2.393082,2.520918,2.377742,2.413535,26424000
1999-01-25,2.423762,2.474897,2.352174,2.377742,19984000
1999-01-26,2.490237,2.490237,2.362401,2.454443,21844800
1999-01-27,2.474896,2.508133,2.418649,2.418649,13889600
1999-01-28,2.464670,2.648754,2.454443,2.633414,29947200
1999-01-29,2.638526,2.730568,2.618073,2.692217,37928000
1999-02-01,2.689660,2.715228,2.526031,2.592505,24654400
1999-02-02,2.607846,2.646197,2.515804,2.561826,18457600
1999-02-03,2.536257,2.751021,2.510690,2.725454,46507200
1999-02-04,2.720342,2.722898,2.638527,2.676878,33529600
1999-02-05,2.658979,2.781701,2.546484,2.743351,32184000
1999-02-08,2.740795,2.860961,2.720341,2.853290,47929600
1999-02-09,2.848177,2.853291,2.751022,2.779146,44377600
1999-02-10,2.771475,2.817496,2.638526,2.720341,30961600
1999-02-11,2.735681,2.822609,2.730567,2.786815,24846400
1999-02-12,2.781703,2.797043,2.705002,2.738239,21841600
1999-02-16,2.776589,2.832837,2.740795,2.756135,16444800
1999-02-17,2.740794,2.807269,2.658980,2.661536,20990400
1999-02-18,2.699888,2.725455,2.582279,2.614238,31611200
1999-02-19,2.658980,2.664093,2.577165,2.653867,15352000
1999-02-22,2.697331,2.935105,2.689661,2.919765,56350400
1999-02-23,2.924879,3.016920,2.873744,3.011807,57692800
1999-02-24,3.016921,3.091065,2.932549,2.976013,65460800
1999-02-25,2.945333,2.976013,2.924879,2.976013,28604800
1999-02-26,2.986238,2.986238,2.919764,2.986238,27078400
1999-03-01,2.976012,3.032260,2.909537,2.960672,13780800
1999-03-02,2.986238,3.068053,2.950445,3.016919,22120000
1999-03-03,3.024590,3.068054,2.965786,2.991353,25624000
1999-03-04,2.999023,3.062942,2.986240,3.045045,27012800
1999-03-05,3.068052,3.134527,3.062939,3.131970,44340800
1999-03-08,3.149869,3.211230,3.129415,3.180550,26275200
1999-03-09,3.190775,3.282817,3.170322,3.262363,29440000
1999-03-10,3.236798,3.290489,3.218901,3.257251,20126400
1999-03-11,3.257251,3.305828,3.241910,3.287931,18665600
1999-03-12,3.272591,3.298158,3.114075,3.160095,24486400
1999-03-15,3.175435,3.356961,3.142197,3.356961,29947200
1999-03-16,3.359518,3.367188,3.257250,3.308384,19979200
1999-03-17,3.305827,3.308384,3.244466,3.277704,8761600
1999-03-18,3.270033,3.374858,3.247023,3.356961,16806400
1999-03-19,3.385087,3.510365,3.282818,3.459231,32552000
1999-03-22,3.487354,3.691891,3.459230,3.584509,33827200
1999-03-23,3.604963,3.604963,3.282817,3.359518,39398400
1999-03-24,3.395314,3.576841,3.326282,3.574284,23873600
1999-03-25,3.901541,4.031933,3.865747,4.026820,151515200
1999-03-26,3.993583,4.906329,3.993583,4.563729,210268800
1999-03-29,4.755483,4.784886,4.438451,4.701793,60611200
1999-03-30,4.653215,4.957464,4.596968,4.786164,44193600
1999-03-31,4.908884,5.144101,4.829626,5.087854,48187200
1999-04-01,5.174783,5.660558,5.174783,5.604310,81382400
1999-04-05,5.882995,6.350873,5.645221,6.090089,75632000
1999-04-06,6.069634,6.309965,5.747488,5.969922,57796800
1999-04-07,6.013385,6.049179,5.317959,5.665672,84753600
1999-04-08,5.658004,6.228150,5.594086,6.069635,67347200
1999-04-09,5.977588,6.105423,5.875320,5.954577,23556800
1999-04-12,5.824186,6.593756,5.811402,6.580973,66414400
1999-04-13,6.652560,7.169015,6.586085,6.944024,92947200
1999-04-14,7.148566,7.240608,6.414790,6.460811,55622400
1999-04-15,6.831533,6.872440,5.727033,6.453139,98865600
1999-04-16,6.639780,6.639780,5.826746,5.829303,46470400
1999-04-19,5.801178,5.801178,5.077629,5.098083,97537600
1999-04-20,5.072516,5.839530,5.031609,5.752602,49244800
1999-04-21,7.128110,8.099660,6.862212,7.979495,196297600
1999-04-22,7.920694,8.120117,7.475825,7.913023,76785600
1999-04-23,7.716158,7.982056,7.465599,7.808199,44044800
1999-04-26,7.757063,8.938263,7.731496,8.324653,72328000
1999-04-27,8.247950,8.360446,7.936031,8.061310,44848000
1999-04-28,7.956485,8.273517,7.690587,7.790298,30510400
1999-04-29,7.731495,8.217271,7.588319,8.109888,41712000
1999-04-30,8.222387,8.549646,7.895128,8.181479,41913600
1999-05-03,8.524076,9.009850,8.467827,8.933149,58996800
1999-05-04,8.772078,8.958718,8.529190,8.585439,32337600
1999-05-05,8.605892,9.209276,8.260736,9.188823,49744000
1999-05-06,9.204160,9.388243,8.795086,8.838551,46577600
1999-05-07,9.030304,9.193934,8.386013,8.846221,44038400
1999-05-10,8.948490,9.081439,8.595664,8.672365,34020800
1999-05-11,8.938263,9.020077,8.549643,8.958716,28200000
1999-05-12,9.096780,9.643916,8.754180,9.536534,39492800
1999-05-13,9.695050,9.797319,9.408699,9.413813,27896000
1999-05-14,9.101890,9.337107,8.917807,9.163251,23609600
1999-05-17,9.030306,9.163255,8.375788,8.897357,37836000
1999-05-18,8.616120,8.917811,8.406469,8.442264,32167200
1999-05-19,8.539416,8.631458,8.017847,8.457602,40083200
1999-05-20,8.570097,8.718387,8.345107,8.365561,20312800
1999-05-21,8.534302,8.549641,8.099660,8.207043,14789600
1999-05-24,8.222382,8.334877,7.434915,7.588318,29304000
1999-05-25,7.445143,7.905351,7.404235,7.491164,37589600
1999-05-26,7.665024,8.125232,7.041186,8.084325,33976000
1999-05-27,7.941147,8.120116,7.547413,7.884899,30551200
1999-05-28,8.017847,8.068982,7.869559,7.956486,14150400
1999-06-01,8.089435,8.094549,7.649680,7.685475,16706400
1999-06-02,7.506503,8.099660,7.414461,8.089433,22845600
1999-06-03,8.365557,8.779745,8.263289,8.350218,42983200
1999-06-04,8.503621,9.009849,8.447373,8.994510,29068800
1999-06-07,8.917807,9.178592,8.754177,8.963828,22542400
1999-06-08,9.071212,9.122346,8.539416,8.580323,17099200
1999-06-09,8.713272,8.963830,8.672365,8.958716,14969600
1999-06-10,8.907581,9.112118,8.876900,9.060984,18796000
1999-06-11,9.060987,9.296204,8.795089,8.897357,16758400
1999-06-14,9.020077,9.076325,8.406466,8.406466,15163200
1999-06-15,8.386014,9.316657,8.278633,9.301317,24366400
