date,open,high,low,close,volume
1999-01-04,25.660292,25.785668,24.657283,24.824451,489800
1999-01-05,24.991600,25.075184,24.615472,24.991600,242100
1999-01-06,25.075195,25.618491,24.866235,25.158779,272200
1999-01-07,25.200571,25.325947,25.033403,25.158779,147400
1999-01-08,25.200571,25.325947,24.740859,25.158779,141600
1999-01-11,25.200571,26.036410,25.200571,25.451323,306700
1999-01-12,25.493109,25.702069,25.367733,25.493109,158100
1999-01-13,25.409517,25.409517,24.406509,24.490093,378000
1999-01-14,24.573684,24.573684,23.445300,23.905012,102400
1999-01-15,23.905009,24.281136,23.696049,23.696049,72500
1999-01-19,23.863222,24.322934,23.528886,24.030390,134800
1999-01-20,23.946811,23.946811,23.403515,23.445307,63600
1999-01-21,23.152756,23.361716,22.693044,22.818420,185000
1999-01-22,22.818419,22.902003,22.484083,22.484083,126400
1999-01-25,22.567663,22.567663,22.275119,22.567663,212800
1999-01-26,22.484083,22.651251,22.400499,22.400499,65200
1999-01-27,22.567673,22.567673,21.815418,22.191545,257700
1999-01-28,22.191539,22.567667,22.149747,22.400499,102400
1999-01-29,22.400499,22.651251,22.400499,22.484083,145200
1999-02-01,22.400494,22.484078,22.149742,22.358702,133100
1999-02-02,22.275129,22.275129,21.815418,22.233337,107900
1999-02-03,22.066165,22.107957,21.397493,21.648245,204400
1999-02-04,21.690037,21.857205,21.397493,21.648245,131500
1999-02-05,21.146738,21.564657,20.812402,21.522865,153100
1999-02-08,21.982581,22.484084,21.146741,21.690037,180300
1999-02-09,21.690032,21.690032,20.812401,20.854193,57300
1999-02-10,20.854187,20.895979,20.310892,20.436268,110600
1999-02-11,20.478063,20.979567,20.352687,20.728815,215700
1999-02-12,20.645237,20.645237,20.394485,20.603445,93700
1999-02-16,20.436278,20.812405,20.143734,20.352694,260700
1999-02-17,20.352693,21.397492,20.227317,20.979572,340600
1999-02-18,21.063159,21.606455,20.895991,21.397495,245300
1999-02-19,21.439284,21.648243,21.313908,21.313908,197500
