date,open,high,low,close,volume
1999-01-04,6.874775,6.874775,6.817165,6.817165,8300
1999-01-05,6.855573,6.970793,6.817166,6.970793,36700
1999-01-06,6.970792,7.009199,6.913182,7.009199,48900
1999-01-07,7.028400,7.066807,7.028400,7.047604,3300
1999-01-08,7.028403,7.105216,6.951590,6.989996,119500
1999-01-11,6.989996,7.028403,6.970793,6.989996,8100
1999-01-12,6.989993,6.989993,6.913179,6.913179,35600
1999-01-13,6.874776,6.951589,6.836370,6.893980,9400
1999-01-14,6.913183,6.932386,6.874776,6.874776,14700
1999-01-15,6.874776,6.893980,6.855573,6.874776,22700
1999-01-19,6.836370,6.855573,6.797963,6.836370,9000
1999-01-20,6.797960,6.836367,6.759554,6.778757,26000
1999-01-21,6.778762,6.778762,6.682746,6.740355,7500
1999-01-22,6.721148,6.759555,6.721148,6.721148,4800
1999-01-25,6.721146,6.721146,6.682740,6.682740,15600
1999-01-26,6.644335,6.721148,6.644335,6.721148,5200
1999-01-27,6.682740,6.701944,6.644334,6.644334,12100
1999-01-28,6.644335,6.644335,6.567521,6.605928,14400
1999-01-29,6.567523,6.567523,6.452303,6.548319,59900
1999-02-01,6.625130,6.625130,6.260268,6.260268,18200
1999-02-02,6.298675,6.413895,6.279472,6.356285,60600
1999-02-03,6.298676,6.433099,6.221863,6.433099,79100
1999-02-04,6.471505,6.682741,6.452302,6.586725,48700
1999-02-05,6.586725,6.625131,6.529115,6.605928,111400
1999-02-08,6.625130,6.625130,6.548317,6.567521,14400
1999-02-09,6.490708,6.701944,6.471504,6.644334,96900
1999-02-10,6.671018,6.729879,6.592535,6.592535,14300
1999-02-11,6.592534,6.612154,6.553293,6.612154,34200
1999-02-12,6.592536,6.592536,6.514053,6.514053,6400
1999-02-16,6.553293,6.572914,6.474811,6.533673,29200
1999-02-17,6.514053,6.514053,6.435571,6.435571,15800
1999-02-18,6.435571,6.455191,6.435571,6.435571,25700
1999-02-19,6.474813,6.474813,6.357090,6.357090,25200
1999-02-22,6.396329,6.455191,6.396329,6.415949,9000
1999-02-23,6.435570,6.435570,6.317846,6.396328,25600
1999-02-24,6.435570,6.435570,6.396328,6.396328,43800
1999-02-25,6.396328,6.435570,6.357087,6.396328,35100
1999-02-26,6.415951,6.533675,6.357090,6.357090,35300
1999-03-01,6.396329,6.592536,6.396329,6.514053,27800
1999-03-02,6.592538,6.671020,6.553297,6.631779,22300
1999-03-03,6.671019,6.729881,6.671019,6.710260,17000
1999-03-04,6.749500,6.788742,6.690638,6.749500,13100
1999-03-05,6.710261,6.710261,6.671020,6.690640,7800
1999-03-08,6.710260,6.729880,6.671018,6.729880,6300
1999-03-09,6.710262,6.729882,6.514055,6.631779,84800
1999-03-10,6.612159,6.651401,6.553298,6.553298,19300
1999-03-11,6.474811,6.474811,6.396328,6.396328,34300
1999-03-12,6.396329,6.435570,6.357087,6.415949,16400
1999-03-15,6.435570,6.474811,6.337467,6.396328,13800
1999-03-16,6.396328,6.435570,6.357087,6.396328,21900
1999-03-17,6.396331,6.396331,6.317848,6.357090,27000
1999-03-18,6.396330,6.396330,6.317847,6.317847,8300
1999-03-19,6.298227,6.337468,6.278606,6.337468,11100
1999-03-22,6.337467,6.337467,6.278605,6.278605,41200
1999-03-23,6.278607,6.278607,6.200124,6.219745,6700
1999-03-24,6.258985,6.258985,6.160882,6.239364,28600
1999-03-25,6.239364,6.278605,6.239364,6.278605,150800
1999-03-26,6.278605,6.317847,6.219744,6.239364,40400
1999-03-29,6.239365,6.278607,6.160883,6.180503,16200
1999-03-30,6.180504,6.200124,6.082401,6.102021,54100
1999-03-31,6.102024,6.121644,5.886197,5.886197,358600
1999-04-01,5.964676,6.043159,5.964676,6.003918,88800
1999-04-05,6.023541,6.082403,6.003920,6.082403,38400
1999-04-06,6.121642,6.200125,6.082401,6.160883,18700
1999-04-07,6.121641,6.278606,6.121641,6.258985,39000
1999-04-08,6.298226,6.298226,6.043157,6.278605,221900
1999-04-09,6.278607,6.278607,6.141263,6.160883,34200
1999-04-12,6.180502,6.239364,6.160882,6.239364,42200
1999-04-13,6.278605,6.415949,6.278605,6.396328,25900
1999-04-14,6.435574,6.572918,6.376712,6.553298,37900
1999-04-15,6.592536,6.592536,6.474812,6.514053,156300
1999-04-16,6.514052,6.671017,6.514052,6.671017,387000
1999-04-19,6.671020,6.671020,6.592538,6.631779,62500
1999-04-20,6.592535,6.631776,6.533673,6.592535,138400
1999-04-21,6.631776,6.788741,6.592534,6.788741,196700
1999-04-22,6.867231,6.906472,6.788748,6.886852,36900
1999-04-23,6.867225,6.867225,6.788743,6.827984,33500
1999-04-26,6.827985,6.847606,6.710262,6.769124,22600
1999-04-27,6.788742,6.788742,6.671018,6.729880,100900
