date,open,high,low,close,volume
1999-01-04,16.024927,16.246878,15.048338,15.225900,1978400
1999-01-05,15.181514,15.181514,14.759805,14.870781,1321200
1999-01-06,15.225900,15.225900,14.870777,14.915168,1651000
1999-01-07,14.560039,15.270285,14.560039,15.248090,1337200
1999-01-08,15.203705,16.690783,15.203705,16.690783,1709200
1999-01-11,16.602010,17.179085,16.602010,16.846157,1234800
1999-01-12,16.846147,17.023709,16.135901,16.224682,768800
1999-01-13,15.692005,16.246885,15.647615,16.113714,940200
1999-01-14,16.113709,16.113709,15.581024,15.714195,411800
1999-01-15,15.802978,15.869563,15.647611,15.869563,585000
1999-01-19,15.980532,16.113703,15.603214,15.802971,916200
1999-01-20,15.891753,16.690779,15.891753,16.513218,668400
1999-01-21,16.424448,16.468838,16.291277,16.357862,880800
1999-01-22,16.269074,16.690783,16.224684,16.690783,430000
1999-01-25,16.646393,16.646393,13.006381,13.494676,7496000
1999-01-26,13.894193,13.894193,12.695653,13.472485,5054400
1999-01-27,13.494676,13.627847,13.339309,13.494676,4274000
1999-01-28,13.583454,13.827601,13.361502,13.539063,2182200
1999-01-29,13.539065,13.561261,13.272723,13.405894,1404800
1999-02-01,13.494679,14.360292,13.494679,14.293706,1271800
1999-02-02,14.204923,14.338094,13.871995,13.982971,1028000
1999-02-03,13.938582,14.093949,13.716630,14.071754,637000
1999-02-04,13.982967,14.071748,13.539063,13.827600,693400
1999-02-05,13.783216,14.093949,13.583460,13.849802,607400
1999-02-08,13.849802,14.027363,13.339312,13.505776,1704800
1999-02-09,13.494682,13.494682,13.050778,13.050778,651800
1999-02-10,13.050774,13.050774,12.651260,12.717846,1108400
1999-02-11,12.740038,13.095161,12.473695,12.762233,1504200
1999-02-12,12.762233,13.006380,12.651257,12.762233,559000
1999-02-16,12.673457,12.895409,12.629067,12.651262,412600
1999-02-17,12.562477,12.562477,12.051988,12.185159,597000
1999-02-18,12.140766,12.140766,11.941009,12.074181,456000
1999-02-19,12.074183,12.162963,11.630279,11.807840,1074800
1999-02-22,11.852232,12.562478,11.807842,12.562478,882200
1999-02-23,12.518090,12.873213,12.473699,12.806627,1236400
1999-02-24,12.917605,13.250533,12.873214,12.895410,846400
1999-02-25,12.917603,12.961994,12.518090,12.806627,543600
1999-02-26,12.762233,12.828819,12.629062,12.784429,1010600
1999-03-01,12.740042,12.917603,12.717847,12.917603,709400
1999-03-02,12.917603,13.228336,12.806628,12.917603,251200
1999-03-03,12.873214,12.939800,12.717848,12.851019,592600
1999-03-04,12.851014,13.405894,12.851014,13.117356,1138400
1999-03-05,13.139556,13.183947,12.673457,12.851019,1030600
1999-03-08,12.828822,13.095165,12.784432,12.806627,1336800
1999-03-09,12.828818,12.895404,12.651257,12.762233,1513400
1999-03-10,12.762238,12.851019,11.186379,11.963211,2684200
1999-03-11,11.963212,11.963212,11.363942,11.696870,2508800
1999-03-12,11.696870,11.785651,11.408332,11.696870,1518600
1999-03-15,11.674672,12.007600,11.674672,11.852234,409400
1999-03-16,11.918817,12.074183,11.874427,11.896622,448600
1999-03-17,11.896626,11.985407,11.541503,11.719065,2069400
1999-03-18,11.541500,11.696866,10.675887,10.675887,3863800
1999-03-19,10.653694,11.141988,10.653694,10.920036,1611800
1999-03-22,10.875649,10.920040,10.675892,10.831259,729600
1999-03-23,10.875642,10.964423,10.675886,10.964423,650000
1999-03-24,10.786862,11.230766,10.764667,11.230766,496400
1999-03-25,11.941016,12.296139,11.874430,12.029797,1114000
1999-03-26,11.807843,11.852233,11.386134,11.497110,682600
1999-03-29,11.452717,11.741254,11.386131,11.519302,425800
1999-03-30,11.474914,11.563695,11.408329,11.563695,815400
1999-03-31,11.830038,11.896623,11.541500,11.652476,553800
1999-04-01,11.696866,11.763452,11.541500,11.563695,563800
1999-04-05,11.563697,12.007601,11.563697,11.941015,973000
1999-04-06,11.963208,11.985404,11.541500,11.563695,830600
1999-04-07,11.563694,11.563694,11.141986,11.230766,632800
1999-04-08,11.097601,11.341748,10.831259,10.831259,1020400
1999-04-09,10.831255,10.920036,10.409546,10.653693,1182600
1999-04-12,10.742474,11.075402,10.653693,11.031012,594200
1999-04-13,11.031014,11.386137,11.031014,11.252966,693600
1999-04-14,11.275157,11.941013,11.208571,11.785646,592000
1999-04-15,12.074181,12.207352,11.896619,12.074181,911400
1999-04-16,12.118576,12.340528,12.029795,12.273942,557000
1999-04-19,12.518094,13.050778,12.362727,13.050778,859400
1999-04-20,13.183950,13.317121,12.384922,12.429313,1057000
1999-04-21,8.567345,8.922469,7.768318,8.833688,16785000
1999-04-22,8.833685,9.077832,8.567343,8.878076,5461000
1999-04-23,9.055636,9.055636,8.811489,9.033441,3459200
1999-04-26,9.233200,9.388566,9.033443,9.366371,2841600
1999-04-27,9.344178,9.366373,8.878079,9.055640,2435400
1999-04-28,9.100024,9.188805,8.855877,8.966853,4223000
1999-04-29,8.878079,8.989054,8.767103,8.811493,1169200
1999-04-30,8.789297,8.833687,8.345393,8.478564,3672800
1999-05-03,8.522950,8.966853,8.456364,8.966853,4347000
1999-05-04,9.011244,9.100024,8.900268,8.966853,1526800
1999-05-05,8.922466,9.277589,8.922466,9.233198,1804400
1999-05-06,9.011248,9.188810,8.966858,9.100029,1052000
1999-05-07,9.144422,9.144422,9.011250,9.077836,794000
1999-05-10,9.077832,10.298567,9.077832,10.254177,933200
1999-05-11,10.298569,10.387350,9.876860,10.098812,1103400
1999-05-12,10.054423,10.054423,9.699300,9.699300,621000
1999-05-13,9.654908,9.899055,9.654908,9.810274,782400
1999-05-14,9.721498,9.832474,9.588326,9.721498,823600
1999-05-17,9.765881,9.765881,9.588319,9.765881,397800
1999-05-18,9.699302,9.788083,9.632717,9.721498,477000
1999-05-19,9.699299,10.254179,9.699299,10.231984,408600
1999-05-20,10.209788,10.276373,9.943446,9.987836,342800
1999-05-21,10.076617,10.254178,10.054422,10.098812,200000
1999-05-24,10.121011,10.143206,9.965645,10.032230,1113800
1999-05-25,10.121012,10.121012,10.032231,10.054426,922000
1999-05-26,10.054425,10.076620,9.965644,10.010035,1345200
1999-05-27,10.054425,10.076620,9.987839,10.010035,597400
1999-05-28,10.032228,10.121009,9.965642,10.076618,497800
1999-06-01,10.165396,10.298567,10.098810,10.209786,429400
1999-06-02,10.431742,10.653694,10.187595,10.387352,619600
1999-06-03,10.365157,10.564914,10.254181,10.476133,283200
1999-06-04,10.342958,10.431738,10.143201,10.209786,253600
1999-06-07,10.298568,10.298568,10.121006,10.298568,342200
1999-06-08,10.298568,10.387349,10.143202,10.143202,824600
1999-06-09,10.165397,10.342958,10.032226,10.298568,992200
1999-06-10,10.276373,10.342958,10.143201,10.298568,707000
1999-06-11,10.231982,10.320762,10.165396,10.209786,365200
1999-06-14,10.254177,10.365153,10.165396,10.254177,1039200
1999-06-15,10.342962,10.365157,10.165401,10.165401,482400
1999-06-16,10.254177,10.387348,10.209786,10.276372,2210600
1999-06-17,10.231983,10.609302,10.165398,10.409545,1021000
1999-06-18,10.254177,10.365153,10.231982,10.254177,531400
1999-06-21,10.342962,10.476133,10.276376,10.387352,1069000
1999-06-22,10.365157,10.365157,10.143205,10.165401,1226000
1999-06-23,10.121008,10.121008,9.366371,9.366371,5178800
1999-06-24,9.410762,9.499543,9.277591,9.277591,3996400
1999-06-25,9.233202,9.255397,9.011250,9.055640,1996600
1999-06-28,9.055636,9.166612,8.944660,9.033441,2375600
1999-06-29,8.878075,9.321979,8.878075,9.211003,2069000
1999-06-30,9.211008,9.233203,9.055641,9.166617,1727600
1999-07-01,9.211005,9.211005,9.055639,9.100029,994400
1999-07-02,9.100027,9.277589,9.055637,9.233198,441800
1999-07-06,9.233197,9.654906,9.188807,9.543930,937800
1999-07-07,9.410765,9.432960,9.100032,9.166617,1267600
1999-07-08,9.188808,9.233199,8.789295,8.944661,1322600
1999-07-09,8.989053,8.989053,8.855882,8.922467,329800
1999-07-12,8.900273,8.944664,8.811493,8.833688,435400
1999-07-13,8.833688,8.833688,8.700517,8.767102,427200
1999-07-14,8.767100,8.767100,8.567343,8.589539,831400
1999-07-15,8.678324,8.700519,8.545152,8.567348,590400
1999-07-16,8.611733,8.922466,8.589538,8.878076,998200
1999-07-19,8.878081,8.922471,8.722714,8.789300,440600
