date,open,high,low,close,volume
1999-01-04,4.393005,4.656060,4.366700,4.616601,492413
1999-01-05,4.563990,4.577142,4.471921,4.485074,218025
1999-01-06,4.485074,4.761281,4.445616,4.761281,583200
1999-01-07,4.708669,4.734975,4.550836,4.577142,1091138
1999-01-08,4.603448,4.616600,4.366699,4.419310,482963
1999-01-11,4.393006,4.458770,4.340395,4.379854,851850
1999-01-12,4.432463,4.445616,4.129951,4.208867,985163
1999-01-13,4.077339,4.182560,4.051034,4.182560,846788
1999-01-14,4.208867,4.222019,4.103645,4.116797,378675
1999-01-15,4.143103,4.208867,4.143103,4.208867,436388
1999-01-19,4.340393,4.340393,4.103645,4.103645,484988
1999-01-20,4.156255,4.195713,4.077339,4.103645,500513
1999-01-21,4.129951,4.156257,4.024730,4.024730,504900
1999-01-22,4.077339,4.077339,3.945813,3.958965,738788
1999-01-25,3.945814,3.972120,3.906356,3.906356,343913
1999-01-26,3.906353,4.051033,3.906353,3.998422,503888
1999-01-27,4.051034,4.129950,3.958965,3.958965,487350
1999-01-28,4.051034,4.051034,3.945813,3.958965,404325
1999-01-29,3.985271,4.037881,3.945813,4.011576,351675
1999-02-01,3.985271,4.287784,3.972119,4.143104,734063
1999-02-02,4.143102,4.353546,4.143102,4.195713,1008788
1999-02-03,4.195714,4.695518,4.195714,4.393005,2210625
1999-02-04,4.656059,4.734975,4.406157,4.419310,1103625
1999-02-05,4.445615,4.445615,4.169407,4.182560,1758038
1999-02-08,4.182561,4.182561,4.051034,4.064186,397913
1999-02-09,4.143103,4.156256,3.972118,4.051034,682425
1999-02-10,4.051035,4.077340,3.919508,3.972119,864000
1999-02-11,4.024727,4.024727,3.958963,3.985269,421875
1999-02-12,3.998424,4.024729,3.919508,3.919508,297000
1999-02-16,3.919508,3.985271,3.906355,3.919508,608513
1999-02-17,3.958966,3.972119,3.919508,3.972119,318600
1999-02-18,3.919510,3.985273,3.906357,3.932662,465413
1999-02-19,3.893204,3.945815,3.866898,3.932662,212288
1999-02-22,3.906357,3.985273,3.853746,3.932662,632475
1999-02-23,3.945814,3.945814,3.880050,3.945814,310838
1999-02-24,3.945811,3.985269,3.853742,3.866895,548775
1999-02-25,3.866896,3.945813,3.827438,3.893202,411075
1999-02-26,3.893200,3.932659,3.840590,3.840590,206213
1999-03-01,3.866898,3.945815,3.853746,3.932662,397575
1999-03-02,3.932660,4.064186,3.893201,3.958965,816750
1999-03-03,3.945814,3.985272,3.893203,3.906356,179550
1999-03-04,3.906354,4.090492,3.906354,4.064186,604125
1999-03-05,4.156255,4.208866,4.077339,4.077339,275738
1999-03-08,4.129949,4.129949,3.893200,3.998422,417488
1999-03-09,3.998424,4.024729,3.906355,3.919508,300375
1999-03-10,3.906357,3.972121,3.880051,3.932662,127913
1999-03-11,3.919509,4.011577,3.893203,3.945814,166725
1999-03-12,3.973802,4.013409,3.894590,3.934196,261563
1999-03-15,3.881387,3.960600,3.802175,3.815377,667575
1999-03-16,3.868185,4.343457,3.868185,4.224639,1423238
1999-03-17,4.330252,4.435868,4.158627,4.158627,832613
1999-03-18,4.105820,4.449072,4.092618,4.449072,486000
1999-03-19,4.515082,4.567890,4.277447,4.330255,944663
1999-03-22,4.303851,4.343457,4.237841,4.277447,179213
1999-03-23,4.277445,4.317051,4.132223,4.145425,522113
1999-03-24,4.119023,4.185032,4.092619,4.185032,154575
1999-03-25,4.330255,4.330255,4.224639,4.277447,433688
1999-03-26,4.251043,4.264244,4.092619,4.224639,289575
1999-03-29,4.224639,4.290649,4.224639,4.290649,529200
1999-03-30,4.290647,4.290647,4.158627,4.171829,219713
1999-03-31,4.224637,4.264243,4.119021,4.171829,230850
1999-04-01,4.211434,4.211434,4.119021,4.145425,240300
1999-04-05,4.132225,4.211436,4.119023,4.185032,225113
1999-04-06,4.158630,4.158630,4.000206,4.053014,370238
1999-04-07,4.026609,4.224639,3.987003,4.092619,517388
1999-04-08,4.105821,4.145428,3.987004,4.079417,372600
1999-04-09,4.105821,4.224639,4.013408,4.211437,315225
1999-04-12,4.158628,4.567889,4.158628,4.462274,854213
1999-04-13,4.647104,4.977153,4.647104,4.726316,1104638
1999-04-14,4.739517,4.752719,4.356659,4.752719,670950
1999-04-15,4.435870,4.726314,4.383062,4.449072,681750
1999-04-16,4.488678,4.581093,4.343457,4.435870,496800
1999-04-19,4.488678,4.488678,4.277447,4.317053,415125
1999-04-20,4.198235,4.224639,3.987004,4.105821,644288
1999-04-21,4.092618,4.422668,4.066215,4.422668,445163
1999-04-22,4.475477,4.501881,4.435870,4.435870,354038
1999-04-23,4.396264,4.488678,4.303850,4.303850,234900
1999-04-26,4.567889,4.647102,4.449072,4.501880,408375
1999-04-27,4.594293,4.594293,4.475475,4.554687,268313
1999-04-28,4.515081,4.567889,4.501879,4.554687,309825
1999-04-29,4.501879,4.633899,4.501879,4.554687,279788
1999-04-30,4.541485,4.713111,4.541485,4.554687,327375
1999-05-03,4.541488,4.673508,4.541488,4.541488,216338
1999-05-04,4.567892,4.647104,4.488680,4.541488,340875
1999-05-05,4.567891,4.567891,4.449073,4.475477,218363
1999-05-06,4.462275,4.501881,4.462275,4.475477,186300
1999-05-07,4.475477,4.726315,4.475477,4.633901,312863
1999-05-10,4.633901,4.752719,4.607497,4.673507,472163
1999-05-11,4.673507,4.858335,4.660305,4.805527,330075
1999-05-12,4.805527,4.831931,4.660305,4.699911,394538
1999-05-13,4.858337,4.963953,4.831933,4.963953,313538
1999-05-14,4.911143,4.911143,4.739517,4.805527,337163
1999-05-17,4.805527,4.858335,4.792325,4.805527,438413
1999-05-18,4.713113,4.805527,4.713113,4.805527,202163
1999-05-19,4.752720,4.805528,4.726316,4.726316,170775
1999-05-20,4.792325,4.845133,4.792325,4.818729,153900
1999-05-21,4.818728,4.845132,4.779122,4.792324,201488
1999-05-24,4.739517,4.779123,4.607497,4.673507,369563
1999-05-25,4.660305,4.660305,4.462276,4.515083,571050
1999-05-26,4.515081,4.581091,4.449071,4.554687,256838
1999-05-27,4.567889,4.620697,4.554687,4.620697,230850
1999-05-28,4.620699,4.845133,4.620699,4.673507,254138
1999-06-01,4.647103,4.699912,4.541487,4.581093,222750
1999-06-02,4.528284,4.528284,4.290649,4.383062,571388
1999-06-03,4.330255,4.396265,4.317053,4.330255,241650
1999-06-04,4.277447,4.435870,4.277447,4.330255,238613
1999-06-07,4.330256,4.581094,4.330256,4.541488,390488
1999-06-08,4.620700,4.726316,4.515084,4.528286,442463
1999-06-09,4.501881,4.501881,4.409466,4.435870,283500
1999-06-10,4.383062,4.488677,4.383062,4.462274,167063
1999-06-11,4.435871,4.488679,4.435871,4.475477,150525
1999-06-14,4.424081,4.596276,4.424081,4.516802,469800
1999-06-15,4.609526,4.609526,4.463822,4.463822,216000
1999-06-16,4.490315,4.649264,4.490315,4.556543,213975
1999-06-17,4.556543,4.622772,4.490315,4.556543,320625
1999-06-18,4.556543,4.556543,4.463823,4.556543,173475
1999-06-21,4.556541,4.596279,4.490313,4.596279,149513
1999-06-22,4.622770,4.636015,4.490313,4.596279,290925
1999-06-23,4.569785,4.728734,4.556539,4.662506,296663
1999-06-24,4.689001,4.689001,4.503560,4.503560,343238
1999-06-25,4.556539,4.556539,4.503556,4.516802,245025
1999-06-28,4.516804,4.755228,4.516804,4.741982,287550
1999-06-29,4.741982,4.741982,4.688999,4.688999,275738
1999-06-30,4.702245,5.126109,4.556541,5.086372,1483650
1999-07-01,5.073125,5.073125,4.781718,4.781718,392175
1999-07-02,4.781720,4.927423,4.768474,4.927423,124200
1999-07-06,4.847946,5.258564,4.741980,5.232073,1239300
1999-07-07,5.020144,5.126110,4.847949,4.927423,410063
1999-07-08,4.900930,5.086371,4.768473,5.006896,457650
1999-07-09,4.967161,5.059881,4.900933,5.033390,208913
1999-07-12,4.980406,5.338041,4.900931,5.205584,1168088
1999-07-13,5.152601,5.165846,4.993651,5.086372,512325
1999-07-14,5.139354,5.285057,5.086371,5.112863,823500
1999-07-15,5.099617,5.112862,4.927421,5.006896,272363
1999-07-16,5.020143,5.020143,4.874439,4.914176,270675
1999-07-19,4.940667,4.940667,4.715490,4.794964,208575
1999-07-20,4.768474,4.768474,4.622770,4.741982,697613
1999-07-21,4.741980,4.741980,4.636014,4.662506,268988
1999-07-22,4.662507,4.768473,4.636015,4.715490,359775
1999-07-23,4.688999,4.741982,4.516804,4.583032,184613
1999-07-26,4.569786,4.715490,4.569786,4.649261,289913
1999-07-27,4.741981,4.741981,4.530049,4.609523,277088
1999-07-28,4.636015,4.781719,4.556541,4.675753,215325
1999-07-29,4.662507,4.662507,4.516804,4.583032,183263
1999-07-30,4.583033,4.629393,4.530050,4.543296,182925
1999-08-02,4.490313,4.715491,4.463821,4.530050,298350
