date,open,high,low,close,volume
1999-01-04,8.807128,9.110347,8.807128,9.068999,521300
1999-01-05,9.096565,9.496262,9.082782,9.454914,1061900
1999-01-06,9.482483,9.758137,9.386005,9.744354,711000
1999-01-07,9.675444,9.895967,9.578965,9.716792,608900
1999-01-08,9.813268,9.895964,9.634093,9.730572,605400
1999-01-11,9.716789,9.771920,9.551397,9.592745,544000
1999-01-12,9.592745,9.675441,9.275744,9.344657,542000
1999-01-13,9.206827,9.330871,9.206827,9.296414,593100
1999-01-14,9.179266,9.193049,8.972526,9.027657,822700
1999-01-15,9.055217,9.096565,8.986303,9.068999,757300
1999-01-19,9.427352,9.454918,8.876045,9.041437,1005200
1999-01-20,9.124133,9.261960,8.917393,9.041437,602600
1999-01-21,9.261954,9.358433,9.110345,9.275737,931400
1999-01-22,9.206827,9.330871,9.124131,9.179261,578900
1999-01-25,9.124132,9.358438,9.124132,9.261959,1077400
1999-01-26,9.261956,9.689219,9.248174,9.647871,499900
1999-01-27,9.703010,9.744358,9.537618,9.620314,477300
1999-01-28,9.606525,9.647873,9.441133,9.537612,621800
1999-01-29,9.537616,9.661660,9.482485,9.578964,782500
1999-02-01,9.592742,9.703003,9.592742,9.703003,369200
1999-02-02,9.565179,10.033790,9.496266,10.006225,866800
1999-02-03,9.923526,10.157831,9.799482,10.157831,1230700
1999-02-04,10.144051,10.199182,9.868398,10.006225,801000
1999-02-05,9.992444,10.157836,9.992444,10.075140,483400
1999-02-08,10.254313,10.281879,10.047573,10.116487,423200
1999-02-09,10.061353,10.199180,10.033788,10.199180,389600
1999-02-10,10.144052,10.144052,9.868398,10.047573,436700
1999-02-11,9.982680,10.024275,9.885626,9.941086,350000
1999-02-12,9.760848,9.885632,9.663794,9.871767,623400
1999-02-16,9.927221,9.982680,9.788573,9.941086,465800
1999-02-17,9.996551,9.996551,9.760848,9.913362,380200
1999-02-18,9.968822,10.079740,9.885632,10.010416,407000
1999-02-19,9.899497,10.204523,9.899497,10.204523,552100
1999-02-22,10.149066,10.634336,10.121336,10.592741,697200
1999-02-23,10.620468,10.967089,10.467955,10.911630,895200
1999-02-24,10.856171,10.883901,10.232253,10.426361,439700
1999-02-25,10.370902,10.370902,9.927227,10.357038,637500
1999-02-26,10.357036,10.370901,9.844037,9.857902,377100
1999-03-01,9.885633,10.065876,9.733120,10.065876,350300
1999-03-02,9.954956,10.079740,9.705389,9.913362,314400
1999-03-03,9.871765,9.968819,9.746982,9.746982,447200
1999-03-04,9.830173,9.996551,9.774713,9.830173,702400
1999-03-05,9.844037,9.954956,9.774713,9.927226,336500
1999-03-08,9.954951,9.982680,9.844032,9.941086,290700
1999-03-09,9.941091,9.941091,9.844037,9.913362,407500
1999-03-10,9.885628,9.954952,9.844033,9.844033,413800
1999-03-11,9.871764,10.301574,9.844035,9.982683,754700
1999-03-12,9.982687,10.079741,9.968822,10.065876,369100
1999-03-15,9.996551,10.357037,9.996551,10.301578,540700
1999-03-16,10.315441,10.565008,10.301577,10.551144,529900
1999-03-17,10.551146,10.592741,10.315444,10.370903,497100
1999-03-18,10.329308,10.440227,10.246119,10.343173,345800
1999-03-19,10.398631,10.398631,10.038145,10.246118,435200
1999-03-22,10.190658,10.190658,9.802443,9.802443,276500
1999-03-23,9.733116,9.733116,9.414225,9.580603,448700
1999-03-24,9.594468,9.733116,9.428090,9.594468,254000
1999-03-25,9.566740,9.594470,9.428092,9.525146,241700
1999-03-26,9.511283,9.608337,9.331040,9.386499,339100
1999-03-29,9.233985,9.455822,9.233985,9.358768,241700
1999-03-30,9.233981,9.358765,9.164657,9.303306,446800
1999-03-31,9.358769,9.580607,9.317175,9.414228,428500
1999-04-01,9.414228,9.414228,9.317174,9.358768,218100
1999-04-05,9.206255,9.830173,9.150795,9.830173,291700
1999-04-06,9.857907,9.927231,9.691529,9.705394,371600
1999-04-07,9.677660,10.079740,9.677660,10.010416,433800
1999-04-08,9.982687,10.357038,9.982687,10.190660,491800
1999-04-09,10.190659,10.315443,9.982687,10.232254,433400
1999-04-12,10.121337,10.259985,10.052012,10.135201,325700
1999-04-13,9.871765,10.052008,9.871765,9.968819,208300
1999-04-14,9.913364,10.204526,9.705391,10.135201,526400
1999-04-15,10.190660,10.759118,10.162930,10.759118,1302100
1999-04-16,10.634332,10.856170,10.592738,10.856170,625800
1999-04-19,10.870034,11.868302,10.870034,11.715789,2660300
1999-04-20,11.535550,11.785118,11.230524,11.521686,936900
1999-04-21,11.313713,11.646469,11.119605,11.646469,737600
1999-04-22,11.618742,11.729661,11.452364,11.660336,463600
1999-04-23,11.604875,11.604875,11.466226,11.521686,445400
1999-04-26,11.549409,11.591003,11.202788,11.313706,407200
1999-04-27,11.299838,11.410757,10.883893,11.078001,431800
1999-04-28,11.133473,11.355311,11.105744,11.299851,462600
1999-04-29,11.175062,11.521683,11.175062,11.424629,620800
1999-04-30,11.369170,11.604872,11.299846,11.452359,463300
1999-05-03,11.410763,12.020816,11.410763,11.757384,899100
1999-05-04,11.757388,11.854442,11.452361,11.812847,579600
1999-05-05,11.798980,12.325844,11.785115,12.325844,730600
1999-05-06,12.325843,12.492222,12.187195,12.381303,699500
1999-05-07,12.589277,13.005222,12.506088,13.005222,921100
1999-05-10,13.060681,13.518221,12.935897,13.448896,1626600
1999-05-11,13.448899,13.809385,13.199332,13.726196,1213300
1999-05-12,13.337978,13.393437,13.088411,13.365707,772900
1999-05-13,13.366822,13.756688,13.352898,13.714916,721400
1999-05-14,13.533911,14.035167,13.519987,14.007319,841100
1999-05-17,14.021236,14.160473,13.840227,13.881998,764200
1999-05-18,13.881996,14.063004,13.881996,14.063004,827400
1999-05-19,13.812378,13.979464,13.589598,13.770607,1401000
1999-05-20,13.812381,13.840228,13.394668,13.589601,882300
1999-05-21,13.589603,13.728840,13.255432,13.687069,1176600
1999-05-24,13.645294,13.923770,13.074420,13.088344,626400
1999-05-25,13.046576,13.408595,12.837720,12.851644,413600
1999-05-26,12.907331,13.213654,12.642780,13.032645,481600
1999-05-27,13.046568,13.046568,12.113675,12.419998,399700
1999-05-28,12.364306,12.503544,12.085831,12.294687,308100
1999-06-01,12.350392,12.614944,11.932678,12.614944,412800
1999-06-02,12.614931,13.004796,12.587083,12.740245,850900
