date,open,high,low,close,volume
1999-01-04,8.567808,8.700849,8.354944,8.381552,160000
1999-01-05,8.487981,8.674238,8.434765,8.514589,133600
1999-01-06,8.514593,8.913715,8.514593,8.727458,54200
1999-01-07,8.833890,8.833890,8.594417,8.727458,96200
1999-01-08,8.674237,8.887102,8.647629,8.887102,144600
1999-01-11,8.993539,8.993539,8.647633,8.780674,97000
1999-01-12,8.755043,8.861812,8.594890,8.594890,101400
1999-01-13,8.488124,8.861814,8.381355,8.861814,241200
1999-01-14,8.808430,8.888506,8.755045,8.781737,78200
1999-01-15,8.674970,9.075354,8.648278,9.075354,75800
1999-01-19,9.075349,9.075349,8.808427,9.021965,69200
1999-01-20,8.968586,9.155431,8.888509,8.941894,149200
1999-01-21,8.915200,8.968584,8.755046,8.808431,49800
1999-01-22,8.755046,8.861814,8.648277,8.861814,92200
1999-01-25,8.861817,8.941894,8.861817,8.941894,123000
1999-01-26,8.941894,8.941894,8.808432,8.941894,69200
1999-01-27,8.968583,9.368966,8.915198,9.315581,286000
1999-01-28,9.368967,9.609197,9.342275,9.529120,166200
1999-01-29,9.529116,9.555808,9.395655,9.555808,151400
1999-02-01,9.502427,9.529119,9.395658,9.449042,83800
1999-02-02,9.422348,9.502424,9.395656,9.395656,137800
1999-02-03,9.395662,9.422354,9.395662,9.422354,80800
1999-02-04,9.395662,9.422354,9.395662,9.422354,85000
1999-02-05,9.422348,9.529117,9.395656,9.395656,144800
1999-02-08,9.395656,9.422348,9.262195,9.395656,135200
1999-02-09,9.288885,9.555807,9.288885,9.502422,108400
1999-02-10,9.449046,9.555815,9.395662,9.422354,160600
1999-02-11,9.422352,9.502429,9.395660,9.475737,80600
1999-02-12,9.449046,9.449046,9.395662,9.422354,107800
1999-02-16,9.529120,9.555813,9.395659,9.529120,45200
1999-02-17,9.529117,9.529117,9.368963,9.395656,53600
1999-02-18,9.395656,9.769347,9.395656,9.689270,180200
1999-02-19,9.662577,9.982883,9.342271,9.715961,160000
1999-02-22,9.742656,9.769348,9.555811,9.662580,53000
1999-02-23,9.609195,9.742656,9.582503,9.662580,39600
1999-02-24,9.662583,9.662583,9.502430,9.609199,110400
1999-02-25,9.555813,9.609197,9.502428,9.529120,77000
1999-02-26,9.529119,9.555811,9.449042,9.449042,124400
1999-03-01,9.449044,9.529120,9.422352,9.529120,216000
1999-03-02,9.422352,9.475737,9.422352,9.475737,57400
1999-03-03,9.475731,9.555808,9.395655,9.555808,131600
1999-03-04,9.555812,10.036272,9.502427,9.982887,91800
1999-03-05,9.982888,10.463348,9.982888,10.249810,254000
1999-03-08,10.249809,10.703577,10.249809,10.623500,293000
1999-03-09,10.623501,10.650193,10.169734,10.249810,109200
1999-03-10,10.143043,10.143043,9.582506,9.609199,174600
1999-03-11,9.555807,9.582499,9.208808,9.502422,163200
1999-03-12,9.342272,10.196423,9.342272,9.796040,115800
1999-03-15,9.822732,9.929501,9.715963,9.796040,40800
1999-03-16,9.715961,9.796038,9.609193,9.715961,44200
1999-03-17,9.742653,9.769346,9.529116,9.555808,44600
1999-03-18,9.555815,9.582507,9.395662,9.422354,50400
1999-03-19,9.235506,9.422351,8.915199,8.915199,147800
1999-03-22,8.915202,9.715969,8.915202,9.635892,214000
1999-03-23,9.529117,9.582501,9.342271,9.395656,246800
1999-03-24,9.395655,9.715961,9.368963,9.715961,94600
1999-03-25,9.742660,10.089659,9.742660,10.062966,101600
1999-03-26,10.062962,10.303192,10.036270,10.276500,260800
1999-03-29,10.223111,10.409956,10.196419,10.303187,379200
1999-03-30,10.249810,10.303195,10.196426,10.249810,73800
