date,open,high,low,close,volume
1999-01-04,1.975438,1.975438,1.878695,1.916144,15043200
1999-01-05,1.903661,1.975438,1.897419,1.972318,10446400
1999-01-06,1.975438,2.047216,1.972318,2.031612,15980800
1999-01-07,2.003525,2.022249,1.916144,1.928627,18672000
1999-01-08,1.928627,1.959834,1.928627,1.947351,6401600
1999-01-11,1.928627,1.947352,1.866212,1.941110,17236800
1999-01-12,1.947351,1.947351,1.866212,1.934868,15649600
1999-01-13,1.878695,1.944231,1.853729,1.891178,18980800
1999-01-14,1.897420,1.903662,1.822522,1.847488,32102400
1999-01-15,1.859971,1.884937,1.806918,1.844367,5969600
1999-01-19,1.853729,1.916145,1.835005,1.897420,4867200
1999-01-20,1.891178,1.897419,1.841246,1.878695,4022400
1999-01-21,1.841245,1.859970,1.828762,1.856849,3598400
1999-01-22,1.828764,1.909903,1.816281,1.902101,8768000
1999-01-25,1.922385,1.947351,1.895859,1.922385,3803200
1999-01-26,1.947352,1.978560,1.916145,1.966077,4603200
1999-01-27,1.984800,1.991042,1.906782,1.919265,3070400
1999-01-28,1.947352,1.992603,1.922386,1.984801,7272000
1999-01-29,1.997284,2.047216,1.966076,1.972318,10707200
1999-02-01,1.997284,2.028492,1.991043,2.019129,4652800
1999-02-02,2.009767,2.025370,1.984800,2.025370,4830400
1999-02-03,2.034733,2.084665,2.009767,2.047216,7555200
1999-02-04,2.072182,2.178288,2.072182,2.122114,14024000
1999-02-05,2.150200,2.190771,2.118993,2.147080,10974400
1999-02-08,2.165805,2.178288,2.097148,2.168926,10187200
1999-02-09,2.184529,2.184529,2.078424,2.087786,10064000
1999-02-10,2.072181,2.072181,2.034732,2.053457,14288000
1999-02-11,2.059699,2.153322,2.053458,2.122114,5443200
1999-02-12,2.122115,2.140840,2.097149,2.109632,2414400
1999-02-16,2.140839,2.159563,2.134597,2.137717,4766400
1999-02-17,2.140838,2.159563,2.122114,2.143959,6225600
1999-02-18,2.153322,2.246945,2.153322,2.215737,9921600
1999-02-19,2.221977,2.268788,2.215736,2.246943,5995200
1999-02-22,2.243822,2.259426,2.215736,2.246943,9118400
1999-02-23,2.221977,2.284392,2.209494,2.246943,6992000
1999-02-24,2.265668,2.306238,2.240702,2.246943,9825600
1999-02-25,2.240704,2.250066,2.145521,2.190772,10080000
1999-02-26,2.215738,2.340569,2.203255,2.284395,11876800
1999-03-01,2.284393,2.284393,2.228220,2.253186,4702400
1999-03-02,2.250065,2.296876,2.209495,2.225099,4275200
1999-03-03,2.237725,2.368989,2.218974,2.290856,4696000
1999-03-04,2.325235,2.390866,2.312734,2.390866,8878400
1999-03-05,2.381491,2.400242,2.304920,2.309608,10291200
1999-03-08,2.312733,2.343986,2.300231,2.337735,11387200
1999-03-09,2.325234,2.328359,2.281480,2.293981,8422400
1999-03-10,2.281480,2.300232,2.256478,2.278354,6073600
1999-03-11,2.281481,2.281481,2.256478,2.265853,9460800
1999-03-12,2.275231,2.284607,2.256479,2.272105,3784000
1999-03-15,2.268981,2.350239,2.259605,2.306485,9091200
1999-03-16,2.312733,2.343986,2.206473,2.228349,14401600
1999-03-17,2.231476,2.243977,2.147092,2.165844,7688000
1999-03-18,2.175219,2.175219,2.112712,2.156467,8640000
1999-03-19,2.175220,2.175220,2.134591,2.137716,6313600
1999-03-22,2.128340,2.131466,1.968949,2.028330,10899200
1999-03-23,2.028329,2.062708,2.015828,2.015828,9699200
