date,open,high,low,close,volume
1999-01-04,8.092502,8.444350,8.038371,8.309024,451500
1999-01-05,8.390223,8.444354,8.173701,8.227832,1211250
1999-01-06,8.119566,8.336088,8.119566,8.173697,1173450
1999-01-07,8.119566,8.173697,8.011305,8.173697,169500
1999-01-08,8.227825,8.227825,8.173694,8.200760,459300
1999-01-11,8.200762,8.281958,8.038371,8.173697,931650
1999-01-12,8.146633,8.200764,7.930111,7.984242,1659600
1999-01-13,7.794783,7.903044,7.632392,7.875979,666750
1999-01-14,7.903048,7.903048,7.794786,7.903048,112350
1999-01-15,7.903044,7.903044,7.767718,7.875979,577950
1999-01-19,8.065434,8.200760,7.903043,8.200760,449700
1999-01-20,8.200761,8.200761,8.011304,8.092500,422400
1999-01-21,8.065435,8.092500,7.875978,8.092500,1717350
1999-01-22,8.065433,8.173693,7.903042,8.119563,972900
1999-01-25,8.119571,8.227832,8.092505,8.227832,571950
1999-01-26,8.227830,8.444352,8.092504,8.363156,1427550
1999-01-27,8.660873,8.985656,8.606743,8.985656,1247850
1999-01-28,9.012718,9.283371,8.931523,9.093914,1088550
1999-01-29,9.039783,9.093914,8.823261,8.931522,261600
1999-02-01,8.931523,9.039784,8.931523,8.958589,236400
1999-02-02,8.958588,9.039783,8.850327,9.039783,173700
1999-02-03,8.985653,9.256306,8.877393,9.256306,423900
1999-02-04,9.148042,9.608151,9.039782,9.310433,250050
1999-02-05,9.093913,9.175108,8.823260,8.823260,320250
1999-02-08,8.850327,8.931522,8.769131,8.850327,117300
1999-02-09,8.796195,8.877391,8.715000,8.742064,268650
1999-02-10,8.660872,8.660872,7.794785,7.984242,675450
1999-02-11,8.011310,8.227832,7.957179,8.227832,469950
1999-02-12,8.227827,8.227827,8.011305,8.173697,714450
1999-02-16,8.200765,8.200765,7.848917,7.903048,369000
1999-02-17,7.821850,7.957176,7.740654,7.767719,158850
1999-02-18,7.713589,7.984241,7.713589,7.767719,172050
1999-02-19,7.713591,7.767721,7.145221,7.361742,1425150
1999-02-22,7.334677,7.334677,6.982828,7.009894,653400
1999-02-23,7.009894,7.009894,6.685111,6.712176,1666650
1999-02-24,6.820437,7.361741,6.820437,7.145219,1024050
1999-02-25,7.253481,7.334677,7.199350,7.307611,363300
1999-02-26,7.280546,7.578264,7.253481,7.551198,204750
1999-03-01,7.361737,7.578259,7.334673,7.578259,571650
1999-03-02,7.415870,7.415870,7.253479,7.334674,103350
1999-03-03,6.820435,7.253479,6.820435,7.226414,588450
1999-03-04,7.226413,7.307609,6.928696,6.928696,217350
1999-03-05,7.036959,7.226416,7.009894,7.009894,1198650
1999-03-08,7.118151,7.199346,7.064020,7.118151,1569300
1999-03-09,7.172288,7.199352,7.036961,7.036961,127350
1999-03-10,7.064023,7.145219,7.009893,7.091088,315000
1999-03-11,7.145218,7.199348,7.036957,7.064022,185400
1999-03-12,7.036957,7.064022,6.928696,6.928696,289050
1999-03-15,6.928695,6.955760,6.522717,6.522717,616050
1999-03-16,6.495650,6.495650,6.360324,6.387389,849900
1999-03-17,6.387390,6.685108,6.360325,6.630977,1947750
1999-03-18,6.630982,6.901634,6.603917,6.739243,1065450
1999-03-19,6.685114,6.766310,6.603918,6.658049,342300
1999-03-22,6.658042,6.685108,6.522717,6.522717,773250
1999-03-23,6.549780,6.576846,6.279129,6.387389,1235100
1999-03-24,6.360329,6.441525,6.225002,6.333263,696450
1999-03-25,6.414455,6.603912,6.414455,6.522717,716100
1999-03-26,6.495654,6.495654,6.414459,6.441524,628650
1999-03-29,6.414457,6.495653,6.360327,6.414457,961650
1999-03-30,6.468588,6.576849,6.414458,6.468588,903300
1999-03-31,6.522720,7.009894,6.468589,7.009894,555750
1999-04-01,7.009891,7.253478,6.820435,6.820435,339450
1999-04-05,6.874567,7.253481,6.874567,7.009894,340200
1999-04-06,7.064023,7.118154,6.928698,6.955762,582750
1999-04-07,6.982826,7.253478,6.901630,6.901630,1347450
1999-04-08,6.874565,6.955761,6.820435,6.928696,718500
1999-04-09,6.820437,7.172285,6.820437,7.145219,1087950
1999-04-12,7.036960,7.064025,6.901634,6.982830,493650
1999-04-13,6.982826,7.172283,6.982826,7.064022,388500
1999-04-14,7.064024,7.794785,7.064024,7.740654,873900
1999-04-15,7.794785,7.984242,7.578264,7.984242,740700
1999-04-16,7.984239,8.687934,7.930108,8.687934,698100
1999-04-19,9.093914,9.148044,8.823261,8.931522,1149750
1999-04-20,9.093915,9.148045,8.904458,8.904458,1355850
1999-04-21,8.904457,8.904457,8.173696,8.444348,734700
1999-04-22,8.444348,8.471414,8.336087,8.444348,383550
1999-04-23,8.417281,8.498477,7.794782,8.200760,1258050
1999-04-26,8.119568,8.146633,7.848915,7.848915,797250
1999-04-27,7.794786,7.794786,7.199350,7.307611,2241600
1999-04-28,7.470005,8.417288,7.470005,8.227832,27162000
1999-04-29,8.444346,9.093911,8.146629,8.660868,11148900
1999-04-30,8.850328,8.904458,8.606741,8.904458,5546550
1999-05-03,8.958588,9.770545,8.958588,9.581088,3499800
1999-05-04,9.472833,9.499899,8.769137,8.769137,3147450
1999-05-05,9.202178,9.418699,8.769134,9.337503,2013150
1999-05-06,9.229240,9.283371,9.012718,9.093914,2134950
1999-05-07,9.093914,9.093914,8.877392,9.039783,1720350
1999-05-10,9.093913,9.093913,8.769131,8.877392,762900
1999-05-11,8.877395,9.039787,8.769134,8.985656,796650
1999-05-12,8.958588,9.093914,8.390218,8.931522,1293750
1999-05-13,8.877395,9.066851,8.742069,8.985656,2071950
1999-05-14,8.958590,8.958590,8.525546,8.715003,2482950
1999-05-17,8.769133,8.877395,8.715003,8.796199,898950
1999-05-18,8.769133,8.958590,8.715003,8.796199,1184850
1999-05-19,8.850326,9.148043,8.823260,9.148043,829050
1999-05-20,9.093912,9.148043,8.985651,9.148043,500550
1999-05-21,9.256304,9.256304,9.039782,9.148043,597600
1999-05-24,9.202173,9.554020,9.202173,9.310433,910350
1999-05-25,9.960002,9.960002,9.120981,9.175111,1430850
1999-05-26,9.283373,9.337503,9.202178,9.337503,1118550
1999-05-27,9.256306,9.472828,9.148045,9.391632,2035650
1999-05-28,9.283370,10.176522,9.283370,10.176522,2052900
1999-06-01,10.284783,10.284783,9.851740,10.014132,1837500
1999-06-02,9.960001,9.960001,9.635218,9.932936,1943700
1999-06-03,9.932942,9.987072,9.797615,9.797615,598650
1999-06-04,9.932942,9.960006,9.770550,9.797615,640650
1999-06-07,9.797612,9.797612,9.499895,9.635221,452100
1999-06-08,9.581090,9.581090,9.337503,9.493128,288000
1999-06-09,9.526958,9.635218,9.499892,9.526958,562050
1999-06-10,9.472827,9.554022,9.364566,9.499892,519900
1999-06-11,9.499892,9.554022,9.472827,9.526958,553350
1999-06-14,9.526960,9.824677,9.526960,9.716416,449700
1999-06-15,9.608156,9.797613,9.499895,9.770548,121050
1999-06-16,9.743481,10.014134,9.743481,9.987068,351150
1999-06-17,9.905872,9.987067,9.851741,9.960002,762300
1999-06-18,9.878805,9.932936,9.797609,9.905870,530700
1999-06-21,9.797612,9.932939,9.689352,9.878808,272850
1999-06-22,9.851741,9.905871,9.581089,9.824676,473850
1999-06-23,9.960002,10.122393,9.716415,9.960002,958950
1999-06-24,9.960001,10.149457,9.932936,10.014132,1149150
1999-06-25,9.987066,10.555436,9.987066,10.420111,1685400
1999-06-28,10.474240,10.501306,10.365979,10.393044,1400400
1999-06-29,10.393044,10.582501,10.257718,10.555435,1632000
1999-06-30,10.555435,11.042608,10.365978,10.717826,2054700
1999-07-01,10.609569,10.988483,10.474243,10.988483,827250
1999-07-02,10.880218,10.880218,10.528369,10.582501,750900
1999-07-06,10.771960,10.799026,10.420113,10.447177,714300
1999-07-07,9.743479,10.068262,8.823261,9.932936,7948800
1999-07-08,9.743479,9.824675,9.418697,9.499892,1654200
1999-07-09,9.418694,9.581086,9.148042,9.310433,1268850
1999-07-12,9.283371,9.364567,9.175110,9.256306,1513650
1999-07-13,9.012721,9.960003,9.012721,9.743482,1368900
1999-07-14,9.635221,9.851743,9.635221,9.743482,1150350
1999-07-15,9.770551,9.797616,9.418703,9.418703,896700
1999-07-16,9.472833,9.581095,9.364573,9.418703,767700
1999-07-19,9.391638,9.526964,9.391638,9.418703,787950
1999-07-20,9.202175,9.256306,9.039784,9.256306,828900
1999-07-21,9.093914,9.256305,8.796196,8.931522,1019550
1999-07-22,8.985653,8.985653,8.606741,8.958589,2135700
1999-07-23,9.039783,9.148044,8.931522,8.931522,947100
1999-07-26,8.823268,9.066855,8.471420,8.769137,1119000
1999-07-27,8.769132,9.148045,8.769132,9.120980,522900
1999-07-28,9.093912,9.445760,9.093912,9.148043,595650
1999-07-29,9.148044,9.148044,8.823261,8.931522,1521300
1999-07-30,8.904456,9.012717,8.660869,8.742064,588000
1999-08-02,8.742064,8.904455,8.444347,8.606738,837450
1999-08-03,8.660868,8.714999,8.579673,8.606738,361350
1999-08-04,8.606738,8.850325,8.579673,8.606738,984000
1999-08-05,8.606737,8.714999,8.552607,8.660868,210000
