date,open,high,low,close,volume
1999-01-04,2.764489,2.783125,2.621605,2.677516,23494400
1999-01-05,2.342050,2.596755,2.329625,2.584330,96963200
1999-01-06,2.593650,2.621605,2.522208,2.562588,35070400
1999-01-07,2.525313,2.602968,2.522207,2.571906,26440000
1999-01-08,2.584329,2.640241,2.568799,2.627816,20854400
1999-01-11,2.630923,2.674409,2.602967,2.634029,15356800
1999-01-12,2.643347,2.677515,2.640241,2.643347,18153600
1999-01-13,2.584330,2.646453,2.503570,2.620051,16988800
1999-01-14,2.634030,2.654220,2.609180,2.621605,15555200
1999-01-15,2.615392,2.615392,2.571905,2.609179,22312000
1999-01-19,2.615392,2.683728,2.612286,2.683728,7688000
1999-01-20,2.689940,2.758275,2.686833,2.717895,16760000
1999-01-21,2.689941,2.699259,2.547057,2.621605,27803200
1999-01-22,2.522206,2.590542,2.478720,2.488038,28356800
1999-01-25,2.509781,2.522206,2.450764,2.488038,17524800
1999-01-26,2.491145,2.534631,2.484933,2.528419,21974400
1999-01-27,2.528420,2.534632,2.397960,2.429022,15136000
1999-01-28,2.456977,2.472507,2.416597,2.432127,16852800
1999-01-29,2.515994,2.634028,2.503570,2.587436,34308800
1999-02-01,2.590542,2.665090,2.534631,2.547055,12076800
1999-02-02,2.534632,2.553269,2.472509,2.494252,12636800
1999-02-03,2.488039,2.584330,2.484933,2.581224,8438400
1999-02-04,2.581225,2.581225,2.500464,2.531526,11729600
1999-02-05,2.522207,2.534631,2.469402,2.478721,19564800
1999-02-08,2.515994,2.522206,2.444552,2.488038,8083200
1999-02-09,2.472508,2.488039,2.425915,2.425915,16376000
1999-02-10,2.425914,2.425914,2.354473,2.385535,40486400
1999-02-11,2.391748,2.472507,2.373110,2.472507,29926400
1999-02-12,2.463189,2.472508,2.376217,2.387088,18110400
1999-02-16,2.404172,2.460082,2.354473,2.385535,13145600
1999-02-17,2.363793,2.404174,2.310988,2.314094,17776000
1999-02-18,2.345156,2.360686,2.304776,2.332731,14284800
1999-02-19,2.323412,2.413491,2.323412,2.404173,15006400
1999-02-22,2.410385,2.481827,2.397960,2.478721,15028800
1999-02-23,2.550162,2.671303,2.550162,2.602968,30713600
1999-02-24,2.627817,2.693046,2.571905,2.584330,18193600
1999-02-25,2.596755,2.596755,2.528419,2.550162,9166400
1999-02-26,2.596754,2.658877,2.565693,2.627816,14676800
1999-03-01,2.652667,2.693047,2.590543,2.677516,15041600
1999-03-02,2.708577,2.780019,2.680622,2.721002,19166400
1999-03-03,2.724108,2.727214,2.683728,2.714790,19091200
1999-03-04,2.736532,2.839036,2.727214,2.811080,23411200
1999-03-05,2.832823,2.938433,2.823505,2.919796,26649600
1999-03-08,2.932221,3.031618,2.926009,3.025406,26894400
1999-03-09,3.019194,3.022300,2.944646,2.972601,24675200
1999-03-10,2.981919,3.053361,2.975707,3.050255,12192000
1999-03-11,3.044042,3.168289,3.031617,3.044042,25968000
1999-03-12,3.056467,3.075104,2.981919,2.985025,12118400
1999-03-15,3.000557,3.025406,3.000557,3.016087,12128000
1999-03-16,3.012981,3.034724,2.978813,3.019193,11544000
1999-03-17,3.012981,3.047149,2.994344,3.012981,10096000
1999-03-18,3.016087,3.087529,2.944645,3.009875,18270400
1999-03-19,3.012981,3.016087,2.776912,2.786230,28771200
1999-03-22,2.907371,2.981919,2.814186,2.950858,24524000
1999-03-23,2.975707,3.019193,2.770700,2.845248,18824000
1999-03-24,2.907372,2.913585,2.845249,2.888735,15429600
1999-03-25,2.926009,2.969495,2.820399,2.894947,10064000
1999-03-26,2.882522,2.894947,2.820399,2.820399,6832000
1999-03-29,2.870097,2.919796,2.814187,2.919796,8909600
1999-03-30,2.888735,2.888735,2.795549,2.807974,9441600
1999-03-31,2.832823,2.957070,2.783124,2.789337,18714400
1999-04-01,2.807974,2.944646,2.807974,2.944646,7161600
1999-04-05,3.068891,3.099954,2.981919,3.062680,16403200
1999-04-06,3.112379,3.273899,3.056467,3.056467,29261600
1999-04-07,3.155865,3.168290,3.019194,3.081317,8476800
1999-04-08,3.118591,3.180715,3.062681,3.168290,8056000
1999-04-09,3.168289,3.224200,3.118590,3.217988,7380800
