date,open,high,low,close,volume
1999-01-04,6.632251,6.759251,6.632251,6.702806,1331700
1999-01-05,6.745134,6.872135,6.745134,6.815691,1257300
1999-01-06,6.815696,6.928585,6.731029,6.759251,1567500
1999-01-07,6.745142,6.759253,6.575808,6.660475,1768800
1999-01-08,6.632248,6.632248,6.519358,6.604025,1602600
1999-01-11,6.561698,6.604031,6.533475,6.589921,6357300
1999-01-12,6.561694,6.575805,6.491138,6.561694,1648200
1999-01-13,6.462918,6.547585,6.434695,6.505251,1486200
1999-01-14,6.505252,6.589919,6.434696,6.491140,2570700
1999-01-15,6.491136,6.505248,6.251247,6.406469,1830300
1999-01-19,6.265358,6.378247,6.081913,6.180691,1414200
1999-01-20,6.208916,6.279471,6.110137,6.124249,2006100
1999-01-21,6.096027,6.208916,6.025471,6.039582,2452800
1999-01-22,6.039580,6.096024,5.884356,5.884356,1830900
1999-01-25,5.531579,5.856136,5.531579,5.757358,3312000
1999-01-26,5.785579,5.954913,5.771467,5.884356,2591100
1999-01-27,5.926692,5.954915,5.686802,5.686802,2102700
1999-01-28,5.743245,5.884356,5.729133,5.870245,1476900
1999-01-29,5.785580,5.842024,5.686801,5.785580,1399200
1999-02-01,5.757356,5.771467,5.531577,5.573911,1644300
1999-02-02,5.573914,5.729137,5.573914,5.700915,2075100
1999-02-03,5.644466,5.729133,5.588022,5.729133,1922400
1999-02-04,5.813801,5.954913,5.813801,5.898468,2426400
1999-02-05,5.954911,5.954911,5.799688,5.827911,2116800
1999-02-08,5.870247,5.940802,5.827914,5.926692,1676100
1999-02-09,5.926694,5.983138,5.842027,5.856138,1345500
1999-02-10,5.827915,5.870249,5.644470,5.700915,1009200
1999-02-11,5.686802,5.715025,5.588024,5.658580,1673700
1999-02-12,5.743244,5.743244,5.602132,5.644465,1686300
1999-02-16,5.700911,5.757356,5.588022,5.588022,1661400
1999-02-17,5.644468,5.672691,5.305800,5.390467,3365100
1999-02-18,5.418691,5.446914,5.362247,5.418691,2699400
1999-02-19,5.305801,5.362246,5.207023,5.263467,2372700
1999-02-22,5.263467,5.291690,5.221134,5.263467,3100200
1999-02-23,5.319913,5.390468,5.235246,5.291690,4410600
1999-02-24,5.334022,5.432800,5.334022,5.362244,1979100
1999-02-25,5.346929,5.375294,5.304381,5.346929,3062100
1999-02-26,5.332745,5.474573,5.332745,5.460390,2593500
1999-03-01,5.446207,5.446207,5.290196,5.290196,2159400
1999-03-02,5.290195,5.517121,5.290195,5.502938,3108300
1999-03-03,5.502938,5.559669,5.460389,5.517121,2808000
1999-03-04,5.517122,5.772413,5.517122,5.744047,5095200
1999-03-05,5.786593,6.027701,5.772410,6.013518,2711100
1999-03-08,5.928422,5.985153,5.871691,5.970970,1692900
1999-03-09,5.942605,5.942605,5.758227,5.871690,1788300
1999-03-10,5.914242,6.169533,5.871693,6.070253,1781100
1999-03-11,6.041883,6.254626,5.985152,6.212077,2352600
1999-03-12,6.212080,6.467371,6.183714,6.254628,1967400
1999-03-15,6.268811,6.297177,6.240446,6.254628,1007100
1999-03-16,6.268812,6.339727,6.254630,6.282996,1235400
1999-03-17,6.268812,6.297177,6.056069,6.098618,1177200
1999-03-18,6.126981,6.126981,5.729862,5.914239,2994300
1999-03-19,6.041884,6.070250,5.857507,5.900056,1382400
1999-03-22,5.857508,5.942605,5.857508,5.928422,1708800
1999-03-23,5.928421,5.942605,5.843324,5.857508,1753800
1999-03-24,5.914240,6.141165,5.857509,6.141165,1656000
1999-03-25,6.112799,6.382273,6.112799,6.226262,2795400
1999-03-26,6.169531,6.183714,6.070252,6.141165,920100
1999-03-29,6.155347,6.197895,6.098615,6.169529,1214400
1999-03-30,6.183714,6.566650,6.155348,6.552467,1930800
1999-03-31,6.439005,6.467371,6.353908,6.382274,1965300
1999-04-01,6.353911,6.524105,6.282997,6.495739,2158200
1999-04-05,6.580833,6.609198,6.538284,6.609198,1430700
1999-04-06,6.552467,6.566649,6.410639,6.453187,869400
1999-04-07,6.453191,6.467373,6.382276,6.424825,832800
1999-04-08,6.382277,6.410643,6.325546,6.410643,1101900
1999-04-09,6.353907,6.382273,6.268810,6.339725,966300
1999-04-12,6.339727,6.410641,6.254630,6.282996,1185300
1999-04-13,6.240447,6.311361,6.212081,6.282996,975600
1999-04-14,6.282995,6.580834,6.254629,6.538286,2183700
1999-04-15,6.580833,7.034683,6.580833,6.921221,3140700
1999-04-16,6.864490,6.864490,6.736845,6.864490,1456200
1999-04-19,6.864493,7.318343,6.864493,7.275795,2947800
1999-04-20,7.304158,7.460169,6.694296,6.963770,3658500
1999-04-21,6.949586,7.105598,6.807758,7.091415,1182000
1999-04-22,7.091418,7.091418,6.977955,7.048869,1290300
1999-04-23,7.034684,7.063050,6.836125,6.864490,1350900
1999-04-26,6.921222,6.921222,6.736844,6.793576,988800
1999-04-27,6.850308,7.063051,6.694297,6.949588,2292600
1999-04-28,6.949587,7.148147,6.892856,7.133965,1341300
1999-04-29,7.261608,7.360888,7.148145,7.360888,2277600
1999-04-30,7.304157,7.417619,6.963769,7.063049,1334100
1999-05-03,7.063051,7.063051,6.864491,7.020502,1604100
1999-05-04,7.020503,7.020503,6.722663,6.736846,1764300
1999-05-05,6.793573,6.949584,6.765207,6.935401,1206300
1999-05-06,6.935403,6.935403,6.694295,6.765209,1056000
1999-05-07,6.779392,6.878672,6.779392,6.850306,942300
1999-05-10,6.836126,7.091417,6.836126,6.878674,1117200
1999-05-11,6.977952,7.204877,6.878673,7.190695,1311000
1999-05-12,7.162330,7.162330,6.878674,7.020502,1074600
1999-05-13,7.006319,7.006319,6.821942,6.864490,802800
1999-05-14,6.878675,6.963772,6.765212,6.779395,816300
1999-05-17,6.736843,6.751026,6.595015,6.637563,917700
1999-05-18,6.665932,6.722663,6.453189,6.524103,1173900
1999-05-19,6.566651,6.892857,6.552469,6.878674,1130400
1999-05-20,6.836127,7.133967,6.836127,7.006321,1881300
1999-05-21,7.006319,7.148147,6.921222,7.077233,1560300
1999-05-24,7.133965,7.204878,7.063050,7.077233,886800
1999-05-25,7.034684,7.119781,6.921222,7.077233,1094100
1999-05-26,7.033384,7.104572,6.834057,7.033384,1663200
1999-05-27,7.047616,7.047616,6.777101,6.891002,1495200
1999-05-28,6.891005,7.061856,6.891005,7.019144,1108500
1999-06-01,6.876767,7.004906,6.777104,7.004906,2346300
1999-06-02,6.990668,7.004905,6.848291,6.919479,662100
1999-06-03,6.905243,7.133044,6.819817,7.004906,1363800
1999-06-04,6.976431,6.990669,6.663203,6.805579,1641900
1999-06-07,6.805579,6.805579,6.606253,6.691679,1340700
1999-06-08,6.492354,6.506591,6.150651,6.435404,4356600
1999-06-09,6.435402,6.535065,6.293026,6.492352,2287500
1999-06-10,6.421163,6.592015,6.406926,6.577777,1418400
1999-06-11,6.691679,6.791342,6.520828,6.563540,1885200
1999-06-14,6.677441,6.677441,6.520828,6.563540,569400
1999-06-15,6.620493,6.648968,6.378453,6.435404,2065200
1999-06-16,6.492353,6.691680,6.492353,6.677442,1933500
1999-06-17,6.677442,6.834056,6.406928,6.463878,1639800
1999-06-18,6.406928,6.549304,6.378453,6.520829,1271400
1999-06-21,6.506588,6.577776,6.349975,6.364212,1548600
1999-06-22,6.364215,6.492354,6.349978,6.463878,1572900
1999-06-23,6.463877,6.478115,6.349977,6.378451,1366800
1999-06-24,6.321503,6.321503,6.150651,6.207602,1812600
1999-06-25,6.264548,6.293023,6.193360,6.236073,998700
1999-06-28,6.236074,6.378450,6.221836,6.278787,1271100
1999-06-29,6.264552,6.406928,6.236077,6.321502,1360200
1999-06-30,6.335740,6.392691,6.307265,6.321502,1486200
1999-07-01,6.264550,6.335738,6.207599,6.293025,2110200
1999-07-02,6.321502,6.378452,6.293027,6.321502,1485000
1999-07-06,6.321499,6.592013,6.321499,6.406924,1844100
1999-07-07,6.406924,6.705914,6.349974,6.663201,1985700
1999-07-08,6.663204,6.663204,6.549303,6.620492,1250700
1999-07-09,6.606257,6.720157,6.563544,6.648970,1260900
1999-07-12,6.663204,6.720154,6.563540,6.691679,1096200
1999-07-13,6.620489,6.663201,6.577776,6.634726,1192800
1999-07-14,6.720154,6.720154,6.606254,6.677442,1435200
1999-07-15,6.634726,6.720152,6.606251,6.634726,1875300
1999-07-16,6.663204,6.748630,6.620491,6.748630,1258500
1999-07-19,6.734390,6.834054,6.705915,6.834054,1906800
1999-07-20,6.734390,6.762865,6.606251,6.634726,2076600
1999-07-21,6.634728,6.720154,6.563540,6.606253,2027700
1999-07-22,6.663202,6.691678,6.535064,6.549301,1521600
1999-07-23,6.535065,6.606253,6.535065,6.606253,783300
1999-07-26,6.549305,6.592018,6.478117,6.535068,2039400
1999-07-27,6.478117,6.492354,6.364216,6.435404,864600
1999-07-28,6.293024,6.307262,6.150648,6.250311,2120100
1999-07-29,6.150649,6.179125,6.065223,6.164886,1600800
1999-07-30,6.164887,6.236075,6.122174,6.150650,889200
1999-08-02,6.150651,6.278790,6.150651,6.207602,581400
1999-08-03,6.179125,6.221837,6.107936,6.164886,993300
1999-08-04,6.164886,6.293025,6.150649,6.164886,948600
1999-08-05,6.150649,6.193362,6.122174,6.164886,587700
1999-08-06,6.150650,6.179125,6.079461,6.122174,1009200
1999-08-09,6.150648,6.150648,6.093698,6.107935,438300
1999-08-10,6.093699,6.179125,6.036748,6.179125,1037400
1999-08-11,6.150648,6.150648,6.008272,6.022509,711000
1999-08-12,6.079459,6.193360,5.979796,6.022509,727200
1999-08-13,6.107934,6.179122,5.865894,5.922845,1646400
1999-08-16,5.751996,6.079460,5.638094,6.079460,2407200
1999-08-17,6.036750,6.065226,5.908612,6.065226,784500
1999-08-18,6.035475,6.064078,5.906756,5.963964,594900
1999-08-19,5.935359,6.064077,5.906755,6.064077,596100
1999-08-20,6.078382,6.092684,5.921059,5.935361,1226400
1999-08-23,5.906757,6.035475,5.863850,6.035475,1483200
1999-08-24,5.949662,6.006870,5.863849,6.006870,1195800
1999-08-25,5.978265,6.064078,5.935359,6.006870,1631400
1999-08-26,5.949663,6.035476,5.935361,5.935361,1747200
1999-08-27,5.935361,5.978267,5.820945,5.820945,1409400
1999-08-30,5.792339,5.835245,5.663620,5.677922,1094400
1999-08-31,5.720829,5.778038,5.577808,5.577808,1140000
1999-09-01,5.635018,5.763736,5.377580,5.420486,3177000
1999-09-02,5.291769,5.434790,5.263165,5.334675,2757600
1999-09-03,5.363278,5.363278,5.191653,5.263164,3495000
1999-09-07,5.291766,5.377579,5.220256,5.248860,2500500
1999-09-08,5.191653,5.406184,5.191653,5.363278,1917900
1999-09-09,5.306071,5.334675,5.277467,5.334675,2375700
1999-09-10,5.377581,5.391884,5.291769,5.334675,5174700
1999-09-13,5.363277,5.406183,5.248860,5.348975,1328400
1999-09-14,5.348977,5.348977,5.277467,5.334675,1163100
1999-09-15,5.434787,5.520600,5.220256,5.248860,4300200
1999-09-16,5.248861,5.263164,4.862705,5.062934,2886900
1999-09-17,5.034329,5.062934,4.977121,5.020028,2669700
1999-09-20,5.020029,5.020029,4.877009,4.877009,2133300
1999-09-21,4.862707,4.877009,4.705384,4.776894,1898700
1999-09-22,4.805498,4.834102,4.633873,4.648175,2105100
1999-09-23,4.748289,4.776892,4.519455,4.548059,4255200
1999-09-24,4.548061,4.562363,4.447947,4.505155,3183300
1999-09-27,4.562359,4.633869,4.533755,4.576661,3110100
1999-09-28,4.576665,4.619572,4.462249,4.533759,3759900
1999-09-29,4.562362,4.762591,4.476550,4.676779,3825600
1999-09-30,4.834100,4.834100,4.733985,4.791194,4719300
1999-10-01,4.848402,4.862704,4.733985,4.791194,2411400
1999-10-04,4.791197,4.862707,4.776894,4.848405,2570100
1999-10-05,4.862705,4.934216,4.805497,4.905612,3857700
1999-10-06,4.919914,5.077237,4.905612,4.977122,2983800
1999-10-07,5.020028,5.062935,4.934216,4.948518,2684400
1999-10-08,5.005727,5.091539,4.934216,4.948518,4334400
1999-10-11,5.005727,5.077237,4.948519,5.048634,1047300
1999-10-12,5.034330,5.048633,4.862705,4.905612,1656000
1999-10-13,4.862705,5.077236,4.834101,4.891309,1617300
1999-10-14,4.919913,4.948517,4.662476,4.862705,2145600
1999-10-15,4.862705,4.862705,4.576664,4.705383,1498800
1999-10-18,4.691082,4.891311,4.691082,4.776894,1385100
1999-10-19,4.776893,4.834101,4.691080,4.705383,2074800
1999-10-20,4.748290,4.834102,4.705384,4.819800,1770600
1999-10-21,4.762590,4.776892,4.562361,4.619569,1564800
1999-10-22,4.733987,4.733987,4.533758,4.562362,1228200
1999-10-25,4.519455,4.805496,4.519455,4.691080,1729800
1999-10-26,4.719684,4.805496,4.648173,4.691080,1643400
1999-10-27,4.691081,4.862706,4.691081,4.819800,1947000
1999-10-28,4.876185,5.149482,4.876185,5.106329,2472000
1999-10-29,5.106330,5.192634,5.077562,5.149482,2087100
1999-11-01,5.120713,5.192633,4.976872,5.063177,2144700
1999-11-02,5.091943,5.322087,5.091943,5.207016,2670000
1999-11-03,5.207016,5.293320,5.135096,5.192632,1994400
1999-11-04,5.207018,5.307706,5.106330,5.149482,1338300
1999-11-05,5.135098,5.221402,5.077562,5.077562,1977300
1999-11-08,5.106327,5.207016,5.106327,5.178247,682500
1999-11-09,5.178248,5.322088,5.149479,5.250168,1401900
1999-11-10,5.207019,5.278938,5.163867,5.264555,1110000
1999-11-11,5.250170,5.322090,5.106329,5.106329,908100
1999-11-12,5.149481,5.235785,5.005641,5.063177,2136600
1999-11-15,5.063177,5.207017,4.890568,5.120713,2193000
1999-11-16,5.120713,5.149481,5.005641,5.005641,2755200
1999-11-17,5.005640,5.063176,4.904953,4.919336,3414600
1999-11-18,4.948104,4.976871,4.804263,4.833031,2225700
1999-11-19,4.833034,5.005642,4.833034,4.948106,1765800
1999-11-22,4.948103,5.063175,4.890566,4.962487,1977900
